START-OF-LOG: 3.0
LOCATION: EB
CALLSIGN: K6JEB
CLUB: Northern California Contest Club
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-POWER: HIGH
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 199735
OPERATORS: K6JEB
SOAPBOX: This was mostly a 'click-n-pounce' (c) contest and I managed to
SOAPBOX: get an all-time new one for DXCC, much thanks to XX9TXN in with a
SOAPBOX: great signal a well-managed pile-up, and a terrific operator.
SOAPBOX: Decent conditions with the A index being 10, K=3, and SFI=83, but
SOAPBOX: noisy and no shortage of deep QSB. I ran 300w into a Cushcraft
SOAPBOX: A3S tribander up 13 meters and my HF9V with 83 radials.  N1MM ran
SOAPBOX: beautifully throughout (tnx N1MM!).  I regret I didn't have my
SOAPBOX: 160m antenna back up for this contest as I could hear a number of
SOAPBOX: stations with my HF9V even some DX.  Thanks to everyone for the
SOAPBOX: QSOs!  73!  PS - I am taking suggestions for a good antenna for
SOAPBOX: 80m that would fit in a 0.2 acre suburban lot.  PPS - also taking
SOAPBOX: suggestions for good receive antennas for the low bands.
NAME: Jack
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5982.0
QSO: 14051 CW 2016-11-26 0053 K6JEB         599 3      JR2GRX        599 25
QSO: 14003 CW 2016-11-26 0054 K6JEB         599 3      JH3AIU        599 25
QSO: 14065 CW 2016-11-26 0111 K6JEB         599 3      JJ0JML        599 25
QSO: 14029 CW 2016-11-26 0111 K6JEB         599 3      FO/K7AR       599 32
QSO: 14034 CW 2016-11-26 0113 K6JEB         599 3      KH6LC         599 31
QSO: 21032 CW 2016-11-26 0125 K6JEB         599 3      KH7M          599 31
QSO: 21022 CW 2016-11-26 0125 K6JEB         599 3      JR2IOB        599 25
QSO: 21009 CW 2016-11-26 0126 K6JEB         599 3      JA5DQH        599 25
QSO: 21008 CW 2016-11-26 0126 K6JEB         599 3      JE6RPM        599 25
QSO: 21022 CW 2016-11-26 0141 K6JEB         599 3      AH0K          599 27
QSO: 21029 CW 2016-11-26 0144 K6JEB         599 3      JA3YBK        599 25
QSO: 21014 CW 2016-11-26 0146 K6JEB         599 3      N6WM          599 03
