START-OF-LOG: 3.0
CALLSIGN: PA3DCU
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE:
NAME: Jaap Zijp
LOCATION: DX
OPERATORS: PA3DCU
CLUB:
CERTIFICATE: YES
CREATED-BY: jLog V 6.0.2 http
SOAPBOX: Great contest! Every year a splendid opportunity to work DX stations.
QSO:  3500 CW 2016-11-26 0049 PA3DCU        599 14     OK2RRR        599 15     0
QSO:  3500 CW 2016-11-26 0051 PA3DCU        599 14     SW9AA         599 15     0
QSO:  3500 CW 2016-11-26 0052 PA3DCU        599 14     W1MK          599 5      0
QSO:  3500 CW 2016-11-26 0052 PA3DCU        599 14     9A1A          599 15     0
QSO:  3500 CW 2016-11-26 0052 PA3DCU        599 14     DL4ME         599 14     0
QSO:  3500 CW 2016-11-26 0052 PA3DCU        599 14     4X6FR         599 20     0
QSO:  3500 CW 2016-11-26 0052 PA3DCU        599 14     UA4S          599 16     0
QSO:  3500 CW 2016-11-26 0059 PA3DCU        599 14     CR3W          599 33     0
QSO:  3500 CW 2016-11-26 0109 PA3DCU        599 14     YL3CW         599 15     0
QSO:  3500 CW 2016-11-26 0113 PA3DCU        599 14     CN2R          599 33     0
QSO:  3500 CW 2016-11-26 0135 PA3DCU        599 14     MW0BRO        599 14     0
QSO:  3500 CW 2016-11-26 0153 PA3DCU        599 14     3V8SS         599 33     0
QSO:  3500 CW 2016-11-26 0159 PA3DCU        599 14     W3LPL         599 5      0
QSO:  7000 CW 2016-11-26 0217 PA3DCU        599 14     HS0ZIA        599 26     0
QSO:  7000 CW 2016-11-26 0218 PA3DCU        599 14     9Y4/VE3EY     599 9      0
QSO:  7000 CW 2016-11-26 0218 PA3DCU        599 14     A44A          599 21     0
QSO:  3500 CW 2016-11-26 0222 PA3DCU        599 14     UN4L          599 17     0
QSO:  3500 CW 2016-11-26 0229 PA3DCU        599 14     EA6SX         599 14     0
QSO:  3500 CW 2016-11-26 0241 PA3DCU        599 14     TC3A          599 20     0
QSO:  3500 CW 2016-11-26 0246 PA3DCU        599 14     UP0L          599 17     0
QSO:  3500 CW 2016-11-26 0252 PA3DCU        599 14     IH9R          599 33     0
QSO:  7000 CW 2016-11-26 0403 PA3DCU        599 14     CR3W          599 33     0
QSO:  3500 CW 2016-11-26 0500 PA3DCU        599 14     CT9/R7KW      599 33     0
QSO:  3500 CW 2016-11-26 0507 PA3DCU        599 14     CR6K          599 14     0
QSO:  3500 CW 2016-11-26 0514 PA3DCU        599 14     EF8U          599 33     0
QSO:  3500 CW 2016-11-26 0521 PA3DCU        599 14     4O4A          599 15     0
QSO:  3500 CW 2016-11-26 0530 PA3DCU        599 14     HB0/DK4YJ     599 14     0
QSO:  7000 CW 2016-11-26 1141 PA3DCU        599 14     MD2N          599 14     0
QSO:  7000 CW 2016-11-26 1146 PA3DCU        599 14     LX1NO         599 14     0
QSO:  7000 CW 2016-11-26 1149 PA3DCU        599 14     OY1CT         599 14     0
QSO:  7000 CW 2016-11-26 2025 PA3DCU        599 14     A61EK         599 21     0
QSO:  7000 CW 2016-11-26 2101 PA3DCU        599 14     A45XR         599 21     0
QSO:  3500 CW 2016-11-26 2237 PA3DCU        599 14     GU4YOX        599 14     0
QSO:  3500 CW 2016-11-26 2244 PA3DCU        599 14     CS2C          599 14     0
QSO:  3500 CW 2016-11-26 2301 PA3DCU        599 14     PI4CC         599 14     0
QSO:  3500 CW 2016-11-26 2311 PA3DCU        599 14     UN7LAN        599 17     0
QSO:  3500 CW 2016-11-26 2336 PA3DCU        599 14     CR6K          599 14     0
QSO:  3500 CW 2016-11-26 2343 PA3DCU        599 14     TF3JB         599 40     0
QSO:  3500 CW 2016-11-26 2348 PA3DCU        599 14     4X6FR         599 20     0
QSO:  3500 CW 2016-11-27 0000 PA3DCU        599 14     MD4K          599 14     0
QSO:  3500 CW 2016-11-27 0021 PA3DCU        599 14     KC1XX         599 05     0
QSO:  3500 CW 2016-11-27 0028 PA3DCU        599 14     EA6SX         599 14     0
QSO:  7000 CW 2016-11-27 0115 PA3DCU        599 14     6Y9X          599 08     0
QSO:  7000 CW 2016-11-27 0210 PA3DCU        599 14     3V8SS         599 33     0
QSO:  7000 CW 2016-11-27 0214 PA3DCU        599 14     8P5A          599 08     0
QSO:  7000 CW 2016-11-27 0216 PA3DCU        599 14     ZD8W          599 36     0
QSO:  7000 CW 2016-11-27 0216 PA3DCU        599 14     PJ4A          599 09     0
QSO:  7000 CW 2016-11-27 0221 PA3DCU        599 14     A92GE         599 21     0
QSO:  7000 CW 2016-11-27 0232 PA3DCU        599 14     PJ2T          599 09     0
QSO:  7000 CW 2016-11-27 0243 PA3DCU        599 14     HK1NA         599 09     0
QSO:  7000 CW 2016-11-27 0244 PA3DCU        599 14     KP4EJ         599 08     0
QSO: 21000 CW 2016-11-27 1014 PA3DCU        599 14     ZD8W          599 36     0
QSO: 21000 CW 2016-11-27 1123 PA3DCU        599 14     5H3EE         599 37     0
QSO: 21000 CW 2016-11-27 1127 PA3DCU        599 14     5X1XA         599 37     0
QSO: 21000 CW 2016-11-27 1131 PA3DCU        599 14     JY9FC         599 20     0
QSO: 21000 CW 2016-11-27 1145 PA3DCU        599 14     ET3AA         599 37     0
QSO: 21000 CW 2016-11-27 1153 PA3DCU        599 14     J70BH         599 08     0
QSO: 21000 CW 2016-11-27 1358 PA3DCU        599 14     ZF2MJ         599 08     0
