START-OF-LOG: 3.0
CALLSIGN: DL5HF
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 13875
NAME: Klaus - Dieter Fahden
LOCATION: DX
OPERATORS: DL5HF
CLUB: EUROPEAN PSK CLUB
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5991.0
SOAPBOX: CQ-WW-CW Contest is the best, thanks for a great weekend.
SOAPBOX: See you again next year.
QSO: 21000 CW 2016-11-26 1203 DL5HF         599 14     CN2AA         599 33
QSO: 21000 CW 2016-11-26 1216 DL5HF         599 14     JY9FC         599 20
QSO: 21000 CW 2016-11-26 1219 DL5HF         599 14     LP1H          599 13
QSO: 21000 CW 2016-11-26 1231 DL5HF         599 14     VK6NC         599 29
QSO: 21000 CW 2016-11-26 1243 DL5HF         599 14     C44C          599 20
QSO: 21000 CW 2016-11-26 1305 DL5HF         599 14     CE3CT         599 12
QSO: 21000 CW 2016-11-26 1332 DL5HF         599 14     K1ZZ          599 05
QSO: 21000 CW 2016-11-26 1352 DL5HF         599 14     TO1A          599 09
QSO: 21000 CW 2016-11-26 1408 DL5HF         599 14     YW4D          599 09
QSO: 21000 CW 2016-11-26 1427 DL5HF         599 14     CO8ZZ         599 08
QSO: 21000 CW 2016-11-26 1430 DL5HF         599 14     CR3W          599 33
QSO: 21000 CW 2016-11-26 1441 DL5HF         599 14     DF1HF         599 14
QSO: 28000 CW 2016-11-26 1444 DL5HF         599 14     DF1HF         599 14
QSO: 21000 CW 2016-11-26 1458 DL5HF         599 14     CT9/R7KW      599 33
QSO: 21000 CW 2016-11-26 1505 DL5HF         599 14     PJ2T          599 09
QSO: 21000 CW 2016-11-26 1610 DL5HF         599 14     PP5NY         599 11
QSO: 21000 CW 2016-11-26 1614 DL5HF         599 14     EF8R          599 33
QSO:  1800 CW 2016-11-26 1626 DL5HF         599 14     DL6KWN        599 14
QSO:  1800 CW 2016-11-26 1628 DL5HF         599 14     9A1A          599 15
QSO:  1800 CW 2016-11-26 1729 DL5HF         599 14     SQ9IAU        599 15
QSO:  1800 CW 2016-11-26 1731 DL5HF         599 14     RV1CC         599 16
QSO:  1800 CW 2016-11-26 1733 DL5HF         599 14     DJ0MDR        599 14
QSO:  1800 CW 2016-11-26 1735 DL5HF         599 14     8S0DX         599 14
QSO:  1800 CW 2016-11-26 1739 DL5HF         599 14     SV3RF         599 20
QSO:  1800 CW 2016-11-26 1742 DL5HF         599 14     OK1TN         599 15
QSO:  1800 CW 2016-11-26 1744 DL5HF         599 14     SM6CNN        599 14
QSO:  1800 CW 2016-11-26 1749 DL5HF         599 14     RZ3MM         599 16
QSO:  1800 CW 2016-11-26 1752 DL5HF         599 14     LY2W          599 15
QSO:  1800 CW 2016-11-26 1755 DL5HF         599 14     YO5AJR        599 20
QSO:  1800 CW 2016-11-26 1759 DL5HF         599 14     OH5DX         599 15
QSO:  1800 CW 2016-11-26 1803 DL5HF         599 14     RY9C          599 17
QSO:  1800 CW 2016-11-26 1807 DL5HF         599 14     SO4R          599 15
QSO:  1800 CW 2016-11-26 2129 DL5HF         599 14     EW8R          599 16
QSO:  1800 CW 2016-11-26 2136 DL5HF         599 14     OK1VK         599 15
QSO:  1800 CW 2016-11-26 2152 DL5HF         599 14     RK3ZZ         599 16
QSO:  1800 CW 2016-11-26 2154 DL5HF         599 14     G4L           599 14
QSO:  1800 CW 2016-11-26 2155 DL5HF         599 14     G5W           599 14
QSO:  1800 CW 2016-11-26 2158 DL5HF         599 14     LY5W          599 15
QSO:  1800 CW 2016-11-26 2200 DL5HF         599 14     EW8W          599 16
QSO:  1800 CW 2016-11-26 2202 DL5HF         599 14     9A7A          599 15
QSO:  1800 CW 2016-11-26 2204 DL5HF         599 14     M6T           599 14
QSO:  1800 CW 2016-11-26 2208 DL5HF         599 14     S53O          599 15
QSO:  1800 CW 2016-11-26 2210 DL5HF         599 14     SE0X          599 14
QSO:  1800 CW 2016-11-26 2217 DL5HF         599 14     LY4T          599 15
QSO:  1800 CW 2016-11-26 2221 DL5HF         599 14     RD8D          599 17
QSO:  1800 CW 2016-11-26 2228 DL5HF         599 14     LZ9W          599 20
QSO:  1800 CW 2016-11-26 2240 DL5HF         599 14     RT5K          599 16
QSO:  1800 CW 2016-11-26 2244 DL5HF         599 14     OM7LM         599 15
QSO:  1800 CW 2016-11-26 2254 DL5HF         599 14     SQ5STS        599 15
QSO:  1800 CW 2016-11-26 2255 DL5HF         599 14     DR5N          599 14
QSO:  1800 CW 2016-11-26 2257 DL5HF         599 14     DM5N          599 14
QSO:  1800 CW 2016-11-26 2300 DL5HF         599 14     HA3MY         599 15
QSO:  1800 CW 2016-11-26 2302 DL5HF         599 14     SP9KDA        599 15
QSO:  1800 CW 2016-11-26 2309 DL5HF         599 14     SP4GHL        599 15
QSO:  1800 CW 2016-11-26 2316 DL5HF         599 14     IK5ZWU        599 15
QSO:  1800 CW 2016-11-26 2319 DL5HF         599 14     HA4XH         599 15
QSO:  1800 CW 2016-11-26 2333 DL5HF         599 14     HB0/DK4YJ     599 14
QSO:  1800 CW 2016-11-26 2336 DL5HF         599 14     EU4E          599 16
QSO:  1800 CW 2016-11-26 2339 DL5HF         599 14     DG1CMZ        599 14
QSO:  1800 CW 2016-11-26 2343 DL5HF         599 14     DL5KUT        599 14
QSO:  1800 CW 2016-11-26 2348 DL5HF         599 14     9A704DC       599 15
QSO:  1800 CW 2016-11-27 0331 DL5HF         599 14     DR4A          599 14
QSO:  1800 CW 2016-11-27 0343 DL5HF         599 14     YR8D          599 20
QSO:  1800 CW 2016-11-27 0344 DL5HF         599 14     F5IN          599 14
QSO:  1800 CW 2016-11-27 0350 DL5HF         599 14     HG6V          599 15
QSO:  1800 CW 2016-11-27 0353 DL5HF         599 14     HG5A          599 15
QSO:  1800 CW 2016-11-27 0356 DL5HF         599 14     TM1A          599 14
