START-OF-LOG: 3.0
CALLSIGN: WA2FZB
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 439425
NAME: Tony Starr
LOCATION: SNJ
OPERATORS: WA2FZB
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.5988.0
SOAPBOX: My first big CW contest. It was a blast!
QSO: 14031 CW 2016-11-26 0019 WA2FZB        599 5      P49Y          599 09
QSO: 14026 CW 2016-11-26 0023 WA2FZB        599 5      KP2M          599 08
QSO: 14002 CW 2016-11-26 0036 WA2FZB        599 5      PS2T          599 11
QSO: 14004 CW 2016-11-26 0042 WA2FZB        599 5      CX4AT         599 13
QSO: 14001 CW 2016-11-26 0044 WA2FZB        599 5      CE3CT         599 12
QSO: 14010 CW 2016-11-26 0049 WA2FZB        599 5      D4C           599 35
QSO: 14043 CW 2016-11-26 0053 WA2FZB        599 5      ZD8W          599 36
QSO: 14009 CW 2016-11-26 0216 WA2FZB        599 5      HK1NA         599 09
QSO: 14056 CW 2016-11-26 0218 WA2FZB        599 5      PJ2T          599 09
QSO: 14028 CW 2016-11-26 0219 WA2FZB        599 5      PJ4A          599 09
QSO: 14067 CW 2016-11-26 0226 WA2FZB        599 5      8P5A          599 08
QSO: 14048 CW 2016-11-26 0227 WA2FZB        599 5      6Y3T          599 08
QSO: 14044 CW 2016-11-26 0229 WA2FZB        599 5      FY5KE         599 09
QSO: 14037 CW 2016-11-26 0230 WA2FZB        599 5      ZF2MJ         599 08
QSO: 14031 CW 2016-11-26 0232 WA2FZB        599 5      PZ5V          599 09
QSO: 14025 CW 2016-11-26 0237 WA2FZB        599 5      KH6LC         599 31
QSO: 14032 CW 2016-11-26 0241 WA2FZB        599 5      FO/K7AR       599 32
QSO: 14017 CW 2016-11-26 0256 WA2FZB        599 5      PY4YY         599 11
QSO: 14040 CW 2016-11-26 0256 WA2FZB        599 5      CO2JD         599 08
QSO: 14024 CW 2016-11-26 0258 WA2FZB        599 5      LP1H          599 13
QSO: 14003 CW 2016-11-26 0302 WA2FZB        599 5      KV0Q          599 04
QSO: 14014 CW 2016-11-26 0307 WA2FZB        599 5      VE3VEE        599 04
QSO: 14001 CW 2016-11-26 0309 WA2FZB        599 5      CE2CT         599 12
QSO:  7070 CW 2016-11-26 0323 WA2FZB        599 5      HI3TEJ        599 08
QSO:  7059 CW 2016-11-26 0326 WA2FZB        599 5      KP2Q          599 08
QSO:  7057 CW 2016-11-26 0328 WA2FZB        599 5      P49Y          599 09
QSO:  7038 CW 2016-11-26 0334 WA2FZB        599 5      EF8R          599 33
