START-OF-LOG: 3.0
CALLSIGN: W7IWW
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 17172
NAME: DAVE MOVIUS
LOCATION: MT
OPERATORS: W7IWW
CLUB: Big Sky Contesters
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5924.0
SOAPBOX: First CW contest.  Much fun and will be back again.
QSO: 14036 CW 2016-11-26 1932 W7IWW         599 4      HK1NA         599 09
QSO: 14015 CW 2016-11-26 1938 W7IWW         599 4      6Y3T          599 08
QSO: 14048 CW 2016-11-26 1941 W7IWW         599 4      FY5KE         599 09
QSO: 14019 CW 2016-11-26 1944 W7IWW         599 4      TF3CW         599 40
QSO: 14033 CW 2016-11-26 1954 W7IWW         599 4      KH6J          599 31
QSO: 14021 CW 2016-11-26 1957 W7IWW         599 4      PJ4Q          599 09
QSO: 14063 CW 2016-11-26 2004 W7IWW         599 4      PJ4A          599 09
QSO: 14062 CW 2016-11-26 2008 W7IWW         599 4      VP9I          599 05
QSO: 21008 CW 2016-11-26 2023 W7IWW         599 4      ZM4T          599 32
QSO: 21016 CW 2016-11-26 2029 W7IWW         599 4      HK1NA         599 09
QSO: 21022 CW 2016-11-26 2035 W7IWW         599 4      PJ4Q          599 09
QSO: 21025 CW 2016-11-26 2036 W7IWW         599 4      P40C          599 09
QSO: 21034 CW 2016-11-26 2141 W7IWW         599 4      PJ2T          599 09
QSO: 21051 CW 2016-11-26 2142 W7IWW         599 4      P49Y          599 09
QSO: 21020 CW 2016-11-26 2147 W7IWW         599 4      PY4YY         599 11
QSO: 21019 CW 2016-11-26 2156 W7IWW         599 4      VC7X          599 03
QSO: 21028 CW 2016-11-26 2202 W7IWW         599 4      ZM1A          599 32
QSO: 21039 CW 2016-11-26 2205 W7IWW         599 4      KH6LC         599 31
QSO: 21052 CW 2016-11-26 2207 W7IWW         599 4      ZL4TT         599 32
QSO: 21011 CW 2016-11-26 2211 W7IWW         599 4      LP1H          599 13
QSO: 21028 CW 2016-11-26 2215 W7IWW         599 4      JA5DQH        599 25
QSO: 21030 CW 2016-11-26 2217 W7IWW         599 4      JA7ZFN        599 25
QSO: 21030 CW 2016-11-26 2218 W7IWW         599 4      JR2GRX        599 25
QSO: 21031 CW 2016-11-26 2220 W7IWW         599 4      JA1ZGP        599 25
QSO: 21032 CW 2016-11-26 2221 W7IWW         599 4      AH0K          599 27
QSO: 21033 CW 2016-11-26 2227 W7IWW         599 4      JA3YBK        599 25
QSO: 21037 CW 2016-11-26 2228 W7IWW         599 4      JR2IOB        599 25
QSO: 21045 CW 2016-11-26 2231 W7IWW         599 4      JE1ZWT        599 25
QSO: 21047 CW 2016-11-26 2233 W7IWW         599 4      NH2DX         599 27
QSO: 21060 CW 2016-11-26 2238 W7IWW         599 4      JH8ILS        599 25
QSO: 21030 CW 2016-11-26 2243 W7IWW         599 4      JA8ZFN        599 25
QSO: 14015 CW 2016-11-26 2313 W7IWW         599 4      JN1TSL        599 25
QSO: 14016 CW 2016-11-26 2315 W7IWW         599 4      VE7SZ         599 03
QSO:  7033 CW 2016-11-27 0204 W7IWW         599 4      VE6WZ         599 04
QSO:  7026 CW 2016-11-27 0248 W7IWW         599 4      VC7X          599 03
QSO:  7017 CW 2016-11-27 0348 W7IWW         599 4      VE6X          599 04
QSO:  7041 CW 2016-11-27 0352 W7IWW         599 4      PJ4Q          599 09
QSO:  7042 CW 2016-11-27 0354 W7IWW         599 4      KH6LC         599 31
QSO:  7056 CW 2016-11-27 0357 W7IWW         599 4      PJ2T          599 09
QSO:  7012 CW 2016-11-27 0403 W7IWW         599 4      HK1NA         599 09
QSO:  7022 CW 2016-11-27 1221 W7IWW         599 4      VA7DZ         599 03
QSO:  7036 CW 2016-11-27 1231 W7IWW         599 4      ZF2MJ         599 08
QSO:  7038 CW 2016-11-27 1232 W7IWW         599 4      KH6J          599 31
QSO:  7017 CW 2016-11-27 1324 W7IWW         599 4      ZM1A          599 32
QSO: 14001 CW 2016-11-27 1354 W7IWW         599 4      VE3YAA        599 04
QSO: 21005 CW 2016-11-27 1647 W7IWW         599 4      PZ5V          599 09
QSO: 21008 CW 2016-11-27 1649 W7IWW         599 4      ZF2MJ         599 08
QSO: 21001 CW 2016-11-27 1812 W7IWW         599 4      XE2B          599 06
QSO: 21018 CW 2016-11-27 1814 W7IWW         599 4      VP5M          599 08
QSO: 21070 CW 2016-11-27 1819 W7IWW         599 4      NP2P          599 08
QSO: 21044 CW 2016-11-27 1822 W7IWW         599 4      T42CT         599 08
QSO: 21036 CW 2016-11-27 1823 W7IWW         599 4      6Y9X          599 08
QSO: 21068 CW 2016-11-27 1826 W7IWW         599 4      J70BH         599 08
QSO: 21050 CW 2016-11-27 1828 W7IWW         599 4      9Y4/VE3EY     599 09
QSO: 21058 CW 2016-11-27 1830 W7IWW         599 4      ZD8W          599 36
QSO: 21014 CW 2016-11-27 1831 W7IWW         599 4      VC2T          599 05
QSO: 21039 CW 2016-11-27 1833 W7IWW         599 4      6Y3T          599 08
QSO: 21051 CW 2016-11-27 1834 W7IWW         599 4      A31MM         599 32
QSO: 21035 CW 2016-11-27 1838 W7IWW         599 4      KP4BD         599 08
QSO: 21043 CW 2016-11-27 1850 W7IWW         599 4      P40W          599 09
QSO: 21028 CW 2016-11-27 1851 W7IWW         599 4      XL3A          599 04
QSO: 21028 CW 2016-11-27 1853 W7IWW         599 4      KH6J          599 31
QSO: 21041 CW 2016-11-27 1854 W7IWW         599 4      VP5CW         599 08
QSO: 21051 CW 2016-11-27 1857 W7IWW         599 4      HI3CC         599 08
QSO: 21060 CW 2016-11-27 1858 W7IWW         599 4      VP2ESM        599 08
QSO: 21060 CW 2016-11-27 1859 W7IWW         599 4      ZF9CW         599 08
QSO: 21062 CW 2016-11-27 1902 W7IWW         599 4      V26K          599 08
QSO: 14063 CW 2016-11-27 1912 W7IWW         599 4      V26K          599 08
QSO: 14032 CW 2016-11-27 1913 W7IWW         599 4      ZF2MJ         599 08
QSO: 14035 CW 2016-11-27 1916 W7IWW         599 4      VP2VI         599 08
QSO: 14023 CW 2016-11-27 1917 W7IWW         599 4      J70BH         599 08
QSO: 21020 CW 2016-11-27 2035 W7IWW         599 4      TX8F          599 32
QSO: 21020 CW 2016-11-27 2046 W7IWW         599 4      PT4T          599 11
QSO: 21055 CW 2016-11-27 2053 W7IWW         599 4      CE3CT         599 12
QSO: 21006 CW 2016-11-27 2056 W7IWW         599 4      KH6TU         599 31
QSO: 21023 CW 2016-11-27 2100 W7IWW         599 4      PJ4A          599 09
QSO: 14041 CW 2016-11-27 2108 W7IWW         599 4      P49Y          599 09
QSO: 14038 CW 2016-11-27 2109 W7IWW         599 4      KH6LC         599 31
QSO: 14047 CW 2016-11-27 2111 W7IWW         599 4      PJ2T          599 09
QSO: 14058 CW 2016-11-27 2114 W7IWW         599 4      9Y4/VE3EY     599 09
QSO: 14068 CW 2016-11-27 2117 W7IWW         599 4      NP4DX         599 08
END-OF-LOG:
