START-OF-LOG: 3.0
CREATED-BY: TR4W v.4.244 [CZE]
CALLSIGN: OK2BJK
CONTEST: CQ-WW-CW
CLAIMED-SCORE: 15096
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-TIME: 12-HOURS
CATEGORY-TRANSMITTER: ONE
LOCATION: DX
NAME: Jarda KVAPIL
SOAPBOX: FT-897D 100W Ant.W3DZZ & FD4 my AGE 83Years SRI GB
CATEGORY-OVERLAY: 
QSO: 21000 CW 2016-11-27 1044 OK2BJK        599 15     RN6BP         599 16
QSO: 21000 CW 2016-11-27 1046 OK2BJK        599 15     CN2R          599 33
QSO: 21000 CW 2016-11-27 1058 OK2BJK        599 15     EE8A          599 33
QSO: 21000 CW 2016-11-27 1133 OK2BJK        599 15     CR3W          599 33
QSO: 21000 CW 2016-11-27 1441 OK2BJK        599 15     CR3OO         599 33
QSO: 21000 CW 2016-11-27 1504 OK2BJK        599 15     ER7R          599 33
QSO: 21000 CW 2016-11-27 1508 OK2BJK        599 15     EF8R          599 33
QSO: 21000 CW 2016-11-27 1511 OK2BJK        599 15     PS2P          599 11
QSO: 21000 CW 2016-11-27 1516 OK2BJK        599 15     PP5NY         599 11
QSO:  3500 CW 2016-11-27 1939 OK2BJK        599 15     LA5UF         599 14
QSO:  3500 CW 2016-11-27 1941 OK2BJK        599 15     E71EEE        599 15
QSO:  3500 CW 2016-11-27 1942 OK2BJK        599 15     S52FT         599 15
QSO:  3500 CW 2016-11-27 1943 OK2BJK        599 15     DJ5MW         599 14
QSO:  3500 CW 2016-11-27 1945 OK2BJK        599 15     UT4UKD        599 16
QSO:  3500 CW 2016-11-27 1947 OK2BJK        599 15     OK2ZI         599 15
QSO:  3500 CW 2016-11-27 1948 OK2BJK        599 15     EW4W          599 16
QSO:  3500 CW 2016-11-27 1949 OK2BJK        599 15     SQ5STS        599 15
QSO:  3500 CW 2016-11-27 1951 OK2BJK        599 15     RA9Y          599 18
QSO:  3500 CW 2016-11-27 1951 OK2BJK        599 15     SM7ZDI        599 14
QSO:  3500 CW 2016-11-27 1952 OK2BJK        599 15     RM6Y          599 16
QSO:  3500 CW 2016-11-27 1953 OK2BJK        599 15     HA6PJ         599 15
QSO:  3500 CW 2016-11-27 1954 OK2BJK        599 15     SP1MGM        599 15
