START-OF-LOG: 3.0
CALLSIGN: F6GEU
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 20460
NAME: daniel
LOCATION: DX
OPERATORS: F6GEU
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.5988.0
SOAPBOX: Proud to give you :140 cw-QSO.. Going better with time..
SOAPBOX: Merry Chrismas,HNY2017Daniel/F-IN97TK,73
QSO:  3500 CW 2016-11-26 0230 F6GEU         599 14     HG5F          599 15
QSO: 14000 CW 2016-11-26 0915 F6GEU         599 14     RT6A          599 16
QSO: 21000 CW 2016-11-26 1430 F6GEU         599 14     XL3A          599 04
QSO: 21000 CW 2016-11-26 1436 F6GEU         599 14     VE3JM         599 04
QSO: 21000 CW 2016-11-26 1442 F6GEU         599 14     SW9AA         599 20
QSO: 21000 CW 2016-11-26 1449 F6GEU         599 14     NE3F          599 05
QSO: 21000 CW 2016-11-26 1507 F6GEU         599 14     N2RJ          599 05
QSO: 21000 CW 2016-11-26 1510 F6GEU         599 14     K3PH          599 05
QSO: 21000 CW 2016-11-26 1512 F6GEU         599 14     KS1J          599 05
QSO: 21000 CW 2016-11-26 1517 F6GEU         599 14     K6ND          599 05
QSO: 21000 CW 2016-11-26 1521 F6GEU         599 14     KC3WX         599 05
QSO: 21000 CW 2016-11-26 1526 F6GEU         599 14     K8GU          599 05
QSO: 21000 CW 2016-11-26 1530 F6GEU         599 14     NR3X          599 05
QSO: 21000 CW 2016-11-26 1535 F6GEU         599 14     N3ER          599 05
QSO: 21000 CW 2016-11-26 1545 F6GEU         599 14     K4OAQ         599 05
QSO: 21000 CW 2016-11-26 1551 F6GEU         599 14     K4AB          599 04
QSO: 21000 CW 2016-11-26 1622 F6GEU         599 14     PJ2T          599 09
QSO: 14000 CW 2016-11-26 1651 F6GEU         599 14     K1GQ          599 05
QSO: 14000 CW 2016-11-26 1654 F6GEU         599 14     IO5O          599 15
QSO: 14000 CW 2016-11-26 1659 F6GEU         599 14     AB3CX         599 05
QSO: 14000 CW 2016-11-26 1704 F6GEU         599 14     N5DX          599 05
QSO: 14000 CW 2016-11-26 1708 F6GEU         599 14     VE1OP         599 05
QSO: 14000 CW 2016-11-26 1711 F6GEU         599 14     W1KM          599 05
QSO: 14000 CW 2016-11-26 1713 F6GEU         599 14     WE3C          599 05
QSO: 14000 CW 2016-11-26 1715 F6GEU         599 14     KQ2M          599 05
QSO: 14000 CW 2016-11-26 1719 F6GEU         599 14     AA2A          599 05
QSO: 14000 CW 2016-11-26 1725 F6GEU         599 14     K2QMF         599 05
QSO: 14000 CW 2016-11-26 1734 F6GEU         599 14     N1LN          599 05
QSO: 14000 CW 2016-11-26 1738 F6GEU         599 14     NY4A          599 05
QSO: 14000 CW 2016-11-26 1740 F6GEU         599 14     PJ4A          599 09
QSO: 14000 CW 2016-11-26 1745 F6GEU         599 14     EA1FBU        599 14
QSO: 14000 CW 2016-11-26 1748 F6GEU         599 14     W1GD          599 05
QSO: 14000 CW 2016-11-26 1753 F6GEU         599 14     WB9Z          599 04
QSO: 14000 CW 2016-11-26 1804 F6GEU         599 14     VE9CB         599 05
QSO: 14000 CW 2016-11-26 1806 F6GEU         599 14     EA1RKV        599 14
QSO: 14000 CW 2016-11-26 1812 F6GEU         599 14     N4WW          599 05
QSO: 14000 CW 2016-11-26 1823 F6GEU         599 14     W3LL          599 05
QSO: 14000 CW 2016-11-26 1831 F6GEU         599 14     W3LPL         599 05
QSO:  7000 CW 2016-11-26 1856 F6GEU         599 14     RT6A          599 16
QSO:  7000 CW 2016-11-26 1901 F6GEU         599 14     S52CO         599 15
QSO:  7000 CW 2016-11-26 1905 F6GEU         599 14     S50A          599 15
QSO:  7000 CW 2016-11-26 1909 F6GEU         599 14     SN8C          599 15
QSO:  7000 CW 2016-11-26 1911 F6GEU         599 14     OL5J          599 15
QSO:  7000 CW 2016-11-26 1914 F6GEU         599 14     KI1G          599 05
QSO:  7000 CW 2016-11-26 1920 F6GEU         599 14     IK0YVV        599 15
QSO:  7000 CW 2016-11-26 1922 F6GEU         599 14     S57K          599 15
QSO:  7000 CW 2016-11-26 1925 F6GEU         599 14     EA7RM         599 14
QSO:  7000 CW 2016-11-26 1928 F6GEU         599 14     YT4W          599 15
QSO:  7000 CW 2016-11-26 1931 F6GEU         599 14     LY8O          599 15
QSO:  7000 CW 2016-11-26 1933 F6GEU         599 14     S58M          599 15
QSO:  3500 CW 2016-11-26 2211 F6GEU         599 14     DL800JE       599 14
QSO:  3500 CW 2016-11-26 2216 F6GEU         599 14     F/G4BJM       599 14
QSO:  3500 CW 2016-11-26 2220 F6GEU         599 14     OP7EH         599 14
QSO:  3500 CW 2016-11-26 2222 F6GEU         599 14     UW3L          599 16
QSO:  3500 CW 2016-11-26 2229 F6GEU         599 14     GU4YOX        599 14
QSO:  3500 CW 2016-11-26 2233 F6GEU         599 14     OL3Z          599 15
QSO:  3500 CW 2016-11-26 2235 F6GEU         599 14     PI4CC         599 14
QSO:  3500 CW 2016-11-26 2238 F6GEU         599 14     G5O           599 14
QSO:  3500 CW 2016-11-26 2240 F6GEU         599 14     OH9W          599 15
QSO:  3500 CW 2016-11-26 2243 F6GEU         599 14     OM0M          599 15
QSO:  3500 CW 2016-11-26 2248 F6GEU         599 14     DF0HQ         599 14
QSO:  3500 CW 2016-11-26 2251 F6GEU         599 14     TM7X          599 14
QSO:  3500 CW 2016-11-26 2254 F6GEU         599 14     LZ9W          599 20
QSO:  3500 CW 2016-11-26 2256 F6GEU         599 14     DL1A          599 14
QSO:  3500 CW 2016-11-26 2301 F6GEU         599 14     HG7T          599 15
QSO:  3500 CW 2016-11-26 2302 F6GEU         599 14     OK5W          599 15
QSO:  3500 CW 2016-11-26 2304 F6GEU         599 14     OK1DOL        599 15
QSO:  3500 CW 2016-11-26 2307 F6GEU         599 14     PA5WT         599 14
QSO:  3500 CW 2016-11-26 2310 F6GEU         599 14     E77CFG        599 15
QSO:  3500 CW 2016-11-26 2313 F6GEU         599 14     TM1A          599 14
QSO:  3500 CW 2016-11-26 2318 F6GEU         599 14     S58Q          599 15
QSO:  3500 CW 2016-11-26 2322 F6GEU         599 14     S56M          599 15
QSO:  7000 CW 2016-11-26 2330 F6GEU         599 14     LZ9W          599 20
QSO:  7000 CW 2016-11-26 2339 F6GEU         599 14     TF3CW         599 40
QSO:  7000 CW 2016-11-26 2344 F6GEU         599 14     OH5Z          599 15
QSO:  7000 CW 2016-11-26 2347 F6GEU         599 14     YL3FT         599 15
QSO:  7000 CW 2016-11-26 2350 F6GEU         599 14     SO4M          599 15
QSO:  7000 CW 2016-11-26 2353 F6GEU         599 14     LZ8E          599 20
QSO:  7000 CW 2016-11-27 0000 F6GEU         599 14     II9P          599 15
QSO:  7000 CW 2016-11-27 0004 F6GEU         599 14     LZ3ZZ         599 20
QSO:  7000 CW 2016-11-27 0009 F6GEU         599 14     HA8FM         599 15
QSO:  3500 CW 2016-11-27 0018 F6GEU         599 14     MW0BRO        599 14
QSO:  3500 CW 2016-11-27 0021 F6GEU         599 14     9A1A          599 15
QSO:  3500 CW 2016-11-27 0024 F6GEU         599 14     CS2C          599 14
QSO:  3500 CW 2016-11-27 0026 F6GEU         599 14     DL0MFL        599 14
QSO: 21000 CW 2016-11-27 1010 F6GEU         599 14     UR5QU         599 16
QSO: 21000 CW 2016-11-27 1042 F6GEU         599 14     RN6BP         599 16
QSO:  7000 CW 2016-11-27 1049 F6GEU         599 14     SN3A          599 15
QSO:  7000 CW 2016-11-27 1052 F6GEU         599 14     OU2W          599 14
QSO:  7000 CW 2016-11-27 1055 F6GEU         599 14     DL3SYA        599 14
QSO: 21000 CW 2016-11-27 1109 F6GEU         599 14     J70BH         599 08
QSO: 21000 CW 2016-11-27 1120 F6GEU         599 14     ZW8T          599 11
QSO: 21000 CW 2016-11-27 1127 F6GEU         599 14     PZ5V          599 09
QSO: 21000 CW 2016-11-27 1130 F6GEU         599 14     EF8O          599 33
QSO: 21000 CW 2016-11-27 1140 F6GEU         599 14     4Z4DX         599 20
QSO: 21000 CW 2016-11-27 1144 F6GEU         599 14     EF8U          599 33
QSO: 21000 CW 2016-11-27 1152 F6GEU         599 14     4Z5LY         599 20
QSO: 14000 CW 2016-11-27 1205 F6GEU         599 14     UT2UB         599 16
QSO: 14000 CW 2016-11-27 1207 F6GEU         599 14     SP5OXJ        599 15
