START-OF-LOG: 3.0
CALLSIGN: OE3GSA
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 378880
NAME: Gerd Schweidler
LOCATION: DX
OPERATORS: OE3GSA
CLUB: AUSTRIAN CONTEST CLUB
CERTIFICATE: NO
CREATED-BY: Win-Test 4.17.0
SOAPBOX: WT keying issues forced DX picking with old XP standby system.
SOAPBOX: nevertheless GREAT FUN AGAIN  -  tnx 73s es bcncu    Gerd
QSO: 21061 CW 2016-11-26 1429 OE3GSA        599 15     KP2Q          599 08     0
QSO: 21046 CW 2016-11-26 1432 OE3GSA        599 15     CE3CT         599 12     0
QSO: 21037 CW 2016-11-26 1433 OE3GSA        599 15     KP4EJ         599 08     0
QSO: 21046 CW 2016-11-26 1434 OE3GSA        599 15     ED8X          599 33     0
QSO: 21023 CW 2016-11-26 1436 OE3GSA        599 15     N4BP          599 05     0
QSO: 21014 CW 2016-11-26 1437 OE3GSA        599 15     VE3EJ         599 04     0
QSO: 21005 CW 2016-11-26 1438 OE3GSA        599 15     K3CR          599 05     0
QSO: 21018 CW 2016-11-26 1439 OE3GSA        599 15     AD4Z          599 05     0
QSO: 21019 CW 2016-11-26 1440 OE3GSA        599 15     ZW8T          599 11     0
QSO: 21024 CW 2016-11-26 1443 OE3GSA        599 15     IQ2LS         599 15     0
QSO: 21042 CW 2016-11-26 1444 OE3GSA        599 15     V26K          599 08     0
QSO: 21049 CW 2016-11-26 1446 OE3GSA        599 15     HI3CC         599 08     0
QSO: 21051 CW 2016-11-26 1446 OE3GSA        599 15     ZF2MJ         599 08     0
QSO: 21063 CW 2016-11-26 1448 OE3GSA        599 15     6Y3T          599 08     0
QSO: 21070 CW 2016-11-26 1449 OE3GSA        599 15     HB9TMW        599 14     0
QSO: 21073 CW 2016-11-26 1455 OE3GSA        599 15     TO1A          599 09     0
QSO: 21064 CW 2016-11-26 1505 OE3GSA        599 15     ZS1EL         599 38     0
QSO: 21033 CW 2016-11-26 1507 OE3GSA        599 15     VE9CB         599 05     0
QSO: 21023 CW 2016-11-26 1508 OE3GSA        599 15     VP2VI         599 08     0
QSO: 21029 CW 2016-11-26 1509 OE3GSA        599 15     CX2BR         599 13     0
QSO: 21056 CW 2016-11-26 1517 OE3GSA        599 15     8R1/AG6UT     599 09     0
QSO: 21012 CW 2016-11-26 1519 OE3GSA        599 15     CX1AA         599 13     0
QSO: 21005 CW 2016-11-26 1520 OE3GSA        599 15     CN2AA         599 33     0
QSO: 21018 CW 2016-11-26 1521 OE3GSA        599 15     CT9/R7KW      599 33     0
QSO: 21067 CW 2016-11-26 1526 OE3GSA        599 15     ZD8W          599 36     0
QSO: 21092 CW 2016-11-26 1529 OE3GSA        599 15     EA9EU         599 33     0
QSO: 21084 CW 2016-11-26 1531 OE3GSA        599 15     OK3C          599 15     0
QSO: 21075 CW 2016-11-26 1532 OE3GSA        599 15     ED7X          599 14     0
QSO: 21073 CW 2016-11-26 1533 OE3GSA        599 15     CR6A          599 14     0
QSO: 21057 CW 2016-11-26 1534 OE3GSA        599 15     VP5M          599 08     0
QSO: 21048 CW 2016-11-26 1537 OE3GSA        599 15     V47T          599 08     0
QSO: 21069 CW 2016-11-26 1538 OE3GSA        599 15     P40W          599 09     0
QSO: 21078 CW 2016-11-26 1538 OE3GSA        599 15     PJ2T          599 09     0
QSO: 21072 CW 2016-11-26 1539 OE3GSA        599 15     FG/WJ2O       599 08     0
QSO: 21066 CW 2016-11-26 1540 OE3GSA        599 15     J70BH         599 08     0
QSO: 21016 CW 2016-11-26 1545 OE3GSA        599 15     HK1NA         599 09     0
QSO: 21019 CW 2016-11-26 1547 OE3GSA        599 15     PJ4Q          599 09     0
QSO: 21008 CW 2016-11-26 1549 OE3GSA        599 15     LU3MAM        599 13     0
QSO: 21004 CW 2016-11-26 1551 OE3GSA        599 15     W3LPL         599 05     0
QSO:  7021 CW 2016-11-26 2116 OE3GSA        599 15     WE3C          599 05     0
QSO:  7020 CW 2016-11-26 2120 OE3GSA        599 15     EA1JO         599 14     0
QSO:  7020 CW 2016-11-26 2121 OE3GSA        599 15     W1NT          599 05     0
QSO:  7020 CW 2016-11-26 2122 OE3GSA        599 15     W1RM          599 05     0
QSO:  7020 CW 2016-11-26 2126 OE3GSA        599 15     K2XR          599 05     0
