START-OF-LOG: 3.0
CALLSIGN: KC4G
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 39116
NAME: Joe Hardy
LOCATION: SC
OPERATORS: KC4G
CLUB: CAROLINA DX ASSOCIATION
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5982.0
SOAPBOX: There was plenty of good DX to work this weekend.
QSO:  7000 CW 2016-11-26 0013 KC4G          599 5      OK2D          599 15
QSO:  7000 CW 2016-11-26 0022 KC4G          599 5      HA8FM         599 15
QSO:  7000 CW 2016-11-26 0025 KC4G          599 5      S57AL         599 15
QSO:  7000 CW 2016-11-26 0035 KC4G          599 5      OL3Z          599 15
QSO:  7000 CW 2016-11-26 0043 KC4G          599 5      PJ9T          599 09
QSO:  7000 CW 2016-11-26 0045 KC4G          599 5      E7DX          599 15
QSO:  7000 CW 2016-11-26 0049 KC4G          599 5      VP2VI         599 08
QSO:  7000 CW 2016-11-26 0056 KC4G          599 5      R7AB          599 16
QSO:  7000 CW 2016-11-26 0057 KC4G          599 5      LZ1EV         599 20
QSO:  7000 CW 2016-11-26 0108 KC4G          599 5      HC2AO         599 10
QSO:  7000 CW 2016-11-26 0114 KC4G          599 5      9A1P          599 15
QSO:  7000 CW 2016-11-26 0115 KC4G          599 5      DL1A          599 14
QSO:  7000 CW 2016-11-26 0116 KC4G          599 5      CR3W          599 33
QSO:  7000 CW 2016-11-26 0119 KC4G          599 5      HG5C          599 15
QSO:  7000 CW 2016-11-26 0120 KC4G          599 5      S52AW         599 15
QSO:  7000 CW 2016-11-26 0125 KC4G          599 5      PZ5V          599 09
QSO:  7000 CW 2016-11-26 0127 KC4G          599 5      EF8R          599 33
QSO:  7000 CW 2016-11-26 0129 KC4G          599 5      HA7A          599 15
QSO:  7000 CW 2016-11-26 0131 KC4G          599 5      TM6M          599 14
QSO:  7000 CW 2016-11-26 0133 KC4G          599 5      YT4W          599 15
QSO:  7000 CW 2016-11-26 0136 KC4G          599 5      P40C          599 09
QSO:  7000 CW 2016-11-26 0139 KC4G          599 5      LZ5K          599 20
QSO: 14000 CW 2016-11-26 0157 KC4G          599 5      FO/K7AR       599 32
QSO: 14000 CW 2016-11-26 1358 KC4G          599 5      LZ5R          599 20
QSO: 14000 CW 2016-11-26 1359 KC4G          599 5      DL6JF         599 14
QSO: 14000 CW 2016-11-26 1409 KC4G          599 5      TK0C          599 15
QSO: 14000 CW 2016-11-26 1415 KC4G          599 5      OM8A          599 15
QSO: 14000 CW 2016-11-26 1418 KC4G          599 5      SW9AA         599 20
QSO: 14000 CW 2016-11-26 1423 KC4G          599 5      HG5C          599 15
QSO: 14000 CW 2016-11-26 1424 KC4G          599 5      UW0K          599 16
QSO: 14000 CW 2016-11-26 1427 KC4G          599 5      SV1RP         599 20
QSO: 14000 CW 2016-11-26 1431 KC4G          599 5      SV1ME         599 20
QSO: 14000 CW 2016-11-26 1441 KC4G          599 5      LY4A          599 15
QSO: 14000 CW 2016-11-26 1443 KC4G          599 5      DF4CF         599 14
QSO: 14000 CW 2016-11-26 1456 KC4G          599 5      TF3CW         599 40
QSO: 14000 CW 2016-11-26 1459 KC4G          599 5      P33W          599 20
QSO: 14000 CW 2016-11-26 1503 KC4G          599 5      Z3B           599 15
QSO: 14000 CW 2016-11-26 1504 KC4G          599 5      CR6K          599 14
QSO: 14000 CW 2016-11-26 1515 KC4G          599 5      CO2JD         599 08
QSO: 14000 CW 2016-11-26 1519 KC4G          599 5      LZ1YE         599 20
QSO: 21000 CW 2016-11-26 1532 KC4G          599 5      PJ4Q          599 09
QSO: 21000 CW 2016-11-26 1547 KC4G          599 5      VP2VI         599 08
