START-OF-LOG: 3.0
CALLSIGN: M6T
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-OVERLAY:
CLAIMED-SCORE: 14068544
NAME: c/o Dave Lawley G4BUO
LOCATION: DX
OPERATORS: G2NF G3WGN G4ADM G4BUO G4BWP G4FNL G4IIY G4PIQ G4TSH G0DVJ G0EGW GI0RTN M0DXR
CLUB:
CERTIFICATE: YES
CREATED-BY: Win-Test 4.22.0
SOAPBOX: First ever CW multi-multi entry from M6T, this was in memory of our
SOAPBOX: friend Bob, G4BAH who put the station together. Everything worked well
SOAPBOX: and we had a very experienced team of operators but conditions were
SOAPBOX: just as bad as in the SSB contest! So we are pretty pleased to post
SOAPBOX: a score of 14million.
QSO:  1819 CW 2016-11-26 0000 M6T           599 14     UA9LDD        599 17     0
QSO:  3515 CW 2016-11-26 0000 M6T           599 14     K3EL          599 05     0
QSO:  1819 CW 2016-11-26 0000 M6T           599 14     SJ2W          599 14     0
QSO:  3515 CW 2016-11-26 0000 M6T           599 14     DL7QU         599 14     0
QSO:  1819 CW 2016-11-26 0000 M6T           599 14     R3EG          599 16     0
QSO:  1819 CW 2016-11-26 0001 M6T           599 14     RL3BZ         599 16     0
QSO: 21020 CW 2016-11-26 0001 M6T           599 14     SN5X          599 15     0
QSO:  1819 CW 2016-11-26 0001 M6T           599 14     SP9DWT        599 15     0
QSO:  1819 CW 2016-11-26 0001 M6T           599 14     RK3IM         599 16     0
QSO:  3515 CW 2016-11-26 0001 M6T           599 14     UX3UV         599 16     0
QSO:  1819 CW 2016-11-26 0002 M6T           599 14     DJ7MH         599 14     0
QSO:  7038 CW 2016-11-26 0002 M6T           599 14     KE3X          599 05     0
QSO:  3515 CW 2016-11-26 0002 M6T           599 14     R9GM          599 17     0
QSO:  7038 CW 2016-11-26 0002 M6T           599 14     LZ9R          599 20     0
QSO:  1819 CW 2016-11-26 0002 M6T           599 14     RA4Y          599 16     0
QSO:  3515 CW 2016-11-26 0003 M6T           599 14     K3TM          599 05     0
QSO:  1819 CW 2016-11-26 0003 M6T           599 14     SQ5STS        599 15     0
QSO:  1819 CW 2016-11-26 0003 M6T           599 14     DL7VOG        599 14     0
QSO:  1819 CW 2016-11-26 0003 M6T           599 14     UY5VA         599 16     0
QSO:  1819 CW 2016-11-26 0003 M6T           599 14     DG5E          599 14     0
QSO:  1819 CW 2016-11-26 0004 M6T           599 14     CT9/R7KW      599 33     0
QSO:  1819 CW 2016-11-26 0004 M6T           599 14     OM8FF         599 15     0
QSO:  7038 CW 2016-11-26 0005 M6T           599 14     CT1ELZ        599 14     0
QSO:  7038 CW 2016-11-26 0005 M6T           599 14     UN7JX         599 17     0
QSO:  1819 CW 2016-11-26 0005 M6T           599 14     EF1A          599 14     0
QSO:  1819 CW 2016-11-26 0005 M6T           599 14     RZ3F          599 16     0
QSO:  1819 CW 2016-11-26 0006 M6T           599 14     ON8DM         599 14     0
QSO:  7038 CW 2016-11-26 0006 M6T           599 14     ED8X          599 33     0
QSO: 14026 CW 2016-11-26 0006 M6T           599 14     DD2ML         599 14     0
QSO:  1819 CW 2016-11-26 0006 M6T           599 14     UA2F          599 15     0
QSO:  1819 CW 2016-11-26 0007 M6T           599 14     RT3T          599 16     0
QSO: 21025 CW 2016-11-26 0007 M6T           599 14     9A1A          599 15     0
QSO:  1819 CW 2016-11-26 0007 M6T           599 14     MI5I          599 14     0
QSO:  7038 CW 2016-11-26 0008 M6T           599 14     N8UM          599 04     0
QSO:  1819 CW 2016-11-26 0008 M6T           599 14     UA9QM         599 17     0
QSO:  1819 CW 2016-11-26 0008 M6T           599 14     RA7A          599 16     0
QSO:  7038 CW 2016-11-26 0008 M6T           599 14     N1MM          599 05     0
QSO:  1819 CW 2016-11-26 0009 M6T           599 14     OK6N          599 15     0
QSO:  1819 CW 2016-11-26 0009 M6T           599 14     YO5AJR        599 20     0
QSO:  3515 CW 2016-11-26 0009 M6T           599 14     P33W          599 20     0
QSO:  3515 CW 2016-11-26 0009 M6T           599 14     G2F           599 14     0
QSO:  1819 CW 2016-11-26 0009 M6T           599 14     G5D           599 14     0
QSO: 14031 CW 2016-11-26 0010 M6T           599 14     DF0HQ         599 14     0
QSO:  3515 CW 2016-11-26 0010 M6T           599 14     OK1YM         599 15     0
QSO:  1819 CW 2016-11-26 0010 M6T           599 14     RX9CM         599 17     0
QSO:  3515 CW 2016-11-26 0010 M6T           599 14     ON5JT         599 14     0
QSO:  3515 CW 2016-11-26 0010 M6T           599 14     IO1T          599 15     0
QSO:  1819 CW 2016-11-26 0010 M6T           599 14     MI5I          599 14     0
QSO:  3515 CW 2016-11-26 0010 M6T           599 14     R7AB          599 16     0
QSO:  1819 CW 2016-11-26 0010 M6T           599 14     LA5YJ         599 14     0
QSO:  7038 CW 2016-11-26 0011 M6T           599 14     K3LR          599 05     0
QSO:  3515 CW 2016-11-26 0011 M6T           599 14     RW5CW         599 16     0
QSO:  1819 CW 2016-11-26 0011 M6T           599 14     LY60KTU       599 15     0
QSO:  1819 CW 2016-11-26 0011 M6T           599 14     UA6CC         599 16     0
QSO:  3515 CW 2016-11-26 0011 M6T           599 14     UT5EDU        599 16     0
QSO:  7038 CW 2016-11-26 0011 M6T           599 14     K3MD          599 05     0
QSO:  3515 CW 2016-11-26 0011 M6T           599 14     PI4CC         599 14     0
QSO:  1819 CW 2016-11-26 0011 M6T           599 14     F5JVP         599 14     0
QSO:  3515 CW 2016-11-26 0012 M6T           599 14     RM9A          599 17     0
QSO:  1819 CW 2016-11-26 0012 M6T           599 14     SP3GTS        599 15     0
QSO:  3515 CW 2016-11-26 0012 M6T           599 14     UN7LAN        599 17     0
