START-OF-LOG: 3.0
CREATED-BY:    SD by EI5DI
LOCATION:      DX
CONTEST:       CQ-WPX-SSB
CALLSIGN:      LY2MM
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE: 1296360
NAME:          ALBINAS STARAITIS
CLUB:          LITHUANIAN CONTEST GROUP
OPERATORS:     LY2MM
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-STATION: FIXED
QSO: 14000 PH 2012-03-24 0001 LY2MM         59   003   A61ZX         59   003
QSO:  3500 PH 2012-03-24 0212 LY2MM         59   072   SN2M          59   222
QSO:  3500 PH 2012-03-24 0212 LY2MM         59   073   LZ9W          59   227
QSO:  3500 PH 2012-03-24 0213 LY2MM         59   074   SO2J          59   181
QSO:  3500 PH 2012-03-24 0214 LY2MM         59   075   YT5A          59   217
QSO:  3500 PH 2012-03-24 0214 LY2MM         59   076   OH9W          59   200
QSO:  3500 PH 2012-03-24 0215 LY2MM         59   077   LX7I          59   298
QSO:  3500 PH 2012-03-24 0216 LY2MM         59   078   HA5BSW        59   123
QSO:  3500 PH 2012-03-24 0216 LY2MM         59   079   E7DX          59   376
QSO:  3500 PH 2012-03-24 0217 LY2MM         59   080   YT4A          59   259
QSO:  3500 PH 2012-03-24 0217 LY2MM         59   081   CN2R          59   337
QSO:  3500 PH 2012-03-24 0218 LY2MM         59   082   OZ2AR         59   218
QSO:  3500 PH 2012-03-24 0219 LY2MM         59   083   HG7T          59   126
QSO:  3500 PH 2012-03-24 0219 LY2MM         59   084   HG1S          59   224
QSO:  3500 PH 2012-03-24 0220 LY2MM         59   085   SO9Q          59   184
QSO:  3500 PH 2012-03-24 0221 LY2MM         59   086   YL2SM         59   216
QSO:  3500 PH 2012-03-24 0222 LY2MM         59   087   EA4KD         59   167
QSO:  3500 PH 2012-03-24 0223 LY2MM         59   088   LY1R          59   243
QSO:  3500 PH 2012-03-24 0223 LY2MM         59   089   UT0U          59   087
QSO:  3500 PH 2012-03-24 0224 LY2MM         59   090   DQ8N          59   288
QSO:  3500 PH 2012-03-24 0224 LY2MM         59   091   SP9LJD        59   218
QSO:  3500 PH 2012-03-24 0224 LY2MM         59   092   EW8ZO         59   143
