START-OF-LOG: 3.0
CREATED-BY: Win-Test 3.24.0
CONTEST: CQ-WPX-SSB
CALLSIGN: YL3DR
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 856560
OPERATORS:
CLUB: Latvian Contest Club
NAME: Aivars
SOAPBOX: TRX: Yaesu FT-920, 90W, antennas: GAP Titan DX, Delta 80m, Diamond
SOAPBOX: W-735
QSO:  3770 PH 2012-03-24 0458 YL3DR         59  0001   OH9W          59  346    0
QSO:  3785 PH 2012-03-24 0500 YL3DR         59  0002   HA8RM         59  292    0
QSO:  3799 PH 2012-03-24 0501 YL3DR         59  0003   VY2ZM         59  648    0
QSO:  3775 PH 2012-03-24 0504 YL3DR         59  0004   SO2J          59  393    0
QSO:  3741 PH 2012-03-24 0505 YL3DR         59  0005   HG7T          59  301    0
QSO:  3725 PH 2012-03-24 0506 YL3DR         59  0006   LY7A          59  370    0
QSO:  7146 PH 2012-03-24 0510 YL3DR         59  0007   SO9Q          59  401    0
QSO:  7155 PH 2012-03-24 0511 YL3DR         59  0008   E7DX          59  774    0
QSO:  7143 PH 2012-03-24 0514 YL3DR         59  0009   OM7M          59  554    0
QSO:  7180 PH 2012-03-24 0518 YL3DR         59  0010   YL3FT         59  290    0
QSO:  7166 PH 2012-03-24 0519 YL3DR         59  0011   G2W           59  376    0
QSO:  7190 PH 2012-03-24 0520 YL3DR         59  0012   DK2OY         59  413    0
QSO:  7136 PH 2012-03-24 0522 YL3DR         59  0013   IR9Y          59  349    0
QSO:  7091 PH 2012-03-24 0523 YL3DR         59  0014   R2EAA         59  023    0
QSO:  7153 PH 2012-03-24 0527 YL3DR         59  0015   HK1T          59  627    0
QSO:  7184 PH 2012-03-24 0529 YL3DR         59  0016   9A1A          59  553    0
QSO:  7195 PH 2012-03-24 0530 YL3DR         59  0017   E720RS        59  325    0
QSO:  7167 PH 2012-03-24 0531 YL3DR         59  0018   TM6M          59  655    0
QSO:  3758 PH 2012-03-24 0532 YL3DR         59  0019   SN2M          59  427    0
