START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.7.0
CONTEST: CQ-WPX-SSB
LOCATION: DX
CALLSIGN: XE1AY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 10416
OPERATORS: XE1AY
CLUB: GRUPO DXXE
NAME: ISMAEL MARTINEZ VIZCARRA
SOAPBOX: A nice contest, but this time only I was searching and pound looking
SOAPBOX: for new countries and give to friends a new multiplier.
QSO: 28000 PH 2012-03-25 0224 XE1AY         59  0001   PX5E          59  2930
QSO: 21200 PH 2012-03-25 0234 XE1AY         59  0002   JQ1BVI        59  1059
QSO: 21200 PH 2012-03-25 0236 XE1AY         59  0003   LU7HW         59  547
QSO: 21200 PH 2012-03-25 0240 XE1AY         59  0004   ZL/VO1AU      59  1247
QSO: 21200 PH 2012-03-25 0244 XE1AY         59  0005   3G1B          59  711
QSO: 21200 PH 2012-03-25 0245 XE1AY         59  0006   WH6R          59  639
QSO: 21200 PH 2012-03-25 0249 XE1AY         59  0007   5K3R          59  839
QSO: 21200 PH 2012-03-25 0258 XE1AY         59  0008   NH2T          59  494
QSO: 21200 PH 2012-03-25 0320 XE1AY         59  0009   VK4KW         59  1178
QSO: 21200 PH 2012-03-25 0324 XE1AY         59  0010   YB1C          59  1275
QSO: 14000 PH 2012-03-25 0328 XE1AY         59  0011   HC2/KF6ZWD    59  1057
QSO: 14000 PH 2012-03-25 0338 XE1AY         59  0012   P49Y          59  3913
QSO: 14200 PH 2012-03-25 0341 XE1AY         59  0013   CQ3L          59  602
QSO: 14200 PH 2012-03-25 0344 XE1AY         59  0014   9Y4W          59  2073
QSO: 14200 PH 2012-03-25 0411 XE1AY         59  0015   K6HNZ         59  1036
QSO: 14200 PH 2012-03-25 0449 XE1AY         59  0016   RJ3FF         59  1499
QSO: 14200 PH 2012-03-25 0455 XE1AY         59  0017   RF9C          59  3893
QSO: 14200 PH 2012-03-25 0504 XE1AY         59  0018   TO5K          59  3388
QSO: 14200 PH 2012-03-25 0537 XE1AY         59  0019   KP2TM         59  3715
QSO: 14200 PH 2012-03-25 0541 XE1AY         59  0020   CR3A          59  1348
QSO: 14200 PH 2012-03-25 0606 XE1AY         59  0021   AY5F          59  2923
QSO: 14200 PH 2012-03-25 0610 XE1AY         59  0022   IK1RY         59  672
QSO: 14200 PH 2012-03-25 0614 XE1AY         59  0023   TG9ANF        59  1055
QSO: 14200 PH 2012-03-25 0629 XE1AY         59  0024   D4C           59  2005
QSO:  7000 PH 2012-03-25 0713 XE1AY         59  0025   EF8C          59  158
QSO:  7080 PH 2012-03-25 0738 XE1AY         59  0026   EI100T        59  1761
QSO:  7080 PH 2012-03-25 0746 XE1AY         59  0027   CW5W          59  2715
QSO:  7080 PH 2012-03-25 0752 XE1AY         59  0028   KL7RA         59  762
QSO:  3500 PH 2012-03-25 0807 XE1AY         59  0029   VA5AA         59  218
QSO: 14000 PH 2012-03-25 0817 XE1AY         59  0030   YB8Y          59  509
QSO:  7000 PH 2012-03-25 0835 XE1AY         59  0031   EB8AH         59  2010
QSO:  7000 PH 2012-03-25 0847 XE1AY         59  0032   XE2S          59  752
QSO: 21200 PH 2012-03-25 1408 XE1AY         59  0033   DP6T          59  1252
QSO: 21200 PH 2012-03-25 1419 XE1AY         59  0034   HB9MH         59  1873
QSO: 21200 PH 2012-03-25 1429 XE1AY         59  0035   9A5Y          59  1197
QSO: 21200 PH 2012-03-25 1440 XE1AY         59  0036   OM0R          59  2665
QSO: 21200 PH 2012-03-25 1449 XE1AY         59  0037   EC2DX         59  2349
QSO: 21200 PH 2012-03-25 1453 XE1AY         59  0038   EB8AH         59  2354
QSO: 21200 PH 2012-03-25 1505 XE1AY         59  0039   TM7F          59  2062
QSO: 21200 PH 2012-03-25 1609 XE1AY         59  0040   OE5CSP        59  118
QSO: 21200 PH 2012-03-25 1613 XE1AY         59  0041   3Z2X          59  1690
QSO: 28000 PH 2012-03-25 1717 XE1AY         59  0042   PJ2T          59  1771
QSO: 28400 PH 2012-03-25 1721 XE1AY         59  0043   HI3EPR        59  754
QSO: 28400 PH 2012-03-25 1728 XE1AY         59  0044   CN2R          59  4380
QSO: 28400 PH 2012-03-25 1738 XE1AY         59  0045   PZ5P          59  3742
QSO: 28400 PH 2012-03-25 1749 XE1AY         59  0046   ZP9MCE        59  417
QSO: 28400 PH 2012-03-25 1759 XE1AY         59  0047   8P5A          59  5391
QSO: 21000 PH 2012-03-25 1849 XE1AY         59  0048   AY5F          59  4054
QSO: 21200 PH 2012-03-25 1917 XE1AY         59  0049   6V7Z          59  5777
QSO: 21200 PH 2012-03-25 1952 XE1AY         59  0050   HG3R          59  3152
QSO: 21200 PH 2012-03-25 1959 XE1AY         59  0051   YT5W          59  2556
QSO: 21200 PH 2012-03-25 2018 XE1AY         59  0052   YV8AD         59  1148
QSO: 28000 PH 2012-03-25 2036 XE1AY         59  0053   AY5F          59  4259
QSO: 28400 PH 2012-03-25 2042 XE1AY         59  0054   TI5N          59  931
QSO: 28400 PH 2012-03-25 2045 XE1AY         59  0055   EB8AH         59  2742
QSO: 28400 PH 2012-03-25 2051 XE1AY         59  0056   AY8A          59  755
QSO: 28400 PH 2012-03-25 2100 XE1AY         59  0057   CE3CT         59  2805
QSO: 28400 PH 2012-03-25 2153 XE1AY         59  0058   WP4WW         59  792
QSO: 14000 PH 2012-03-25 2224 XE1AY         59  0059   PJ4Z          59  1979
QSO: 14200 PH 2012-03-25 2251 XE1AY         59  0060   OH5Z          59  1982
QSO: 14200 PH 2012-03-25 2259 XE1AY         59  0061   EB8AH         59  3447
QSO: 28000 PH 2012-03-25 2319 XE1AY         59  0062   XE3N          59  963
END-OF-LOG:
