START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.29.0
CONTEST: REF-SSB
LOCATION: 68
CALLSIGN: F1TRE
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 207527
OPERATORS: F1TRE
CLUB: CLIPPERTON DX CLUB
NAME: CHELI Philippe
CERTIFICATE: NO
SOAPBOX: Propagation meilleure le samedi avec FM, FG, FR, 6V, CN dans le log !
SOAPBOX: raté FY5KE... utilisation pour la première fois de Live Contest Score
SOAPBOX: mais ne fonctionne pas en automatique où est le bug avec Wintest...
SOAPBOX: mais quelques heures trés agréables à la station, merci à tous.
RIG: FT 847, IC 7400, THP HL1K, GPA 404, Dipole 80/40
QSO:  3658 PH 2020-02-22 0741 F1TRE         59  68     F5JFU         59  58    
QSO:  3657 PH 2020-02-22 0742 F1TRE         59  68     F6HQP         59  73    
QSO:  3673 PH 2020-02-22 0750 F1TRE         59  68     F6CLQ         59  89    
QSO:  3665 PH 2020-02-22 0752 F1TRE         59  68     F6IWW         59  08    
QSO:  3670 PH 2020-02-22 0755 F1TRE         59  68     F6KQV         59  67    
QSO:  3640 PH 2020-02-22 0828 F1TRE         59  68     F5REF         59  37    
QSO:  3696 PH 2020-02-22 0831 F1TRE         59  68     TM0DX         59  13    
QSO:  3704 PH 2020-02-22 0832 F1TRE         59  68     F5JNX         59  68    
QSO:  3686 PH 2020-02-22 0837 F1TRE         59  68     TM2F          59  02    
QSO:  3623 PH 2020-02-22 0839 F1TRE         59  68     F6KJJ         59  38    
QSO:  3657 PH 2020-02-22 0858 F1TRE         59  68     F4KIY         59  57    
QSO:  3745 PH 2020-02-22 0933 F1TRE         59  68     TM5OTT        59  37    
QSO:  3736 PH 2020-02-22 0936 F1TRE         59  68     F4KLS         59  69    
QSO:  3779 PH 2020-02-22 0940 F1TRE         59  68     F6KJS         59  71    
QSO:  3792 PH 2020-02-22 0942 F1TRE         59  68     F6DEO         59  95    
QSO:  3745 PH 2020-02-22 0944 F1TRE         59  68     F5KMY         59  25    
QSO:  3768 PH 2020-02-22 1031 F1TRE         59  68     F6BXD         59  59    
QSO:  7091 PH 2020-02-22 1123 F1TRE         59  68     F1RYW         59  32    
QSO:  7114 PH 2020-02-22 1155 F1TRE         59  68     F4HYT         59  47    
QSO:  7101 PH 2020-02-22 1156 F1TRE         59  68     DL5YM         59  121   
QSO:  7084 PH 2020-02-22 1212 F1TRE         59  68     F5RQQ/P       59  15    
QSO:  7076 PH 2020-02-22 1220 F1TRE         59  68     F6DZU         59  40    
QSO:  7141 PH 2020-02-22 1227 F1TRE         59  68     F6KJX         59  41    
QSO:  7110 PH 2020-02-22 1246 F1TRE         59  68     F9LM          59  24    
QSO:  7108 PH 2020-02-22 1247 F1TRE         59  68     F4KKF         59  13    
QSO:  7127 PH 2020-02-22 1250 F1TRE         59  68     F4HVO/P       59  32    
QSO:  7106 PH 2020-02-22 1257 F1TRE         59  68     TM5IDRE       59  81    
QSO: 14041 PH 2020-02-22 1602 F1TRE         59  68     CN8SG         59  220   
QSO: 14182 PH 2020-02-22 1618 F1TRE         59  68     6V7A          59  056   
QSO: 14222 PH 2020-02-22 1625 F1TRE         59  68     FR4QT         59  FR    
QSO: 14160 PH 2020-02-22 1628 F1TRE         59  68     F6KNB         59  33    
QSO: 14167 PH 2020-02-22 1632 F1TRE         59  68     VE2TFL        59  211   
QSO: 14147 PH 2020-02-22 1635 F1TRE         59  68     CN2JF         59  322   
QSO: 14171 PH 2020-02-22 1654 F1TRE         59  68     FM5AN         59  FM    
QSO: 14207 PH 2020-02-22 1703 F1TRE         59  68     EA8TH         59  119   
QSO: 14180 PH 2020-02-22 1708 F1TRE         59  68     FM5BH         59  FM    
QSO:  7132 PH 2020-02-22 1725 F1TRE         59  68     F6KNB         59  33    
QSO:  7182 PH 2020-02-22 1727 F1TRE         59  68     IT9FRX        59  228   
QSO:  7116 PH 2020-02-22 1735 F1TRE         59  68     F5RAG         59  64    
QSO:  7090 PH 2020-02-22 1740 F1TRE         59  68     F2CT          59  64    
QSO:  7099 PH 2020-02-22 1741 F1TRE         59  68     F4GGQ         59  29    
QSO:  7148 PH 2020-02-22 1744 F1TRE         59  68     YP0C          59  407   
QSO:  7135 PH 2020-02-22 1746 F1TRE         59  68     F4HQZ         59  29    
QSO:  3731 PH 2020-02-22 2036 F1TRE         59  68     TM5G          59  44    
QSO:  3761 PH 2020-02-22 2042 F1TRE         59  68     F4IDB         59  83    
QSO:  3758 PH 2020-02-22 2043 F1TRE         59  68     F6CPX         59  24    
QSO:  3718 PH 2020-02-22 2053 F1TRE         59  68     F5KHP         59  32    
QSO:  3705 PH 2020-02-22 2056 F1TRE         59  68     F4CWN         59  32    
QSO:  3700 PH 2020-02-22 2058 F1TRE         59  68     F4GGQ         59  29    
QSO:  3770 PH 2020-02-22 2100 F1TRE         59  68     F6AWU         59  44    
QSO:  3745 PH 2020-02-22 2103 F1TRE         59  68     TM5AD         59  30    
QSO:  3742 PH 2020-02-22 2110 F1TRE         59  68     F4KKF         59  13    
QSO:  3725 PH 2020-02-22 2112 F1TRE         59  68     TM5TT         59  41    
QSO:  3721 PH 2020-02-22 2115 F1TRE         59  68     F5KSE         59  31    
QSO:  3702 PH 2020-02-22 2117 F1TRE         59  68     SV1CK         59  106   
QSO:  3698 PH 2020-02-22 2118 F1TRE         59  68     F6KBR         59  66    
QSO:  3750 PH 2020-02-22 2130 F1TRE         59  68     F6FWQ         59  86    
QSO:  3773 PH 2020-02-22 2136 F1TRE         59  68     F5RAG         59  64    
QSO:  3766 PH 2020-02-22 2136 F1TRE         59  68     F6HRL         59  86    
QSO:  3714 PH 2020-02-22 2145 F1TRE         59  68     F5PHW         59  56    
QSO:  3760 PH 2020-02-22 2149 F1TRE         59  68     F8GQO         59  81    
QSO:  3702 PH 2020-02-22 2154 F1TRE         59  68     F8DBZ/P       59  32    
QSO:  3686 PH 2020-02-22 2155 F1TRE         59  68     TM3CN         59  86    
QSO:  3696 PH 2020-02-22 2156 F1TRE         59  68     F4ENJ         59  72    
QSO:  3684 PH 2020-02-22 2157 F1TRE         59  68     F6AXN         59  28    
QSO:  3648 PH 2020-02-22 2158 F1TRE         59  68     F5KKE         59  79    
QSO:  3621 PH 2020-02-22 2202 F1TRE         59  68     F1NZC         59  63    
QSO:  3604 PH 2020-02-22 2207 F1TRE         59  68     F6EQZ         59  51    
QSO:  3619 PH 2020-02-22 2212 F1TRE         59  68     F6KLO         59  19    
QSO:  3659 PH 2020-02-22 2215 F1TRE         59  68     F5KBG         59  03    
