START-OF-LOG: 2.0
REF-SECTION: 83
CALLSIGN: F5PVX
CATEGORY: SINGLE-OP ALL LOW
CLAIMED-SCORE:  201810
CONTEST: REF-SSB
CREATED-BY: WINREF-HF V9.5.21
NAME: MOUTTE MICHEL
OFFTIME: 2020-02-22 1901 2020-02-23 0423
OFFTIME: 2020-02-23 0857 2020-02-23 1110
OFFTIME: 2020-02-23 0500 2020-02-23 0706
OFFTIME: 2020-02-22 1613 2020-02-22 1817
OFFTIME: 2020-02-22 1054 2020-02-22 1252
OFFTIME: 2020-02-22 0805 2020-02-22 0939
OFFTIME: 2020-02-23 1646 2020-02-23 1800
OFFTIME: 2020-02-22 1337 2020-02-22 1443
RIG: JRC JST 245
RIG: JRC JST 245
RIG: GAP VOYAGER 40/80M, FRIZE BO 505  10/15/20M 
RIG: 100
SOAPBOX: seulement sur trois bandes 40, 80,20m  antenne verticale gap voyager
SOAPBOX: jrc jst 245  
SOAPBOX:  peux d'heures  d'émission  trés bonne propagation vers les 5h du matin sur un contest 160 m phone  contacter k1,s57,e77,,mi5,,it9,iq9,ly4,yt8,eg2
SOAPBOX:  antenne g5rv 31/31 
QSO: 3500  PH 2020-02-22 0628 F5PVX         59  83     F4IDB         59  83   
QSO: 3500  PH 2020-02-22 0630 F5PVX         59  83     HB9HLM        59  039  
QSO: 3500  PH 2020-02-22 0631 F5PVX         59  83     F5KBF         59  78   
QSO: 3500  PH 2020-02-22 0633 F5PVX         59  83     F6REF         59  00   
QSO: 7000  PH 2020-02-22 0635 F5PVX         59  83     YP0C          59  014  
QSO: 3500  PH 2020-02-22 0638 F5PVX         59  83     F5KDK/P       59  81   
QSO: 3500  PH 2020-02-22 0641 F5PVX         59  83     TM55M         59  55   
QSO: 3500  PH 2020-02-22 0642 F5PVX         59  83     F4KKV         59  53   
QSO: 3500  PH 2020-02-22 0643 F5PVX         59  83     F9LM          59  24   
QSO: 3500  PH 2020-02-22 0644 F5PVX         59  83     TM0DX         59  13   
QSO: 3500  PH 2020-02-22 0645 F5PVX         59  83     F5BMI         59  46   
QSO: 3500  PH 2020-02-22 0657 F5PVX         59  83     F5AAR         59  49   
QSO: 3500  PH 2020-02-22 0658 F5PVX         59  83     F8KCF         59  74   
QSO: 3500  PH 2020-02-22 0659 F5PVX         59  83     F6KEH         59  34   
QSO: 3500  PH 2020-02-22 0701 F5PVX         59  83     F6KLO         59  19   
QSO: 3500  PH 2020-02-22 0705 F5PVX         59  83     F6KKH         59  11   
QSO: 7000  PH 2020-02-22 0716 F5PVX         59  83     F6REF         59  00   
QSO: 3500  PH 2020-02-22 0718 F5PVX         59  83     F6KNB         59  33   
QSO: 3500  PH 2020-02-22 0722 F5PVX         59  83     F6HQP         59  73   
QSO: 3500  PH 2020-02-22 0723 F5PVX         59  83     F6KQV         59  67   
QSO: 3500  PH 2020-02-22 0726 F5PVX         59  83     F5FDC         59  82   
QSO: 3500  PH 2020-02-22 0728 F5PVX         59  83     F6AXN         59  28   
QSO: 3500  PH 2020-02-22 0805 F5PVX         59  83     F4CWN         59  32   
QSO: 3500  PH 2020-02-22 0939 F5PVX         59  83     F5KKE         59  79   
QSO: 3500  PH 2020-02-22 0941 F5PVX         59  83     TM69R         59  69   
QSO: 3500  PH 2020-02-22 0948 F5PVX         59  83     F5BUU/P       59  32   
QSO: 7000  PH 2020-02-22 1042 F5PVX         59  83     TM3CN         59  86   
QSO: 7000  PH 2020-02-22 1043 F5PVX         59  83     F4BPW         59  95   
QSO: 7000  PH 2020-02-22 1045 F5PVX         59  83     F6AWU         59  44   
QSO: 7000  PH 2020-02-22 1046 F5PVX         59  83     LX8M          59  183  
QSO: 7000  PH 2020-02-22 1049 F5PVX         59  83     F5MUX         59  29   
QSO: 7000  PH 2020-02-22 1050 F5PVX         59  83     F6GCT         59  77   
QSO: 7000  PH 2020-02-22 1052 F5PVX         59  83     F8KHO/P       59  51   
QSO: 7000  PH 2020-02-22 1054 F5PVX         59  83     F8KJP         59  08   
QSO: 7000  PH 2020-02-22 1252 F5PVX         59  83     F5ICC         59  24   
QSO: 14000 PH 2020-02-22 1300 F5PVX         59  83     LZ9V          59  129  
QSO: 14000 PH 2020-02-22 1304 F5PVX         59  83     N8OO          59  090  
QSO: 14000 PH 2020-02-22 1307 F5PVX         59  83     TK5KP         59  2A   
QSO: 14000 PH 2020-02-22 1310 F5PVX         59  83     YO9IOE        59  024  
