START-OF-LOG: 3.0
LOCATION: DX
CALLSIGN: NC4MI
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 20M
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-OVERLAY: CLASSIC
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CATEGORY-TIME: 3-HOURS
CATEGORY-SCORE:57
CLAIMED-SCORE: CLUB: NONE
CONTEST: CQ-WW-SSB
CREATED-BY: WriteLog V12.44F 
NAME: Bill Lipfird
OPERATORS: NC4MI
SOAPBOX: 20m band closed very quickly. Tried others 
SOAPBOX: and there was nothing to be heard.73 es TNX
QSO: 14000 PH 2020-02-22 1510 NC4MI          59     01 F6KNB          59     33 
QSO: 14000 PH 2020-02-22 1518 NC4MI          59     02 F5USK          59     65 
QSO: 14000 PH 2020-02-22 1528 NC4MI          59     03 TO3Z           59     FG 
QSO: 14000 PH 2020-02-22 1533 NC4MI          59     04 F6CLQ          59     89 
QSO: 14000 PH 2020-02-22 1535 NC4MI          59     05 TM5G           59     44 
QSO: 14000 PH 2020-02-22 1537 NC4MI          59     06 F6REF          59     00 
QSO: 14000 PH 2020-02-22 1545 NC4MI          59     07 F6KLO          59     19 
QSO: 14000 PH 2020-02-22 1548 NC4MI          59     08 F6AXN          59     28 
QSO: 14000 PH 2020-02-22 1603 NC4MI          59     09 F4HQZ          59     29 
QSO: 14000 PH 2020-02-22 1608 NC4MI          59     10 F5RAV          59     27 
QSO: 14000 PH 2020-02-22 1611 NC4MI          59     11 F4DPW          59     95 
QSO: 14000 PH 2020-02-22 1615 NC4MI          59     12 F5REF          59     37 
QSO: 14000 PH 2020-02-22 1621 NC4MI          59     13 F8KCF          59     74 
QSO: 14000 PH 2020-02-22 1622 NC4MI          59     14 TM0DX          59     13 
QSO: 14000 PH 2020-02-22 1701 NC4MI          59     15 F5MMF          59     24 
QSO: 14000 PH 2020-02-22 1707 NC4MI          59     16 F6GOE          59     19 
QSO: 14000 PH 2020-02-22 1723 NC4MI          59     17 TM3CN          59     86 
QSO: 14000 PH 2020-02-22 1751 NC4MI          59     18 F8GQO          59     81 
QSO: 14000 PH 2020-02-22 1802 NC4MI          59     19 TM5OTT         59     37 
END-OF-LOG:
