START-OF-LOG: 3.0
CREATED-BY: spcwc-ttc-public-log-downloader
CONTEST: TTC-SPCWC
CALLSIGN: G4ETK
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: 40M
CATEGORY-MODE: CW
CATEGORY-POWER: LOW
CATEGORY: SO40-LP
CLAIMED-SCORE: 9
OPERATORS: G4ETK
SOAPBOX: Generated from public checked-log view https://spcwc.pl/38/log/G4ETK?lang=en
SOAPBOX: QSO status/error details from the public page are not represented in Cabrillo QSO lines.
SOAPBOX: Public checked-log view reported 4 QSO rows with non-OK status.
QSO:  7031 CW 2026-07-07 1934 G4ETK         599 001    SE5E          599 007   
QSO:  7030 CW 2026-07-07 1939 G4ETK         599 002    YL2QV         599 009   
QSO:  7024 CW 2026-07-07 1945 G4ETK         599 003    DF7C          599 039   
QSO:  7018 CW 2026-07-07 1951 G4ETK         599 004    SP3PY         599 030   
QSO:  7017 CW 2026-07-07 1956 G4ETK         599 005    OK2IW         599 034   
QSO:  7031 CW 2026-07-07 2002 G4ETK         599 006    SE5E          599 055   
QSO:  7031 CW 2026-07-07 2004 G4ETK         599 007    SQ5J          599 040   
QSO:  7029 CW 2026-07-07 2009 G4ETK         599 008    SN5N          599 086   
QSO:  7025 CW 2026-07-07 2013 G4ETK         599 009    SP1AEN        599 084   
QSO:  7022 CW 2026-07-07 2016 G4ETK         599 010    SM7T          599 076   
QSO:  7022 CW 2026-07-07 2021 G4ETK         599 011    SQ9TX         599 061   
QSO:  7019 CW 2026-07-07 2024 G4ETK         599 012    SE5T          599 096   
QSO:  7017 CW 2026-07-07 2027 G4ETK         599 013    SM0OEK        599 112   
END-OF-LOG:
