START-OF-LOG: 3.0
CREATED-BY: spcwc-ttc-public-log-downloader
CONTEST: TTC-SPCWC
CALLSIGN: SP6OS
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-POWER: LOW
CATEGORY: SOAB-LP
CLAIMED-SCORE: 8
OPERATORS: SP6OS
SOAPBOX: Generated from public checked-log view https://spcwc.pl/38/log/SP6OS?lang=en
SOAPBOX: QSO status/error details from the public page are not represented in Cabrillo QSO lines.
SOAPBOX: Public checked-log view reported 3 QSO rows with non-OK status.
QSO:  7034 CW 2026-07-07 1936 SP6OS         599 001    SQ9ALW        599 002   
QSO:  7018 CW 2026-07-07 1943 SP6OS         599 002    SP6IWG        599 018   
QSO:  3540 CW 2026-07-07 1949 SP6OS         599 003    SP6MQO        599 021   
QSO:  7025 CW 2026-07-07 1954 SP6OS         599 004    SP1AEN        599 055   
QSO:  7039 CW 2026-07-07 2004 SP6OS         599 005    EP3MEP        599 062   
QSO:  7039 CW 2026-07-07 2007 SP6OS         599 006    OK5OO         599 052   
QSO:  7025 CW 2026-07-07 2011 SP6OS         599 007    SP1AEN        599 082   
QSO:  3549 CW 2026-07-07 2016 SP6OS         599 008    SP6GNJ        599 034   
QSO:  7022 CW 2026-07-07 2020 SP6OS         599 009    SQ9TX         599 063   
QSO:  7040 CW 2026-07-07 2025 SP6OS         599 010    GE1BAA        599 040   
QSO:  7034 CW 2026-07-07 2028 SP6OS         599 011    SQ9AOI        599 046   
END-OF-LOG:
