START-OF-LOG: 3.0
CALLSIGN: VK2BV
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-OVERLAY:
CLAIMED-SCORE: 17415
NAME: Skip Hodgson
LOCATION: DX
OPERATORS: VK2BV VK2IBE VK2RF VK2EFL VK2GZ VK2RH VK2HHS VK2MUF VK2ARI VK2ALR
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.6774.0
QSO: 21000 PH 2017-10-28 0023 VK2BV         59  30     V31VP         59  07
QSO: 14229 PH 2017-10-28 0047 VK2BV         59  30     NH2DX         59  27
QSO: 21270 PH 2017-10-28 0126 VK2BV         59  30     TI5M          59  07
QSO: 21314 PH 2017-10-28 0332 VK2BV         59  30     JA7ZFN        59  25
QSO: 21290 PH 2017-10-28 0338 VK2BV         59  30     VK2XZ         59  30
QSO: 14228 PH 2017-10-28 0351 VK2BV         59  30     FK8IK         59  32
QSO: 21368 PH 2017-10-28 0400 VK2BV         59  30     AH2R          59  27
QSO: 21319 PH 2017-10-28 0436 VK2BV         59  30     JI2ZJS        59  25
QSO: 21300 PH 2017-10-28 0439 VK2BV         59  30     WH6WI         59  31
QSO:  7000 PH 2017-10-28 0510 VK2BV         59  30     VK3MHZ        59  30
QSO: 14263 PH 2017-10-28 0629 VK2BV         59  30     VK4SDD        59  30
QSO:  7000 PH 2017-10-28 0643 VK2BV         59  30     IO5O          59  15
QSO: 14254 PH 2017-10-28 0650 VK2BV         59  30     KH6LC         59  31
QSO:  7000 PH 2017-10-28 0652 VK2BV         59  30     VK3JRP        59  30
QSO:  7000 PH 2017-10-28 0716 VK2BV         59  30     W7WA          59  03
QSO: 14175 PH 2017-10-28 0717 VK2BV         59  30     ZL1AM         59  32
QSO: 14133 PH 2017-10-28 0721 VK2BV         59  30     JE1ZWT        59  25
QSO:  7000 PH 2017-10-28 0751 VK2BV         59  30     VE3EJ         59  04
QSO:  7000 PH 2017-10-28 0756 VK2BV         59  30     CN3A          59  33
QSO:  7000 PH 2017-10-28 0901 VK2BV         59  30     K1KI          59  05
QSO:  7000 PH 2017-10-28 0902 VK2BV         59  30     W0RIC         59  03
QSO:  7130 PH 2017-10-28 0921 VK2BV         59  30     K3EST         59  03
QSO:  7135 PH 2017-10-28 0922 VK2BV         59  30     K3LR          59  05
QSO:  7144 PH 2017-10-28 0926 VK2BV         59  30     NR3X          59  05
QSO:  7156 PH 2017-10-28 0929 VK2BV         59  30     W1XX          59  05
QSO:  7165 PH 2017-10-28 0932 VK2BV         59  30     W6PH          59  03
QSO:  7173 PH 2017-10-28 0935 VK2BV         59  30     KH7CW         59  31
QSO:  7185 PH 2017-10-28 0936 VK2BV         59  30     VK4NM         59  30
QSO:  7195 PH 2017-10-28 0942 VK2BV         59  30     N4WW          59  05
QSO:  7206 PH 2017-10-28 0944 VK2BV         59  30     AA1ON         59  05
QSO:  7142 PH 2017-10-28 0949 VK2BV         59  30     K5TR          59  04
QSO:  7157 PH 2017-10-28 0951 VK2BV         59  30     W2RE          59  05
QSO:  1845 PH 2017-10-28 0952 VK2BV         59  30     VK2BET        59  30
QSO:  7176 PH 2017-10-28 1000 VK2BV         59  30     K1KI          59  05
QSO:  7180 PH 2017-10-28 1002 VK2BV         59  30     KC1XX         59  05
QSO: 14000 PH 2017-10-28 1002 VK2BV         59  30     JO3DDD        59  25
