START-OF-LOG: 3.0
CALLSIGN: KB8ZGL
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 248430
NAME: Mike Wolthuis
LOCATION: MI
OPERATORS: KB8ZGL, KD8GGA
CLUB: Michigan State University ARC
CERTIFICATE: YES
CREATED-BY: N3FJP's CQ WW DX Contest Log 5.5
SOAPBOX: First return to CQWW not since 2012, had a great year!
QSO: 14000 PH 2017-10-28 0000 KB8ZGL        59  04     KF7CYG        59  03     0
QSO: 14000 PH 2017-10-28 0000 KB8ZGL        59  04     W7OXB         59  03     0
QSO: 14000 PH 2017-10-28 0001 KB8ZGL        59  04     VE7CKZ        59  03     0
QSO: 14000 PH 2017-10-28 0007 KB8ZGL        59  04     LT1F          59  13     0
QSO: 14000 PH 2017-10-28 0010 KB8ZGL        59  04     PZ5K          59  09     0
QSO: 14000 PH 2017-10-28 0015 KB8ZGL        59  04     PY2EX         59  11     0
QSO: 14000 PH 2017-10-28 0022 KB8ZGL        59  04     KH7CW         59  31     0
QSO: 14000 PH 2017-10-28 0026 KB8ZGL        59  04     V3A           59  07     0
QSO: 14000 PH 2017-10-28 0032 KB8ZGL        59  04     9Y4W          59  09     0
QSO: 14000 PH 2017-10-28 0033 KB8ZGL        59  04     PX2A          59  11     0
QSO: 14000 PH 2017-10-28 0036 KB8ZGL        59  04     HC0E          59  10     0
QSO:  7000 PH 2017-10-28 0042 KB8ZGL        59  04     HI3K          59  08     0
QSO:  7000 PH 2017-10-28 0048 KB8ZGL        59  04     CN2R          59  33     0
QSO:  7000 PH 2017-10-28 0052 KB8ZGL        59  04     NP2N          59  08     0
QSO:  7000 PH 2017-10-28 0058 KB8ZGL        59  04     VA2ZM         59  02     0
QSO:  7000 PH 2017-10-28 0104 KB8ZGL        59  04     OM7M          59  15     0
QSO:  7000 PH 2017-10-28 0104 KB8ZGL        59  04     W1NA          59  05     0
QSO:  7000 PH 2017-10-28 0107 KB8ZGL        59  04     C6ARW         59  08     0
QSO:  7000 PH 2017-10-28 0112 KB8ZGL        59  04     VE7SZ         59  03     0
QSO:  7000 PH 2017-10-28 0115 KB8ZGL        59  04     P49Y          59  09     0
QSO:  7000 PH 2017-10-28 0117 KB8ZGL        59  04     VE7GL         59  03     0
