START-OF-LOG: 3.0
CALLSIGN: W5CO
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 1593
NAME: Stanton Royce
LOCATION: NM
OPERATORS: W5CO
CLUB:
CERTIFICATE: YES
CREATED-BY: SD by EI5DI
SOAPBOX: Best fun was on 75m Europe, Africa, Hawaii, S America
QSO: 14000 PH 2017-10-29 0157 W5CO          59       04 NH6JC        59       31
QSO: 14000 PH 2017-10-29 0159 W5CO          59       04 KH7XS        59       31
QSO: 14000 PH 2017-10-29 0212 W5CO          59       04 KH6CJJ       59       31
QSO: 14000 PH 2017-10-29 0216 W5CO          59       04 KH6LC        59       31
QSO: 14000 PH 2017-10-29 0218 W5CO          59       04 KH6J         59       31
QSO: 7000  PH 2017-10-29 0255 W5CO          59       04 KH6J         59       31
QSO: 7000  PH 2017-10-29 0305 W5CO          59       04 W3LPL        59       05
QSO: 7000  PH 2017-10-29 0331 W5CO          59       04 CN2AA        59       33
QSO: 7000  PH 2017-10-29 0339 W5CO          59       04 CN2R         59       33
QSO: 3500  PH 2017-10-29 0512 W5CO          59       04 W1WA         59       05
QSO: 3500  PH 2017-10-29 0518 W5CO          59       04 KK5LX        59       04
QSO: 3500  PH 2017-10-29 0521 W5CO          59       04 K6YK         59       03
QSO: 3500  PH 2017-10-29 0522 W5CO          59       04 CN2R         59       33
QSO: 3500  PH 2017-10-29 0529 W5CO          59       04 W0UJ         59       04
QSO: 3500  PH 2017-10-29 0532 W5CO          59       04 KZ9V         59       04
QSO: 3500  PH 2017-10-29 0533 W5CO          59       04 K7PP         59       03
QSO: 3500  PH 2017-10-29 0537 W5CO          59       04 N4FP         59       05
QSO: 3500  PH 2017-10-29 0539 W5CO          59       04 KE2VB        59       03
QSO: 3500  PH 2017-10-29 0549 W5CO          59       04 Y4T          59       08
QSO: 3500  PH 2017-10-29 0551 W5CO          59       04 PJ2T         59       09
QSO: 3500  PH 2017-10-29 0559 W5CO          59       04 ZF9CW        59       08
QSO: 3500  PH 2017-10-29 0610 W5CO          59       04 KI7M         59       03
QSO: 3500  PH 2017-10-29 0611 W5CO          59       04 V26B         59       08
QSO: 3500  PH 2017-10-29 0614 W5CO          59       04 KH6J         59       31
QSO: 3500  PH 2017-10-29 0616 W5CO          59       04 NV9L         59       04
QSO: 3500  PH 2017-10-29 0616 W5CO          59       04 KY7M         59       03
QSO: 3500  PH 2017-10-29 0621 W5CO          59       04 F4BKV        59       14
QSO: 3500  PH 2017-10-29 0624 W5CO          59       04 EF8R         59       33
QSO: 3500  PH 2017-10-29 0633 W5CO          59       04 PZ5K         59       09
QSO: 3500  PH 2017-10-29 0635 W5CO          59       04 WW4LL        59       05
QSO: 3500  PH 2017-10-29 0638 W5CO          59       04 W3BGN        59       05
QSO: 3500  PH 2017-10-29 0639 W5CO          59       04 PJ4Q         59       09
QSO: 3500  PH 2017-10-29 0642 W5CO          59       04 HK4CMB       59       09
QSO: 3500  PH 2017-10-29 0644 W5CO          59       04 VY2ZM        59       05
QSO: 3500  PH 2017-10-29 0646 W5CO          59       04 8P5A         59       08
QSO: 3500  PH 2017-10-29 0648 W5CO          59       04 CN3A         59       33
QSO: 3500  PH 2017-10-29 0649 W5CO          59       04 W3LPL        59       05
END-OF-LOG:
