START-OF-LOG: 3.0
CALLSIGN: DB1BW
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 16110
NAME: - Chief Op
LOCATION: DX
OPERATORS: DB1BW
CLUB: DARC
CERTIFICATE: NO
CREATED-BY: UcxLog 7.78
SOAPBOX: Lizenz seit 21.10.2015
QSO: 14000 PH 2017-10-28 1628 DB1BW         59  14     NN3W          59  0
QSO: 14000 PH 2017-10-28 1720 DB1BW         59  14     ED1WW         59  14     0
QSO: 14000 PH 2017-10-28 1730 DB1BW         59  14     LZ9W          59  20     0
QSO: 14000 PH 2017-10-28 1732 DB1BW         59  14     VE3JM         59  04     0
QSO: 14000 PH 2017-10-28 1739 DB1BW         59  14     VY2ZM         59  5      0
QSO: 14000 PH 2017-10-28 1742 DB1BW         59  14     N1UR          59  5      0
QSO: 14000 PH 2017-10-28 1744 DB1BW         59  14     YT1A          59  15     0
QSO: 14000 PH 2017-10-28 1746 DB1BW         59  14     4L2M          59  21     0
QSO: 14000 PH 2017-10-28 1749 DB1BW         59  14     4L0A          59  21     0
QSO: 14000 PH 2017-10-28 1900 DB1BW         59  14     HG7T          59  15     0
QSO: 14000 PH 2017-10-28 1903 DB1BW         59  14     CN2R          59  33     0
QSO: 14000 PH 2017-10-28 1910 DB1BW         59  14     W2RE          59  5      0
QSO: 14000 PH 2017-10-28 1920 DB1BW         59  14     IO9A          59  15     0
QSO: 14000 PH 2017-10-28 2131 DB1BW         59  14     LZ5Z          59  20     0
QSO:  3500 PH 2017-10-28 2141 DB1BW         59  14     EW6W          59  16     0
QSO:  3500 PH 2017-10-28 2145 DB1BW         59  14     YU6DX         59  15     0
QSO:  3500 PH 2017-10-28 2147 DB1BW         59  14     ES9C          59  15     0
QSO:  3500 PH 2017-10-28 2149 DB1BW         59  14     LZ9W          59  20     0
QSO:  3500 PH 2017-10-28 2151 DB1BW         59  14     9A7A          59  15     0
QSO:  3500 PH 2017-10-28 2152 DB1BW         59  14     OE6Z          59  15     0
QSO:  3500 PH 2017-10-28 2158 DB1BW         59  14     YL2GUV        59  15     0
QSO:  3500 PH 2017-10-28 2201 DB1BW         59  14     DF0SAX        59  14     0
QSO:  3500 PH 2017-10-28 2203 DB1BW         59  14     LY3X          59  15     0
QSO:  3500 PH 2017-10-28 2204 DB1BW         59  14     S56K          59  15     0
QSO:  3500 PH 2017-10-28 2206 DB1BW         59  14     S57LR         59  15     0
QSO:  3500 PH 2017-10-28 2208 DB1BW         59  14     HB9H          59  14     0
QSO:  3500 PH 2017-10-28 2209 DB1BW         59  14     SN7H          59  15     0
QSO:  3500 PH 2017-10-28 2210 DB1BW         59  14     YL3CW         59  15     0
QSO:  3500 PH 2017-10-28 2211 DB1BW         59  14     S51YI         59  15     0
QSO:  3500 PH 2017-10-28 2213 DB1BW         59  14     S51A          59  15     0
QSO:  3500 PH 2017-10-28 2215 DB1BW         59  14     SQ8NGV        59  15     0
QSO:  3500 PH 2017-10-28 2217 DB1BW         59  14     UA4M          59  16     0
QSO:  3500 PH 2017-10-28 2223 DB1BW         59  14     LY2J          59  15     0
QSO:  3500 PH 2017-10-28 2227 DB1BW         59  14     II2S          59  15     0
QSO:  3500 PH 2017-10-28 2228 DB1BW         59  14     OQ5M          59  14     0
QSO:  3500 PH 2017-10-28 2233 DB1BW         59  14     LY2FN         59  15     0
QSO:  3500 PH 2017-10-28 2236 DB1BW         59  14     OS8A          59  14     0
QSO:  3500 PH 2017-10-28 2239 DB1BW         59  14     IQ2MI         59  15     0
QSO:  3500 PH 2017-10-28 2241 DB1BW         59  14     9A3W          59  15     0
QSO:  3500 PH 2017-10-28 2242 DB1BW         59  14     SN7D          59  15     0
QSO:  3500 PH 2017-10-28 2245 DB1BW         59  14     OK5W          59  15     0
QSO:  3500 PH 2017-10-28 2247 DB1BW         59  14     HG7T          59  15     0
QSO:  3500 PH 2017-10-28 2249 DB1BW         59  14     E70T          59  15     0
QSO:  3500 PH 2017-10-28 2251 DB1BW         59  14     EF9R          59  33     0
QSO:  3500 PH 2017-10-28 2252 DB1BW         59  14     OE3K          59  15     0
QSO:  3500 PH 2017-10-28 2258 DB1BW         59  14     9A1AR         59  15     0
QSO: 21000 PH 2017-10-29 0753 DB1BW         59  14     RC9F          59  17     0
QSO: 21000 PH 2017-10-29 0756 DB1BW         59  14     CQ3W          59  33     0
QSO: 21000 PH 2017-10-29 0804 DB1BW         59  14     EE7P          59  14     0
QSO: 21000 PH 2017-10-29 0807 DB1BW         59  14     R8WF          59  16     0
QSO: 21000 PH 2017-10-29 0808 DB1BW         59  14     UA4M          59  16     0
QSO: 21000 PH 2017-10-29 0811 DB1BW         59  14     RW4WA         59  16     0
QSO: 21000 PH 2017-10-29 0814 DB1BW         59  14     RY6Y          59  16     0
QSO: 21000 PH 2017-10-29 0815 DB1BW         59  14     CN3A          59  33     0
QSO: 21000 PH 2017-10-29 0822 DB1BW         59  14     A73A          59  21     0
QSO: 21000 PH 2017-10-29 0824 DB1BW         59  14     CN2R          59  33     0
QSO: 21000 PH 2017-10-29 0827 DB1BW         59  14     R7AB          59  16     0
QSO: 21000 PH 2017-10-29 0828 DB1BW         59  14     SV9RGI        59  20     0
QSO: 21000 PH 2017-10-29 0830 DB1BW         59  14     CR6T          59  14     0
QSO: 21000 PH 2017-10-29 0831 DB1BW         59  14     EA9KB         59  33     0
QSO: 21000 PH 2017-10-29 0833 DB1BW         59  14     RT6A          59  16     0
QSO: 21000 PH 2017-10-29 0834 DB1BW         59  14     R4BZ          59  16     0
QSO: 21000 PH 2017-10-29 0837 DB1BW         59  14     P33W          59  20     0
QSO: 21000 PH 2017-10-29 0838 DB1BW         59  14     R7MM          59  16     0
QSO: 21000 PH 2017-10-29 0847 DB1BW         59  14     UA9FLK        59  17     0
QSO: 21000 PH 2017-10-29 0848 DB1BW         59  14     RL6M          59  16     0
QSO: 21000 PH 2017-10-29 0856 DB1BW         59  14     TM6M          59  14     0
QSO: 28000 PH 2017-10-29 0904 DB1BW         59  14     UA3VFS        59  16     0
QSO: 14000 PH 2017-10-29 1055 DB1BW         59  14     E74Y          59  15     0
QSO: 14000 PH 2017-10-29 1126 DB1BW         59  14     YT2ISM        59  15     0
QSO: 14000 PH 2017-10-29 1128 DB1BW         59  14     GJ2A          59  14     0
QSO: 14000 PH 2017-10-29 1131 DB1BW         59  14     EI6JK         59  14     0
QSO: 14000 PH 2017-10-29 1134 DB1BW         59  14     IK0PHY        59  15     0
QSO: 14000 PH 2017-10-29 1140 DB1BW         59  14     LZ7A          59  20     0
QSO: 14000 PH 2017-10-29 1144 DB1BW         59  14     EI1A          59  14     0
QSO: 14000 PH 2017-10-29 1144 DB1BW         59  14     SZ1A          59  20     0
QSO: 14000 PH 2017-10-29 1147 DB1BW         59  14     OG6N          59  15     0
QSO: 14000 PH 2017-10-29 1150 DB1BW         59  14     RC3W          59  16     0
QSO: 14000 PH 2017-10-29 1155 DB1BW         59  14     IK7YTT        59  15     0
QSO: 14000 PH 2017-10-29 1157 DB1BW         59  14     UP2L          59  17     0
QSO: 14000 PH 2017-10-29 1159 DB1BW         59  14     K3ZO          59  05     0
QSO: 14000 PH 2017-10-29 1201 DB1BW         59  14     EV1R          59  16     0
QSO: 14000 PH 2017-10-29 1207 DB1BW         59  14     TK9R          59  15     0
QSO: 14000 PH 2017-10-29 1210 DB1BW         59  14     LZ5R          59  20     0
QSO: 14000 PH 2017-10-29 1214 DB1BW         59  14     K1XM          59  5      0
QSO: 14000 PH 2017-10-29 1219 DB1BW         59  14     K2LE          59  5      0
QSO: 14000 PH 2017-10-29 1226 DB1BW         59  14     UY5ZZ         59  16     0
QSO: 14000 PH 2017-10-29 1228 DB1BW         59  14     F8ARK         59  14     0
QSO: 14000 PH 2017-10-29 1229 DB1BW         59  14     TM6M          59  14     0
QSO: 14000 PH 2017-10-29 1247 DB1BW         59  14     N2RJ          59  5      0
QSO: 21000 PH 2017-10-29 1553 DB1BW         59  14     K3LR          59  5      0
QSO: 21000 PH 2017-10-29 1555 DB1BW         59  14     KC1XX         59  5      0
QSO: 21000 PH 2017-10-29 1557 DB1BW         59  14     W3UA          59  5      0
QSO: 21000 PH 2017-10-29 1617 DB1BW         59  14     K1CXX         59  5      0
QSO:  3500 PH 2017-10-29 1630 DB1BW         59  14     UA2F          59  15     0
QSO:  3500 PH 2017-10-29 1633 DB1BW         59  14     PA2TMS        59  14     0
QSO:  3500 PH 2017-10-29 1634 DB1BW         59  14     LY2CO         59  15     0
QSO:  3500 PH 2017-10-29 1636 DB1BW         59  14     OM2VL         59  15     0
QSO:  3500 PH 2017-10-29 1639 DB1BW         59  14     OT5A          59  14     0
QSO:  3500 PH 2017-10-29 1643 DB1BW         59  14     PA9M          59  14     0
QSO:  3500 PH 2017-10-29 1644 DB1BW         59  14     PA4WM         59  14     0
QSO:  3500 PH 2017-10-29 1645 DB1BW         59  14     LA6ZFA        59  14     0
QSO:  3500 PH 2017-10-29 2148 DB1BW         59  14     PI4CC         59  14     0
QSO:  3500 PH 2017-10-29 2151 DB1BW         59  14     9A1TT         59  15     0
QSO:  3500 PH 2017-10-29 2153 DB1BW         59  14     M6T           59  14     0
QSO:  3500 PH 2017-10-29 2154 DB1BW         59  14     HG6N          59  15     0
QSO:  3500 PH 2017-10-29 2156 DB1BW         59  14     SP9KAO        59  15     0
QSO:  3500 PH 2017-10-29 2157 DB1BW         59  14     OF5Z          59  15     0
QSO:  3500 PH 2017-10-29 2202 DB1BW         59  14     NA3B          59  5      0
QSO:  3500 PH 2017-10-29 2203 DB1BW         59  14     YT5IVN        59  15     0
QSO:  3500 PH 2017-10-29 2205 DB1BW         59  14     OK1NP         59  15     0
QSO:  3500 PH 2017-10-29 2207 DB1BW         59  14     YT8A          59  15     0
QSO:  3500 PH 2017-10-29 2212 DB1BW         59  14     F4HJC/P       59  14     0
QSO:  3500 PH 2017-10-29 2216 DB1BW         59  14     LY8O          59  15     0
QSO:  3500 PH 2017-10-29 2217 DB1BW         59  14     ON1TO         59  14     0
QSO:  3500 PH 2017-10-29 2220 DB1BW         59  14     DP6A          59  14     0
QSO:  3500 PH 2017-10-29 2222 DB1BW         59  14     PI4COM        59  14     0
QSO:  3500 PH 2017-10-29 2223 DB1BW         59  14     HG3DX         59  15     0
QSO:  3500 PH 2017-10-29 2225 DB1BW         59  14     OH5BM         59  15     0
QSO:  3500 PH 2017-10-29 2231 DB1BW         59  14     S53M          59  15     0
QSO:  3500 PH 2017-10-29 2232 DB1BW         59  14     SP2KDS        59  15     0
QSO:  3500 PH 2017-10-29 2234 DB1BW         59  14     M0MCV         59  14     0
QSO:  3500 PH 2017-10-29 2238 DB1BW         59  14     OH8WW         59  15     0
QSO:  3500 PH 2017-10-29 2240 DB1BW         59  14     SK7K          59  14     0
QSO:  3500 PH 2017-10-29 2242 DB1BW         59  14     DL0SLG        59  14     0
QSO:  3500 PH 2017-10-29 2245 DB1BW         59  14     OK1DEZ        59  15     0
QSO:  3500 PH 2017-10-29 2257 DB1BW         59  14     GM2T          59  14     0
QSO:  3500 PH 2017-10-29 2300 DB1BW         59  14     IR1G          59  15     0
QSO:  3500 PH 2017-10-29 2308 DB1BW         59  14     EW4WE         59  16     0
QSO:  3500 PH 2017-10-29 2310 DB1BW         59  14     OZ6OM         59  14     0
QSO:  3500 PH 2017-10-29 2319 DB1BW         59  14     CN3A          59  33     0
END-OF-LOG:
