START-OF-LOG: 3.0
CALLSIGN: HB9FWO
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: TWO
CATEGORY-OVERLAY: ROOKIE
CLAIMED-SCORE: 7081
NAME: Olivier Wolf
LOCATION: DX
OPERATORS: HB9FWO
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.6858.0
SOAPBOX: Thx for organising. First sending a log. Feedback is welcome.
QSO: 28000 PH 2017-10-28 1653 HB9FWO        59  14     LW7DX         59  13
QSO: 28000 PH 2017-10-28 1655 HB9FWO        59  14     LT1F          59  13
QSO: 28000 PH 2017-10-28 1703 HB9FWO        59  14     EF8R          59  33
QSO: 28000 PH 2017-10-28 1707 HB9FWO        59  14     CU2AF         59  14
QSO: 28000 PH 2017-10-28 1710 HB9FWO        59  14     CR3A          59  33
QSO: 21000 PH 2017-10-28 1724 HB9FWO        59  14     CX2DK         59  13
QSO: 21000 PH 2017-10-28 1726 HB9FWO        59  14     D4Z           59  35
QSO: 28000 PH 2017-10-28 1735 HB9FWO        59  14     EA8DED        59  33
QSO: 14000 PH 2017-10-29 0631 HB9FWO        59  14     9H6A          59  15
QSO: 14000 PH 2017-10-29 0702 HB9FWO        59  14     YT1A          59  15
QSO: 14000 PH 2017-10-29 0706 HB9FWO        59  14     IF9A          59  15
QSO: 14000 PH 2017-10-29 0710 HB9FWO        59  14     LZ5R          59  20
QSO: 14000 PH 2017-10-29 0710 HB9FWO        59  14     EF8R          59  33
QSO: 14000 PH 2017-10-29 0724 HB9FWO        59  14     CN2AA         59  33
QSO: 14000 PH 2017-10-29 0734 HB9FWO        59  14     FK8IK         59  32
QSO: 14000 PH 2017-10-29 0755 HB9FWO        59  14     ZB2TT         59  14
QSO: 14000 PH 2017-10-29 0800 HB9FWO        59  14     D4C           59  35
QSO: 21000 PH 2017-10-29 0903 HB9FWO        59  14     3V8SS         59  33
QSO: 21000 PH 2017-10-29 0919 HB9FWO        59  14     JT5DX         59  23
QSO: 21000 PH 2017-10-29 0936 HB9FWO        59  14     RM3DA         59  16
QSO: 21000 PH 2017-10-29 0937 HB9FWO        59  14     R2WA          59  16
QSO: 21000 PH 2017-10-29 0948 HB9FWO        59  14     UP2L          59  17
QSO: 28000 PH 2017-10-29 1008 HB9FWO        59  14     CN3A          59  33
QSO: 21000 PH 2017-10-29 1010 HB9FWO        59  14     EF5I          59  14
QSO: 21000 PH 2017-10-29 1011 HB9FWO        59  14     UT0MJ         59  16
QSO: 21000 PH 2017-10-29 1015 HB9FWO        59  14     PZ5K          59  09
QSO: 21000 PH 2017-10-29 1019 HB9FWO        59  14     BD7BM         59  24
QSO: 21000 PH 2017-10-29 1023 HB9FWO        59  14     CN3A          59  33
QSO: 21000 PH 2017-10-29 1027 HB9FWO        59  14     YL2GD         59  15
QSO: 21000 PH 2017-10-29 1029 HB9FWO        59  14     YP0C          59  20
QSO: 14000 PH 2017-10-29 1055 HB9FWO        59  14     EA8JR         59  33
QSO: 14000 PH 2017-10-29 1058 HB9FWO        59  14     OH0V          59  15
QSO: 14000 PH 2017-10-29 1101 HB9FWO        59  14     RT5K          59  16
QSO: 14000 PH 2017-10-29 1102 HB9FWO        59  14     LA4O          59  14
QSO: 14000 PH 2017-10-29 1130 HB9FWO        59  14     PJ4G          59  09
QSO: 21000 PH 2017-10-29 1138 HB9FWO        59  14     CQ3W          59  33
QSO: 21000 PH 2017-10-29 1258 HB9FWO        59  14     VY2ZM         59  05
QSO: 14000 PH 2017-10-29 1736 HB9FWO        59  14     IT9STX        59  15
QSO: 14000 PH 2017-10-29 1741 HB9FWO        59  14     RC6U          59  16
QSO:  7000 PH 2017-10-29 1747 HB9FWO        59  14     G3TXF         59  14
QSO:  7000 PH 2017-10-29 1757 HB9FWO        59  14     SQ7PGP        59  15
QSO:  7000 PH 2017-10-29 1759 HB9FWO        59  14     SN1D          59  15
QSO:  3500 PH 2017-10-29 1832 HB9FWO        59  14     TM0R          59  14
QSO:  3500 PH 2017-10-29 1835 HB9FWO        59  14     IK2AQZ        59  15
QSO:  3500 PH 2017-10-29 1859 HB9FWO        59  14     S51YI         59  15
QSO:  7000 PH 2017-10-29 1906 HB9FWO        59  14     YT5A          59  15
QSO:  7000 PH 2017-10-29 1925 HB9FWO        59  14     EI9E          59  14
QSO:  7000 PH 2017-10-29 1933 HB9FWO        59  14     M6T           59  14
QSO:  7000 PH 2017-10-29 1937 HB9FWO        59  14     GM2T          59  14
QSO:  7000 PH 2017-10-29 1943 HB9FWO        59  14     EC2DX         59  14
QSO:  7000 PH 2017-10-29 1952 HB9FWO        59  14     YO3VU         59  20
QSO:  7000 PH 2017-10-29 1954 HB9FWO        59  14     ES9C          59  15
QSO:  3500 PH 2017-10-29 1957 HB9FWO        59  14     PA9M          59  14
END-OF-LOG:
