START-OF-LOG: 3.0
CALLSIGN: G8ZRE
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 69108
NAME: Dave Hewitt
LOCATION: DX
OPERATORS: G8ZRE
CLUB: BOLTON WIRELESS CLUB
CERTIFICATE: YES
CREATED-BY: SD by EI5DI
SOAPBOX: Search n pounce
SOAPBOX: Good contest higher number of QSOs from last year
QSO:  3500 PH 2017-10-28 0546 G8ZRE         59  14     OM7M          59  15
QSO:  3500 PH 2017-10-28 0547 G8ZRE         59  14     HB9H          59  14
QSO:  3500 PH 2017-10-28 0550 G8ZRE         59  14     EC2DX         59  14
QSO:  3500 PH 2017-10-28 0554 G8ZRE         59  14     DK0AE         59  14
QSO:  3500 PH 2017-10-28 0556 G8ZRE         59  14     OM2VL         59  15
QSO:  3500 PH 2017-10-28 0558 G8ZRE         59  14     I2WIJ         59  15
QSO:  3500 PH 2017-10-28 0559 G8ZRE         59  14     PA4WM         59  14
QSO:  3500 PH 2017-10-28 0600 G8ZRE         59  14     PI4COM        59  14
QSO:  3500 PH 2017-10-28 0608 G8ZRE         59  14     TM1T          59  14
QSO:  3500 PH 2017-10-28 0610 G8ZRE         59  14     LN8W          59  14
QSO:  3500 PH 2017-10-28 0612 G8ZRE         59  14     CR6K          59  14
QSO:  3500 PH 2017-10-28 0615 G8ZRE         59  14     PA9M          59  14
QSO:  3500 PH 2017-10-28 0619 G8ZRE         59  14     HB2U          59  14
QSO:  3500 PH 2017-10-28 0621 G8ZRE         59  14     DL5GAC        59  14
QSO:  3500 PH 2017-10-28 0622 G8ZRE         59  14     OT5X          59  14
QSO:  3500 PH 2017-10-28 0624 G8ZRE         59  14     G5O           59  14
QSO:  3500 PH 2017-10-28 0624 G8ZRE         59  14     DL7ON         59  14
QSO:  3500 PH 2017-10-28 0626 G8ZRE         59  14     OT5A          59  14
QSO:  3500 PH 2017-10-28 0628 G8ZRE         59  14     PA2TMS        59  14
QSO:  3500 PH 2017-10-28 0630 G8ZRE         59  14     TM3R          59  14
QSO:  7000 PH 2017-10-28 0631 G8ZRE         59  14     RU1A          59  16
QSO:  7000 PH 2017-10-28 0636 G8ZRE         59  14     IO5O          59  15
QSO:  7000 PH 2017-10-28 0637 G8ZRE         59  14     S56Y          59  15
QSO:  7000 PH 2017-10-28 0639 G8ZRE         59  14     CN2R          59  33
QSO:  7000 PH 2017-10-28 0640 G8ZRE         59  14     OG3MS         59  15
QSO:  7000 PH 2017-10-28 0644 G8ZRE         59  14     DF0HQ         59  14
QSO:  7000 PH 2017-10-28 0645 G8ZRE         59  14     EA3GEG        59  14
QSO:  7000 PH 2017-10-28 0646 G8ZRE         59  14     DA0WRTC       59  14
QSO:  7000 PH 2017-10-28 0648 G8ZRE         59  14     OK7K          59  15
QSO:  7000 PH 2017-10-28 0650 G8ZRE         59  14     S53A          59  15
QSO:  7000 PH 2017-10-28 0653 G8ZRE         59  14     S51F          59  15
QSO:  7000 PH 2017-10-28 0654 G8ZRE         59  14     LA2AB         59  14
QSO:  7000 PH 2017-10-28 0705 G8ZRE         59  14     F6DZU         59  14
