START-OF-LOG: 3.0
CALLSIGN: KD9MS
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 59492
NAME: Craig Bradley
LOCATION: IL
OPERATORS: KD9MS
CLUB: Society of Midwest Contesters
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.6858.0
SOAPBOX: Bands were not good for a low power station entry.
QSO: 14246 PH 2017-10-28 0004 KD9MS         59  4      LT1F          59  13
QSO: 21261 PH 2017-10-28 0006 KD9MS         59  4      HR1AAB        59  07
QSO: 14242 PH 2017-10-28 0008 KD9MS         59  4      KH6LC         59  31
QSO: 14222 PH 2017-10-28 0015 KD9MS         59  4      XE1B          59  06
QSO: 14216 PH 2017-10-28 0018 KD9MS         59  4      LU8YE         59  13
QSO:  3711 PH 2017-10-28 0210 KD9MS         59  4      VE3JM         59  04
QSO:  3712 PH 2017-10-28 0412 KD9MS         59  4      ZF9CW         59  08
QSO:  3703 PH 2017-10-28 0419 KD9MS         59  4      VE3EJ         59  04
QSO: 14200 PH 2017-10-29 0254 KD9MS         59  4      VE3VEE        59  04
QSO:  7210 PH 2017-10-29 0255 KD9MS         59  4      6Y4T          59  08
QSO:  7218 PH 2017-10-29 0257 KD9MS         59  4      PZ5K          59  09
QSO:  7224 PH 2017-10-29 0258 KD9MS         59  4      P40W          59  09
QSO:  7228 PH 2017-10-29 0259 KD9MS         59  4      VP5W          59  08
QSO:  7212 PH 2017-10-29 0302 KD9MS         59  4      P40T          59  09
QSO:  7203 PH 2017-10-29 0304 KD9MS         59  4      VE3JM         59  04
QSO:  7190 PH 2017-10-29 0308 KD9MS         59  4      CN3A          59  33
QSO:  7176 PH 2017-10-29 0312 KD9MS         59  4      CR3A          59  33
QSO:  7165 PH 2017-10-29 0436 KD9MS         59  4      IO5O          59  15
QSO:  7168 PH 2017-10-29 0436 KD9MS         59  4      EF8R          59  33
QSO: 21353 PH 2017-10-29 1356 KD9MS         59  4      CR6T          59  14
QSO: 21322 PH 2017-10-29 1428 KD9MS         59  4      TM6M          59  14
QSO: 21312 PH 2017-10-29 1759 KD9MS         59  4      CU4DX         59  14
QSO: 14196 PH 2017-10-29 1800 KD9MS         59  4      LZ9W          59  20
QSO: 21318 PH 2017-10-29 1801 KD9MS         59  4      EE7P          59  14
QSO: 14193 PH 2017-10-29 1803 KD9MS         59  4      CR6P          59  14
QSO: 14185 PH 2017-10-29 1805 KD9MS         59  4      CN2R          59  33
QSO: 14347 PH 2017-10-29 1806 KD9MS         59  4      S50K          59  15
QSO: 21336 PH 2017-10-29 1809 KD9MS         59  4      CN3A          59  33
QSO: 14340 PH 2017-10-29 1809 KD9MS         59  4      LX7I          59  14
QSO: 14342 PH 2017-10-29 1810 KD9MS         59  4      LY2W          59  15
QSO: 21345 PH 2017-10-29 1811 KD9MS         59  4      EA7ZY         59  14
QSO: 21356 PH 2017-10-29 1811 KD9MS         59  4      CR3A          59  33
QSO: 21360 PH 2017-10-29 1812 KD9MS         59  4      CR6K          59  14
QSO: 14345 PH 2017-10-29 1814 KD9MS         59  4      LN8W          59  14
QSO: 14329 PH 2017-10-29 1815 KD9MS         59  4      UA2FZ         59  15
QSO: 14327 PH 2017-10-29 1818 KD9MS         59  4      MD2C          59  14
QSO: 14324 PH 2017-10-29 1819 KD9MS         59  4      SN8B          59  15
QSO: 14322 PH 2017-10-29 1819 KD9MS         59  4      SK3W          59  14
QSO: 21371 PH 2017-10-29 1821 KD9MS         59  4      CQ3W          59  33
QSO: 14321 PH 2017-10-29 1822 KD9MS         59  4      KL7RA         59  01
QSO: 14316 PH 2017-10-29 1823 KD9MS         59  4      OM7M          59  15
QSO: 21409 PH 2017-10-29 1824 KD9MS         59  4      TI2CC         59  07
QSO: 14311 PH 2017-10-29 1825 KD9MS         59  4      DL2CC         59  14
QSO: 14309 PH 2017-10-29 1826 KD9MS         59  4      D4C           59  35
QSO: 14308 PH 2017-10-29 1827 KD9MS         59  4      PJ4G          59  09
QSO: 14304 PH 2017-10-29 1829 KD9MS         59  4      EF8R          59  33
QSO: 14297 PH 2017-10-29 1831 KD9MS         59  4      EW6W          59  16
QSO: 21303 PH 2017-10-29 1832 KD9MS         59  4      PJ4G          59  09
QSO: 14294 PH 2017-10-29 1833 KD9MS         59  4      OZ7X          59  14
QSO: 14292 PH 2017-10-29 1836 KD9MS         59  4      HG5A          59  15
QSO: 14290 PH 2017-10-29 1836 KD9MS         59  4      DP6T          59  14
QSO: 14289 PH 2017-10-29 1900 KD9MS         59  4      G5O           59  14
QSO: 14287 PH 2017-10-29 1901 KD9MS         59  4      P33W          59  20
QSO: 14284 PH 2017-10-29 1902 KD9MS         59  4      IR4M          59  15
QSO: 21298 PH 2017-10-29 1903 KD9MS         59  4      PJ4Q          59  09
QSO: 21295 PH 2017-10-29 1907 KD9MS         59  4      PX2A          59  11
QSO: 21292 PH 2017-10-29 1908 KD9MS         59  4      9Y4D          59  09
QSO: 28459 PH 2017-10-29 1911 KD9MS         59  4      FY5KE         59  09
QSO: 28465 PH 2017-10-29 1912 KD9MS         59  4      PJ4G          59  09
QSO: 28467 PH 2017-10-29 1912 KD9MS         59  4      PX2A          59  11
QSO: 28471 PH 2017-10-29 1912 KD9MS         59  4      PJ2T          59  09
QSO: 28474 PH 2017-10-29 1913 KD9MS         59  4      9Y4W          59  09
QSO: 28480 PH 2017-10-29 1914 KD9MS         59  4      LW7DX         59  13
QSO: 28483 PH 2017-10-29 1914 KD9MS         59  4      PP5CY         59  11
QSO: 28486 PH 2017-10-29 1915 KD9MS         59  4      LW6DW         59  13
QSO: 28488 PH 2017-10-29 1915 KD9MS         59  4      PJ4K          59  09
QSO: 28507 PH 2017-10-29 1917 KD9MS         59  4      YV6CR         59  09
QSO: 21288 PH 2017-10-29 1919 KD9MS         59  4      NH6JC         59  31
QSO: 21296 PH 2017-10-29 1920 KD9MS         59  4      N7ZG          59  03
QSO: 21271 PH 2017-10-29 1921 KD9MS         59  4      VE7RAC        59  03
QSO: 28500 PH 2017-10-29 1923 KD9MS         59  4      HK3J          59  09
QSO: 28518 PH 2017-10-29 1923 KD9MS         59  4      PJ4Q          59  09
QSO: 21251 PH 2017-10-29 1924 KD9MS         59  4      NH6V          59  31
QSO: 21240 PH 2017-10-29 1925 KD9MS         59  4      VE5PV         59  04
QSO: 28534 PH 2017-10-29 1926 KD9MS         59  4      V26B          59  08
QSO: 28490 PH 2017-10-29 1928 KD9MS         59  4      P40W          59  09
QSO: 28482 PH 2017-10-29 1930 KD9MS         59  4      LU3DX         59  13
QSO: 28454 PH 2017-10-29 1931 KD9MS         59  4      HP1XT         59  07
QSO: 21242 PH 2017-10-29 1936 KD9MS         59  4      CX2DK         59  13
QSO: 21239 PH 2017-10-29 1937 KD9MS         59  4      CO6LE         59  08
