START-OF-LOG: 3.0
CALLSIGN: DU1R
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 40M
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 192976
NAME: Ramon J Anquilan
LOCATION: DX
OPERATORS: DU1R
CLUB:
CERTIFICATE: YES
CREATED-BY: SD by EI5DI
QSO: 21000 PH 2017-10-28 0148 DU1R        59       27 JF1SEK       59       25
QSO: 21000 PH 2017-10-28 0151 DU1R        59       27 4S7BHG       59       22
QSO: 21000 PH 2017-10-28 0152 DU1R        59       27 JA1YPA       59       25
QSO: 21000 PH 2017-10-28 0152 DU1R        59       27 JE1ZWT       59       25
QSO: 21000 PH 2017-10-28 0152 DU1R        59       27 JF1LMB       59       25
QSO: 21000 PH 2017-10-28 0153 DU1R        59       27 JA8LNR       59       25
QSO: 21000 PH 2017-10-28 0153 DU1R        59       27 JJ1VTE       59       25
QSO: 21000 PH 2017-10-28 0153 DU1R        59       27 JH2DFJ       59       25
QSO: 21000 PH 2017-10-28 0153 DU1R        59       27 JA1IAW       59       25
QSO: 21000 PH 2017-10-28 0154 DU1R        59       27 JH6QFJ       59       25
QSO: 21000 PH 2017-10-28 0154 DU1R        59       27 BI4TGJ       59       24
QSO: 21000 PH 2017-10-28 0155 DU1R        59       27 JR2CRA       59       25
QSO: 21000 PH 2017-10-28 0155 DU1R        59       27 YC0YOU       59       28
QSO: 21000 PH 2017-10-28 0155 DU1R        59       27 YB1TJ        59       28
QSO: 21000 PH 2017-10-28 0156 DU1R        59       27 B9K          59       23
QSO: 21000 PH 2017-10-28 0156 DU1R        59       27 JA1WTI       59       25
QSO: 21000 PH 2017-10-28 0156 DU1R        59       27 JA4DWG       59       25
QSO: 21000 PH 2017-10-28 0157 DU1R        59       27 JA1SHF       59       25
QSO: 21000 PH 2017-10-28 0157 DU1R        59       27 JA1GLE       59       25
QSO: 21000 PH 2017-10-28 0158 DU1R        59       27 JA5FDJ       59       25
QSO: 21000 PH 2017-10-28 0158 DU1R        59       27 JH1EAQ       59       25
QSO: 21000 PH 2017-10-28 0158 DU1R        59       27 JR9CPT       59       25
QSO: 21000 PH 2017-10-28 0158 DU1R        59       27 JR1IOD       59       25
QSO: 21000 PH 2017-10-28 0159 DU1R        59       27 JR1LEV       59       25
QSO: 21000 PH 2017-10-28 0159 DU1R        59       27 JH1BSJ       59       25
QSO: 21000 PH 2017-10-28 0200 DU1R        59       27 JA2BCE       59       25
QSO: 21000 PH 2017-10-28 0201 DU1R        59       27 JR4OFU       59       25
QSO: 21000 PH 2017-10-28 0201 DU1R        59       27 YB3HQM       59       28
QSO: 21000 PH 2017-10-28 0202 DU1R        59       27 YC3GOQ       59       28
QSO: 21000 PH 2017-10-28 0202 DU1R        59       27 JL1LGX       59       25
QSO: 21000 PH 2017-10-28 0202 DU1R        59       27 JA7DRZ       59       25
QSO: 21000 PH 2017-10-28 0203 DU1R        59       27 JI1XOH       59       25
QSO: 21000 PH 2017-10-28 0203 DU1R        59       27 JA3WKK       59       25
QSO: 21000 PH 2017-10-28 0203 DU1R        59       27 JH1HHP       59       25
QSO: 21000 PH 2017-10-28 0204 DU1R        59       27 JN1THL       59       25
QSO: 21000 PH 2017-10-28 0204 DU1R        59       27 JA7XRH       59       25
QSO: 21000 PH 2017-10-28 0205 DU1R        59       27 JA8IJI       59       25
QSO: 21000 PH 2017-10-28 0205 DU1R        59       27 JA7BEW       59       25
QSO: 21000 PH 2017-10-28 0206 DU1R        59       27 JG5UWK       59       25
QSO: 21000 PH 2017-10-28 0206 DU1R        59       27 9M2R         59       28
QSO: 21000 PH 2017-10-28 0206 DU1R        59       27 JR2DOL       59       25
QSO: 21000 PH 2017-10-28 0207 DU1R        59       27 JP1TVC       59       25
QSO: 21000 PH 2017-10-28 0207 DU1R        59       27 JA2HOL       59       25
QSO: 21000 PH 2017-10-28 0207 DU1R        59       27 JA0DOM       59       25
QSO: 21000 PH 2017-10-28 0207 DU1R        59       27 YB2CPO       59       28
QSO: 21000 PH 2017-10-28 0208 DU1R        59       27 JE3FQI       59       25
QSO: 21000 PH 2017-10-28 0208 DU1R        59       27 JS3CTF       59       25
QSO: 21000 PH 2017-10-28 0209 DU1R        59       27 JA2GAL       59       25
QSO: 21000 PH 2017-10-28 0209 DU1R        59       27 JS1KKY       59       25
QSO: 21000 PH 2017-10-28 0209 DU1R        59       27 JR7NXM       59       25
QSO: 21000 PH 2017-10-28 0210 DU1R        59       27 BG6AHD       59       24
QSO: 21000 PH 2017-10-28 0210 DU1R        59       27 JA1JLP       59       25
QSO: 21000 PH 2017-10-28 0210 DU1R        59       27 JA7RPC       59       25
QSO: 21000 PH 2017-10-28 0210 DU1R        59       27 JG1STB       59       25
QSO: 21000 PH 2017-10-28 0211 DU1R        59       27 JA3HU        59       25
QSO: 21000 PH 2017-10-28 0211 DU1R        59       27 JF2WKE       59       25
QSO: 21000 PH 2017-10-28 0211 DU1R        59       27 JA1AGE       59       25
QSO: 21000 PH 2017-10-28 0212 DU1R        59       27 7K3BKZ       59       25
QSO: 21000 PH 2017-10-28 0212 DU1R        59       27 E28AD        59       26
QSO: 21000 PH 2017-10-28 0213 DU1R        59       27 JH3PAS       59       25
QSO: 21000 PH 2017-10-28 0213 DU1R        59       27 XU7AJA       59       26
QSO: 21000 PH 2017-10-28 0214 DU1R        59       27 JN3SAC       59       25
QSO: 21000 PH 2017-10-28 0215 DU1R        59       27 JR1JRW       59       25
QSO: 21000 PH 2017-10-28 0215 DU1R        59       27 UA0SE        59       16
QSO: 21000 PH 2017-10-28 0215 DU1R        59       27 JH7JUO       59       25
QSO: 21000 PH 2017-10-28 0216 DU1R        59       27 JA4JSV       59       25
QSO: 21000 PH 2017-10-28 0216 DU1R        59       27 JM6BYV       59       25
QSO: 21000 PH 2017-10-28 0217 DU1R        59       27 YC6JRT/0     59       28
QSO: 21000 PH 2017-10-28 0217 DU1R        59       27 JE1EDY       59       25
QSO: 21000 PH 2017-10-28 0217 DU1R        59       27 7K1MAG/2     59       25
QSO: 21000 PH 2017-10-28 0218 DU1R        59       27 JH1OTD       59       25
QSO: 21000 PH 2017-10-28 0218 DU1R        59       27 JA3JRI       59       25
QSO: 21000 PH 2017-10-28 0219 DU1R        59       27 JE2GUV       59       25
QSO: 21000 PH 2017-10-28 0219 DU1R        59       27 JR3NZC       59       25
QSO: 21000 PH 2017-10-28 0221 DU1R        59       27 JE6QPI       59       25
QSO: 21000 PH 2017-10-28 0222 DU1R        59       27 JG7AFV       59       25
QSO: 21000 PH 2017-10-28 0222 DU1R        59       27 JH1OTZ       59       25
QSO: 21000 PH 2017-10-28 0223 DU1R        59       27 JH1LZU       59       25
QSO: 21000 PH 2017-10-28 0224 DU1R        59       27 DV1YAI       59       27
QSO: 21000 PH 2017-10-28 0224 DU1R        59       27 JI1NIK       59       25
QSO: 21000 PH 2017-10-28 0224 DU1R        59       27 JR4OZR       59       25
