START-OF-LOG: 3.0
CALLSIGN: PC7B
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE:
NAME: BRAM VALKENBURG
LOCATION: DX
CLUB:
CERTIFICATE: NO
CREATED-BY: LU5DX
QSO: 21187 PH 2017-10-28 1021 PC7B          59  14 	     UP2L 	            59 	17
QSO: 21377 PH 2017-10-28 1025 PC7B 	    59  14 	     CN2AA 	            59 	33
QSO: 14258 PH 2017-10-28 1030 PC7B 	    59  14 	     OF8L 	            59 	15
QSO: 21191 PH 2017-10-28 1035 PC7B 	    59  14 	     R9PA 	            59 	18
QSO: 21197 PH 2017-10-28 1040 PC7B 	    59  14 	     RW0A 	            57 	18
QSO: 28380 PH 2017-10-28 1520 PC7B 	    59  14 	     EA8EAT                 59 	33
QSO: 28580 PH 2017-10-28 1525 PC7B 	    59  14 	     EA8TX 	            59 	33
QSO: 28325 PH 2017-10-28 1555 PC7B 	    59  14 	     PX2A 	            59 	11
QSO: 28543 PH 2017-10-28 1605 PC7B 	    59  14 	     CN2R 	            59 	33
QSO: 21260 PH 2017-10-28 1610 PC7B 	    59  14 	     K1KP 	            58 	05
QSO: 28583 PH 2017-10-28 1620 PC7B 	    59  14 	     CT3HF 	            59 	33
QSO: 21448 PH 2017-10-28 1625 PC7B 	    57  14 	     LT1F 	            55 	13
QSO: 14257 PH 2017-10-28 1700 PC7B 	    59  14 	     4L0A 	            59 	21
QSO:  7138 PH 2017-10-28 1710 PC7B 	    59  14 	     TF3CW 	            57 	14
QSO:  1847 PH 2017-10-28 1930 PC7B 	    59  14 	     M6T 	            59 	14
QSO:  1834 PH 2017-10-28 1930 PC7B 	    59  14 	     SQ7CL 	            57 	15
QSO:  1838 PH 2017-10-29 2235 PC7B 	    59  14 	     DK3BK 	            59 	14
QSO:  1876 PH 2017-10-29 2245 PC7B 	    59  14 	     EU4A 	            59 	16
QSO:  1872 PH 2017-10-29 2245 PC7B 	    59  14 	     DR5N 	            59 	14
QSO:  1835 PH 2017-10-29 2300 PC7B 	    59  14 	     5Q1A 	            59 	14
QSO: 21252 PH 2017-10-29 1110 PC7B 	    59  14 	     SX2X 	            59 	20
QSO: 21181 PH 2017-10-29 1115 PC7B 	    59  14 	     TC0F 	            59 	20
QSO: 21313 PH 2017-10-29 1125 PC7B 	    59  14 	     J42T 	            57 	20
QSO:  7064 PH 2017-10-29 1130 PC7B 	    59  14 	     PA6AA 	            59 	14
QSO: 14154 PH 2017-10-29 1545 PC7B 	    59  14 	     KC1XX 	            59 	05
QSO:  1847 PH 2017-10-29 1555 PC7B 	    59  14 	     LA5YJ 	            59 	14
QSO: 21188 PH 2017-10-29 1605 PC7B 	    58  14 	     XL3T 	            58 	02
QSO: 21142 PH 2017-10-29 1700 PC7B 	    58  14 	     8P5A 	            58 	08
QSO:  7062 PH 2017-10-29 1710 PC7B 	    59  14 	     UP0L 	            57 	17
QSO: 14120 PH 2017-10-29 2020 PC7B 	    58  14 	     VE2IDX 	            58 	04
QSO:  7099 PH 2017-10-29 2040 PC7B 	    59  14 	     UB6B 	            57 	16
QSO:  7069 PH 2017-10-29 2045 PC7B 	    59  14 	     EI9HX 	            58 	14
QSO:  7059 PH 2017-10-29 2045 PC7B 	    59  14 	     CN3A 	            59 	33
QSO:  7050 PH 2017-10-29 2050 PC7B 	    59  14 	     RL9Y 	            59 	18
QSO: 14301 PH 2017-10-29 2205 PC7B 	    59  14 	     EF8R 	            59 	33
QSO:  7163 PH 2017-10-29 2210 PC7B 	    59  14 	     K2LE 	            57 	05
QSO:  3780 PH 2017-10-29 2225 PC7B 	    59  14 	     EF9R 	            59 	33
QSO:  1875 PH 2017-10-29 2230 PC7B 	    59  14 	     ES9C 	            59 	16
QSO:  1868 PH 2017-10-29 2235 PC7B 	    59  14 	     DL7BC 	            58 	14
QSO: 14263 PH 2017-10-29 2240 PC7B 	    59  14 	     CR3A 	            59 	33
QSO:  7149 PH 2017-10-29 2250 PC7B 	    59  14 	     W2RE 	            57 	05
QSO:  7153 PH 2017-10-29 2250 PC7B 	    59  14 	     UP2L 	            59 	17
QSO: 14152 PH 2017-10-29 2300 PC7B 	    57  14 	     PR7AA 	            57 	11
END-OF-LOG:
