START-OF-LOG: 3.0
CALLSIGN: EA6/DK5IR
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 252416
NAME: Jochen Sommer
LOCATION: DX
OPERATORS:  DK5IR
CLUB: German DX Foundation
CERTIFICATE: NO
CREATED-BY: RCKLog V3.27
SOAPBOX: Icom IC-7000,AT 7000 Tuner, Multiband GPA - 6,3m long, 5m high
QSO:  3784 PH 2017-10-28 0522 EA6/DK5IR     59  14     TM3R          59  14     0
QSO:  3613 PH 2017-10-28 0524 EA6/DK5IR     59  14     EA2KB         59  14     0
QSO:  3619 PH 2017-10-28 0524 EA6/DK5IR     59  14     F4BKV         59  14     0
QSO:  3624 PH 2017-10-28 0525 EA6/DK5IR     59  14     DJ5MW         59  14     0
QSO:  3634 PH 2017-10-28 0527 EA6/DK5IR     59  14     IK2YCW        59  15     0
QSO:  3641 PH 2017-10-28 0529 EA6/DK5IR     59  14     S57LR         59  15     0
QSO:  3654 PH 2017-10-28 0532 EA6/DK5IR     59  14     OQ5M          59  14     0
QSO:  3660 PH 2017-10-28 0535 EA6/DK5IR     59  14     S51YI         59  15     0
QSO:  3702 PH 2017-10-28 0543 EA6/DK5IR     59  14     CN2R          59  33     0
QSO:  3698 PH 2017-10-28 0544 EA6/DK5IR     59  14     HB9H          59  14     0
QSO:  3692 PH 2017-10-28 0545 EA6/DK5IR     59  14     EC5AC         59  14     0
QSO:  3681 PH 2017-10-28 0547 EA6/DK5IR     59  14     CR6P          59  14     0
QSO:  3707 PH 2017-10-28 0552 EA6/DK5IR     59  14     DL4SKF        59  14     0
QSO:  3717 PH 2017-10-28 0554 EA6/DK5IR     59  14     CN2AA         59  33     0
QSO:  3770 PH 2017-10-28 0605 EA6/DK5IR     59  14     OT5A          59  14     0
QSO:  3766 PH 2017-10-28 0616 EA6/DK5IR     59  14     CN3A          59  33     0
QSO:  3777 PH 2017-10-28 0619 EA6/DK5IR     59  14     F6DZU         59  14     0
QSO:  3761 PH 2017-10-28 0620 EA6/DK5IR     59  14     EC2DX         59  14     0
QSO:  3727 PH 2017-10-28 0624 EA6/DK5IR     59  14     M6T           59  14     0
