START-OF-LOG: 3.0
CALLSIGN: DL6DJ
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 0
NAME: Dieter (DJ)
LOCATION: DX
CLUB:
CERTIFICATE: NO
CREATED-BY: MixW 3.2
SOAPBOX: CU in the next PSK / SSB / RTTY Contest
QSO: 14100 PH 2017-10-28 1039 DL6DJ         59  14     EW4WE         59  16     0
QSO: 14107 PH 2017-10-28 1041 DL6DJ         59  14     UX1UX         59  16     0
QSO: 14112 PH 2017-10-28 1043 DL6DJ         59  14     SJ0X          59  14     0
QSO: 14126 PH 2017-10-28 1055 DL6DJ         59  14     LY2BAA        59  15     0
QSO: 14128 PH 2017-10-28 1057 DL6DJ         59  14     IO9R          59  15     0
QSO: 14135 PH 2017-10-28 1101 DL6DJ         59  14     YL2CI         59  15     0
QSO: 14139 PH 2017-10-28 1102 DL6DJ         59  14     EI9E          59  14     0
QSO: 14166 PH 2017-10-28 1112 DL6DJ         59  14     OF1F          59  14     0
QSO: 21142 PH 2017-10-28 1123 DL6DJ         59  14     OH6K          59  15     0
QSO:  7079 PH 2017-10-28 1132 DL6DJ         59  14     E73ESP        59  15     0
QSO:  7084 PH 2017-10-28 1133 DL6DJ         59  14     OL9R          59  15     0
QSO:  7095 PH 2017-10-28 1134 DL6DJ         59  14     YT0A          59  15     0
QSO:  7109 PH 2017-10-28 1139 DL6DJ         59  14     LZ9W          59  20     0
QSO:  7139 PH 2017-10-28 1245 DL6DJ         59  14     IK3ZAQ        59  15     0
QSO:  7123 PH 2017-10-28 1358 DL6DJ         59  14     PI4CC         59  14     0
QSO:  7083 PH 2017-10-28 1402 DL6DJ         59  14     OE5CCN        59  15     0
QSO:  7087 PH 2017-10-28 1406 DL6DJ         59  14     E77EA         59  15     0
QSO:  7103 PH 2017-10-28 1410 DL6DJ         59  14     PA0AA         59  14     0
QSO:  7109 PH 2017-10-28 1413 DL6DJ         59  14     YT5X          59  15     0
QSO:  7115 PH 2017-10-28 1417 DL6DJ         59  14     SP3CYY        59  15     0
QSO:  7146 PH 2017-10-28 1423 DL6DJ         59  14     M6T           59  14     0
QSO:  7150 PH 2017-10-28 1424 DL6DJ         59  14     DP6T          59  14     0
QSO:  7161 PH 2017-10-28 1429 DL6DJ         59  14     S54ZZ         59  15     0
QSO:  7167 PH 2017-10-28 1431 DL6DJ         59  14     DF0HQ         59  14     0
QSO:  7171 PH 2017-10-28 1432 DL6DJ         59  14     LZ7A          59  20     0
QSO:  7183 PH 2017-10-28 1435 DL6DJ         59  14     OE2S          59  14     0
QSO:  7186 PH 2017-10-28 1437 DL6DJ         59  14     OK7K          59  15     0
QSO:  7190 PH 2017-10-28 1442 DL6DJ         59  14     RU1A          59  16     0
QSO:  7057 PH 2017-10-28 1721 DL6DJ         59  14     LY7Z          59  15     0
QSO:  7060 PH 2017-10-28 1723 DL6DJ         59  14     R8TT          59  15     0
QSO:  7063 PH 2017-10-28 1724 DL6DJ         59  14     UP0L          59  17     0
QSO: 14103 PH 2017-10-28 1728 DL6DJ         59  14     VE9CB         59  5      0
QSO: 14122 PH 2017-10-28 1731 DL6DJ         59  14     M5B           59  14     0
QSO:  7124 PH 2017-10-28 1857 DL6DJ         59  14     F4DVX         59  14     0
QSO:  7125 PH 2017-10-28 1858 DL6DJ         59  14     YU5R          59  15     0
QSO:  7130 PH 2017-10-28 1905 DL6DJ         59  14     IZ7XUQ        59  15     0
QSO:  7145 PH 2017-10-28 1912 DL6DJ         59  14     US1I          59  16     0
QSO:  7147 PH 2017-10-28 1913 DL6DJ         59  14     EC5AN         59  14     0
QSO:  7152 PH 2017-10-28 1925 DL6DJ         59  14     GI4T          59  14     0
QSO:  7162 PH 2017-10-28 2005 DL6DJ         59  14     IK0PHJ        59  15     0
QSO:  7176 PH 2017-10-28 2010 DL6DJ         59  14     EF7T          59  14     0
QSO:  7061 PH 2017-10-29 0854 DL6DJ         59  14     G3TXF         59  14     0
QSO:  7069 PH 2017-10-29 0857 DL6DJ         59  14     OE5T          59  15     0
QSO:  7073 PH 2017-10-29 0859 DL6DJ         59  14     G8OO          59  14     0
QSO: 14109 PH 2017-10-29 0906 DL6DJ         59  14     IT9BII        59  15     0
QSO: 14113 PH 2017-10-29 0909 DL6DJ         59  14     UA6LUQ        59  16     0
QSO: 14121 PH 2017-10-29 0911 DL6DJ         59  14     RA1AL         59  16     0
QSO: 14123 PH 2017-10-29 0912 DL6DJ         59  14     RU3Q          59  16     0
QSO: 14133 PH 2017-10-29 0913 DL6DJ         59  14     UD4FD         59  16     0
QSO: 14135 PH 2017-10-29 0915 DL6DJ         59  14     R3GM          59  16     0
QSO: 14147 PH 2017-10-29 0918 DL6DJ         59  14     GM6NX         59  14     0
QSO: 14149 PH 2017-10-29 0921 DL6DJ         59  14     EF5T          59  14     0
QSO: 14152 PH 2017-10-29 0922 DL6DJ         59  14     UR7R          59  16     0
QSO: 14162 PH 2017-10-29 0949 DL6DJ         59  14     RT6A          59  16     0
QSO: 14173 PH 2017-10-29 0952 DL6DJ         59  14     RT5Z          59  16     0
QSO: 14178 PH 2017-10-29 0953 DL6DJ         59  14     YP0C          59  20     0
QSO: 14192 PH 2017-10-29 0955 DL6DJ         59  14     GM0V          59  14     0
QSO: 14202 PH 2017-10-29 1000 DL6DJ         59  14     IQ8CS         59  15     0
QSO: 14230 PH 2017-10-29 1009 DL6DJ         59  14     SK3W          59  14     0
QSO: 14233 PH 2017-10-29 1014 DL6DJ         59  14     EI7M          59  14     0
QSO: 14240 PH 2017-10-29 1015 DL6DJ         59  14     CR6K          59  14     0
QSO: 14257 PH 2017-10-29 1017 DL6DJ         59  14     OF8L          59  15     0
QSO: 14260 PH 2017-10-29 1020 DL6DJ         59  14     EA1DR         59  14     0
QSO: 14269 PH 2017-10-29 1026 DL6DJ         59  14     LZ9W          59  20     0
QSO: 14274 PH 2017-10-29 1027 DL6DJ         59  14     GM2T          59  14     0
QSO: 14279 PH 2017-10-29 1029 DL6DJ         59  14     UE1WW         59  16     0
QSO: 14283 PH 2017-10-29 1031 DL6DJ         59  14     LZ5Z          59  20     0
QSO: 14282 PH 2017-10-29 1052 DL6DJ         59  14     EF1W          59  14     0
QSO: 14288 PH 2017-10-29 1054 DL6DJ         59  14     CR6P          59  14     0
QSO: 14290 PH 2017-10-29 1057 DL6DJ         59  14     EW6W          59  16     0
QSO: 14303 PH 2017-10-29 1059 DL6DJ         59  14     M7O           59  14     0
QSO: 14306 PH 2017-10-29 1100 DL6DJ         59  14     LA4C          59  14     0
QSO: 14315 PH 2017-10-29 1103 DL6DJ         59  14     RW1CW         59  16     0
QSO: 14320 PH 2017-10-29 1104 DL6DJ         59  14     EC2DX         59  14     0
QSO: 14342 PH 2017-10-29 1346 DL6DJ         59  14     SV5DKL        59  20     0
QSO: 14332 PH 2017-10-29 1349 DL6DJ         59  14     EI6JK         59  14     0
QSO: 14329 PH 2017-10-29 1350 DL6DJ         59  14     ER4A          59  16     0
QSO: 14326 PH 2017-10-29 1350 DL6DJ         59  14     ED1T          59  14     0
QSO: 14316 PH 2017-10-29 1355 DL6DJ         59  14     RT5K          59  16     0
QSO: 14307 PH 2017-10-29 1356 DL6DJ         59  14     UA4M          59  16     0
QSO: 14288 PH 2017-10-29 1359 DL6DJ         59  14     ES9C          59  15     0
QSO: 14248 PH 2017-10-29 1408 DL6DJ         59  14     UT7CR         59  16     0
QSO: 14218 PH 2017-10-29 1416 DL6DJ         59  14     LY5Y          59  15     0
QSO: 14213 PH 2017-10-29 1420 DL6DJ         59  14     UR4UWY        59  16     0
QSO: 14203 PH 2017-10-29 1422 DL6DJ         59  14     TC0F          59  20     0
QSO: 14201 PH 2017-10-29 1424 DL6DJ         59  14     R7CA          59  16     0
QSO: 14137 PH 2017-10-29 1458 DL6DJ         59  14     RC6U          59  16     0
QSO: 14136 PH 2017-10-29 1459 DL6DJ         59  14     YO3RU         59  20     0
QSO: 14132 PH 2017-10-29 1500 DL6DJ         59  14     RC3W          59  16     0
QSO: 14133 PH 2017-10-29 1502 DL6DJ         59  14     SX1Z          59  20     0
QSO: 14117 PH 2017-10-29 1506 DL6DJ         59  14     UT8UF         59  16     0
QSO: 14104 PH 2017-10-29 1509 DL6DJ         59  14     IR9Z          59  15     0
QSO:  7049 PH 2017-10-29 1827 DL6DJ         59  14     YU5T          59  15     0
QSO:  7058 PH 2017-10-29 1833 DL6DJ         59  14     P33W          59  20     0
QSO:  7065 PH 2017-10-29 1834 DL6DJ         59  14     RW2F          59  15     0
QSO: 14108 PH 2017-10-29 1852 DL6DJ         59  14     XL3T          59  4      0
END-OF-LOG:
