START-OF-LOG: 3.0
CALLSIGN: P49Y
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 5673206
NAME: Andrew L. Faber
LOCATION: DX
OPERATORS: AE6Y
CLUB: Northern California Contest Club
CERTIFICATE: NO
CREATED-BY: CQPWIN VER. 12.9
SOAPBOX: Score is well down from 2015, mainly due to 10m.  But great
SOAPBOX: stateside runs on 40-10 compensated.  Love the Classic category!
QSO: 14268 PH 2017-10-28 0000 P49Y          59  9      N4PN          59     5
QSO: 14268 PH 2017-10-28 0000 P49Y          59  9      W5ZPA         59     4
QSO: 14268 PH 2017-10-28 0000 P49Y          59  9      VE7XF         59     3
QSO: 14268 PH 2017-10-28 0000 P49Y          59  9      AJ4VE         59     5
QSO: 14268 PH 2017-10-28 0000 P49Y          59  9      KC6R          59     4
QSO: 14268 PH 2017-10-28 0001 P49Y          59  9      W1CAT         59     5
QSO: 14268 PH 2017-10-28 0001 P49Y          59  9      K4LAC         59     4
QSO: 14268 PH 2017-10-28 0001 P49Y          59  9      K1XM          59     5
QSO: 14268 PH 2017-10-28 0001 P49Y          59  9      K4ELI         59     5
QSO: 14268 PH 2017-10-28 0001 P49Y          59  9      K3OQ          59     5
QSO: 14268 PH 2017-10-28 0002 P49Y          59  9      KU2C          59     5
QSO: 14268 PH 2017-10-28 0002 P49Y          59  9      AA8DC         59     4
QSO: 14268 PH 2017-10-28 0002 P49Y          59  9      W6LD          59     3
QSO: 14268 PH 2017-10-28 0002 P49Y          59  9      W9PA          59     4
QSO: 14268 PH 2017-10-28 0002 P49Y          59  9      W5YBT         59     4
QSO: 14268 PH 2017-10-28 0003 P49Y          59  9      PP5AO         59    11
QSO: 14268 PH 2017-10-28 0003 P49Y          59  9      KD0NPT        59     4
QSO: 14268 PH 2017-10-28 0003 P49Y          59  9      K0RC          59     4
QSO: 14268 PH 2017-10-28 0003 P49Y          59  9      AC8G          59     4
QSO: 14268 PH 2017-10-28 0004 P49Y          59  9      K3TD          59     5
QSO: 14268 PH 2017-10-28 0004 P49Y          59  9      K6MUG         59     3
QSO: 14268 PH 2017-10-28 0004 P49Y          59  9      KS5Z          59     4
QSO: 14287 PH 2017-10-28 0006 P49Y          59  9      K7RL          59     3
QSO: 14287 PH 2017-10-28 0007 P49Y          59  9      K2GMY         59     3
QSO: 14287 PH 2017-10-28 0007 P49Y          59  9      WO9Z          59     4
QSO: 14287 PH 2017-10-28 0008 P49Y          59  9      AI6V          59     3
QSO: 14287 PH 2017-10-28 0009 P49Y          59  9      N4SL4M        59     5
QSO: 14287 PH 2017-10-28 0009 P49Y          59  9      W7OXB         59     3
QSO: 14287 PH 2017-10-28 0010 P49Y          59  9      KE5AX         59     3
QSO: 14287 PH 2017-10-28 0011 P49Y          59  9      WA0JZK        59     4
QSO: 14287 PH 2017-10-28 0012 P49Y          59  9      N7AT          59     3
QSO: 14287 PH 2017-10-28 0012 P49Y          59  9      W7UDG         59     3
QSO: 14287 PH 2017-10-28 0013 P49Y          59  9      K4OY          59     5
QSO: 14250 PH 2017-10-28 0016 P49Y          59  9      KH7XS         59    31
QSO: 14237 PH 2017-10-28 0018 P49Y          59  9      HI3T          59     8
QSO: 14237 PH 2017-10-28 0020 P49Y          59  9      YV5EMG        59     9
QSO: 14237 PH 2017-10-28 0020 P49Y          59  9      PV8DX         59    11
QSO: 14262 PH 2017-10-28 0022 P49Y          59  9      RT0C          59    19
QSO: 14290 PH 2017-10-28 0023 P49Y          59  9      PX2A          59    11
QSO: 14302 PH 2017-10-28 0024 P49Y          59  9      LU5FC         59    13
QSO: 14309 PH 2017-10-28 0024 P49Y          59  9      JR8YLW        59    25
QSO: 14315 PH 2017-10-28 0025 P49Y          59  9      JH4UYB        59    25
QSO: 14322 PH 2017-10-28 0025 P49Y          59  9      JR4OZR        59    25
QSO: 14329 PH 2017-10-28 0026 P49Y          59  9      PY1GQ         59    11
QSO: 14258 PH 2017-10-28 0027 P49Y          59  9      KH7CW         59    31
QSO: 7175  PH 2017-10-28 0030 P49Y          59  9      RT6A          59    16
QSO: 7186  PH 2017-10-28 0031 P49Y          59  9      OK7K          59    15
QSO: 7218  PH 2017-10-28 0032 P49Y          59  9      N6AR          59     5
QSO: 7218  PH 2017-10-28 0032 P49Y          59  9      KD4QMY        59     5
QSO: 7218  PH 2017-10-28 0033 P49Y          59  9      N4DUE         59     5
QSO: 7218  PH 2017-10-28 0033 P49Y          59  9      K3TD          59     5
QSO: 7218  PH 2017-10-28 0033 P49Y          59  9      N1DID         59     5
QSO: 7218  PH 2017-10-28 0033 P49Y          59  9      W1ZR          59     5
QSO: 7218  PH 2017-10-28 0033 P49Y          59  9      K1KA          59     5
QSO: 7218  PH 2017-10-28 0034 P49Y          59  9      WA4NID        59     5
QSO: 7218  PH 2017-10-28 0034 P49Y          59  9      VY2GF         59     5
QSO: 7218  PH 2017-10-28 0034 P49Y          59  9      W8PR          59     4
QSO: 7218  PH 2017-10-28 0034 P49Y          59  9      W9PA          59     4
QSO: 7218  PH 2017-10-28 0035 P49Y          59  9      WA3C          59     4
QSO: 7218  PH 2017-10-28 0035 P49Y          59  9      NZ3O          59     5
QSO: 7218  PH 2017-10-28 0035 P49Y          59  9      K1JB          59     5
QSO: 7218  PH 2017-10-28 0035 P49Y          59  9      K9CT          59     4
QSO: 7218  PH 2017-10-28 0035 P49Y          59  9      AB3CX         59     5
QSO: 7218  PH 2017-10-28 0035 P49Y          59  9      KE2TR         59     5
QSO: 7218  PH 2017-10-28 0035 P49Y          59  9      K4JDF         59     5
QSO: 7218  PH 2017-10-28 0036 P49Y          59  9      VE9ML         59     5
QSO: 7218  PH 2017-10-28 0036 P49Y          59  9      W1GQ          59     5
QSO: 7218  PH 2017-10-28 0036 P49Y          59  9      N3RS          59     5
QSO: 7218  PH 2017-10-28 0036 P49Y          59  9      K2CYE         59     5
QSO: 7218  PH 2017-10-28 0036 P49Y          59  9      W0QC          59     4
QSO: 7218  PH 2017-10-28 0036 P49Y          59  9      KC1XX         59     5
QSO: 7218  PH 2017-10-28 0036 P49Y          59  9      K1ZZ          59     5
QSO: 7218  PH 2017-10-28 0036 P49Y          59  9      K3LR          59     5
QSO: 7218  PH 2017-10-28 0037 P49Y          59  9      N0IJ          59     4
QSO: 7218  PH 2017-10-28 0037 P49Y          59  9      N3AD          59     5
QSO: 7218  PH 2017-10-28 0037 P49Y          59  9      4M8E          59     9
QSO: 7218  PH 2017-10-28 0037 P49Y          59  9      N5DX          59     5
QSO: 7218  PH 2017-10-28 0037 P49Y          59  9      AA3B          59     5
QSO: 7218  PH 2017-10-28 0038 P49Y          59  9      W3JX          59     5
QSO: 7218  PH 2017-10-28 0038 P49Y          59  9      K3FMQ         59     5
QSO: 7218  PH 2017-10-28 0038 P49Y          59  9      N2MM          59     5
QSO: 7218  PH 2017-10-28 0038 P49Y          59  9      W1CTN         59     5
QSO: 7218  PH 2017-10-28 0038 P49Y          59  9      K1XM          59     5
QSO: 7218  PH 2017-10-28 0038 P49Y          59  9      K1RH          59     5
QSO: 7218  PH 2017-10-28 0039 P49Y          59  9      K3MD          59     5
QSO: 7218  PH 2017-10-28 0039 P49Y          59  9      ND7J          59     5
QSO: 7218  PH 2017-10-28 0039 P49Y          59  9      KD4VDZ        59     4
QSO: 7218  PH 2017-10-28 0039 P49Y          59  9      K1LU          59     5
QSO: 7218  PH 2017-10-28 0039 P49Y          59  9      W1FM          59     5
QSO: 7218  PH 2017-10-28 0039 P49Y          59  9      K2CJ          59     5
QSO: 7218  PH 2017-10-28 0040 P49Y          59  9      WA3AAN        59     5
QSO: 7218  PH 2017-10-28 0040 P49Y          59  9      YY1JLV        59     9
QSO: 7218  PH 2017-10-28 0040 P49Y          59  9      VE2BWL        59     5
QSO: 7218  PH 2017-10-28 0041 P49Y          59  9      N3AM          59     5
QSO: 7218  PH 2017-10-28 0041 P49Y          59  9      N4PSE         59     5
QSO: 7218  PH 2017-10-28 0041 P49Y          59  9      K4JKB         59     5
QSO: 7218  PH 2017-10-28 0041 P49Y          59  9      W3UA          59     5
QSO: 7218  PH 2017-10-28 0041 P49Y          59  9      KA1IOR        59     5
QSO: 7218  PH 2017-10-28 0041 P49Y          59  9      N4WW          59     5
QSO: 7218  PH 2017-10-28 0042 P49Y          59  9      K4XR          59     4
QSO: 7218  PH 2017-10-28 0042 P49Y          59  9      KA2KON        59     5
QSO: 7218  PH 2017-10-28 0042 P49Y          59  9      NK3Y          59     5
QSO: 7218  PH 2017-10-28 0042 P49Y          59  9      N4LT          59     5
QSO: 7218  PH 2017-10-28 0042 P49Y          59  9      K4ODQ         59     5
QSO: 7218  PH 2017-10-28 0043 P49Y          59  9      WA3RSL        59     5
QSO: 7218  PH 2017-10-28 0043 P49Y          59  9      NW3Y          59     5
QSO: 7218  PH 2017-10-28 0043 P49Y          59  9      W3LPL         59     5
QSO: 7218  PH 2017-10-28 0043 P49Y          59  9      W1EBI         59     5
QSO: 7218  PH 2017-10-28 0043 P49Y          59  9      W3EP          59     5
QSO: 7218  PH 2017-10-28 0043 P49Y          59  9      W3KB          59     5
QSO: 7218  PH 2017-10-28 0043 P49Y          59  9      W7WA          59     3
QSO: 7218  PH 2017-10-28 0044 P49Y          59  9      K4ARE         59     5
QSO: 7218  PH 2017-10-28 0044 P49Y          59  9      WW4LL         59     5
QSO: 7218  PH 2017-10-28 0044 P49Y          59  9      W1UK          59     5
QSO: 7218  PH 2017-10-28 0044 P49Y          59  9      N2SQW         59     5
QSO: 7218  PH 2017-10-28 0044 P49Y          59  9      W1NT          59     5
QSO: 7218  PH 2017-10-28 0045 P49Y          59  9      NG3J          59     5
QSO: 7218  PH 2017-10-28 0045 P49Y          59  9      AA9A          59     4
QSO: 7218  PH 2017-10-28 0045 P49Y          59  9      KU4FX         59     5
QSO: 7218  PH 2017-10-28 0045 P49Y          59  9      K2RD          59     3
QSO: 7218  PH 2017-10-28 0045 P49Y          59  9      WB2WPM        59     5
QSO: 7218  PH 2017-10-28 0046 P49Y          59  9      N1MM          59     5
QSO: 7218  PH 2017-10-28 0046 P49Y          59  9      AA1ON         59     5
QSO: 7218  PH 2017-10-28 0046 P49Y          59  9      N0MA          59     4
QSO: 7218  PH 2017-10-28 0046 P49Y          59  9      W3LL          59     5
QSO: 7218  PH 2017-10-28 0046 P49Y          59  9      W3UC          59     5
QSO: 7218  PH 2017-10-28 0046 P49Y          59  9      AA1V          59     5
QSO: 7218  PH 2017-10-28 0046 P49Y          59  9      W2CG          59     5
QSO: 7218  PH 2017-10-28 0047 P49Y          59  9      W1ZZ          59     5
QSO: 7218  PH 2017-10-28 0047 P49Y          59  9      W5PAA         59     4
QSO: 7218  PH 2017-10-28 0047 P49Y          59  9      N4RA          59     5
QSO: 7218  PH 2017-10-28 0047 P49Y          59  9      KB3DC         59     5
QSO: 7218  PH 2017-10-28 0048 P49Y          59  9      WA3F          59     5
QSO: 7218  PH 2017-10-28 0048 P49Y          59  9      AK1N          59     5
QSO: 7218  PH 2017-10-28 0048 P49Y          59  9      WC2L          59     5
QSO: 7218  PH 2017-10-28 0048 P49Y          59  9      W4TTY         59     5
QSO: 7218  PH 2017-10-28 0048 P49Y          59  9      N1MD          59     5
QSO: 7218  PH 2017-10-28 0048 P49Y          59  9      KA1EKR        59     5
QSO: 7218  PH 2017-10-28 0049 P49Y          59  9      N4YA          59     5
QSO: 7218  PH 2017-10-28 0049 P49Y          59  9      W4VIC         59     5
QSO: 7218  PH 2017-10-28 0049 P49Y          59  9      VC3C2C        59     4
QSO: 7218  PH 2017-10-28 0049 P49Y          59  9      WX1S          59     5
QSO: 7218  PH 2017-10-28 0049 P49Y          59  9      W1HIS         59     5
QSO: 7218  PH 2017-10-28 0050 P49Y          59  9      NJ1T          59     5
QSO: 7218  PH 2017-10-28 0050 P49Y          59  9      W3MF          59     5
QSO: 7218  PH 2017-10-28 0050 P49Y          59  9      W3CF          59     5
QSO: 7218  PH 2017-10-28 0050 P49Y          59  9      KG2S          59     5
QSO: 7218  PH 2017-10-28 0050 P49Y          59  9      W0AIH         59     4
QSO: 7218  PH 2017-10-28 0051 P49Y          59  9      W2FDJ         59     5
QSO: 7218  PH 2017-10-28 0051 P49Y          59  9      N3YPJ         59     5
QSO: 7218  PH 2017-10-28 0051 P49Y          59  9      W2IRT         59     5
QSO: 7218  PH 2017-10-28 0051 P49Y          59  9      K1LK          59     5
QSO: 7218  PH 2017-10-28 0051 P49Y          59  9      K4LPQ         59     4
QSO: 7218  PH 2017-10-28 0051 P49Y          59  9      K3CCR         59     5
QSO: 7218  PH 2017-10-28 0052 P49Y          59  9      AB1XX         59     5
QSO: 7218  PH 2017-10-28 0052 P49Y          59  9      K0OU          59     4
QSO: 7218  PH 2017-10-28 0052 P49Y          59  9      KG4VDZ        59     5
QSO: 7218  PH 2017-10-28 0052 P49Y          59  9      N4UK          59     5
QSO: 7218  PH 2017-10-28 0052 P49Y          59  9      K2LE          59     5
QSO: 7218  PH 2017-10-28 0053 P49Y          59  9      K3ZU          59     5
QSO: 7218  PH 2017-10-28 0053 P49Y          59  9      WK1J          59     5
QSO: 7218  PH 2017-10-28 0053 P49Y          59  9      VE3GNI        59     4
QSO: 7218  PH 2017-10-28 0053 P49Y          59  9      W4JAM         59     5
QSO: 7218  PH 2017-10-28 0053 P49Y          59  9      K0EJ          59     4
QSO: 7218  PH 2017-10-28 0053 P49Y          59  9      N2SR          59     5
QSO: 7218  PH 2017-10-28 0054 P49Y          59  9      WB2P          59     5
QSO: 7218  PH 2017-10-28 0054 P49Y          59  9      K1ESE         59     5
QSO: 7218  PH 2017-10-28 0054 P49Y          59  9      N0ZS          59     4
QSO: 7218  PH 2017-10-28 0054 P49Y          59  9      W2IKN         59     5
QSO: 7218  PH 2017-10-28 0054 P49Y          59  9      K5EK          59     5
QSO: 7218  PH 2017-10-28 0054 P49Y          59  9      NX2X          59     5
QSO: 7218  PH 2017-10-28 0055 P49Y          59  9      K1PAM         59     5
QSO: 7218  PH 2017-10-28 0055 P49Y          59  9      KC2QJB        59     5
QSO: 7218  PH 2017-10-28 0055 P49Y          59  9      K3CWF         59     5
QSO: 7218  PH 2017-10-28 0055 P49Y          59  9      K1KP          59     5
QSO: 7218  PH 2017-10-28 0055 P49Y          59  9      K1BZ          59     5
QSO: 7218  PH 2017-10-28 0056 P49Y          59  9      KB5IPK        59     4
QSO: 7218  PH 2017-10-28 0056 P49Y          59  9      KG4FSE        59     4
QSO: 7218  PH 2017-10-28 0057 P49Y          59  9      W3FV          59     5
QSO: 7218  PH 2017-10-28 0057 P49Y          59  9      KC8QDQ        59     4
QSO: 7218  PH 2017-10-28 0057 P49Y          59  9      NF7E          59     3
QSO: 7218  PH 2017-10-28 0057 P49Y          59  9      W1AF          59     5
QSO: 7218  PH 2017-10-28 0057 P49Y          59  9      K3WI          59     5
QSO: 7218  PH 2017-10-28 0058 P49Y          59  9      W1ASB         59     5
QSO: 7218  PH 2017-10-28 0058 P49Y          59  9      N2JF          59     5
QSO: 7218  PH 2017-10-28 0058 P49Y          59  9      NV9L          59     4
QSO: 7218  PH 2017-10-28 0058 P49Y          59  9      KZ2I          59     5
QSO: 7218  PH 2017-10-28 0058 P49Y          59  9      WA3AFS        59     5
QSO: 7218  PH 2017-10-28 0058 P49Y          59  9      W5MX          59     4
QSO: 7218  PH 2017-10-28 0059 P49Y          59  9      W3OA          59     5
QSO: 7218  PH 2017-10-28 0059 P49Y          59  9      KE5NJ         59     5
QSO: 7218  PH 2017-10-28 0059 P49Y          59  9      N8II          59     5
QSO: 7218  PH 2017-10-28 0059 P49Y          59  9      K4DG          59     4
QSO: 7218  PH 2017-10-28 0100 P49Y          59  9      K4SXT         59     5
QSO: 7218  PH 2017-10-28 0100 P49Y          59  9      KM4HI         59     5
QSO: 7218  PH 2017-10-28 0100 P49Y          59  9      W4ML          59     5
QSO: 7218  PH 2017-10-28 0100 P49Y          59  9      KC1SS         59     5
QSO: 7218  PH 2017-10-28 0100 P49Y          59  9      N9NC          59     5
QSO: 7218  PH 2017-10-28 0101 P49Y          59  9      N1ERS         59     5
QSO: 7218  PH 2017-10-28 0101 P49Y          59  9      KB4GYT        59     5
QSO: 7218  PH 2017-10-28 0101 P49Y          59  9      W1KRS         59     5
QSO: 7218  PH 2017-10-28 0101 P49Y          59  9      KA1O          59     5
QSO: 7218  PH 2017-10-28 0101 P49Y          59  9      WT9Q          59     4
QSO: 7218  PH 2017-10-28 0101 P49Y          59  9      W1GD          59     5
QSO: 7218  PH 2017-10-28 0101 P49Y          59  9      K2RET         59     5
QSO: 7218  PH 2017-10-28 0102 P49Y          59  9      AD4TJ         59     5
QSO: 7218  PH 2017-10-28 0102 P49Y          59  9      W4GHV         59     5
QSO: 7218  PH 2017-10-28 0102 P49Y          59  9      N5VU          59     4
QSO: 7218  PH 2017-10-28 0103 P49Y          59  9      K3NDM         59     5
QSO: 7218  PH 2017-10-28 0103 P49Y          59  9      N8WXQ         59     5
QSO: 7218  PH 2017-10-28 0103 P49Y          59  9      K2XA          59     5
QSO: 7218  PH 2017-10-28 0103 P49Y          59  9      WA2C          59     5
QSO: 7218  PH 2017-10-28 0103 P49Y          59  9      KC1HBG        59     5
QSO: 7218  PH 2017-10-28 0103 P49Y          59  9      WJ2D          59     5
QSO: 7218  PH 2017-10-28 0103 P49Y          59  9      WB2MSB        59     5
QSO: 7218  PH 2017-10-28 0104 P49Y          59  9      N4XL          59     5
QSO: 7218  PH 2017-10-28 0104 P49Y          59  9      K1IX          59     5
QSO: 7218  PH 2017-10-28 0104 P49Y          59  9      K4FYM         59     5
QSO: 7218  PH 2017-10-28 0104 P49Y          59  9      N1CPL         59     5
QSO: 7218  PH 2017-10-28 0104 P49Y          59  9      KM4JQS        59     4
QSO: 7218  PH 2017-10-28 0104 P49Y          59  9      W3GM          59     5
QSO: 7218  PH 2017-10-28 0104 P49Y          59  9      KB0EO         59     4
QSO: 7218  PH 2017-10-28 0105 P49Y          59  9      N1IBM         59     5
QSO: 7218  PH 2017-10-28 0105 P49Y          59  9      VA3DF         59     4
QSO: 7218  PH 2017-10-28 0105 P49Y          59  9      V47JA         59     8
QSO: 7218  PH 2017-10-28 0105 P49Y          59  9      N2TK          59     5
QSO: 7218  PH 2017-10-28 0105 P49Y          59  9      K1PL          59     5
QSO: 7218  PH 2017-10-28 0105 P49Y          59  9      N3RJ          59     5
QSO: 7218  PH 2017-10-28 0106 P49Y          59  9      KM4NXW        59     5
QSO: 7218  PH 2017-10-28 0106 P49Y          59  9      VE9FI         59     5
QSO: 7218  PH 2017-10-28 0106 P49Y          59  9      KM4IAJ        59     5
QSO: 7218  PH 2017-10-28 0106 P49Y          59  9      NE3F          59     5
QSO: 7218  PH 2017-10-28 0106 P49Y          59  9      K5VIP         59     5
QSO: 7218  PH 2017-10-28 0107 P49Y          59  9      W5XF          59     4
QSO: 7218  PH 2017-10-28 0107 P49Y          59  9      W3WW          59     5
QSO: 7218  PH 2017-10-28 0107 P49Y          59  9      N3AM          59     5
QSO: 7218  PH 2017-10-28 0107 P49Y          59  9      W3EA          59     5
QSO: 7218  PH 2017-10-28 0107 P49Y          59  9      KE1IH         59     5
QSO: 7218  PH 2017-10-28 0107 P49Y          59  9      W3MBC         59     5
QSO: 7218  PH 2017-10-28 0107 P49Y          59  9      K1HT          59     5
QSO: 7218  PH 2017-10-28 0107 P49Y          59  9      VA3UG         59     4
QSO: 7218  PH 2017-10-28 0107 P49Y          59  9      K5UA          59     4
QSO: 7218  PH 2017-10-28 0108 P49Y          59  9      W1QK          59     5
QSO: 7218  PH 2017-10-28 0108 P49Y          59  9      N9CDD         59     4
QSO: 7218  PH 2017-10-28 0108 P49Y          59  9      NN0Q          59     4
QSO: 7218  PH 2017-10-28 0108 P49Y          59  9      KC3FME        59     5
QSO: 7218  PH 2017-10-28 0109 P49Y          59  9      VE2IDX        59     2
QSO: 7218  PH 2017-10-28 0109 P49Y          59  9      K8PGJ         59     4
QSO: 7218  PH 2017-10-28 0109 P49Y          59  9      WB8WIV        59     4
QSO: 7218  PH 2017-10-28 0110 P49Y          59  9      WB9EDP        59     4
QSO: 7218  PH 2017-10-28 0110 P49Y          59  9      W2NO          59     5
QSO: 7218  PH 2017-10-28 0110 P49Y          59  9      W9UXZ         59     4
QSO: 7218  PH 2017-10-28 0110 P49Y          59  9      KY4D          59     4
QSO: 7218  PH 2017-10-28 0110 P49Y          59  9      N8LGP         59     4
QSO: 7218  PH 2017-10-28 0111 P49Y          59  9      N2CW          59     5
QSO: 7218  PH 2017-10-28 0111 P49Y          59  9      KE0CRP        59     4
QSO: 7218  PH 2017-10-28 0111 P49Y          59  9      K8JHD         59     5
QSO: 7218  PH 2017-10-28 0111 P49Y          59  9      WA9TTC        59     5
QSO: 7218  PH 2017-10-28 0112 P49Y          59  9      CO2RQ         59     8
QSO: 7218  PH 2017-10-28 0112 P49Y          59  9      KB2KDP        59     5
QSO: 7218  PH 2017-10-28 0112 P49Y          59  9      N1UR          59     5
QSO: 7218  PH 2017-10-28 0112 P49Y          59  9      KB1WXM        59     5
QSO: 7218  PH 2017-10-28 0112 P49Y          59  9      NT5V          59     4
QSO: 7218  PH 2017-10-28 0112 P49Y          59  9      W8JY          59     4
QSO: 7218  PH 2017-10-28 0113 P49Y          59  9      K5GS          59     3
QSO: 7218  PH 2017-10-28 0113 P49Y          59  9      W9RE          59     4
QSO: 7218  PH 2017-10-28 0113 P49Y          59  9      K8AZ          59     4
QSO: 7218  PH 2017-10-28 0113 P49Y          59  9      VE6WZ         59     4
QSO: 7218  PH 2017-10-28 0113 P49Y          59  9      K3OO          59     5
QSO: 7218  PH 2017-10-28 0113 P49Y          59  9      W8MJ          59     4
QSO: 7218  PH 2017-10-28 0113 P49Y          59  9      N4GG          59     5
QSO: 7218  PH 2017-10-28 0114 P49Y          59  9      W1AEC         59     5
QSO: 7218  PH 2017-10-28 0114 P49Y          59  9      AE1EZ         59     5
QSO: 7218  PH 2017-10-28 0114 P49Y          59  9      NF1O          59     5
QSO: 7218  PH 2017-10-28 0114 P49Y          59  9      KB3Z          59     5
QSO: 7218  PH 2017-10-28 0114 P49Y          59  9      K1RM          59     5
QSO: 7218  PH 2017-10-28 0114 P49Y          59  9      KT3Y          59     5
QSO: 7218  PH 2017-10-28 0115 P49Y          59  9      KB8ZGL        59     4
QSO: 7218  PH 2017-10-28 0115 P49Y          59  9      WB2NFL        59     5
QSO: 7218  PH 2017-10-28 0115 P49Y          59  9      WK1DS         59     5
QSO: 7218  PH 2017-10-28 0115 P49Y          59  9      K3MOV         59     5
QSO: 7218  PH 2017-10-28 0116 P49Y          59  9      N9GH          59     4
QSO: 7218  PH 2017-10-28 0116 P49Y          59  9      W8GR          59     4
QSO: 7218  PH 2017-10-28 0116 P49Y          59  9      K4BBH         59     5
QSO: 7218  PH 2017-10-28 0116 P49Y          59  9      KK4ENI        59     5
QSO: 7218  PH 2017-10-28 0116 P49Y          59  9      AG4IL         59     5
QSO: 7218  PH 2017-10-28 0117 P49Y          59  9      N4QBS         59     5
QSO: 7218  PH 2017-10-28 0117 P49Y          59  9      K3MA          59     5
QSO: 7218  PH 2017-10-28 0117 P49Y          59  9      K3IE          59     4
QSO: 7218  PH 2017-10-28 0117 P49Y          59  9      N8ZXB         59     4
QSO: 7218  PH 2017-10-28 0117 P49Y          59  9      K1BZM         59     5
