START-OF-LOG: 3.0
CALLSIGN: AC3BQ
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: ROOKIE
CLAIMED-SCORE: 2331
NAME: FRANK CONTI JR.
LOCATION: EPA
OPERATORS: AC3BQ
CLUB:
CERTIFICATE: YES
CREATED-BY: DXKEEPER 14.2.2
SOAPBOX: Just licensed 2 weeks ago - What an awesome contest!
QSO:  7191 PH 2017-10-28 1007 AC3BQ         59  05     PJ2T          59  09
QSO:  7184 PH 2017-10-28 1052 AC3BQ         59  05     6Y1LZ         59  08
QSO:  1857 PH 2017-10-29 0033 AC3BQ         59  05     K3LR          59  05
QSO: 21300 PH 2017-10-29 1212 AC3BQ         59  05     K3WW          59  05
QSO: 21337 PH 2017-10-29 1228 AC3BQ         59  05     TM4Q          59  14
QSO: 21341 PH 2017-10-29 1248 AC3BQ         59  05     EA8AM         59  33
QSO: 21358 PH 2017-10-29 1341 AC3BQ         59  05     EE2K          59  14
QSO: 21353 PH 2017-10-29 1346 AC3BQ         59  05     CR6T          59  14
QSO: 21352 PH 2017-10-29 1355 AC3BQ         59  05     IR4X          59  15
QSO: 21328 PH 2017-10-29 1455 AC3BQ         59  05     CQ3W          59  33
QSO: 21322 PH 2017-10-29 1529 AC3BQ         59  05     TM6M          59  14
QSO: 21293 PH 2017-10-29 1644 AC3BQ         59  05     PJ4K          59  09
QSO: 21287 PH 2017-10-29 1710 AC3BQ         59  05     CN2R          59  33
QSO: 21287 PH 2017-10-29 1833 AC3BQ         59  05     ZF2AH         59  08
QSO: 21247 PH 2017-10-29 1838 AC3BQ         59  05     PP2CC         59  11
QSO: 21244 PH 2017-10-29 1843 AC3BQ         59  05     CX2DK         59  13
QSO: 21218 PH 2017-10-29 1857 AC3BQ         59  05     HI3K          59  08
QSO: 21216 PH 2017-10-29 2015 AC3BQ         59  05     CO6LC         59  08
QSO: 21205 PH 2017-10-29 2021 AC3BQ         59  05     HK3C          59  09
QSO: 21205 PH 2017-10-29 2026 AC3BQ         59  05     PY2KJ         59  11
QSO: 21419 PH 2017-10-29 2034 AC3BQ         59  05     CE2WNW        59  12
QSO: 21393 PH 2017-10-29 2041 AC3BQ         59  05     CX4BW         59  13
QSO: 21390 PH 2017-10-29 2046 AC3BQ         59  05     D4Z           59  35
QSO: 21369 PH 2017-10-29 2121 AC3BQ         59  05     9Y4W          59  09
QSO: 21360 PH 2017-10-29 2125 AC3BQ         59  05     VE5PV         59  05
QSO: 21343 PH 2017-10-29 2134 AC3BQ         59  05     V31VK         59  07
END-OF-LOG:
