START-OF-LOG: 3.0
CALLSIGN: N3XKB
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 5778
NAME: Bob Darlington
LOCATION: NM
OPERATORS: N3XKB
CLUB: Los Alamos Amateur Radio Club
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.6858.0
SOAPBOX: My first DX contest.  Really helped toward a DXCC.
QSO:  7193 PH 2017-10-28 0700 N3XKB         59  04     KH6J          59  31
QSO:  7172 PH 2017-10-28 0705 N3XKB         59  04     FM5BH         59  08
QSO:  7151 PH 2017-10-28 0710 N3XKB         59  04     W3LPL         59  05
QSO:  7163 PH 2017-10-28 0712 N3XKB         59  04     PJ4Q          59  09
QSO:  7176 PH 2017-10-28 0715 N3XKB         59  04     CE3CT         59  12
QSO:  7167 PH 2017-10-28 0731 N3XKB         59  04     VE3EJ         59  04
QSO:  7134 PH 2017-10-28 0735 N3XKB         59  04     PQ5B          59  11
QSO:  7102 PH 2017-10-28 0739 N3XKB         59  04     LU5FC         59  13
QSO:  7170 PH 2017-10-28 0745 N3XKB         59  04     4M8E          59  09
QSO:  7182 PH 2017-10-28 0749 N3XKB         59  04     6Y1LZ         59  08
QSO:  7199 PH 2017-10-28 0755 N3XKB         59  04     ZV5O          59  11
QSO:  7202 PH 2017-10-28 0756 N3XKB         59  04     8P5A          59  08
QSO:  7222 PH 2017-10-28 0759 N3XKB         59  04     HI3T          59  08
QSO:  7191 PH 2017-10-28 0804 N3XKB         59  04     PJ2T          59  09
QSO:  7168 PH 2017-10-28 0814 N3XKB         59  04     V26B          59  08
QSO:  7155 PH 2017-10-28 0818 N3XKB         59  04     PJ4G          59  09
QSO:  7126 PH 2017-10-28 0820 N3XKB         59  04     9Y4W          59  09
QSO:  7116 PH 2017-10-28 0822 N3XKB         59  04     ZF9CW         59  08
QSO:  7160 PH 2017-10-28 0834 N3XKB         59  04     HI3K          59  08
QSO:  7197 PH 2017-10-28 0840 N3XKB         59  04     PZ5K          59  09
QSO:  7216 PH 2017-10-28 0841 N3XKB         59  04     6Y4T          59  08
QSO:  7200 PH 2017-10-28 0843 N3XKB         59  04     WW4LL         59  05
QSO:  7174 PH 2017-10-28 0856 N3XKB         59  04     PY5WW         59  11
QSO:  7161 PH 2017-10-28 0911 N3XKB         59  04     P40T          59  09
QSO: 14175 PH 2017-10-28 1557 N3XKB         59  04     KH7XS         59  31
QSO: 21443 PH 2017-10-28 1602 N3XKB         59  04     LX7I          59  14
QSO: 14266 PH 2017-10-28 1939 N3XKB         59  04     VE2IDX        59  02
QSO: 21441 PH 2017-10-28 1949 N3XKB         59  04     C6ARW         59  08
QSO: 21447 PH 2017-10-28 1950 N3XKB         59  04     ZZ2T          59  11
QSO: 21426 PH 2017-10-28 1950 N3XKB         59  04     PJ2T          59  09
QSO: 21407 PH 2017-10-28 1956 N3XKB         59  04     TI5W          59  07
QSO: 21397 PH 2017-10-28 1957 N3XKB         59  04     PY2TKB        59  11
QSO: 21280 PH 2017-10-28 2000 N3XKB         59  04     VE3JM         59  04
QSO: 21272 PH 2017-10-28 2002 N3XKB         59  04     ZV2C          59  11
QSO: 21268 PH 2017-10-28 2002 N3XKB         59  04     HC0E          59  10
QSO: 21239 PH 2017-10-28 2004 N3XKB         59  04     LU8YE         59  13
QSO: 21223 PH 2017-10-28 2010 N3XKB         59  04     LT1F          59  13
QSO: 21275 PH 2017-10-28 2011 N3XKB         59  04     PP2CC         59  11
QSO: 14263 PH 2017-10-28 2021 N3XKB         59  04     IR4X          59  15
QSO: 14169 PH 2017-10-28 2056 N3XKB         59  04     D4C           59  35
QSO: 14167 PH 2017-10-28 2338 N3XKB         59  04     WW4LL         59  05
QSO:  7146 PH 2017-10-29 0444 N3XKB         59  04     CN2AA         59  33
QSO:  7190 PH 2017-10-29 0509 N3XKB         59  04     CN3A          59  33
END-OF-LOG:
