START-OF-LOG: 3.0
CALLSIGN: W6KA
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 74160
NAME: John Minger
LOCATION: LAX
OPERATORS: WA6DZS WB6YJJ W6ELI AA6QI KM6EDI N1BN N6ZKQ AC6VV AF6QR W6MES W2BAY
CLUB: Pasadena Radio Club
CERTIFICATE: NO
CREATED-BY: N3FJP's CQ WW DX Contest Log 5.5
QSO:  7144 PH 2017-10-28 0029 W6KA          59  03     NF7E          59  03     0
QSO: 14200 PH 2017-10-28 0138 W6KA          59  03     3G3M          59  12     0
QSO: 14203 PH 2017-10-28 0149 W6KA          59  03     LU9MBY        59  13     0
QSO: 14252 PH 2017-10-28 0202 W6KA          59  03     KH7XS         59  31     0
QSO:  7209 PH 2017-10-28 0217 W6KA          59  03     VE7SZ         59  03     0
QSO:  7248 PH 2017-10-28 0221 W6KA          59  03     PJ4K          59  09     0
QSO:  7229 PH 2017-10-28 0226 W6KA          59  03     CF7FC         59  03     0
QSO:  7222 PH 2017-10-28 0245 W6KA          59  03     NP2N          59  08     0
QSO:  7178 PH 2017-10-28 0343 W6KA          59  03     W6AFA         59  03     0
QSO:  7150 PH 2017-10-28 0347 W6KA          59  03     PX2A          59  11     0
QSO:  7156 PH 2017-10-28 0350 W6KA          59  03     PJ4G          59  09     0
QSO:  7000 PH 2017-10-28 0351 W6KA          59  03     CE4WNW        59  12     0
QSO:  7000 PH 2017-10-28 0405 W6KA          59  03     PJ2T          59  09     0
QSO:  7000 PH 2017-10-28 0409 W6KA          59  03     PZ5K          59  09     0
QSO:  7000 PH 2017-10-28 0413 W6KA          59  03     W0MLB         59  04     0
QSO:  7000 PH 2017-10-28 0414 W6KA          59  03     CE3CT         59  12     0
QSO:  7000 PH 2017-10-28 0418 W6KA          59  03     KH7CW         59  31     0
QSO:  7000 PH 2017-10-28 0420 W6KA          59  03     PY2NA         59  11     0
QSO:  7000 PH 2017-10-28 0422 W6KA          59  03     HK4CMB        59  09     0
QSO:  7000 PH 2017-10-28 0432 W6KA          59  03     KH6J          59  31     0
QSO:  7000 PH 2017-10-28 0435 W6KA          59  03     LQ0D          59  13     0
QSO:  7000 PH 2017-10-28 0437 W6KA          59  03     XL3T          59  04     0
QSO:  7000 PH 2017-10-28 0446 W6KA          59  03     K5TR          59  04     0
QSO:  7000 PH 2017-10-28 0450 W6KA          59  03     LD1F          59  14     0
QSO:  7000 PH 2017-10-28 0455 W6KA          59  03     LT1F          59  13     0
QSO:  7000 PH 2017-10-28 0513 W6KA          59  03     A42A          59  21     0
QSO:  7000 PH 2017-10-28 0517 W6KA          59  03     HK6J          59  09     0
QSO:  7000 PH 2017-10-28 0520 W6KA          59  03     KH7M          59  31     0
QSO:  7000 PH 2017-10-28 0522 W6KA          59  03     W4MLB         59  05     0
QSO:  7000 PH 2017-10-28 0526 W6KA          59  03     FM5BH         59  08     0
QSO:  7000 PH 2017-10-28 0559 W6KA          59  03     LU5FC         59  13     0
QSO:  7000 PH 2017-10-28 1527 W6KA          59  03     9W2VBR        59  28     0
QSO:  7000 PH 2017-10-28 1539 W6KA          59  03     JA7ZFN        59  25     0
QSO:  7000 PH 2017-10-28 1549 W6KA          59  03     YB3VI         59  28     0
QSO: 21000 PH 2017-10-28 1625 W6KA          59  03     DL6FBL        59  14     0
QSO: 21430 PH 2017-10-28 1635 W6KA          59  03     PZ5K          59  09     0
QSO: 21437 PH 2017-10-28 1638 W6KA          59  03     CX2DK         59  13     0
QSO: 21446 PH 2017-10-28 1642 W6KA          59  03     IO2X          59  15     0
QSO: 21448 PH 2017-10-28 1643 W6KA          59  03     LT1F          59  13     0
QSO: 21208 PH 2017-10-28 1648 W6KA          59  03     CQ3W          59  33     0
QSO: 21217 PH 2017-10-28 1653 W6KA          59  03     PJ4Q          59  09     0
QSO: 21225 PH 2017-10-28 1655 W6KA          59  03     YV2CAR        59  09     0
QSO: 21228 PH 2017-10-28 1655 W6KA          59  03     V3A           59  07     0
QSO: 21268 PH 2017-10-28 1710 W6KA          59  03     YD1MTX        59  28     0
QSO: 21268 PH 2017-10-28 1712 W6KA          59  03     OC0E          59  10     0
QSO: 21286 PH 2017-10-28 1721 W6KA          59  03     6Y1LZ         59  08     0
QSO: 21292 PH 2017-10-28 1723 W6KA          59  03     KH7CW         59  31     0
QSO: 21304 PH 2017-10-28 1728 W6KA          59  03     CE5JZO        59  12     0
QSO: 21349 PH 2017-10-28 1740 W6KA          59  03     CV7S          59  13     0
QSO: 21377 PH 2017-10-28 1746 W6KA          59  03     CN2AH         59  33     0
QSO: 21403 PH 2017-10-28 1748 W6KA          59  03     XL3T          59  04     0
QSO: 21415 PH 2017-10-28 1752 W6KA          59  03     EF8R          59  33     0
QSO: 21420 PH 2017-10-28 1754 W6KA          59  03     FM5BH         59  08     0
QSO: 21424 PH 2017-10-28 1754 W6KA          59  03     8P5A          59  08     0
QSO: 21444 PH 2017-10-28 1757 W6KA          59  03     CR3A          59  33     0
QSO: 28433 PH 2017-10-28 1813 W6KA          59  03     PY3FOX        59  11     0
QSO: 28453 PH 2017-10-28 1814 W6KA          59  03     LT1F          59  13     0
QSO: 28468 PH 2017-10-28 1816 W6KA          59  03     ZW3A          59  11     0
QSO: 28497 PH 2017-10-28 1817 W6KA          59  03     L33M          59  13     0
QSO: 28499 PH 2017-10-28 1819 W6KA          59  03     LU7HN         59  13     0
QSO: 28503 PH 2017-10-28 1820 W6KA          59  03     LU3HIP        59  13     0
QSO: 28369 PH 2017-10-28 1824 W6KA          59  03     LW1EUD        59  13     0
QSO: 28392 PH 2017-10-28 1826 W6KA          59  03     LU8YE         59  13     0
QSO: 28426 PH 2017-10-28 1827 W6KA          59  03     CE2WNW        59  12     0
QSO: 28430 PH 2017-10-28 1828 W6KA          59  03     ZY2A          59  11     0
QSO: 28485 PH 2017-10-28 1830 W6KA          59  03     CW5W          59  13     0
QSO: 14170 PH 2017-10-28 1832 W6KA          59  03     KL7RA         59  01     0
QSO: 14187 PH 2017-10-28 1834 W6KA          59  03     KH6LC         59  31     0
QSO: 21228 PH 2017-10-28 1847 W6KA          59  03     CO6LC         59  08     0
QSO: 21235 PH 2017-10-28 1850 W6KA          59  03     PJ2DD         59  09     0
QSO: 21240 PH 2017-10-28 1851 W6KA          59  03     CN2R          59  33     0
QSO: 21250 PH 2017-10-28 1852 W6KA          59  03     ZV5O          59  11     0
QSO: 21254 PH 2017-10-28 1853 W6KA          59  03     CN3A          59  33     0
QSO: 21325 PH 2017-10-28 1903 W6KA          59  03     PV1C          59  11     0
QSO: 21362 PH 2017-10-28 1906 W6KA          59  03     L77D          59  13     0
QSO: 21370 PH 2017-10-28 1908 W6KA          59  03     YV4YC         59  09     0
QSO: 21426 PH 2017-10-28 1915 W6KA          59  03     PJ2T          59  09     0
QSO: 14294 PH 2017-10-28 1927 W6KA          59  03     IR6T          59  15     0
QSO: 14291 PH 2017-10-28 1932 W6KA          59  03     IR4M          59  15     0
QSO: 14285 PH 2017-10-28 1933 W6KA          59  03     VE6WQ         59  04     0
QSO: 14252 PH 2017-10-28 1938 W6KA          59  03     CG6AO         59  04     0
QSO: 14184 PH 2017-10-28 1944 W6KA          59  03     KH7CW         59  31     0
QSO: 14163 PH 2017-10-28 1953 W6KA          59  03     VY1AAA        59  01     0
QSO: 14248 PH 2017-10-28 1958 W6KA          59  03     CF7RR         59  03     0
QSO: 14298 PH 2017-10-28 2003 W6KA          59  03     HI3T          59  08     0
QSO: 21447 PH 2017-10-28 2020 W6KA          59  03     ZZ2T          59  11     0
QSO: 21400 PH 2017-10-28 2023 W6KA          59  03     LU3DX         59  13     0
QSO: 21373 PH 2017-10-28 2024 W6KA          59  03     PJ4K          59  09     0
QSO: 21353 PH 2017-10-28 2029 W6KA          59  03     V31VP         59  07     0
QSO: 21338 PH 2017-10-28 2031 W6KA          59  03     PY2NA         59  11     0
QSO: 21335 PH 2017-10-28 2031 W6KA          59  03     PX2A          59  11     0
QSO: 21332 PH 2017-10-28 2032 W6KA          59  03     LU8YE         59  13     0
QSO: 21320 PH 2017-10-28 2033 W6KA          59  03     VE3KZ         59  04     0
QSO: 21284 PH 2017-10-28 2035 W6KA          59  03     TI5M          59  07     0
QSO: 21277 PH 2017-10-28 2036 W6KA          59  03     ZY2A          59  11     0
QSO: 21275 PH 2017-10-28 2038 W6KA          59  03     PP2CC         59  11     0
QSO: 21272 PH 2017-10-28 2039 W6KA          59  03     ZV2C          59  11     0
QSO: 21268 PH 2017-10-28 2041 W6KA          59  03     HC0E          59  10     0
QSO: 21258 PH 2017-10-28 2045 W6KA          59  03     CX4B          59  13     0
QSO: 21253 PH 2017-10-28 2046 W6KA          59  03     PY9GC         59  11     0
QSO: 21233 PH 2017-10-28 2050 W6KA          59  03     LU7ADN        59  13     0
QSO: 21209 PH 2017-10-28 2053 W6KA          59  03     PY2UD         59  11     0
QSO: 14197 PH 2017-10-28 2108 W6KA          59  03     CF7FC         59  03     0
QSO: 14259 PH 2017-10-28 2118 W6KA          59  03     RT0F          59  19     0
QSO: 14272 PH 2017-10-28 2126 W6KA          59  03     PJ2T          59  09     0
QSO: 14342 PH 2017-10-28 2128 W6KA          59  03     JA7ZFN        59  25     0
