START-OF-LOG: 3.0
CALLSIGN: ON4APU
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 15M
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 164175
NAME: NOEL POTTIER
LOCATION: DX
OPERATORS: ON4APU
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.6858.0
SOAPBOX: great prop on 15m like in the old days!
QSO:  1830 PH 2017-10-28 0242 ON4APU        59  14     OH0V          59  15
QSO:  1846 PH 2017-10-28 0246 ON4APU        59  14     OK1T          59  15
QSO:  1850 PH 2017-10-28 0247 ON4APU        59  14     M6T           59  14
QSO:  1871 PH 2017-10-28 0249 ON4APU        59  14     LX1ER         59  14
QSO:  1855 PH 2017-10-28 0252 ON4APU        59  14     PI4CC         59  14
QSO:  1853 PH 2017-10-28 0253 ON4APU        59  14     DF0HQ         59  14
QSO:  1843 PH 2017-10-28 0254 ON4APU        59  14     OT5A          59  14
QSO:  1833 PH 2017-10-28 0257 ON4APU        59  14     SQ7CL         59  15
QSO:  1861 PH 2017-10-28 0302 ON4APU        59  14     YL2GD         59  15
QSO:  1863 PH 2017-10-28 0303 ON4APU        59  14     DL7CX         59  14
QSO:  1866 PH 2017-10-28 0303 ON4APU        59  14     OP4K          59  14
QSO:  1868 PH 2017-10-28 0305 ON4APU        59  14     HG8R          59  15
QSO:  1880 PH 2017-10-28 0307 ON4APU        59  14     EU4A          59  16
QSO:  1886 PH 2017-10-28 0313 ON4APU        59  14     OZ4MD         59  14
QSO:  1895 PH 2017-10-28 0315 ON4APU        59  14     S53O          59  15
QSO:  1892 PH 2017-10-28 0315 ON4APU        59  14     UA2FZ         59  15
QSO:  1827 PH 2017-10-28 0319 ON4APU        59  14     PA3AAV        59  14
QSO:  1840 PH 2017-10-28 0321 ON4APU        59  14     OE3K          59  15
QSO:  1856 PH 2017-10-28 0323 ON4APU        59  14     G4L           59  14
QSO:  1858 PH 2017-10-28 0323 ON4APU        59  14     DJ5AN         59  14
QSO:  1860 PH 2017-10-28 0324 ON4APU        59  14     GJ2A          59  14
QSO:  1872 PH 2017-10-28 0325 ON4APU        59  14     GW2X          59  14
QSO:  1907 PH 2017-10-28 0335 ON4APU        59  14     DL7URH        59  14
QSO:  1915 PH 2017-10-28 0336 ON4APU        59  14     SP3GTS        59  15
QSO:  1918 PH 2017-10-28 0340 ON4APU        59  14     EI5KF         59  14
QSO:  1902 PH 2017-10-28 0342 ON4APU        59  14     SQ5GVY        59  15
QSO:  1892 PH 2017-10-28 0343 ON4APU        59  14     OG7O          59  15
QSO:  3778 PH 2017-10-28 0350 ON4APU        59  14     PC2L          59  14
QSO:  3661 PH 2017-10-28 0352 ON4APU        59  14     S51YI         59  15
QSO:  3664 PH 2017-10-28 0353 ON4APU        59  14     EF1W          59  14
QSO:  3674 PH 2017-10-28 0357 ON4APU        59  14     LY7Z          59  15
QSO:  3694 PH 2017-10-28 0400 ON4APU        59  14     PA2TMS        59  14
QSO:  3696 PH 2017-10-28 0400 ON4APU        59  14     PI4COM        59  14
QSO:  3710 PH 2017-10-28 0401 ON4APU        59  14     GJ2A          59  14
QSO:  3714 PH 2017-10-28 0403 ON4APU        59  14     9A8M          59  15
QSO: 21213 PH 2017-10-28 0752 ON4APU        59  14     ON4CT         59  14
QSO: 21220 PH 2017-10-28 0754 ON4APU        59  14     RW0A          59  18
QSO: 21225 PH 2017-10-28 0756 ON4APU        59  14     SV9RGI        59  20
QSO: 21240 PH 2017-10-28 0757 ON4APU        59  14     P33W          59  20
QSO: 21256 PH 2017-10-28 0802 ON4APU        59  14     RT5Z          59  16
QSO: 21271 PH 2017-10-28 0803 ON4APU        59  14     UA4M          59  16
QSO: 21288 PH 2017-10-28 0810 ON4APU        59  14     A5A           59  22
QSO: 21290 PH 2017-10-28 0811 ON4APU        59  14     BH6IC         59  24
QSO: 21283 PH 2017-10-28 0812 ON4APU        59  14     SX2X          59  20
QSO: 21296 PH 2017-10-28 0814 ON4APU        59  14     RY6Y          59  16
QSO: 21306 PH 2017-10-28 0815 ON4APU        59  14     UW5ZM         59  16
QSO: 21338 PH 2017-10-28 0816 ON4APU        59  14     SV1JG         59  20
QSO: 21338 PH 2017-10-28 0817 ON4APU        59  14     SV9COL        59  20
QSO: 21354 PH 2017-10-28 0818 ON4APU        59  14     HZ1HZ         59  21
QSO: 21356 PH 2017-10-28 0819 ON4APU        59  14     C4A           59  20
QSO: 21372 PH 2017-10-28 0825 ON4APU        59  14     4L0A          59  21
QSO: 21390 PH 2017-10-28 0826 ON4APU        59  14     E2X           59  26
QSO: 21429 PH 2017-10-28 0829 ON4APU        59  14     JT5DX         59  23
QSO: 21439 PH 2017-10-28 0830 ON4APU        59  14     A92GR         59  21
QSO: 21442 PH 2017-10-28 0832 ON4APU        59  14     BD7BM         59  24
QSO: 21445 PH 2017-10-28 0836 ON4APU        59  14     OD5ZZ         59  20
QSO: 21195 PH 2017-10-28 0838 ON4APU        59  14     UP2L          59  17
QSO: 21187 PH 2017-10-28 0841 ON4APU        59  14     RV3FF         59  16
