START-OF-LOG: 3.0
CALLSIGN: M6T
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-OVERLAY:
CLAIMED-SCORE: 14559951
NAME: Martlesham DX & Contest Group
LOCATION: DX
OPERATORS: G0AEV,G0VJG,G0WCW,G2NF,G4BUO,G4PIQ,G7TWC,M0BCT,M0CLW,M0HKB,M0MDR
OPERATORS: M0SDV,M0TGV,M1ACB,PT2FM
CLUB:
CERTIFICATE: NO
CREATED-BY: Win-Test 4.25.0
SOAPBOX: Our 2nd MM SSB entry since the reformation of the group with a new team
SOAPBOX: Once again in memory of Bob, G4BAH who created the station
SOAPBOX: Some high winds came through on Saturday night, but we survived!
QSO:  7186 PH 2017-10-28 0000 M6T           59  14     RA4AR         59  16     0
QSO:  3774 PH 2017-10-28 0000 M6T           59  14     K1KP          59  05     0
QSO:  3774 PH 2017-10-28 0000 M6T           59  14     W4QNW         59  05     0
QSO:  3774 PH 2017-10-28 0000 M6T           59  14     VY2TT         59  05     0
QSO:  7186 PH 2017-10-28 0000 M6T           59  14     UT6EE         59  16     0
QSO:  3774 PH 2017-10-28 0001 M6T           59  14     MM1E          59  14     0
QSO:  3774 PH 2017-10-28 0001 M6T           59  14     K4ZW          59  05     0
QSO:  3774 PH 2017-10-28 0001 M6T           59  14     K3LR          59  05     0
QSO:  3774 PH 2017-10-28 0001 M6T           59  14     YO3VU         59  20     0
QSO:  3774 PH 2017-10-28 0001 M6T           59  14     F5BEG         59  14     0
QSO: 14240 PH 2017-10-28 0002 M6T           59  14     F8ARK         59  14     0
QSO:  3774 PH 2017-10-28 0002 M6T           59  14     OK1RZ         59  15     0
QSO:  3774 PH 2017-10-28 0003 M6T           59  14     IQ5PO         59  15     0
QSO:  7186 PH 2017-10-28 0003 M6T           59  14     N5DX          59  05     0
QSO:  3774 PH 2017-10-28 0003 M6T           59  14     UA4M          59  16     0
QSO:  3774 PH 2017-10-28 0004 M6T           59  14     OM7JG         59  15     0
QSO:  7186 PH 2017-10-28 0004 M6T           59  14     UA4M          59  16     0
QSO:  1849 PH 2017-10-28 0004 M6T           59  14     OH2PM         59  15     0
QSO:  3774 PH 2017-10-28 0004 M6T           59  14     IQ2MI         59  15     0
QSO:  7186 PH 2017-10-28 0004 M6T           59  14     K5ZD          59  05     0
QSO:  7186 PH 2017-10-28 0004 M6T           59  14     YO8RNI        59  20     0
QSO: 14226 PH 2017-10-28 0004 M6T           59  14     S57DX         59  15     0
QSO:  7186 PH 2017-10-28 0004 M6T           59  14     IB9T          59  15     0
QSO:  7186 PH 2017-10-28 0005 M6T           59  14     E75RKP        59  15     0
QSO: 14191 PH 2017-10-28 0005 M6T           59  14     PI4CC         59  14     0
QSO:  7186 PH 2017-10-28 0005 M6T           59  14     K3ZU          59  05     0
QSO:  1849 PH 2017-10-28 0005 M6T           59  14     OF2FNR        59  15     0
QSO:  7186 PH 2017-10-28 0005 M6T           59  14     K2LE          59  05     0
QSO:  1849 PH 2017-10-28 0005 M6T           59  14     OK1DPU        59  15     0
QSO:  7186 PH 2017-10-28 0006 M6T           59  14     IT9GAK        59  15     0
QSO: 14217 PH 2017-10-28 0006 M6T           59  14     9A4M          59  15     0
QSO:  7186 PH 2017-10-28 0006 M6T           59  14     K6DTT         59  05     0
QSO:  7186 PH 2017-10-28 0006 M6T           59  14     YT0B          59  15     0
QSO:  7186 PH 2017-10-28 0006 M6T           59  14     RK3DT         59  16     0
QSO:  7186 PH 2017-10-28 0007 M6T           59  14     IT9PZM        59  15     0
QSO:  7186 PH 2017-10-28 0007 M6T           59  14     N1MM          59  05     0
QSO:  1849 PH 2017-10-28 0007 M6T           59  14     G3NAY         59  14     0
QSO:  7186 PH 2017-10-28 0007 M6T           59  14     WB2P          59  05     0
QSO:  7186 PH 2017-10-28 0008 M6T           59  14     RT6A          59  16     0
QSO:  7186 PH 2017-10-28 0008 M6T           59  14     IT9BDM        59  15     0
QSO:  1849 PH 2017-10-28 0008 M6T           59  14     CN3A          59  33     0
QSO:  1849 PH 2017-10-28 0009 M6T           59  14     GW2X          59  14     0
QSO:  7186 PH 2017-10-28 0009 M6T           59  14     R7AB          59  16     0
QSO:  7186 PH 2017-10-28 0009 M6T           59  14     IZ7NMD        59  15     0
QSO:  3767 PH 2017-10-28 0009 M6T           59  14     W2RE          59  05     0
QSO:  7186 PH 2017-10-28 0009 M6T           59  14     EF8R          59  33     0
QSO:  1849 PH 2017-10-28 0010 M6T           59  14     LZ2JE         59  20     0
QSO:  1849 PH 2017-10-28 0010 M6T           59  14     DK0RX         59  14     0
QSO:  7186 PH 2017-10-28 0010 M6T           59  14     VE9ML         59  05     0
QSO:  3767 PH 2017-10-28 0010 M6T           59  14     EA5HYJ        59  14     0
QSO:  3767 PH 2017-10-28 0010 M6T           59  14     CU4DX         59  14     0
QSO:  1849 PH 2017-10-28 0010 M6T           59  14     GJ2A          59  14     0
QSO:  7186 PH 2017-10-28 0010 M6T           59  14     N3IQ          59  05     0
QSO:  7186 PH 2017-10-28 0011 M6T           59  14     IB9A          59  15     0
QSO:  3767 PH 2017-10-28 0011 M6T           59  14     EA1FW         59  14     0
QSO:  7186 PH 2017-10-28 0011 M6T           59  14     I8UZA         59  15     0
QSO:  3767 PH 2017-10-28 0012 M6T           59  14     TF3T          59  40     0
QSO:  7186 PH 2017-10-28 0012 M6T           59  14     E74E          59  15     0
QSO:  3767 PH 2017-10-28 0012 M6T           59  14     9A1AR         59  15     0
QSO:  1849 PH 2017-10-28 0012 M6T           59  14     G0RRM         59  14     0
QSO: 14247 PH 2017-10-28 0012 M6T           59  14     DF0HQ         59  14     0
QSO:  1849 PH 2017-10-28 0013 M6T           59  14     OU2V          59  14     0
QSO:  7186 PH 2017-10-28 0013 M6T           59  14     KR2Q          59  05     0
QSO:  3767 PH 2017-10-28 0013 M6T           59  14     MI0SLE        59  14     0
QSO:  7186 PH 2017-10-28 0014 M6T           59  14     RL6M          59  16     0
QSO:  3767 PH 2017-10-28 0014 M6T           59  14     MM0LEN        59  14     0
QSO:  7186 PH 2017-10-28 0014 M6T           59  14     A44A          59  21     0
QSO:  1849 PH 2017-10-28 0014 M6T           59  14     OG6N          59  15     0
QSO:  7186 PH 2017-10-28 0014 M6T           59  14     UC7C          59  16     0
QSO:  3767 PH 2017-10-28 0015 M6T           59  14     K5ZD          59  05     0
QSO:  3767 PH 2017-10-28 0015 M6T           59  14     IR4X          59  15     0
QSO:  3767 PH 2017-10-28 0015 M6T           59  14     II9P          59  15     0
QSO:  1849 PH 2017-10-28 0015 M6T           59  14     EI5KG         59  14     0
QSO:  3767 PH 2017-10-28 0015 M6T           59  14     IR6T          59  15     0
QSO:  1849 PH 2017-10-28 0016 M6T           59  14     G3PFM         59  14     0
QSO:  3767 PH 2017-10-28 0016 M6T           59  14     SP9RCL        59  15     0
QSO:  3767 PH 2017-10-28 0016 M6T           59  14     EF8R          59  33     0
QSO:  7186 PH 2017-10-28 0016 M6T           59  14     UT7CR         59  16     0
QSO:  7186 PH 2017-10-28 0016 M6T           59  14     UZ2I          59  16     0
QSO:  1849 PH 2017-10-28 0016 M6T           59  14     II9P          59  15     0
