START-OF-LOG: 3.0
CALLSIGN: G3PHO
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 17892
NAME: Peter Day
LOCATION: DX
OPERATORS: G3PHO
CLUB: Sheffield & District Wireless Society
CERTIFICATE: NO
CREATED-BY: Win-Test 4.22.0
SOAPBOX: Just giving a few points away and chasing band slots!
QSO:  7087 PH 2017-10-28 0021 G3PHO         59  14     VP2MDG        59  08     0
QSO:  7051 PH 2017-10-28 0022 G3PHO         59  14     8P5A          59  08     0
QSO:  7135 PH 2017-10-28 0036 G3PHO         59  14     FM5BH         59  08     0
QSO:  7084 PH 2017-10-28 0041 G3PHO         59  14     P40T          59  09     0
QSO: 14230 PH 2017-10-28 0759 G3PHO         59  14     CR3W          59  33     0
QSO: 14243 PH 2017-10-28 0801 G3PHO         59  14     D4C           59  35     0
QSO: 14145 PH 2017-10-28 0809 G3PHO         59  14     RT9S          59  16     0
QSO: 14132 PH 2017-10-28 0811 G3PHO         59  14     FK8IK         59  32     0
QSO: 14254 PH 2017-10-28 0822 G3PHO         59  14     C37RC         59  14     0
QSO: 14347 PH 2017-10-28 0824 G3PHO         59  14     A44A          59  21     0
QSO: 21300 PH 2017-10-28 1004 G3PHO         59  14     PQ5B          59  11     0
QSO: 21291 PH 2017-10-28 1005 G3PHO         59  14     CR3A          59  33     0
QSO: 28504 PH 2017-10-28 1010 G3PHO         59  14     H2T           59  20     0
QSO: 28517 PH 2017-10-28 1549 G3PHO         59  14     CW5W          59  13     0
QSO: 28547 PH 2017-10-28 1555 G3PHO         59  14     CE2AWW        59  12     0
QSO: 28526 PH 2017-10-28 1556 G3PHO         59  14     LO7H          59  13     0
QSO: 28580 PH 2017-10-28 1557 G3PHO         59  14     EA8TX         59  33     0
QSO: 21203 PH 2017-10-28 1606 G3PHO         59  14     W3LPL         59  05     0
QSO: 21214 PH 2017-10-28 1607 G3PHO         59  14     KC1XX         59  05     0
QSO: 21216 PH 2017-10-28 1610 G3PHO         59  14     PJ4Q          59  09     0
QSO: 21189 PH 2017-10-28 1610 G3PHO         59  14     9Y4W          59  09     0
QSO: 21120 PH 2017-10-28 1612 G3PHO         59  14     XL3T          59  04     0
QSO: 21147 PH 2017-10-28 1613 G3PHO         59  14     VE3UTT        59  04     0
QSO: 21138 PH 2017-10-28 1614 G3PHO         59  14     YV4YC         59  09     0
QSO: 14157 PH 2017-10-28 1618 G3PHO         59  14     W3LPL         59  05     0
QSO:  7174 PH 2017-10-28 2151 G3PHO         59  14     K2LE          59  05     0
QSO:  7182 PH 2017-10-28 2151 G3PHO         59  14     KC1XX         59  05     0
QSO:  7186 PH 2017-10-28 2152 G3PHO         59  14     CU4DX         59  14     0
QSO:  7150 PH 2017-10-28 2154 G3PHO         59  14     K3LR          59  05     0
QSO:  7137 PH 2017-10-28 2154 G3PHO         59  14     W3LPL         59  05     0
QSO:  7130 PH 2017-10-28 2155 G3PHO         59  14     VY2ZM         59  05     0
QSO:  7046 PH 2017-10-28 2216 G3PHO         59  14     UP0L          59  17     0
QSO:  7047 PH 2017-10-28 2218 G3PHO         59  14     W2RE          59  05     0
QSO:  7110 PH 2017-10-28 2220 G3PHO         59  14     VE9CB         59  05     0
QSO:  7064 PH 2017-10-29 0026 G3PHO         59  14     PJ4Q          59  09     0
QSO:  7000 PH 2017-10-29 0057 G3PHO         59  14     9Y4W          59  09     0
QSO:  7069 PH 2017-10-29 0103 G3PHO         59  14     A71AM         59  21     0
QSO:  3738 PH 2017-10-29 0112 G3PHO         59  14     KC1XX         59  05     0
QSO: 14143 PH 2017-10-29 0943 G3PHO         59  14     JT5DX         59  23     0
QSO: 21370 PH 2017-10-29 1206 G3PHO         59  14     PZ5K          59  09     0
QSO: 28455 PH 2017-10-29 1219 G3PHO         59  14     CN2R          59  33     0
QSO: 21163 PH 2017-10-29 1223 G3PHO         59  14     VE9CB         59  05     0
QSO: 21148 PH 2017-10-29 1224 G3PHO         59  14     PJ4K          59  09     0
QSO: 21151 PH 2017-10-29 1226 G3PHO         59  14     A61FK         59  21     0
QSO: 21200 PH 2017-10-29 1226 G3PHO         59  14     K3LR          59  05     0
QSO: 21210 PH 2017-10-29 1227 G3PHO         59  14     FY5KE         59  09     0
QSO: 21228 PH 2017-10-29 1228 G3PHO         59  14     EA8KY         59  33     0
QSO: 21247 PH 2017-10-29 1229 G3PHO         59  14     K5ZD          59  05     0
QSO: 21259 PH 2017-10-29 1230 G3PHO         59  14     YP0C          59  20     0
QSO: 21260 PH 2017-10-29 1230 G3PHO         59  14     KU2M          59  05     0
QSO: 21277 PH 2017-10-29 1231 G3PHO         59  14     9K2HN         59  21     0
QSO: 21305 PH 2017-10-29 1231 G3PHO         59  14     K1TTT         59  05     0
QSO: 21312 PH 2017-10-29 1232 G3PHO         59  14     J42T          59  20     0
QSO: 21391 PH 2017-10-29 1233 G3PHO         59  14     K1KI          59  05     0
QSO: 14154 PH 2017-10-29 1235 G3PHO         59  14     KC1XX         59  05     0
QSO: 14151 PH 2017-10-29 1235 G3PHO         59  14     N1UR          59  05     0
QSO: 14158 PH 2017-10-29 1236 G3PHO         59  14     N2RJ          59  05     0
QSO: 14171 PH 2017-10-29 1237 G3PHO         59  14     W9RE          59  04     0
QSO: 14179 PH 2017-10-29 1238 G3PHO         59  14     W5MX          59  04     0
QSO: 14263 PH 2017-10-29 1239 G3PHO         59  14     NW3Y          59  05     0
QSO: 14231 PH 2017-10-29 1240 G3PHO         59  14     W2IRT         59  05     0
QSO: 14308 PH 2017-10-29 1647 G3PHO         59  14     PJ4G          59  09     0
QSO: 21195 PH 2017-10-29 1648 G3PHO         59  14     PJ4G          59  09     0
QSO:  1857 PH 2017-10-29 1653 G3PHO         59  14     OZ4MD         59  14     0
QSO:  1847 PH 2017-10-29 1653 G3PHO         59  14     LA5YJ         59  14     0
QSO:  1869 PH 2017-10-29 1654 G3PHO         59  14     DF0HQ         59  14     0
