START-OF-LOG: 3.0
CONTEST: EUDXC
CALLSIGN: DL6KWN
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: 80M
CATEGORY-MODE: MIXED
CATEGORY-POWER:
CATEGORY-ASSISTED:
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 301720
CREATED-BY: UcxLog 8.47
NAME: Helmut Teichmann
SOAPBOX: TRX: FT-950 100W
SOAPBOX: ANT: 22m wire end-fed down from balkony 4-th floor
QSO:  3529 CW 2026-02-07 1549 DL6KWN        599 DE09   DL3ANK        599 DE16
QSO:  3520 CW 2026-02-07 1552 DL6KWN        599 DE09   YU2M          599 28
QSO:  3525 CW 2026-02-07 1553 DL6KWN        599 DE09   S51YI         599 SI02
QSO:  3522 CW 2026-02-07 1557 DL6KWN        599 DE09   HG1G          599 HU06
QSO:  3514 CW 2026-02-07 1631 DL6KWN        599 DE09   YT1WA         599 28
QSO:  3521 CW 2026-02-07 1632 DL6KWN        599 DE09   OK1DOL        599 CZ10
QSO:  3531 CW 2026-02-07 1640 DL6KWN        599 DE09   LY1DZ         599 LT02
QSO:  3524 CW 2026-02-07 1641 DL6KWN        599 DE09   SN5N          599 PL06
QSO:  3521 CW 2026-02-07 1642 DL6KWN        599 DE09   SE4E          599 SE16
QSO:  3512 CW 2026-02-07 1644 DL6KWN        599 DE09   SP4TKR        599 PL15
QSO:  3526 CW 2026-02-07 1650 DL6KWN        599 DE09   ES6DO         599 EE05
QSO:  3528 CW 2026-02-07 1651 DL6KWN        599 DE09   SP2QG         599 PL02
QSO:  3529 CW 2026-02-07 1652 DL6KWN        599 DE09   LY1DZ         599 LT02
QSO:  3535 CW 2026-02-07 1655 DL6KWN        599 DE09   SQ9S          599 PL12
QSO:  3756 PH 2026-02-07 1659 DL6KWN        59  DE09   OK1DOL        59  CZ10
QSO:  3522 CW 2026-02-07 1705 DL6KWN        599 DE09   ON5WL         599 BE04
QSO:  3524 CW 2026-02-07 1708 DL6KWN        599 DE09   HA3IC         599 HU07
QSO:  3527 CW 2026-02-07 1711 DL6KWN        599 DE09   SP4AWE        599 PL10
QSO:  3510 CW 2026-02-07 1713 DL6KWN        599 DE09   DF7FE         599 DE07
QSO:  3510 CW 2026-02-07 1714 DL6KWN        599 DE09   DM3PKK        599 DE02
QSO:  3510 CW 2026-02-07 1717 DL6KWN        599 DE09   DM2DZM        599 DE13
QSO:  3514 CW 2026-02-07 1725 DL6KWN        599 DE09   LY2J          599 LT05
QSO:  3517 CW 2026-02-07 1729 DL6KWN        599 DE09   SM5CSS        599 SE02
QSO:  3517 CW 2026-02-07 1730 DL6KWN        599 DE09   HA5UX         599 HU07
QSO:  3519 CW 2026-02-07 1731 DL6KWN        599 DE09   M4D           599 27
QSO:  3521 CW 2026-02-07 1731 DL6KWN        599 DE09   DL4ME         599 DE16
QSO:  3524 CW 2026-02-07 1733 DL6KWN        599 DE09   HA6NL         599 HU01
QSO:  3528 CW 2026-02-07 1734 DL6KWN        599 DE09   LZ8E          599 BG03
QSO:  3511 CW 2026-02-07 1736 DL6KWN        599 DE09   SP9XCN        599 PL12
QSO:  3511 CW 2026-02-07 1737 DL6KWN        599 DE09   F4BPO         599 FR01
QSO:  3518 CW 2026-02-07 1740 DL6KWN        599 DE09   S57Q          599 SI04
QSO:  3519 CW 2026-02-07 1740 DL6KWN        599 DE09   UN0L          599 30
QSO:  3520 CW 2026-02-07 1741 DL6KWN        599 DE09   E70Y          599 28
QSO:  3526 CW 2026-02-07 1745 DL6KWN        599 DE09   LZ7X          599 BG05
QSO:  3526 CW 2026-02-07 1747 DL6KWN        599 DE09   IK7MIY        599 IT03
QSO:  3530 CW 2026-02-07 1747 DL6KWN        599 DE09   DK8ZB         599 DE07
QSO:  3534 CW 2026-02-07 1750 DL6KWN        599 DE09   9A7V          599 HR05
QSO:  3537 CW 2026-02-07 1752 DL6KWN        599 DE09   YU7GM         599 28
QSO:  3538 CW 2026-02-07 1753 DL6KWN        599 DE09   DF1PU         599 DE11
QSO:  3544 CW 2026-02-07 1754 DL6KWN        599 DE09   DA0BCC        599 DE02
QSO:  3752 PH 2026-02-07 1757 DL6KWN        59  DE09   E7Y           59  28
QSO:  3730 PH 2026-02-07 1802 DL6KWN        59  DE09   OR5R          59  BE04
QSO:  3512 CW 2026-02-07 1806 DL6KWN        599 DE09   LY9A          599 LT01
QSO:  3513 CW 2026-02-07 1806 DL6KWN        599 DE09   HA7UI         599 HU04
QSO:  3514 CW 2026-02-07 1807 DL6KWN        599 DE09   IK2SND        599 IT11
QSO:  3518 CW 2026-02-07 1808 DL6KWN        599 DE09   E77EA         599 28
QSO:  3511 CW 2026-02-07 2034 DL6KWN        599 DE09   HA2KMR        599 HU05
QSO:  3511 CW 2026-02-07 2037 DL6KWN        599 DE09   OZ/SM5S       599 DK04
QSO:  3511 CW 2026-02-07 2040 DL6KWN        599 DE09   EA5/G4BJM     599 ES04
QSO:  3512 CW 2026-02-07 2041 DL6KWN        599 DE09   RG9A          599 30
QSO:  3513 CW 2026-02-07 2043 DL6KWN        599 DE09   OK1AY         599 CZ10
QSO:  3513 CW 2026-02-07 2044 DL6KWN        599 DE09   YU1YV         599 28
QSO:  3514 CW 2026-02-07 2045 DL6KWN        599 DE09   DM5GG         599 DE13
QSO:  3514 CW 2026-02-07 2045 DL6KWN        599 DE09   PA0O          599 NL05
QSO:  3514 CW 2026-02-07 2046 DL6KWN        599 DE09   IZ8EYP        599 IT05
QSO:  3515 CW 2026-02-07 2047 DL6KWN        599 DE09   9A3YT         599 HR04
QSO:  3516 CW 2026-02-07 2049 DL6KWN        599 DE09   SM6TOL        599 SE12
QSO:  3516 CW 2026-02-07 2049 DL6KWN        599 DE09   DL3KWF        599 DE09
QSO:  3516 CW 2026-02-07 2052 DL6KWN        599 DE09   OE2VEL        599 AT02
QSO:  3517 CW 2026-02-07 2054 DL6KWN        599 DE09   MM9I          599 27
QSO:  3517 CW 2026-02-07 2055 DL6KWN        599 DE09   SP1D          599 PL16
QSO:  3518 CW 2026-02-07 2056 DL6KWN        599 DE09   DM5EA         599 DE03
QSO:  3519 CW 2026-02-07 2057 DL6KWN        599 DE09   OL8M          599 CZ10
QSO:  3519 CW 2026-02-07 2058 DL6KWN        599 DE09   F5UTN         599 FR09
QSO:  3520 CW 2026-02-07 2059 DL6KWN        599 DE09   S53F          599 SI02
QSO:  3522 CW 2026-02-07 2100 DL6KWN        599 DE09   OL4W          599 CZ06
QSO:  3522 CW 2026-02-07 2101 DL6KWN        599 DE09   OL0W          599 CZ11
QSO:  3523 CW 2026-02-07 2102 DL6KWN        599 DE09   YO8DOH        599 RO01
QSO:  3524 CW 2026-02-07 2103 DL6KWN        599 DE09   IK1PMR        599 IT14
QSO:  3525 CW 2026-02-07 2104 DL6KWN        599 DE09   SP3VT         599 PL01
QSO:  3528 CW 2026-02-07 2105 DL6KWN        599 DE09   OK2EA         599 CZ13
QSO:  3528 CW 2026-02-07 2105 DL6KWN        599 DE09   TM5EE         599 FR11
QSO:  3533 CW 2026-02-07 2107 DL6KWN        599 DE09   S51DX         599 SI02
QSO:  3533 CW 2026-02-07 2108 DL6KWN        599 DE09   OH1NA         599 FI13
QSO:  3534 CW 2026-02-07 2109 DL6KWN        599 DE09   SQ9I          599 PL12
QSO:  3536 CW 2026-02-07 2110 DL6KWN        599 DE09   S59L          599 SI04
QSO:  3538 CW 2026-02-07 2111 DL6KWN        599 DE09   IQ3RK         599 IT21
QSO:  3540 CW 2026-02-07 2114 DL6KWN        599 DE09   IZ2FOS        599 IT11
QSO:  3543 CW 2026-02-07 2115 DL6KWN        599 DE09   HG8W          599 HU03
QSO:  3546 CW 2026-02-07 2117 DL6KWN        599 DE09   OK1FKD        599 CZ12
QSO:  3546 CW 2026-02-07 2119 DL6KWN        599 DE09   YU5T          599 28
QSO:  3548 CW 2026-02-07 2120 DL6KWN        599 DE09   HA4EL         599 HU04
QSO:  3510 CW 2026-02-07 2121 DL6KWN        599 DE09   S52P          599 SI04
QSO:  3510 CW 2026-02-07 2122 DL6KWN        599 DE09   SM5ACQ        599 SE15
QSO:  3511 CW 2026-02-07 2124 DL6KWN        599 DE09   S52A          599 SI06
QSO:  3512 CW 2026-02-07 2125 DL6KWN        599 DE09   I3FIY         599 IT21
QSO:  3513 CW 2026-02-07 2126 DL6KWN        599 DE09   LY6A          599 LT03
QSO:  3514 CW 2026-02-07 2128 DL6KWN        599 DE09   SF6J          599 SE12
QSO:  3515 CW 2026-02-07 2130 DL6KWN        599 DE09   YO6BLU        599 RO07
QSO:  3517 CW 2026-02-07 2134 DL6KWN        599 DE09   DO6AN         599 DE06
QSO:  3517 CW 2026-02-07 2137 DL6KWN        599 DE09   IK5MEL        599 IT19
QSO:  3514 CW 2026-02-07 2139 DL6KWN        599 DE09   DA2X          599 DE13
QSO:  3518 CW 2026-02-07 2140 DL6KWN        599 DE09   SP1NY         599 PL16
QSO:  3518 CW 2026-02-07 2140 DL6KWN        599 DE09   IK4DCX        599 IT07
QSO:  3519 CW 2026-02-07 2145 DL6KWN        599 DE09   LZ3M          599 BG04
