START-OF-LOG: 3.0
CREATED-BY: DXLog.net v2.6.25
CONTEST: EUDXC
CALLSIGN: OK1DOL
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-POWER:
CATEGORY-BAND: 80M
CATEGORY-MODE: MIXED
CLAIMED-SCORE: 1303456
NAME: Libor Kule
CERTIFICATE: YES
SOAPBOX: FT1000MP MarkV, PA Acom 1500 - 1kW, dipol, beverages
QSO:  3520 CW 2026-02-07 1609 OK1DOL        599 CZ10   S51YI         599 SI02   
QSO:  3520 CW 2026-02-07 1609 OK1DOL        599 CZ10   SE4E          599 SE16   
QSO:  3520 CW 2026-02-07 1609 OK1DOL        599 CZ10   DL3ANK        599 DE16   
QSO:  3520 CW 2026-02-07 1610 OK1DOL        599 CZ10   YU2M          599 28     
QSO:  3520 CW 2026-02-07 1610 OK1DOL        599 CZ10   UA3MIF        599 29     
QSO:  3520 CW 2026-02-07 1611 OK1DOL        599 CZ10   LZ7X          599 BG05   
QSO:  3520 CW 2026-02-07 1611 OK1DOL        599 CZ10   YU7AA         599 28     
QSO:  3520 CW 2026-02-07 1612 OK1DOL        599 CZ10   R4WD          599 30     
QSO:  3520 CW 2026-02-07 1614 OK1DOL        599 CZ10   HG1G          599 HU06   
QSO:  3520 CW 2026-02-07 1615 OK1DOL        599 CZ10   SM7GVF        599 SE06   
QSO:  3520 CW 2026-02-07 1615 OK1DOL        599 CZ10   RT4M          599 29     
QSO:  3520 CW 2026-02-07 1615 OK1DOL        599 CZ10   RT9C          599 30     
QSO:  3520 CW 2026-02-07 1616 OK1DOL        599 CZ10   RW7F          599 29     
QSO:  3520 CW 2026-02-07 1617 OK1DOL        599 CZ10   SN1F          599 PL16   
QSO:  3520 CW 2026-02-07 1622 OK1DOL        599 CZ10   DM3PKK        599 DE02   
QSO:  3520 CW 2026-02-07 1625 OK1DOL        599 CZ10   LY1DZ         599 LT02   
QSO:  3520 CW 2026-02-07 1626 OK1DOL        599 CZ10   DJ9RR         599 DE15   
QSO:  3520 CW 2026-02-07 1626 OK1DOL        599 CZ10   DL9GBY        599 DE02   
QSO:  3520 CW 2026-02-07 1627 OK1DOL        599 CZ10   PA3AAV        599 NL08   
QSO:  3520 CW 2026-02-07 1630 OK1DOL        599 CZ10   SN5N          599 PL06   
QSO:  3520 CW 2026-02-07 1630 OK1DOL        599 CZ10   OZ4GM         599 DK01   
QSO:  3520 CW 2026-02-07 1631 OK1DOL        599 CZ10   OK1PFM        599 CZ11   
QSO:  3520 CW 2026-02-07 1631 OK1DOL        599 CZ10   SN5J          599 PL08   
QSO:  3520 CW 2026-02-07 1632 OK1DOL        599 CZ10   DL6KWN        599 DE09   
QSO:  3520 CW 2026-02-07 1632 OK1DOL        599 CZ10   HA8TKS        599 HU03   
QSO:  3520 CW 2026-02-07 1633 OK1DOL        599 CZ10   S53K          599 SI02   
QSO:  3520 CW 2026-02-07 1633 OK1DOL        599 CZ10   HG1W          599 HU06   
QSO:  3520 CW 2026-02-07 1634 OK1DOL        599 CZ10   YT1WA         599 28     
QSO:  3520 CW 2026-02-07 1636 OK1DOL        599 CZ10   OH1TS         599 FI18   
QSO:  3520 CW 2026-02-07 1638 OK1DOL        599 CZ10   SP9RQH        599 PL03   
QSO:  3520 CW 2026-02-07 1639 OK1DOL        599 CZ10   SQ3M          599 PL01   
QSO:  3520 CW 2026-02-07 1639 OK1DOL        599 CZ10   IU0ITX        599 IT09   
QSO:  3520 CW 2026-02-07 1640 OK1DOL        599 CZ10   DF1DT         599 DE10   
QSO:  3520 CW 2026-02-07 1642 OK1DOL        599 CZ10   UP0L          599 30     
QSO:  3520 CW 2026-02-07 1642 OK1DOL        599 CZ10   HA8L          599 HU03   
QSO:  3520 CW 2026-02-07 1643 OK1DOL        599 CZ10   IQ3RP         599 IT21   
QSO:  3520 CW 2026-02-07 1644 OK1DOL        599 CZ10   HA3IC         599 HU07   
QSO:  3520 CW 2026-02-07 1645 OK1DOL        599 CZ10   DL1AWC        599 DE16   
QSO:  3520 CW 2026-02-07 1646 OK1DOL        599 CZ10   R8YF          599 31     
QSO:  3520 CW 2026-02-07 1649 OK1DOL        599 CZ10   IK2UEX        599 IT11   
QSO:  3520 CW 2026-02-07 1652 OK1DOL        599 CZ10   SP3HRN        599 PL07   
