START-OF-LOG: 3.0
CALLSIGN: F5IQJ
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: QRP
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 249393
CLUB: REF 
CONTEST: REF-CW
CREATED-BY: Lux-Log v6.10.00 by LX1NO
LOCATION: 05
NAME: DANIEL
OPERATORS: F5IQJ
SOAP-BOX: Elecraft K2 - 5 W - ant verticale Gap Titan
QSO:  3500 CW 2023-01-28 0601 F5IQJ         599 05          F5OHM         599 0036
QSO:  3500 CW 2023-01-28 0601 F5IQJ         599 05         TM4K          599 03
QSO:  3500 CW 2023-01-28 0604 F5IQJ         599 05         F5UQE         599 59
QSO:  3500 CW 2023-01-28 0604 F5IQJ         599 05         F5JKK         599 84
QSO:  3500 CW 2023-01-28 0607 F5IQJ         599 05         F5NKX         599 50
QSO:  3500 CW 2023-01-28 0608 F5IQJ         599 05         TM4S          599 04
QSO:  3500 CW 2023-01-28 0610 F5IQJ         599 05         F6DYX         599 49
QSO:  3500 CW 2023-01-28 0612 F5IQJ         599 05         F5IN          599 45
QSO:  3500 CW 2023-01-28 0614 F5IQJ         599 05         F5OWL         599 83
QSO:  3500 CW 2023-01-28 0615 F5IQJ         599 05         F8FUA         599 46
QSO:  3500 CW 2023-01-28 0617 F5IQJ         599 05         F5KOU         599 80
QSO:  3500 CW 2023-01-28 0618 F5IQJ         599 05         F8KCF         599 74
QSO:  3500 CW 2023-01-28 0619 F5IQJ         599 05         F6KHM         599 289
QSO:  3500 CW 2023-01-28 0620 F5IQJ         599 05         F5OYM         599 81
QSO:  3500 CW 2023-01-28 0621 F5IQJ         599 05         F8DGY         599 77
QSO:  3500 CW 2023-01-28 0622 F5IQJ         599 05         F6UGW         599 59
QSO:  3500 CW 2023-01-28 0624 F5IQJ         599 05         F6GCT         599 77
QSO:  3500 CW 2023-01-28 0626 F5IQJ         599 05         F6GPT         599 33
QSO:  3500 CW 2023-01-28 0627 F5IQJ         599 05         F6KNB         599 33
QSO:  3500 CW 2023-01-28 0628 F5IQJ         599 05         F6KJS         599 71
QSO:  3500 CW 2023-01-28 0629 F5IQJ         599 05         F8ATS         599 91
QSO:  3500 CW 2023-01-28 0631 F5IQJ         599 05        F6KJX         599 41
QSO:  3500 CW 2023-01-28 0634 F5IQJ         599 05        F2NY          599 13
QSO:  3500 CW 2023-01-28 0636 F5IQJ         599 05        F5OIH         599 86
QSO:  3500 CW 2023-01-28 0638 F5IQJ         599 05        F6GOE         599 19
QSO:  3500 CW 2023-01-28 0639 F5IQJ         599 05        F5BMI         599 46
QSO:  3500 CW 2023-01-28 0641 F5IQJ         599 05        TM2D          599 32
QSO:  7000 CW 2023-01-28 1101 F5IQJ         599 05        F8KHO         599 51
QSO:  7000 CW 2023-01-28 1103 F5IQJ         599 05        TM4K          599 03
QSO:  7000 CW 2023-01-28 1105 F5IQJ         599 05        F8EZX         599 31
QSO:  7000 CW 2023-01-28 1110 F5IQJ         599 05        F8UFT         599 62
QSO:  7000 CW 2023-01-28 1115 F5IQJ         599 05        OM3BY         599 0090
QSO:  7000 CW 2023-01-28 1117 F5IQJ         599 05        DL1EAR        599 0019
QSO:  7000 CW 2023-01-28 1118 F5IQJ         599 05        YL2BJ         599 0034
QSO: 14000 CW 2023-01-28 1118 F5IQJ         599 05        OK4RQ         599 0201
QSO: 14000 CW 2023-01-28 1119 F5IQJ         599 05         HA1YI         599 0042
QSO: 14000 CW 2023-01-28 1120 F5IQJ         599 05         YO2IS         599 0024
QSO: 14000 CW 2023-01-28 1121 F5IQJ         599 05         SN6A          599 0058
QSO: 14000 CW 2023-01-28 1122 F5IQJ         599 05         DL9ZP         599 0138
QSO: 14000 CW 2023-01-28 1123 F5IQJ         599 05         UA3A          599 0061
QSO: 14000 CW 2023-01-28 1123 F5IQJ         599 05         PC4H          599 0036
QSO: 14000 CW 2023-01-28 1124 F5IQJ         599 05         F6KHM²        599 29
QSO: 14000 CW 2023-01-28 1124 F5IQJ         599 05         OK1DKU        599 0047
QSO: 14000 CW 2023-01-28 1125 F5IQJ         599 05         HA8V          599 0058
QSO: 14000 CW 2023-01-28 1126 F5IQJ         599 05         OM4AY         599 0039
QSO: 14000 CW 2023-01-28 1127 F5IQJ         599 05         SP1JQJ        599 0035
QSO: 14000 CW 2023-01-28 1128 F5IQJ         599 05         DL2AXM        599 0015
QSO: 14000 CW 2023-01-28 1129 F5IQJ         599 05         IK4RVY        599 0072
QSO: 14000 CW 2023-01-28 1129 F5IQJ         599 05         PA5WT         599 0083
QSO: 14000 CW 2023-01-28 1130 F5IQJ         599 05         F5UQE         599 59
QSO: 14000 CW 2023-01-28 1132 F5IQJ         599 05         DL7UKT        599 0023
QSO: 14000 CW 2023-01-28 1132 F5IQJ         599 05         OM7LW         599 0063
QSO: 14000 CW 2023-01-28 1133 F5IQJ         599 05         G4EBK         599 0056
QSO: 14000 CW 2023-01-28 1134 F5IQJ         599 05         HG5D          599 0200
QSO: 14000 CW 2023-01-28 1135 F5IQJ         599 05         GM3JKS        599 0012
QSO: 21000 CW 2023-01-28 1138 F5IQJ         599 05         R3LC          599 0095
QSO: 21000 CW 2023-01-28 1138 F5IQJ         599 05         SP2KAC        599 0019
QSO: 21000 CW 2023-01-28 1139 F5IQJ         599 05         EV6Z          599 0033
QSO: 21000 CW 2023-01-28 1140 F5IQJ         599 05         LZ2CH         599 0031
QSO: 21000 CW 2023-01-28 1141 F5IQJ         599 05         SM5CSS        599 0056
QSO:  7000 CW 2023-01-28 1146 F5IQJ         599 05         F5JKK         599 84
QSO:  7000 CW 2023-01-28 1147 F5IQJ         599 05         F6GUF         599 37
QSO:  7000 CW 2023-01-28 1147 F5IQJ         599 05         F6REF         599 00
QSO:  7000 CW 2023-01-28 1148 F5IQJ         599 05         F5JNT         599 30
QSO:  7000 CW 2023-01-28 1150 F5IQJ         599 05         F8BJK/P       599 31
QSO:  7000 CW 2023-01-28 1151 F5IQJ         599 05         F5VBU         599 66
