START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.45.0
CONTEST: REF-CW
LOCATION: 22
GRID-LOCATOR: IN88GT
CALLSIGN: F6IIV
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 304500
OPERATORS: 
NAME: 
CERTIFICATE: NO
SOAPBOX: Bonne propagation, certains faisaient le tour de la terre...quel écho
SOAPBOX: !
RIG: 4xMRF150 dipoles @7m
QSO:  3500 CW 2023-01-28 0613 F6IIV         599 22     F6KDL         599 68    
QSO:  3500 CW 2023-01-28 0614 F6IIV         599 22     F2NY          599 13    
QSO:  3500 CW 2023-01-28 0615 F6IIV         599 22     F5IF          599 66    
QSO:  3500 CW 2023-01-28 0617 F6IIV         599 22     F6FET         599 53    
QSO:  3500 CW 2023-01-28 0618 F6IIV         599 22     F8EZX         599 31    
QSO:  3500 CW 2023-01-28 0619 F6IIV         599 22     F5OIH         599 86    
QSO:  3500 CW 2023-01-28 0620 F6IIV         599 22     F4ARU         599 31    
QSO:  3500 CW 2023-01-28 0621 F6IIV         599 22     TM5G          599 44    
QSO:  3500 CW 2023-01-28 0622 F6IIV         599 22     F4FFH         599 50    
QSO:  3500 CW 2023-01-28 0624 F6IIV         599 22     F6KJX         599 41    
QSO:  3500 CW 2023-01-28 0624 F6IIV         599 22     F5BMI         599 46    
QSO:  3500 CW 2023-01-28 0625 F6IIV         599 22     F6EPO/QRP     599 85    
QSO:  3500 CW 2023-01-28 0629 F6IIV         599 22     F5PLC         599 90    
QSO:  3500 CW 2023-01-28 0630 F6IIV         599 22     F8DGY         599 77    
QSO:  3500 CW 2023-01-28 0631 F6IIV         599 22     F6KUP         599 55    
QSO:  3500 CW 2023-01-28 0632 F6IIV         599 22     F6KHM         599 29    
QSO:  3500 CW 2023-01-28 0635 F6IIV         599 22     F8KLY         599 69    
QSO:  3500 CW 2023-01-28 0635 F6IIV         599 22     F6KOP         599 77    
QSO:  3500 CW 2023-01-28 0636 F6IIV         599 22     F5KMB         599 60    
QSO:  3500 CW 2023-01-28 0639 F6IIV         599 22     TM4K          599 03    
QSO:  3500 CW 2023-01-28 0642 F6IIV         599 22     F8KGW         599 35    
QSO:  3500 CW 2023-01-28 0643 F6IIV         599 22     F6KLO         599 19    
QSO:  3500 CW 2023-01-28 0645 F6IIV         599 22     F6DEV         599 09    
QSO:  3500 CW 2023-01-28 0647 F6IIV         599 22     F5OZC         599 49    
QSO:  3500 CW 2023-01-28 0648 F6IIV         599 22     F6KPQ         599 56    
QSO:  3500 CW 2023-01-28 0707 F6IIV         599 22     TO1A          599 FY    
QSO:  3500 CW 2023-01-28 0711 F6IIV         599 22     F5NZY         599 76    
QSO:  3500 CW 2023-01-28 0713 F6IIV         599 22     F6KNB         599 33    
QSO:  3500 CW 2023-01-28 0714 F6IIV         599 22     TM55M         599 55    
QSO:  3500 CW 2023-01-28 0716 F6IIV         599 22     F6FTB         599 21    
QSO:  3500 CW 2023-01-28 0718 F6IIV         599 22     TM2M          599 85    
QSO:  3500 CW 2023-01-28 0720 F6IIV         599 22     F8UFT         599 62    
QSO: 14000 CW 2023-01-28 0733 F6IIV         599 22     FK8IK         599 FK    
QSO:  3500 CW 2023-01-28 0757 F6IIV         599 22     TM8NAN        599 63    
QSO:  7000 CW 2023-01-28 0803 F6IIV         599 22     F4ARU         599 31    
QSO:  7000 CW 2023-01-28 0805 F6IIV         599 22     F4HCZ         599 68    
QSO:  7000 CW 2023-01-28 0806 F6IIV         599 22     F4VSR         599 66    
QSO:  7000 CW 2023-01-28 0807 F6IIV         599 22     F5IAE         599 18    
QSO:  7000 CW 2023-01-28 0810 F6IIV         599 22     F8KGZ         599 54    
QSO: 28000 CW 2023-01-28 0811 F6IIV         599 22     FR8UA         599 FR    
QSO:  7000 CW 2023-01-28 0812 F6IIV         599 22     F4CWN         599 32    
QSO:  7000 CW 2023-01-28 0813 F6IIV         599 22     F6KLO         599 19    
QSO:  7000 CW 2023-01-28 0813 F6IIV         599 22     F5IN          599 45    
QSO:  7000 CW 2023-01-28 0814 F6IIV         599 22     F6KOP         599 77    
QSO:  7000 CW 2023-01-28 0815 F6IIV         599 22     F6DYX         599 49    
QSO:  7000 CW 2023-01-28 0816 F6IIV         599 22     TM55M         599 55    
QSO:  7000 CW 2023-01-28 0817 F6IIV         599 22     TM4S          599 04    
QSO:  7000 CW 2023-01-28 0822 F6IIV         599 22     TO1A          599 FY    
QSO:  7000 CW 2023-01-28 0825 F6IIV         599 22     F8UFT         599 62    
QSO:  7000 CW 2023-01-28 0827 F6IIV         599 22     F5KMB         599 60    
QSO:  7000 CW 2023-01-28 0829 F6IIV         599 22     F6KJS         599 71    
QSO:  7000 CW 2023-01-28 0829 F6IIV         599 22     F6KHM         599 29    
QSO:  7000 CW 2023-01-28 0831 F6IIV         599 22     F5MWA         599 83    
QSO:  7000 CW 2023-01-28 0832 F6IIV         599 22     F4KKF         599 13    
QSO:  7000 CW 2023-01-28 0834 F6IIV         599 22     F5VV          599 01    
QSO:  7000 CW 2023-01-28 0835 F6IIV         599 22     F5MYK         599 44    
QSO:  7000 CW 2023-01-28 0837 F6IIV         599 22     F6KJX         599 41    
QSO:  7000 CW 2023-01-28 0838 F6IIV         599 22     F6KNB         599 33    
QSO:  7000 CW 2023-01-28 0840 F6IIV         599 22     F6GUF         599 37    
QSO:  7000 CW 2023-01-28 0842 F6IIV         599 22     F6KRK         599 78    
QSO:  7000 CW 2023-01-28 0843 F6IIV         599 22     F6REF         599 00    
QSO:  7000 CW 2023-01-28 0846 F6IIV         599 22     F4FFH         599 50    
QSO:  7000 CW 2023-01-28 0848 F6IIV         599 22     F8KLY         599 69    
QSO: 28000 CW 2023-01-28 0853 F6IIV         599 22     TM55M         599 55    
QSO: 14000 CW 2023-01-28 0858 F6IIV         599 22     F6KOP         599 77    
QSO: 14000 CW 2023-01-28 0926 F6IIV         599 22     F5KMB         599 60    
QSO: 14000 CW 2023-01-28 0927 F6IIV         599 22     F4CWN         599 32    
QSO: 28000 CW 2023-01-28 1149 F6IIV         599 22     F5XX          599 81    
QSO: 28000 CW 2023-01-28 1155 F6IIV         599 22     TO1A          599 FY    
QSO: 14000 CW 2023-01-28 1157 F6IIV         599 22     F6KHM         599 29    
QSO: 28000 CW 2023-01-28 1159 F6IIV         545 22     F5IN          599 45    
QSO: 28000 CW 2023-01-28 1200 F6IIV         599 22     F6KLO         599 19    
QSO: 28000 CW 2023-01-28 1202 F6IIV         599 22     TM4S          599 04    
QSO: 28000 CW 2023-01-28 1203 F6IIV         599 22     F5BMI         599 46    
QSO: 28000 CW 2023-01-28 1213 F6IIV         599 22     F6FET         599 53    
QSO: 28000 CW 2023-01-28 1215 F6IIV         599 22     F5OYM         599 81    
QSO: 28000 CW 2023-01-28 1217 F6IIV         599 22     F6KHM         599 29    
QSO: 21000 CW 2023-01-28 1224 F6IIV         599 22     F4KKF         599 13    
QSO: 28000 CW 2023-01-28 1232 F6IIV         599 22     FG/F5HRY      599 FG    
QSO: 21000 CW 2023-01-28 1239 F6IIV         599 22     F4VSR         599 66    
QSO: 21000 CW 2023-01-28 1242 F6IIV         599 22     TM4K          599 03    
