START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.38.1
CONTEST: REF-CW
LOCATION: DX
GRID-LOCATOR: JN49EJ
CALLSIGN: DL3IAS
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 12610
OPERATORS: 
NAME: Nino Stahl
CERTIFICATE: NO
SOAPBOX: 
RIG: Elecraft K3s 100 Watt, Fritzel FB23 Beam, 80/40m Trap Dipole
QSO: 14027 CW 2023-01-28 0946 DL3IAS        599 001    F4ARU         599 31    
QSO: 14022 CW 2023-01-28 0952 DL3IAS        599 002    F6KMC         599 47    
QSO: 14029 CW 2023-01-28 0954 DL3IAS        599 003    F8FUA         599 46    
QSO: 14038 CW 2023-01-28 0956 DL3IAS        599 004    F6KJS         599 71    
QSO: 14032 CW 2023-01-28 0957 DL3IAS        599 005    F5XX          599 81    
QSO: 14005 CW 2023-01-28 0959 DL3IAS        599 006    F6KHM         599 29    
QSO: 14007 CW 2023-01-28 1000 DL3IAS        599 007    F6KOP         599 77    
QSO: 14016 CW 2023-01-28 1001 DL3IAS        599 008    F5OYM         599 81    
QSO: 14019 CW 2023-01-28 1004 DL3IAS        599 009    F5JU          599 35    
QSO: 14034 CW 2023-01-28 1005 DL3IAS        599 010    F5OIJ         599 35    
QSO:  7032 CW 2023-01-28 1009 DL3IAS        599 011    F6GPT         599 33    
QSO:  7028 CW 2023-01-28 1010 DL3IAS        599 012    F4KKF         599 13    
QSO:  7026 CW 2023-01-28 1012 DL3IAS        599 013    F5MXH         599 45    
QSO:  7009 CW 2023-01-28 1016 DL3IAS        599 014    F6KHM         599 29    
QSO:  7008 CW 2023-01-28 1017 DL3IAS        599 015    F5MWA         599 83    
QSO:  7032 CW 2023-01-28 1019 DL3IAS        599 016    F6KRK         599 78    
QSO: 14013 CW 2023-01-28 1024 DL3IAS        599 017    F4VSR         599 66    
QSO: 14015 CW 2023-01-28 1028 DL3IAS        599 018    TO1A          599 FY    
QSO: 14025 CW 2023-01-28 1034 DL3IAS        599 019    F4KKF         599 13    
QSO: 14024 CW 2023-01-28 1036 DL3IAS        599 020    TM4S          599 04    
QSO: 14010 CW 2023-01-28 1037 DL3IAS        599 021    F5BMI         599 46    
QSO: 14032 CW 2023-01-28 1038 DL3IAS        599 022    F4CWN         599 32    
QSO: 14033 CW 2023-01-28 1039 DL3IAS        599 023    F6KNB         599 33    
QSO: 14035 CW 2023-01-28 1040 DL3IAS        599 024    F8DGY         599 77    
QSO: 14020 CW 2023-01-28 1041 DL3IAS        599 025    F5VBU         599 66    
QSO: 14042 CW 2023-01-28 1045 DL3IAS        599 026    F5MYK         599 44    
QSO: 14035 CW 2023-01-28 1046 DL3IAS        599 027    F8DGY         599 77    
QSO: 14017 CW 2023-01-28 1047 DL3IAS        599 028    F5OWL         599 83    
QSO:  7002 CW 2023-01-28 1049 DL3IAS        599 029    F6HQP         599 73    
QSO:  7023 CW 2023-01-28 1052 DL3IAS        599 030    F6APE         599 49    
QSO:  7022 CW 2023-01-28 1053 DL3IAS        599 031    F6BGH         599 57    
QSO: 14042 CW 2023-01-28 1239 DL3IAS        599 032    F4FFZ         599 56    
QSO: 14037 CW 2023-01-28 1243 DL3IAS        599 033    TM2M          599 85    
QSO: 14026 CW 2023-01-28 1245 DL3IAS        599 034    F5PHY         599 24    
QSO: 14030 CW 2023-01-28 1251 DL3IAS        599 035    F6REF         599 00    
QSO: 14023 CW 2023-01-28 1257 DL3IAS        599 036    F4IKC         599 64    
QSO: 21016 CW 2023-01-28 1300 DL3IAS        599 037    F6KHM         599 29    
QSO: 14011 CW 2023-01-28 1316 DL3IAS        599 038    F8KGZ         599 54    
QSO: 14043 CW 2023-01-28 1321 DL3IAS        599 039    TM3QK         599 12    
QSO: 14032 CW 2023-01-28 1322 DL3IAS        599 040    F8UFT         599 62    
QSO:  7035 CW 2023-01-28 1329 DL3IAS        599 041    F6GOE         599 19    
QSO: 14020 CW 2023-01-28 1401 DL3IAS        599 042    F6KRK         599 78    
QSO: 28012 CW 2023-01-28 1405 DL3IAS        599 043    TM55M         599 55    
QSO: 28024 CW 2023-01-28 1406 DL3IAS        599 044    TO1A          599 FY    
QSO:  3521 CW 2023-01-28 1747 DL3IAS        599 045    F6KGL         599 93    
QSO:  3540 CW 2023-01-28 1747 DL3IAS        599 046    F6KRK         599 78    
QSO:  3518 CW 2023-01-28 1751 DL3IAS        599 047    F6BUL         599 74    
QSO:  3515 CW 2023-01-28 1752 DL3IAS        599 048    F6KBN/P       599 37    
QSO:  3529 CW 2023-01-28 1753 DL3IAS        599 049    F6KHM         599 29    
QSO:  3527 CW 2023-01-28 1754 DL3IAS        599 050    F4FFZ         599 56    
QSO:  3523 CW 2023-01-28 1756 DL3IAS        599 051    F6ARL         599 06    
QSO:  3522 CW 2023-01-28 1757 DL3IAS        599 052    TM55M         599 55    
QSO:  3522 CW 2023-01-28 1758 DL3IAS        599 053    TM8NAN        599 63    
QSO:  3521 CW 2023-01-28 1801 DL3IAS        599 054    F6KGL         599 93    
QSO:  3520 CW 2023-01-28 1802 DL3IAS        599 055    F6DYX         599 49    
QSO:  3519 CW 2023-01-28 1803 DL3IAS        599 056    F5OIH         599 86    
QSO:  3510 CW 2023-01-28 1808 DL3IAS        599 057    F8FLN         599 52    
QSO:  3509 CW 2023-01-28 1812 DL3IAS        599 058    F5AUZ         599 87    
QSO:  3512 CW 2023-01-28 1813 DL3IAS        599 059    F5IN          599 45    
QSO:  3505 CW 2023-01-28 1814 DL3IAS        599 060    F6REF         599 00    
QSO:  3518 CW 2023-01-28 1815 DL3IAS        599 061    F5OWL         599 83    
QSO:  3534 CW 2023-01-28 1816 DL3IAS        599 062    F5OEV         599 85    
QSO:  3533 CW 2023-01-28 1818 DL3IAS        599 063    F8KGW         599 35    
QSO:  7028 CW 2023-01-28 1823 DL3IAS        599 064    F6KPW         599 33    
QSO:  7008 CW 2023-01-28 1826 DL3IAS        599 065    F4DIA         599 74    
QSO:  7026 CW 2023-01-28 1827 DL3IAS        599 066    TM2M          599 85    
QSO:  7022 CW 2023-01-28 1828 DL3IAS        599 067    F4KKF         599 13    
QSO:  7019 CW 2023-01-28 1829 DL3IAS        599 068    TM8NAN        599 63    
QSO:  7017 CW 2023-01-28 1830 DL3IAS        599 069    F6KNB         599 33    
QSO:  7018 CW 2023-01-28 1834 DL3IAS        599 070    F5KHP         599 32    
QSO: 14018 CW 2023-01-28 1835 DL3IAS        599 071    F6KLO         599 19    
QSO:  3545 CW 2023-01-28 1844 DL3IAS        599 072    F6FET         599 53    
QSO:  3539 CW 2023-01-28 1848 DL3IAS        599 073    F8KHO/P       599 51    
QSO:  3536 CW 2023-01-28 1850 DL3IAS        599 074    F6KUP         599 55    
QSO:  3527 CW 2023-01-28 1854 DL3IAS        599 075    F6KOP         599 77    
QSO:  3522 CW 2023-01-28 2311 DL3IAS        599 076    F5KCC         599 89    
QSO:  3555 CW 2023-01-28 2312 DL3IAS        599 077    TM5G          599 44    
QSO:  3513 CW 2023-01-28 2312 DL3IAS        599 078    F6HQP         599 73    
QSO:  3515 CW 2023-01-28 2314 DL3IAS        599 079    F6KJS         599 71    
QSO:  3516 CW 2023-01-28 2315 DL3IAS        599 080    F6KDL         599 68    
QSO:  3506 CW 2023-01-28 2317 DL3IAS        599 081    F5PBG         599 29    
QSO:  3551 CW 2023-01-28 2318 DL3IAS        599 082    TM2M          599 85    
QSO:  3519 CW 2023-01-28 2321 DL3IAS        599 083    F6KLO         599 19    
QSO:  7021 CW 2023-01-28 2323 DL3IAS        599 084    TO1A          599 FY    
QSO:  7028 CW 2023-01-28 2324 DL3IAS        599 085    FG/F5HRY      599 FG    
QSO:  3520 CW 2023-01-28 2329 DL3IAS        599 086    F5UFV         599 55    
QSO:  3553 CW 2023-01-28 2332 DL3IAS        599 087    F5LMG         599 22    
QSO:  3533 CW 2023-01-28 2333 DL3IAS        599 088    F6GPT         599 33    
QSO:  3529 CW 2023-01-28 2334 DL3IAS        599 089    F5RGY/P       599 25    
QSO:  7013 CW 2023-01-29 0530 DL3IAS        599 090    F5OYM         599 81    
QSO:  3529 CW 2023-01-29 0531 DL3IAS        599 091    F6GCT         599 77    
QSO:  3528 CW 2023-01-29 0533 DL3IAS        599 092    F5RAB         599 28    
QSO:  3521 CW 2023-01-29 0534 DL3IAS        599 093    F8KCF         599 74    
QSO:  3517 CW 2023-01-29 0535 DL3IAS        599 094    F5KMB         599 60    
QSO:  3516 CW 2023-01-29 0538 DL3IAS        599 095    F6KUQ         599 33    
QSO:  3515 CW 2023-01-29 0539 DL3IAS        599 096    F8BPN         599 19    
QSO:  3514 CW 2023-01-29 0542 DL3IAS        599 097    F5KCK         599 79    
QSO:  3513 CW 2023-01-29 0544 DL3IAS        599 098    F6CEL         599 02    
QSO:  3518 CW 2023-01-29 0545 DL3IAS        599 099    F5KHP         599 32    
QSO:  3550 CW 2023-01-29 0546 DL3IAS        599 100    F6GUF         599 37    
QSO:  3543 CW 2023-01-29 0548 DL3IAS        599 101    F5MYK         599 44    
QSO:  3540 CW 2023-01-29 0550 DL3IAS        599 102    F8DGY         599 77    
QSO:  3537 CW 2023-01-29 0551 DL3IAS        599 103    F5JU          599 35    
QSO:  3537 CW 2023-01-29 0553 DL3IAS        599 104    F5IQJ         599 05    
QSO:  7018 CW 2023-01-29 1010 DL3IAS        599 105    F5BMI         599 46    
QSO:  7032 CW 2023-01-29 1013 DL3IAS        599 106    F5VV          599 01    
QSO:  7030 CW 2023-01-29 1017 DL3IAS        599 107    F8EBY         599 54    
QSO: 14034 CW 2023-01-29 1022 DL3IAS        599 108    F6GPT         599 33    
QSO: 14027 CW 2023-01-29 1026 DL3IAS        599 109    F8GGZ         599 71    
QSO: 14048 CW 2023-01-29 1028 DL3IAS        599 110    TM55M         599 55    
QSO: 14011 CW 2023-01-29 1030 DL3IAS        599 111    F6KDL         599 68    
QSO:  7032 CW 2023-01-29 1633 DL3IAS        599 112    F6BYJ         599 16    
QSO:  7027 CW 2023-01-29 1634 DL3IAS        599 113    F6KOP         599 77    
QSO:  7024 CW 2023-01-29 1635 DL3IAS        599 114    F4ARU         599 31    
QSO:  7025 CW 2023-01-29 1636 DL3IAS        599 115    F4CWN         599 32    
QSO:  7006 CW 2023-01-29 1637 DL3IAS        599 116    F4VSR         599 66    
QSO:  7023 CW 2023-01-29 1641 DL3IAS        599 117    F6KUP         599 55    
QSO: 21022 CW 2023-01-29 1644 DL3IAS        599 118    TO1A          599 FY    
QSO:  7030 CW 2023-01-29 1646 DL3IAS        599 119    TM4S          599 04    
QSO:  7036 CW 2023-01-29 1648 DL3IAS        599 120    F6KDL         599 68    
QSO:  7014 CW 2023-01-29 1650 DL3IAS        599 121    F6IIT         599 86    
QSO:  7010 CW 2023-01-29 1652 DL3IAS        599 122    F8BPN         599 19    
QSO:  3532 CW 2023-01-29 1657 DL3IAS        599 123    F4IIQ         599 23    
END-OF-LOG:
