START-OF-LOG: 3.0
CONTEST: CQ-WPX-RTTY
CALLSIGN: HB9MXY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 39105
NAME: Rudolf Alther
LOCATION: DX
CREATED-BY: UcxLog 7.99
SOAPBOX: RIG ICOM-718, 40 watts on 2 element SteppIR resp. traped
SOAPBOX: 40/80 m dipole both antennas 12 m over ground. Tnx for fine
SOAPBOX: contest, hpe cu next year es vy 73 de Rudolf
QSO: 14086 RY 2020-02-08 1419 HB9MXY        599 0001   LZ2JA         599 0135   0
QSO: 14099 RY 2020-02-08 1426 HB9MXY        599 0002   YP8VS         599 0411   0
QSO: 14105 RY 2020-02-08 1428 HB9MXY        599 0003   EW6DM         599 0228   0
QSO: 14109 RY 2020-02-08 1434 HB9MXY        599 0004   N6AR          599 0376   0
QSO: 14113 RY 2020-02-08 1439 HB9MXY        599 0005   YO3RU         599 0314   0
QSO: 14117 RY 2020-02-08 1445 HB9MXY        599 0006   AA3B          599 0957   0
QSO: 14122 RY 2020-02-08 1447 HB9MXY        599 0007   7Z1SJ         599 0264   0
QSO: 14126 RY 2020-02-08 1455 HB9MXY        599 0008   LZ6Y          599 0438   0
QSO: 14127 RY 2020-02-08 1456 HB9MXY        599 0009   AK1W          599 0940   0
QSO: 14128 RY 2020-02-08 1458 HB9MXY        599 0010   VE3UTT        599 0327   0
QSO: 14133 RY 2020-02-08 1505 HB9MXY        599 0011   N2MM          599 0182   0
QSO: 14136 RY 2020-02-08 1508 HB9MXY        599 0012   EA8W          599 0148   0
QSO: 14136 RY 2020-02-08 1510 HB9MXY        599 0013   WX8C          599 0421   0
QSO: 14137 RY 2020-02-08 1513 HB9MXY        599 0014   TF3AO         599 0160   0
QSO: 14138 RY 2020-02-08 1526 HB9MXY        599 0015   UT3RS         599 0335   0
QSO: 14138 RY 2020-02-08 1527 HB9MXY        599 0016   AB3CV         599 0314   0
QSO: 14137 RY 2020-02-08 1551 HB9MXY        599 0017   K3WW          599 0435   0
QSO: 14129 RY 2020-02-08 1600 HB9MXY        599 0018   VE3TW         599 0117   0
QSO: 14128 RY 2020-02-08 1601 HB9MXY        599 0019   NR2C          599 0335   0
QSO: 14126 RY 2020-02-08 1603 HB9MXY        599 0020   VA3DF         599 0370   0
QSO: 14109 RY 2020-02-08 1630 HB9MXY        599 0021   W9ILY         599 0125   0
QSO:  7050 RY 2020-02-08 1657 HB9MXY        599 0022   ED1R          599 0391   0
QSO:  7050 RY 2020-02-08 1658 HB9MXY        599 0023   OH2T          599 0472   0
QSO:  7051 RY 2020-02-08 1659 HB9MXY        599 0024   OH1TM         599 0122   0
QSO:  7059 RY 2020-02-08 1711 HB9MXY        599 0025   EA1AKS        599 0601   0
QSO:  7065 RY 2020-02-08 1715 HB9MXY        599 0026   OH3OJ         599 0668   0
QSO:  7066 RY 2020-02-08 1720 HB9MXY        599 0027   OG70AD        599 0385   0
QSO:  7067 RY 2020-02-08 1722 HB9MXY        599 0028   GB60ATG       599 0556   0
QSO:  7069 RY 2020-02-08 1723 HB9MXY        599 0029   OH7KBF        599 0119   0
QSO:  7067 RY 2020-02-08 1725 HB9MXY        599 0030   TC7G          599 0434   0
QSO:  7064 RY 2020-02-08 1909 HB9MXY        599 0031   YO3GNF        599 0307   0
QSO:  7062 RY 2020-02-08 1914 HB9MXY        599 0032   RA4FUN        599 0474   0
QSO:  7058 RY 2020-02-08 1920 HB9MXY        599 0033   LZ3CB         599 0358   0
QSO:  3590 RY 2020-02-08 1929 HB9MXY        599 0034   F5BEG         599 0380   0
