START-OF-LOG: 3.0
CONTEST: CQ-WPX-RTTY
CALLSIGN: W8KNO
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 1408
NAME: Joseph L. Wehner
LOCATION: OH
OPERATORS: W8KNO
CLUB: PORTAGE COUNTY AMATEUR RADIO SERVICE
CREATED-BY: GenLog v8.19
SOAPBOX: 1st RTY contact in 61 years as an amateur.
QSO:  7000 RY 2020-02-08 1619 W8KNO         599 0001   W1VK          599 0273
QSO:  7000 RY 2020-02-08 1720 W8KNO         599 0002   KA4RRU        599 0479
QSO:  7000 RY 2020-02-08 1859 W8KNO         599 0003   K4BWP         599 0088
QSO:  7000 RY 2020-02-08 1904 W8KNO         599 0004   N5BP           599 0055
QSO:  7000 RY 2020-02-08 1922 W8KNO         599 0005   AB0RX         599 0942
QSO:  7000 RY 2020-02-09 0007 W8KNO         599 0006   N9CT           599 0857
QSO:  7000 RY 2020-02-09 0010 W8KNO         599 0007   YU7U           599 0409
QSO:  7000 RY 2020-02-09 1431 W8KNO         599 0008   WB9HRL       599 0419
QSO:  7000 RY 2020-02-09 1434 W8KNO         599 0009   W4PK          599 1271
QSO:  7000 RY 2020-02-09 1436 W8KNO         599 0010   N2HMM         599 0423
QSO:  7000 RY 2020-02-09 1734 W8KNO         599 0011   W9OA          599 0074
QSO: 14000 RY 2020-02-09 1739 W8KNO         599 0012   S52X           599 1191
QSO: 14000 RY 2020-02-09 1742 W8KNO         599 0013   EC1KR         599 1151
QSO: 14000 RY 2020-02-09 1841 W8KNO         599 0014   N4BP          599 1066
QSO: 14000 RY 2020-02-09 1845 W8KNO         599 0015   ED8H          599 0303
QSO: 14000 RY 2020-02-09 1900 W8KNO         599 0016   KP4/K6DTT     599 1062
QSO: 14000 RY 2020-02-09 1903 W8KNO         599 0017   WX8C          599 1387
QSO: 14000 RY 2020-02-09 1955 W8KNO         599 0018   WU5K          599 0305
QSO:  7000 RY 2020-02-09 2137 W8KNO         599 0019   WC1X/VE2      599 0795
QSO:  7000 RY 2020-02-09 2143 W8KNO         599 0020   N2RC           599 0147
QSO:  7000 RY 2020-02-09 2149 W8KNO         599 0021   VE2NMB        599 0762
QSO:  7000 RY 2020-02-09 2151 W8KNO         599 0022   NY6DX         599 0654
QSO:  7000 RY 2020-02-09 2154 W8KNO         599 0023   NO0I           599 0327
QSO:  7000 RY 2020-02-09 2156 W8KNO         599 0024   VE2GSO       599 0923
QSO:  7000 RY 2020-02-09 2158 W8KNO         599 0025   NV9I           599 1762
END-OF-LOG:
