START-OF-LOG: 3.0
CONTEST: CQ-WPX-RTTY
CALLSIGN: DD0VS
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 141710
NAME: Harald Fritzsche
LOCATION: DX
OPERATORS: DD0VS
CLUB: BAVARIAN CONTEST CLUB

CREATED-BY: UcxLog 7.99
SOAPBOX: For a qrp station very difficult conditions on saturday. mni tnx for all
SOAPBOX: listening the qrp signal. GL to participants. vy73 Harald DD0VS
QSO:  7035 RY 2020-02-08 0751 DD0VS         599 001    EB8AH         599 544    0
QSO:  7034 RY 2020-02-08 0757 DD0VS         599 002    UT3SO         599 127    0
QSO:  7033 RY 2020-02-08 0758 DD0VS         599 003    2E0CVN        599 48     0
QSO:  7039 RY 2020-02-08 0800 DD0VS         599 004    I0WBX         599 105    0
QSO:  7036 RY 2020-02-08 0801 DD0VS         599 005    F5GFA         599 034    0
QSO:  7032 RY 2020-02-08 0802 DD0VS         599 006    LZ3RR         599 150    0
QSO:  7038 RY 2020-02-08 0803 DD0VS         599 007    MM3AWD        599 172    0
QSO:  7041 RY 2020-02-08 0814 DD0VS         599 008    G3PXT         599 018    0
QSO:  7037 RY 2020-02-08 0815 DD0VS         599 009    P49X          599 862    0
QSO:  7045 RY 2020-02-08 0820 DD0VS         599 010    M2G           599 192    0
QSO:  7052 RY 2020-02-08 0827 DD0VS         599 011    OZ11A         599 231    0
QSO:  7044 RY 2020-02-08 0832 DD0VS         599 012    9A1A          599 533    0
QSO:  7045 RY 2020-02-08 0836 DD0VS         599 013    HG8C          599 030    0
QSO:  7046 RY 2020-02-08 0837 DD0VS         599 014    9A3SMS        599 036    0
QSO:  7049 RY 2020-02-08 0840 DD0VS         599 015    KF3P          599 646    0
QSO:  7048 RY 2020-02-08 0845 DD0VS         599 016    OH3OJ         599 332    0
QSO:  7049 RY 2020-02-08 0846 DD0VS         599 017    LY6A          599 468    0
QSO:  7053 RY 2020-02-08 0853 DD0VS         599 018    SQ2A          599 280    0
QSO:  7054 RY 2020-02-08 0853 DD0VS         599 019    G0MTN         599 209    0
QSO:  7060 RY 2020-02-08 0857 DD0VS         599 020    GB60ATG       599 340    0
QSO:  7058 RY 2020-02-08 0902 DD0VS         599 021    F4HJO         599 191    0
QSO: 14096 RY 2020-02-08 0905 DD0VS         599 022    UX7QV         599 113    0
QSO: 14096 RY 2020-02-08 0907 DD0VS         599 023    UZ2I          599 613    0
QSO: 14092 RY 2020-02-08 0908 DD0VS         599 024    RU5TT         599 131    0
QSO: 14090 RY 2020-02-08 0909 DD0VS         599 025    RA1QFU        599 049    0
QSO: 14102 RY 2020-02-08 0921 DD0VS         599 026    RM3DA         599 374    0
QSO: 14094 RY 2020-02-08 1202 DD0VS         599 027    R5AJ          599 321    0
QSO: 14096 RY 2020-02-08 1205 DD0VS         599 028    UW1M          599 855    0
QSO: 14102 RY 2020-02-08 1209 DD0VS         599 029    ER4A          599 832    0
QSO: 14107 RY 2020-02-08 1419 DD0VS         599 030    R3BB          599 163    0
QSO: 14104 RY 2020-02-08 1420 DD0VS         599 031    UT5EPP        599 486    0
QSO: 14109 RY 2020-02-08 1421 DD0VS         599 032    UY5VA         599 409    0
QSO: 14110 RY 2020-02-08 1422 DD0VS         599 033    SZ1A          599 437    0
QSO:  7055 RY 2020-02-08 1435 DD0VS         599 034    G2EC          599 183    0
QSO:  7054 RY 2020-02-08 1436 DD0VS         599 035    LZ7A          599 661    0
QSO:  7050 RY 2020-02-08 1437 DD0VS         599 036    SP95IARU      599 082    0
QSO:  7046 RY 2020-02-08 1440 DD0VS         599 037    HG1S          599 650    0
QSO:  7039 RY 2020-02-08 1447 DD0VS         599 038    UR5SD         599 285    0
QSO:  7036 RY 2020-02-08 1452 DD0VS         599 039    UA4M          599 981    0
QSO:  7037 RY 2020-02-08 1541 DD0VS         599 040    UV5U          599 492    0
QSO:  7044 RY 2020-02-08 1542 DD0VS         599 041    I2WIJ         599 241    0
QSO:  7046 RY 2020-02-08 1544 DD0VS         599 042    ED1R          599 367    0
QSO:  7047 RY 2020-02-08 1547 DD0VS         599 043    OM0M          599 500    0
QSO:  7040 RY 2020-02-08 1550 DD0VS         599 044    IR9K          599 246    0
QSO:  7061 RY 2020-02-08 1552 DD0VS         599 045    IU5ICR        599 262    0
QSO:  7059 RY 2020-02-08 1555 DD0VS         599 046    EA1AKS        599 499    0
QSO:  7053 RY 2020-02-08 1600 DD0VS         599 047    RM9A          599 136    0
QSO:  7050 RY 2020-02-08 1601 DD0VS         599 048    IZ4NI         599 562    0
QSO:  7058 RY 2020-02-08 1602 DD0VS         599 049    YT5DEY        599 072    0
QSO:  7063 RY 2020-02-08 1605 DD0VS         599 050    IW1PNJ        599 305    0
QSO:  7064 RY 2020-02-08 1606 DD0VS         599 051    OG70AD        599 351    0
QSO:  7064 RY 2020-02-08 1607 DD0VS         599 052    LZ3CB         599 280    0
QSO:  7072 RY 2020-02-08 1610 DD0VS         599 053    EV1R          599 303    0
QSO:  7062 RY 2020-02-08 1617 DD0VS         599 054    F5OAM         599 459    0
QSO:  3592 RY 2020-02-08 1623 DD0VS         599 055    DL3BQA        599 316    0
QSO:  3591 RY 2020-02-08 1624 DD0VS         599 056    OM3IAG        599 35     0
QSO:  3590 RY 2020-02-08 1624 DD0VS         599 057    ES9C          599 689    0
QSO:  3586 RY 2020-02-08 1626 DD0VS         599 058    HG5D          599 371    0
QSO:  3585 RY 2020-02-08 1627 DD0VS         599 059    OZ1DAE        599 241    0
QSO:  3587 RY 2020-02-08 1629 DD0VS         599 060    UX2X          599 409    0
QSO:  3584 RY 2020-02-08 1630 DD0VS         599 061    LY6A          599 835    0
QSO:  3594 RY 2020-02-08 1631 DD0VS         599 062    9A1A          599 510    0
QSO:  3599 RY 2020-02-08 1632 DD0VS         599 063    DQ9Y          599 550    0
QSO:  3602 RY 2020-02-08 1633 DD0VS         599 064    OL4C          599 427    0
QSO:  3600 RY 2020-02-08 1638 DD0VS         599 065    DK0KC         599 252    0
QSO:  3596 RY 2020-02-08 1730 DD0VS         599 066    GM2V          599 158    0
QSO:  3593 RY 2020-02-08 1755 DD0VS         599 067    LY2W          599 438    0
QSO:  3578 RY 2020-02-08 1903 DD0VS         599 068    UZ1WW         599 241    0
QSO:  3577 RY 2020-02-08 1908 DD0VS         599 069    YT4T          599 186    0
QSO:  3591 RY 2020-02-08 1910 DD0VS         599 070    OM0M          599 451    0
QSO:  3592 RY 2020-02-08 1911 DD0VS         599 071    SN2M          599 565    0
QSO:  3603 RY 2020-02-08 2027 DD0VS         599 072    HG8C          599 275    0
QSO:  7064 RY 2020-02-08 2030 DD0VS         599 073    CR3DX         599 655    0
QSO:  7057 RY 2020-02-08 2031 DD0VS         599 074    LZ5K          599 293    0
QSO:  7060 RY 2020-02-08 2033 DD0VS         599 075    RA4FUN        599 499    0
QSO:  3603 RY 2020-02-08 2144 DD0VS         599 076    DL0CS         599 610    0
QSO:  3599 RY 2020-02-08 2145 DD0VS         599 077    OK6T          599 459    0
QSO:  3596 RY 2020-02-08 2146 DD0VS         599 078    LY7Z          599 1067   0
QSO:  3590 RY 2020-02-08 2148 DD0VS         599 079    LX20I         599 499    0
QSO:  3588 RY 2020-02-08 2151 DD0VS         599 080    SO7T          599 335    0
QSO:  3588 RY 2020-02-09 0830 DD0VS         599 081    DF70DARC      599 601    0
QSO:  3584 RY 2020-02-09 0831 DD0VS         599 082    IW2HUS        599 245    0
QSO:  3582 RY 2020-02-09 0832 DD0VS         599 083    LX1HD         599 329    0
QSO:  3580 RY 2020-02-09 0833 DD0VS         599 084    DJ9MH         599 279    0
QSO:  3581 RY 2020-02-09 0835 DD0VS         599 085    IK3SSJ        599 342    0
QSO:  3590 RY 2020-02-09 0835 DD0VS         599 086    DO4OD         599 186    0
QSO:  3592 RY 2020-02-09 0838 DD0VS         599 087    DL0HMK        599 695    0
QSO:  3598 RY 2020-02-09 0842 DD0VS         599 088    DL2ZA         599 057    0
QSO:  7050 RY 2020-02-09 0845 DD0VS         599 089    RT3P          599 874    0
QSO:  7049 RY 2020-02-09 0847 DD0VS         599 090    OH1TM         599 315    0
