START-OF-LOG: 3.0
CONTEST: CQ-WPX-RTTY
CALLSIGN: DL4ZA
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 357178
NAME: Wilhelm Ziesak
LOCATION: DX
OPERATORS: DL4ZA
CLUB: Bavarian Contest Club
CREATED-BY: RCKLog V3.27
SOAPBOX: Yaesu FTdx3000 - Icom IC2KL - stepp IR - Loop
QSO:  3592 RY 2020-02-08 0210 DL4ZA         599 001    DP9A          599 051    0
QSO:  3589 RY 2020-02-08 0215 DL4ZA         599 002    PI4CG         599 085    0
QSO:  3589 RY 2020-02-08 0216 DL4ZA         599 003    LY7Z          599 144    0
QSO:  3587 RY 2020-02-08 0228 DL4ZA         599 004    UV2E          599 034    0
QSO:  3587 RY 2020-02-08 0230 DL4ZA         599 005    SN2M          599 176    0
QSO:  3586 RY 2020-02-08 0231 DL4ZA         599 006    9A1A          599 176    0
QSO:  3585 RY 2020-02-08 0238 DL4ZA         599 007    OT7D          599 109    0
QSO:  3586 RY 2020-02-08 0246 DL4ZA         599 008    UX2X          599 195    0
QSO:  3580 RY 2020-02-08 0255 DL4ZA         599 009    YQ6A          599 069    0
QSO:  3579 RY 2020-02-08 0257 DL4ZA         599 010    UT5UN         599 024    0
QSO:  3577 RY 2020-02-08 0302 DL4ZA         599 011    SP5DL         599 132    0
QSO:  3577 RY 2020-02-08 0306 DL4ZA         599 012    UZ5ZU         599 111    0
QSO:  3577 RY 2020-02-08 0309 DL4ZA         599 013    UX1UX         599 153    0
QSO:  3576 RY 2020-02-08 0313 DL4ZA         599 014    YO9CWY        599 041    0
QSO:  3576 RY 2020-02-08 0313 DL4ZA         599 015    9A3ZI         599 089    0
QSO:  3576 RY 2020-02-08 0315 DL4ZA         599 016    IK6VXO        599 244    0
QSO:  3576 RY 2020-02-08 0317 DL4ZA         599 017    S56A          599 113    0
QSO:  3576 RY 2020-02-08 0319 DL4ZA         599 018    MM1E          599 074    0
QSO:  3576 RY 2020-02-08 0320 DL4ZA         599 019    OM5KM         599 064    0
QSO:  3576 RY 2020-02-08 0321 DL4ZA         599 020    M2J           599 081    0
QSO:  3576 RY 2020-02-08 0324 DL4ZA         599 021    R6EA          599 173    0
QSO:  3576 RY 2020-02-08 0328 DL4ZA         599 022    LY6A          599 197    0
QSO:  3576 RY 2020-02-08 0330 DL4ZA         599 023    OG70AD        599 044    0
QSO:  3577 RY 2020-02-08 0332 DL4ZA         599 024    UR5TM         599 099    0
QSO:  3578 RY 2020-02-08 0333 DL4ZA         599 025    EM9Q          599 085    0
QSO:  3583 RY 2020-02-08 0336 DL4ZA         599 026    F4FDR         599 012    0
