START-OF-LOG: 3.0
CONTEST: CQ-WPX-RTTY
CALLSIGN: DL2DWP
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 26010
NAME: Klaus Proft
LOCATION: DX
CLUB: BAVARIAN CONTEST CLUB

CREATED-BY: UcxLog 8.01
SOAPBOX: Yaesu FT-817 ND, 5 Watt, indoor magnetic loop, 4m over ground
QSO:  3584 RY 2020-02-08 0321 DL2DWP        599 001    I4AVG         599 176    0
QSO:  3585 RY 2020-02-08 0324 DL2DWP        599 002    OT7D          599 162    0
QSO:  3586 RY 2020-02-08 0328 DL2DWP        599 003    UX2X          599 222    0
QSO:  3586 RY 2020-02-08 0330 DL2DWP        599 004    9A1A          599 223    0
QSO:  3593 RY 2020-02-08 0730 DL2DWP        599 005    OL4C          599 399    0
QSO:  3590 RY 2020-02-08 0734 DL2DWP        599 006    DF70DARC      599 186    0
QSO:  3589 RY 2020-02-08 0735 DL2DWP        599 007    OZ11A         599 192    0
QSO:  3587 RY 2020-02-08 0737 DL2DWP        599 008    SN2M          599 414    0
QSO:  3581 RY 2020-02-08 0743 DL2DWP        599 009    DL4CF         599 096    0
QSO:  3597 RY 2020-02-08 0749 DL2DWP        599 010    DR5N          599 388    0
QSO:  3590 RY 2020-02-08 0751 DL2DWP        599 011    OL9A          599 479    0
QSO:  7045 RY 2020-02-08 0757 DL2DWP        599 012    M2G           599 161    0
QSO:  7046 RY 2020-02-08 0913 DL2DWP        599 013    OM0M          599 245    0
QSO:  7044 RY 2020-02-08 0914 DL2DWP        599 014    9A1A          599 584    0
QSO:  7042 RY 2020-02-08 0917 DL2DWP        599 015    G3PXT         599 046    0
QSO:  7067 RY 2020-02-08 0919 DL2DWP        599 016    G3TXF         599 047    0
QSO:  7065 RY 2020-02-08 0921 DL2DWP        599 017    S51A          599 423    0
QSO:  7061 RY 2020-02-08 0922 DL2DWP        599 018    PA0VHA        599 099    0
QSO:  7060 RY 2020-02-08 0928 DL2DWP        599 019    SO7T          599 297    0
QSO:  7052 RY 2020-02-08 0939 DL2DWP        599 020    F6CXJ         599 095    0
QSO:  7048 RY 2020-02-08 0940 DL2DWP        599 021    OH3OJ         599 386    0
QSO:  7047 RY 2020-02-08 0942 DL2DWP        599 022    LX20I         599 334    0
QSO: 14091 RY 2020-02-08 1020 DL2DWP        599 023    IT9ZMX        599 276    0
QSO: 14092 RY 2020-02-08 1023 DL2DWP        599 024    RU5TT         599 207    0
QSO: 14096 RY 2020-02-08 1026 DL2DWP        599 025    UZ2I          599 723    0
QSO: 14100 RY 2020-02-08 1029 DL2DWP        599 026    S51A          599 158    0
QSO: 14099 RY 2020-02-08 1031 DL2DWP        599 027    EC1KR         599 144    0
QSO: 14098 RY 2020-02-08 1032 DL2DWP        599 028    9A1A          599 197    0
QSO: 14102 RY 2020-02-08 1033 DL2DWP        599 029    R3GZ          599 206    0
QSO: 14101 RY 2020-02-08 1035 DL2DWP        599 030    EF1C          599 078    0
QSO: 14104 RY 2020-02-08 1037 DL2DWP        599 031    RM3DA         599 445    0
QSO:  7044 RY 2020-02-08 1041 DL2DWP        599 032    IN3EYI        599 014    0
QSO:  7054 RY 2020-02-08 1044 DL2DWP        599 033    IZ3NXC        599 173    0
QSO:  7058 RY 2020-02-08 1045 DL2DWP        599 034    ES9C          599 470    0
QSO:  7048 RY 2020-02-08 1050 DL2DWP        599 035    HG1S          599 475    0
QSO:  7049 RY 2020-02-08 1148 DL2DWP        599 036    S51CK         599 423    0
QSO:  7050 RY 2020-02-08 1151 DL2DWP        599 037    ER4A          599 798    0
QSO: 14104 RY 2020-02-08 1153 DL2DWP        599 038    UT5EPP        599 401    0
QSO: 14108 RY 2020-02-08 1158 DL2DWP        599 039    UA4M          599 740    0
QSO: 14112 RY 2020-02-08 1201 DL2DWP        599 040    CR6T          599 218    0
QSO: 14112 RY 2020-02-08 1212 DL2DWP        599 041    UY5VA         599 309    0
QSO: 14109 RY 2020-02-08 1214 DL2DWP        599 042    RA9Y          599 579    0
QSO: 14110 RY 2020-02-08 1216 DL2DWP        599 043    EC5V          599 672    0
QSO: 14105 RY 2020-02-08 1218 DL2DWP        599 044    CR3DX         599 335    0
QSO: 14094 RY 2020-02-08 1222 DL2DWP        599 045    RW0A          599 588    0
QSO: 14095 RY 2020-02-08 1229 DL2DWP        599 046    UW1M          599 898    0
QSO: 14095 RY 2020-02-08 1412 DL2DWP        599 047    EM2G          599 236    0
QSO: 14082 RY 2020-02-08 1416 DL2DWP        599 048    EM0I          599 984    0
QSO: 14088 RY 2020-02-08 1421 DL2DWP        599 049    SX2I          599 803    0
QSO: 14128 RY 2020-02-08 1445 DL2DWP        599 050    TF3AO         599 147    0
QSO: 14105 RY 2020-02-08 1510 DL2DWP        599 051    EC5K          599 060    0
QSO:  3597 RY 2020-02-08 1547 DL2DWP        599 052    OK2HBR        599 1045   0
QSO:  3595 RY 2020-02-08 1550 DL2DWP        599 053    LY2W          599 385    0
QSO:  3588 RY 2020-02-08 1603 DL2DWP        599 054    DL3SYA        599 445    0
QSO:  3586 RY 2020-02-08 1605 DL2DWP        599 055    HG5D          599 352    0
QSO:  3584 RY 2020-02-09 0234 DL2DWP        599 056    J42L          599 1453   0
QSO:  3593 RY 2020-02-09 0236 DL2DWP        599 057    DL1IAO        599 112    0
QSO:  3595 RY 2020-02-09 0238 DL2DWP        599 058    UR5TM         599 282    0
QSO:  3587 RY 2020-02-09 0252 DL2DWP        599 059    CR3DX         599 745    0
QSO:  3589 RY 2020-02-09 0256 DL2DWP        599 060    PI4CG         599 882    0
QSO:  3589 RY 2020-02-09 0620 DL2DWP        599 061    OE9R          599 744    0
QSO:  3582 RY 2020-02-09 0629 DL2DWP        599 062    SP1ADT        599 110    0
QSO:  3585 RY 2020-02-09 0641 DL2DWP        599 063    DF8XC         599 864    0
QSO:  3586 RY 2020-02-09 0648 DL2DWP        599 064    SP4W          599 285    0
QSO:  3592 RY 2020-02-09 0653 DL2DWP        599 065    LX20I         599 671    0
QSO:  3597 RY 2020-02-09 0657 DL2DWP        599 066    HG1S          599 544    0
QSO:  3596 RY 2020-02-09 0704 DL2DWP        599 067    OZ1DAE        599 439    0
QSO:  3585 RY 2020-02-09 0710 DL2DWP        599 068    LY7T          599 298    0
QSO:  3594 RY 2020-02-09 0715 DL2DWP        599 069    DK0KC         599 474    0
QSO:  3594 RY 2020-02-09 0717 DL2DWP        599 070    SP95IARU      599 188    0
QSO:  7046 RY 2020-02-09 0832 DL2DWP        599 071    IZ2BVC        599 226    0
QSO:  7051 RY 2020-02-09 0837 DL2DWP        599 072    IZ4NIC        599 966    0
QSO:  7053 RY 2020-02-09 0845 DL2DWP        599 073    IK3TPP        599 721    0
QSO:  7063 RY 2020-02-09 0847 DL2DWP        599 074    HG1G          599 517    0
QSO:  7061 RY 2020-02-09 0853 DL2DWP        599 075    LY2W          599 926    0
QSO:  7057 RY 2020-02-09 0854 DL2DWP        599 076    I2WIJ         599 1050   0
QSO:  7059 RY 2020-02-09 0901 DL2DWP        599 077    OE9R          599 869    0
QSO:  7070 RY 2020-02-09 0907 DL2DWP        599 078    HB9DHG        599 586    0
QSO:  7071 RY 2020-02-09 0908 DL2DWP        599 079    LY7Z          599 1429   0
QSO:  7063 RY 2020-02-09 0917 DL2DWP        599 080    S57YK         599 219    0
QSO: 14081 RY 2020-02-09 0919 DL2DWP        599 081    R7MM          599 219    0
QSO: 14089 RY 2020-02-09 1025 DL2DWP        599 082    SV1JG         599 339    0
QSO: 14088 RY 2020-02-09 1046 DL2DWP        599 083    RT3P          599 992    0
QSO: 14086 RY 2020-02-09 1322 DL2DWP        599 084    RK3DXW        599 789    0
QSO: 14083 RY 2020-02-09 1328 DL2DWP        599 085    LZ6Y          599 1350   0
QSO: 14087 RY 2020-02-09 1333 DL2DWP        599 086    I0WBX         599 1108   0
QSO: 14093 RY 2020-02-09 1343 DL2DWP        599 087    F5GFA         599 292    0
QSO: 14103 RY 2020-02-09 1349 DL2DWP        599 088    ER4A          599 1796   0
QSO: 14101 RY 2020-02-09 1351 DL2DWP        599 089    US0MM         599 542    0
QSO: 14101 RY 2020-02-09 1352 DL2DWP        599 090    UT3IA         599 367    0
QSO: 14105 RY 2020-02-09 1355 DL2DWP        599 091    EA1B          599 671    0
