START-OF-LOG: 3.0
CONTEST: CQ-WPX-RTTY
CALLSIGN: W3ZF
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 1734
NAME: Daniel Ruth
LOCATION: CO
OPERATORS: W3ZF
CLUB: N/A
CREATED-BY: WF1B v5.02
SOAPBOX: Feel blessed to be able to run a 1990s antiquated
SOAPBOX: PASCAL based RTTY program using a TU on a PC running
SOAPBOX: xP connected to a 1983 HEATHKIT SS-9000 rig running
SOAPBOX: barefoot using only a BUDDIPOLE and DIPOLE
QSO: 14080 RY 2020-02-09 1813 W3ZF          599 0001   KA4RRU        599 0737
QSO: 14080 RY 2020-02-09 1821 W3ZF          599 0002   N8CWU         599 0496
QSO: 14080 RY 2020-02-09 1823 W3ZF          599 0003   ND3N          599 0335
QSO: 14080 RY 2020-02-09 1833 W3ZF          599 0004   VA3LR         599 0572
QSO: 14080 RY 2020-02-09 1858 W3ZF          599 0005   K2ADA         599 1192
QSO: 21104 RY 2020-02-09 1908 W3ZF          599 0006   ZF2WF         599 2380
QSO: 21080 RY 2020-02-09 1919 W3ZF          599 0007   KS7AA         599 2035
QSO:  7083 RY 2020-02-09 1927 W3ZF          599 0008   WD0BGZ        599 0242
QSO:  7092 RY 2020-02-09 1931 W3ZF          599 0009   W0ZQ          599 0161
QSO:  7090 RY 2020-02-09 1944 W3ZF          599 0010   N9SE          599 0430
QSO: 14115 RY 2020-02-09 2014 W3ZF          599 0011   NX6T          599 1036
QSO: 14112 RY 2020-02-09 2023 W3ZF          599 0012   W4GKM         599 1284
QSO: 14108 RY 2020-02-09 2028 W3ZF          599 0013   WX6V          599 0704
QSO: 14100 RY 2020-02-09 2046 W3ZF          599 0014   W4PK          599 1459
QSO: 14100 RY 2020-02-09 2049 W3ZF          599 0015   NG6O          599 0303
QSO: 14098 RY 2020-02-09 2053 W3ZF          599 0016   W3GH          599 0864
QSO: 14096 RY 2020-02-09 2055 W3ZF          599 0017   K2LNS         599 0339
QSO: 14124 RY 2020-02-09 2110 W3ZF          599 0018   WV1K          599 0903
QSO: 14122 RY 2020-02-09 2112 W3ZF          599 0019   W6NWS         599 0388
QSO: 14120 RY 2020-02-09 2128 W3ZF          599 0020   WQ6K          599 1542
QSO: 14118 RY 2020-02-09 2130 W3ZF          599 0021   NK6A          599 0401
QSO: 14114 RY 2020-02-09 2133 W3ZF          599 0022   WT9U          599 1199
QSO: 14115 RY 2020-02-09 2142 W3ZF          599 0023   N7BV          599 0328
QSO: 14102 RY 2020-02-09 2146 W3ZF          599 0024   WA8MCD        599 0470
QSO: 14093 RY 2020-02-09 2149 W3ZF          599 0025   WK7S          599 1717
QSO: 14090 RY 2020-02-09 2154 W3ZF          599 0026   KS7AA         599 2281
QSO: 14087 RY 2020-02-09 2156 W3ZF          599 0027   AA3B          599 2163
QSO: 14084 RY 2020-02-09 2201 W3ZF          599 0028   VA3FF         599 0354
QSO: 14129 RY 2020-02-09 2203 W3ZF          599 0029   VE7BC         599 0298
QSO: 14127 RY 2020-02-09 2210 W3ZF          599 0030   KN4BIT        599 1485
QSO: 14126 RY 2020-02-09 2215 W3ZF          599 0031   VE7IO         599 0324
QSO: 14123 RY 2020-02-09 2219 W3ZF          599 0032   K3WJV         599 0468
QSO: 14117 RY 2020-02-09 2225 W3ZF          599 0033   WD5DBV        599 0223
QSO: 14115 RY 2020-02-09 2230 W3ZF          599 0034   VA7KO         599 0963
QSO: 14109 RY 2020-02-09 2248 W3ZF          599 0035   K6TQ          599 0611
QSO: 14104 RY 2020-02-09 2259 W3ZF          599 0036   PX2A          599 1980
QSO: 14092 RY 2020-02-09 2304 W3ZF          599 0037   KT7E          599 1669
QSO: 14105 RY 2020-02-09 2308 W3ZF          599 0038   N3OW          599 0376
QSO: 14090 RY 2020-02-09 2358 W3ZF          599 0039   TI2OY         599 0779
END-OF-LOG:
