START-OF-LOG: 3.0
REF-SECTION: DX
CALLSIGN: OK4DZ
CLUB:  
CONTEST: REF-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 36792
OPERATORS: OK4DZ
SOAPBOX: TS 850,3 el. Yagi, dipole, GP ant. Entertainment, training. Thanks!
NAME: David Zahradnik
CREATED-BY: N1MM Logger+ 1.0.7492.0
QSO:  7002 CW 2019-01-26 0857 OK4DZ         599 0001   F5KHP         599 32       
QSO:  7005 CW 2019-01-26 0859 OK4DZ         599 0002   F4KIP         599 57       
QSO:  7009 CW 2019-01-26 0903 OK4DZ         599 0003   F6KJS         599 71       
QSO:  7012 CW 2019-01-26 0905 OK4DZ         599 0004   F8BUO         599 68       
QSO:  7014 CW 2019-01-26 0908 OK4DZ         599 0005   F5IN          599 45       
QSO:  7016 CW 2019-01-26 0912 OK4DZ         599 0006   F6KHM         599 29       
QSO:  7017 CW 2019-01-26 0913 OK4DZ         599 0007   F5MUX         599 29       
QSO:  7018 CW 2019-01-26 0917 OK4DZ         599 0008   F6KLO         599 19       
QSO:  7018 CW 2019-01-26 0919 OK4DZ         599 0009   F6KNB         599 33       
QSO:  7019 CW 2019-01-26 0921 OK4DZ         599 0010   F8BPN         599 19       
QSO:  7024 CW 2019-01-26 0926 OK4DZ         599 0011   F6KOP         599 77       
QSO:  7024 CW 2019-01-26 0930 OK4DZ         599 0012   F8KCF         599 74       
QSO:  7026 CW 2019-01-26 0931 OK4DZ         599 0013   F8DFP         599 63       
QSO: 14012 CW 2019-01-26 0948 OK4DZ         599 0014   FK8IK         599 FK       
QSO: 14021 CW 2019-01-26 0954 OK4DZ         599 0015   F5OYM/P       599 81       
QSO: 14016 CW 2019-01-26 1001 OK4DZ         599 0016   F5KDK/P       599 24       
QSO: 14039 CW 2019-01-26 1008 OK4DZ         599 0017   F5IN          599 45       
QSO:  7007 CW 2019-01-26 1042 OK4DZ         599 0018   F5MMX         599 91       
QSO:  7008 CW 2019-01-26 1048 OK4DZ         599 0019   F6EXV         599 33       
QSO:  7009 CW 2019-01-26 1056 OK4DZ         599 0020   F6KED         599 13       
QSO:  7011 CW 2019-01-26 1059 OK4DZ         599 0021   F5SKW         599 68       
QSO:  7012 CW 2019-01-26 1101 OK4DZ         599 0022   TM7A          599 21       
QSO:  7014 CW 2019-01-26 1103 OK4DZ         599 0023   F6KBF         599 78       
QSO:  7017 CW 2019-01-26 1114 OK4DZ         599 0024   F8KGZ         599 54       
QSO:  7023 CW 2019-01-26 1118 OK4DZ         599 0025   F6AGM         599 81       
QSO:  7026 CW 2019-01-26 1119 OK4DZ         599 0026   F5KKD         599 93       
QSO: 14040 CW 2019-01-26 1208 OK4DZ         599 0027   FY5KE         599 FY       
QSO: 14041 CW 2019-01-26 1213 OK4DZ         599 0028   F4KKZ         599 12       
QSO: 14032 CW 2019-01-26 1217 OK4DZ         599 0029   F6KNB         599 33       
QSO: 14020 CW 2019-01-26 1219 OK4DZ         599 0030   F6KJS         599 71       
QSO: 14016 CW 2019-01-26 1221 OK4DZ         599 0031   F8DFP         599 63       
QSO: 14013 CW 2019-01-26 1222 OK4DZ         599 0032   TM4K          599 03       
QSO:  7005 CW 2019-01-26 1329 OK4DZ         599 0033   F6BUL         599 74       
QSO:  7009 CW 2019-01-26 1332 OK4DZ         599 0034   F8NUH         599 38       
QSO:  7011 CW 2019-01-26 1337 OK4DZ         599 0035   TK4LS         599 2B       
QSO:  7012 CW 2019-01-26 1342 OK4DZ         599 0036   F8DGY         599 77       
QSO:  7015 CW 2019-01-26 1349 OK4DZ         599 0037   F6KUP         599 55       
QSO:  7016 CW 2019-01-26 1352 OK4DZ         599 0038   TM55M         599 55       
QSO:  7017 CW 2019-01-26 1357 OK4DZ         599 0039   F5XX          599 81       
QSO:  7016 CW 2019-01-26 1400 OK4DZ         599 0040   TM4K          599 03       
QSO:  7019 CW 2019-01-26 1427 OK4DZ         599 0041   F6GHG         599 52       
QSO:  7009 CW 2019-01-26 1430 OK4DZ         599 0042   F5MXH         599 45       
QSO:  7011 CW 2019-01-26 1433 OK4DZ         599 0043   F6KKH         599 11       
QSO:  7013 CW 2019-01-26 1447 OK4DZ         599 0044   F6HDI         599 57       
QSO:  7013 CW 2019-01-26 1447 OK4DZ         599 0045   F6CEL         599 02       
