START-OF-LOG: 3.0
CONTEST: ARRL-DIGI
CALLSIGN: KG5LJZ
LOCATION: STX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-POWER: LOW
CATEGORY-BAND: ALL
CATEGORY-MODE: DIGI
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-TIME: 8-HOURS
OPERATORS: KG5LJZ
CREATED-BY: N3FJP'S ARRL INTERNATIONAL DIGITAL CONTEST LOG 1.0.5
HQ-CATEGORY: Single Operator, One Radio (SO1R), Low Power, 8 Hours
HQ-GRID-LOCATOR: EL29KO
QSO: 14000 DG 2026-06-06 1822 KG5LJZ EL29 KB3Z FN20 0
QSO: 14000 DG 2026-06-06 1825 KG5LJZ EL29 KV4ZY FM08 0
QSO: 14000 DG 2026-06-06 1832 KG5LJZ EL29 K6TUO CM98 0
QSO: 14000 DG 2026-06-07 0423 KG5LJZ EL29 VE7LGP CN89 0
QSO: 14000 DG 2026-06-07 0425 KG5LJZ EL29 KR7H CN85 0
QSO: 14000 DG 2026-06-07 0428 KG5LJZ EL29 DL8TV JN49 0
QSO: 14000 DG 2026-06-07 0432 KG5LJZ EL29 HG0NPJ JN97 0
QSO: 14000 DG 2026-06-07 0433 KG5LJZ EL29 K5WVF EM41 0
QSO: 14000 DG 2026-06-07 0435 KG5LJZ EL29 DJ0BS JO52 0
QSO: 14000 DG 2026-06-07 0436 KG5LJZ EL29 KE4PWE EM80 0
QSO: 14000 DG 2026-06-07 0438 KG5LJZ EL29 AI9K EM48 0
QSO: 14000 DG 2026-06-07 0445 KG5LJZ EL29 W4GAF EM53 0
QSO: 7000 DG 2026-06-07 0448 KG5LJZ EL29 KE4PWE EM80 0
QSO: 7000 DG 2026-06-07 0452 KG5LJZ EL29 KB9HGI EM49 0
QSO: 7000 DG 2026-06-07 0455 KG5LJZ EL29 N8HRZ EN91 0
QSO: 7000 DG 2026-06-07 1615 KG5LJZ EL29 K1PNQ FN42 0
QSO: 7000 DG 2026-06-07 1620 KG5LJZ EL29 KC2NJ FN20 0
QSO: 7000 DG 2026-06-07 1630 KG5LJZ EL29 K4FWD FM19 0
QSO: 7000 DG 2026-06-07 2342 KG5LJZ EL29 KE0N EN34 0
QSO: 7000 DG 2026-06-07 2355 KG5LJZ EL29 W3KWH EN90 0
END-OF-LOG:
