START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: WAG
CALLSIGN: K3MD
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: K3MD
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for WAG DARC/WAG/2021.
QSO: 14019 CW 2021-10-16 1700 K3MD          599 DK5XG         599 E22
QSO: 14030 CW 2021-10-16 1701 K3MD          599 2 DL2MDU        599 C06
QSO: 14031 CW 2021-10-16 1701 K3MD          599 003 DK2OY         599 M15
QSO: 14034 CW 2021-10-16 1702 K3MD          599 004 DL3KUD        599 V14
QSO: 14000 CW 2021-10-16 1708 K3MD          599 006 DK4HH         599 V28
QSO: 14029 CW 2021-10-16 1708 K3MD          599 7 DP7D          599 N16
QSO: 14034 CW 2021-10-16 1709 K3MD          599 8 DL6MHW        599 W37
QSO: 14046 CW 2021-10-16 1709 K3MD          599 10 DL0TS         599 CM20
QSO: 14000 CW 2021-10-16 1710 K3MD          599 11 DL9ABM        599 H07
QSO: 14026 CW 2021-10-16 1711 K3MD          599 013 DL1DAW        599 O47
QSO: 14041 CW 2021-10-16 1711 K3MD          599 12 DH8VV         599 B25
QSO: 14000 CW 2021-10-16 1712 K3MD          599 14 DL8QS         599 V22
QSO: 14037 CW 2021-10-16 1712 K3MD          599 15 DA0T          599 E38
QSO: 14011 CW 2021-10-16 1713 K3MD          599 017 DQ1A          599 L03
QSO: 14052 CW 2021-10-16 1713 K3MD          599 16 DL4FN         599 F35
QSO: 14000 CW 2021-10-16 1714 K3MD          599 019 DL9MFY        599 C12
QSO: 14019 CW 2021-10-16 1714 K3MD          599 18 DP4E          599 N62
QSO: 14029 CW 2021-10-16 1714 K3MD          599 30 DK8ZZ         599 K07
QSO: 14025 CW 2021-10-16 1715 K3MD          599 22 DL1WA         599 X28
QSO: 14043 CW 2021-10-16 1715 K3MD          599 021 DL5YM         599 Y21
QSO: 14000 CW 2021-10-16 1716 K3MD          599 25 DR5A          599 B19
QSO: 14020 CW 2021-10-16 1716 K3MD          599 023 DL0XM         599 S41
QSO: 14027 CW 2021-10-16 1716 K3MD          599 24 DL1NEO        599 B36
QSO: 14036 CW 2021-10-16 1716 K3MD          599 029 DF5A          599 V11
QSO: 14024 CW 2021-10-16 1717 K3MD          599 26 DF9LJ         599 M15
QSO: 14038 CW 2021-10-16 1717 K3MD          599 27 DK5DQ         599 O32
QSO: 14039 CW 2021-10-16 1718 K3MD          599 28 DF7TV         599 NM
QSO: 14011 CW 2021-10-16 1719 K3MD          599 31 DF4XX         599 E38
QSO: 14050 CW 2021-10-16 1719 K3MD          599 30 DK1WB         599 H24
QSO: 14038 CW 2021-10-16 1720 K3MD          599 32 DK5DQ         599 O32
QSO: 14045 CW 2021-10-16 1720 K3MD          599 33 DK5WO         599 G01
QSO: 14000 CW 2021-10-16 1721 K3MD          599 034 DM5A          599 S02
QSO: 14011 CW 2021-10-16 1721 K3MD          599 35 DK3WW         599 Y09
QSO: 14000 CW 2021-10-16 1722 K3MD          599 037 DL1BUG        599 Y15
QSO: 14023 CW 2021-10-16 1722 K3MD          599 36 DK2GZ         599 A36
QSO: 14000 CW 2021-10-16 1723 K3MD          599 038 DL5IAH        599 K09
QSO: 14008 CW 2021-10-16 1724 K3MD          599 41 DL3UB         599 V22
QSO: 14010 CW 2021-10-16 1724 K3MD          599 040 DA0BCC        599 BCC
QSO: 14016 CW 2021-10-16 1724 K3MD          599 39 DL2VK         599 U07
QSO: 14027 CW 2021-10-16 1725 K3MD          599 042 DL5NO         599 C13
QSO: 14036 CW 2021-10-16 1725 K3MD          599 43 DK5KK         599 L05
QSO: 14000 CW 2021-10-16 1726 K3MD          599 44 DL1DTL        599 S01
QSO: 14003 CW 2021-10-16 1726 K3MD          599 045 DJ9MH         599 B10
QSO: 14000 CW 2021-10-16 1727 K3MD          599 46 DK1X          599 F35
QSO: 14000 CW 2021-10-16 1727 K3MD          599 47 DL1NKS        599 B24
QSO: 14000 CW 2021-10-16 1728 K3MD          599 048 DR5E          599 O53
QSO: 14013 CW 2021-10-16 1728 K3MD          599 49 DD1A          599 A25
QSO: 14000 CW 2021-10-16 1729 K3MD          599 51 DL6FA         599 F38
QSO: 14000 CW 2021-10-16 1729 K3MD          599 50 DL9ZP         599 V14
QSO: 14017 CW 2021-10-16 1730 K3MD          599 053 DK3YD         599 C12
QSO: 14000 CW 2021-10-16 1731 K3MD          599 54 DL4MHA        599 C06
QSO: 14000 CW 2021-10-16 1731 K3MD          599 55 DL9SCO        599 T18
QSO: 14014 CW 2021-10-16 1732 K3MD          599 56 DM5R          599 D20
QSO: 14000 CW 2021-10-16 1800 K3MD          599 058 DL7ZZ         599 H32
QSO: 14012 CW 2021-10-16 1800 K3MD          599 57 DK9IP         599 A24
QSO: 14011 CW 2021-10-16 1801 K3MD          599 60 DD2AW         599 R01
QSO: 14014 CW 2021-10-16 1801 K3MD          599 59 DH7KU         599 C28
QSO: 14000 CW 2021-10-16 1802 K3MD          599 062 DL6IAK        599 A36
QSO: 14043 CW 2021-10-16 1802 K3MD          599 061 DL2NBU        599 C12
QSO: 14025 CW 2021-10-16 1803 K3MD          599 63 DL2OE         599 Y15
