START-OF-LOG: 3.0
CONTEST: REF
CALLSIGN: PA0AWH
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: 80M
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-ASSISTED: NON-ASSISTED
LOCATION: DX
CLUB:    THRACIAN ROSE CLUB
NAME:    Ad van der Wielen
SOAPBOX: RIG: YAESU-FT817, 5 WATT IN SSB/RTTY, 3 WATT IN PSK/FT4
SOAPBOX: ANTENNAS: SLOPING DELTA LOOP / WINDOM AS INV. VEE
QSO:  7000 PH 2023-02-25 0800 PA0AWH        59  001        F5OHM         59  36         
QSO:  7000 PH 2023-02-25 0803 PA0AWH        59  002        F4CWN         59  32         
QSO:  7000 PH 2023-02-25 0813 PA0AWH        59  003        F4ARU         59  31         
QSO:  7000 PH 2023-02-25 0818 PA0AWH        59  004        F6KOP         59  77         
QSO:  7000 PH 2023-02-25 0823 PA0AWH        59  005        F4AIF         59  01         
QSO:  7000 PH 2023-02-25 0824 PA0AWH        59  006        F4GGQ         59  29         
QSO:  7000 PH 2023-02-25 0830 PA0AWH        59  007        F6KJJ         59  38         
QSO:  7000 PH 2023-02-25 0831 PA0AWH        59  008        F4GQP         59  18         
QSO:  3500 PH 2023-02-25 0841 PA0AWH        59  009        F8KHO/P       59  51         
QSO:  7000 PH 2023-02-25 0851 PA0AWH        59  010        F5KCK         59  78         
QSO:  7000 PH 2023-02-25 0915 PA0AWH        59  011        F4KJP         59  08         
QSO:  7000 PH 2023-02-25 0917 PA0AWH        59  012        F4AHP         59  59         
QSO:  7000 PH 2023-02-25 0934 PA0AWH        59  013        TM1W          59  29         
QSO: 21000 PH 2023-02-25 1246 PA0AWH        59  014        FG4KH         59  FG           
QSO: 14000 PH 2023-02-25 1307 PA0AWH        59  015        F4IDB         59  83         
QSO: 14000 PH 2023-02-25 1312 PA0AWH        59  016        F4KJN         59  46         
QSO: 14000 PH 2023-02-25 1320 PA0AWH        59  017        F8DNX         59  64         
QSO:  3500 PH 2023-02-26 0432 PA0AWH        59  018        F4KKD         59  02         
QSO:  3500 PH 2023-02-26 0434 PA0AWH        59  019        F6KQV         59  67         
QSO:  3500 PH 2023-02-26 0439 PA0AWH        59  020        F5IRP         59  85         
QSO:  3500 PH 2023-02-26 0442 PA0AWH        59  021        F4DPW         59  95         
QSO:  3500 PH 2023-02-26 0448 PA0AWH        59  022        F6KKH         59  11         
QSO:  3500 PH 2023-02-26 0450 PA0AWH        59  023        F6KPW         59  33         
QSO:  3500 PH 2023-02-26 0453 PA0AWH        59  024        F5KDC         59  63         
QSO:  3500 PH 2023-02-26 0455 PA0AWH        59  025        F5CDE         59  40         
QSO:  3500 PH 2023-02-26 0459 PA0AWH        59  026        F4KKV         59  53         
QSO:  3500 PH 2023-02-26 0501 PA0AWH        59  027        F6KUQ         59  33         
QSO:  3500 PH 2023-02-26 0512 PA0AWH        59  028        F4GWO         59  66         
QSO:  3500 PH 2023-02-26 0517 PA0AWH        59  029        F6KMX         59  94         
QSO:  3500 PH 2023-02-26 0518 PA0AWH        59  030        TK5KP         59  2A          
QSO:  3500 PH 2023-02-26 0520 PA0AWH        59  031        TM3P          59  38         
QSO:  3500 PH 2023-02-26 0526 PA0AWH        59  032        TM5TRW        59  63         
QSO:  3500 PH 2023-02-26 0528 PA0AWH        59  033        F5KMY         59  25         
QSO:  3500 PH 2023-02-26 0529 PA0AWH        59  034        F4FHR         59  86         
QSO:  3500 PH 2023-02-26 0531 PA0AWH        59  035        F8KHN         59  76         
QSO:  3500 PH 2023-02-26 0532 PA0AWH        59  036        F8KCF         59  74         
QSO:  3500 PH 2023-02-26 0534 PA0AWH        59  037        F5USK         59  65         
QSO:  3500 PH 2023-02-26 0538 PA0AWH        59  038        F6KSD         59  25         
QSO:  3500 PH 2023-02-26 0542 PA0AWH        59  039        F5KCC         59  89         
QSO:  3500 PH 2023-02-26 0543 PA0AWH        59  040        F8DRE         59  28         
QSO:  3500 PH 2023-02-26 0545 PA0AWH        59  041        F6KOP         59  77         
QSO:  3500 PH 2023-02-26 0556 PA0AWH        59  042        F6KLO         59  19         
QSO:  3500 PH 2023-02-26 0558 PA0AWH        59  043        F6ECI         59  46         
QSO:  3500 PH 2023-02-26 0603 PA0AWH        59  044        F6IGS         59  33         
QSO:  3500 PH 2023-02-26 0607 PA0AWH        59  045        F6FET         59  53         
QSO:  3500 PH 2023-02-26 0612 PA0AWH        59  046        F6BPZ         59  74         
QSO:  3500 PH 2023-02-26 0623 PA0AWH        59  047        F5KBG         59  03         
QSO:  3500 PH 2023-02-26 0628 PA0AWH        59  048        F4KIY         59  57         
QSO:  3500 PH 2023-02-26 0631 PA0AWH        59  049        F4IIQ         59  23         
QSO:  3500 PH 2023-02-26 0642 PA0AWH        59  050        F8DSN         59  88         
QSO:  7000 PH 2023-02-26 0646 PA0AWH        59  051        F5KHP         59  32         
QSO:  7000 PH 2023-02-26 0649 PA0AWH        59  052        F6KNB         59  33         
QSO:  7000 PH 2023-02-26 0653 PA0AWH        59  053        F4WDL         59  33         
QSO:  7000 PH 2023-02-26 0654 PA0AWH        59  054        F6KNB         59  33         
QSO:  7000 PH 2023-02-26 0753 PA0AWH        59  055        F6GOE         59  19         
QSO:  7000 PH 2023-02-26 0755 PA0AWH        59  056        F5RQP         59  50         
QSO:  7000 PH 2023-02-26 0756 PA0AWH        59  057        TK5KP         59  2A          
QSO:  7000 PH 2023-02-26 0759 PA0AWH        59  058        F5SDH         59  35         
QSO:  7000 PH 2023-02-26 0802 PA0AWH        59  059        F4KKF         59  13         
QSO:  7000 PH 2023-02-26 0804 PA0AWH        59  060        F6REF         59  00         
QSO:  7000 PH 2023-02-26 0811 PA0AWH        59  061        F5DJL         59  74         
QSO:  7000 PH 2023-02-26 0812 PA0AWH        59  062        F5JFU         59  58         
QSO:  7000 PH 2023-02-26 0819 PA0AWH        59  063        F6CZV/P       59  29         
QSO:  7000 PH 2023-02-26 0823 PA0AWH        59  064        F4FTA         59  21         
QSO:  7000 PH 2023-02-26 0833 PA0AWH        59  065        F4HLB         59  03         
QSO:  7000 PH 2023-02-26 1045 PA0AWH        59  066        F6KOHH        59  76         
QSO:  7000 PH 2023-02-26 1052 PA0AWH        59  067        F8KHW         59  62         
QSO:  7000 PH 2023-02-26 1101 PA0AWH        59  068        F8KDZ         59  54         
QSO:  7000 PH 2023-02-26 1113 PA0AWH        59  069        TM2RJ         59  45         
QSO:  7000 PH 2023-02-26 1116 PA0AWH        59  070        F6KOH         59  76         
QSO:  7000 PH 2023-02-26 1119 PA0AWH        59  071        F6KJX         59  41         
QSO:  7000 PH 2023-02-26 1122 PA0AWH        59  072        F4DPW         59  95         
QSO:  7000 PH 2023-02-26 1128 PA0AWH        59  073        F4HRD         59  62         
QSO:  7000 PH 2023-02-26 1129 PA0AWH        59  074        F6GNG         59  76         
QSO:  7000 PH 2023-02-26 1131 PA0AWH        59  075        F4IMK         59  14         
QSO:  7000 PH 2023-02-26 1134 PA0AWH        59  076        F4KLS         59  69         
QSO:  7000 PH 2023-02-26 1139 PA0AWH        59  077        F8KGN         59  59         
QSO:  7000 PH 2023-02-26 1145 PA0AWH        59  078        F4JIK         59  78         
END-OF-LOG:
