START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.40.0
CONTEST: REF-SSB
LOCATION: 77
GRID-LOCATOR: JN18PN
CALLSIGN: F6KOP
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 8116250
OPERATORS: F4AJQ F4DLM F4FLF F4IDS F4IEL F4JCT F5ANZ F6FJE HB9GWJ IU0BMX
CLUB: F6KOP
NAME: Radio Club de Provins
SOAPBOX: 
QSO: 14240 PH 2023-02-25 0600 F6KOP         59  77     FK8IK         59  FK    
QSO: 14240 PH 2023-02-25 0602 F6KOP         59  77     VK3FWR        59  001   
QSO:  3628 PH 2023-02-25 0602 F6KOP         59  77     F4KKD         59  02    
QSO:  7110 PH 2023-02-25 0602 F6KOP         59  77     IV3DCZ        59  001   
QSO: 14240 PH 2023-02-25 0604 F6KOP         59  77     VK3TDK        59  001   
QSO:  7110 PH 2023-02-25 0604 F6KOP         59  77     VE3RVZ        59  001   
QSO:  3629 PH 2023-02-25 0605 F6KOP         59  77     F5KCC         59  89    
QSO:  3629 PH 2023-02-25 0605 F6KOP         59  77     F6HFI         59  23    
QSO:  3629 PH 2023-02-25 0606 F6KOP         59  77     F5UIN         59  88    
QSO:  7110 PH 2023-02-25 0606 F6KOP         59  77     ZL4JF         59  006   
QSO:  3629 PH 2023-02-25 0606 F6KOP         59  77     F5JYD         59  51    
QSO:  7110 PH 2023-02-25 0606 F6KOP         59  77     FK8IK         59  FK    
QSO:  3629 PH 2023-02-25 0606 F6KOP         59  77     F5OHM         59  36    
QSO:  3629 PH 2023-02-25 0607 F6KOP         59  77     F6DRQ         59  85    
QSO:  3629 PH 2023-02-25 0607 F6KOP         59  77     F6IIT         59  86    
QSO:  3629 PH 2023-02-25 0608 F6KOP         59  77     F4IYO         59  24    
QSO:  7110 PH 2023-02-25 0608 F6KOP         59  77     LC5C          59  002   
QSO: 14240 PH 2023-02-25 0609 F6KOP         59  77     RA9SDT        59  002   
QSO:  3629 PH 2023-02-25 0611 F6KOP         59  77     F4CHF         59  74    
QSO: 14240 PH 2023-02-25 0611 F6KOP         59  77     PY5AMF        59  001   
QSO:  3629 PH 2023-02-25 0611 F6KOP         59  77     F5NKX         59  50    
QSO: 14240 PH 2023-02-25 0611 F6KOP         59  77     UA6YN         59  002   
QSO:  7110 PH 2023-02-25 0612 F6KOP         59  77     DL9ZP         59  003   
QSO:  3629 PH 2023-02-25 0612 F6KOP         59  77     ON3ONX        59  002   
QSO:  3629 PH 2023-02-25 0613 F6KOP         59  77     F8FLK         59  80    
QSO:  3629 PH 2023-02-25 0614 F6KOP         59  77     F4EOH         59  21    
QSO:  3629 PH 2023-02-25 0614 F6KOP         59  77     F8TMQ         59  38    
QSO:  7110 PH 2023-02-25 0614 F6KOP         59  77     HF5WIM        59  001   
QSO:  3629 PH 2023-02-25 0614 F6KOP         59  77     F5KSE         59  31    
QSO:  3629 PH 2023-02-25 0615 F6KOP         59  77     F6HRL         59  86    
QSO:  3629 PH 2023-02-25 0616 F6KOP         59  77     F5SYM         59  84    
QSO:  3629 PH 2023-02-25 0616 F6KOP         59  77     F5RGY/P       59  25    
QSO:  3629 PH 2023-02-25 0617 F6KOP         59  77     F2CT          59  64    
QSO:  3629 PH 2023-02-25 0617 F6KOP         59  77     F5PWK         59  69    
QSO:  3629 PH 2023-02-25 0617 F6KOP         59  77     TM5GI         59  56    
QSO:  3629 PH 2023-02-25 0618 F6KOP         59  77     F4HPW         59  29    
QSO:  7110 PH 2023-02-25 0619 F6KOP         59  77     ZL1IZ         59  009   
QSO:  3629 PH 2023-02-25 0619 F6KOP         59  77     F5KAZ         59  59    
QSO:  3629 PH 2023-02-25 0620 F6KOP         59  77     F4CZV         59  82    
QSO: 14240 PH 2023-02-25 0620 F6KOP         59  77     R9AE          59  001   
QSO:  7110 PH 2023-02-25 0620 F6KOP         59  77     VK5ARG        59  001   
QSO:  3629 PH 2023-02-25 0620 F6KOP         59  77     F4IDT         59  03    
QSO:  3629 PH 2023-02-25 0621 F6KOP         59  77     F4DSA         59  76    
QSO:  3629 PH 2023-02-25 0621 F6KOP         59  77     F8KLY         59  69    
QSO: 14240 PH 2023-02-25 0621 F6KOP         59  77     YO6EL         59  001   
QSO:  3629 PH 2023-02-25 0621 F6KOP         59  77     F6FTI         59  80    
QSO:  3629 PH 2023-02-25 0621 F6KOP         59  77     F6BUL         59  74    
QSO:  3629 PH 2023-02-25 0622 F6KOP         59  77     F5KKD         59  93    
QSO:  3629 PH 2023-02-25 0622 F6KOP         59  77     TK4RB         59  2B    
QSO: 14240 PH 2023-02-25 0622 F6KOP         59  77     YO6PPX        59  002   
QSO:  3629 PH 2023-02-25 0623 F6KOP         59  77     F4IIQ         59  23    
QSO:  3629 PH 2023-02-25 0623 F6KOP         59  77     F6ECI         59  46    
QSO:  3629 PH 2023-02-25 0624 F6KOP         59  77     F4CPS/P       59  07    
QSO:  3629 PH 2023-02-25 0624 F6KOP         59  77     F5KEK         59  03    
QSO:  7110 PH 2023-02-25 0624 F6KOP         59  77     PY5AMF        59  002   
QSO:  3629 PH 2023-02-25 0625 F6KOP         59  77     F6BSZ         59  14    
QSO:  3629 PH 2023-02-25 0625 F6KOP         59  77     F6KNB         59  33    
QSO:  3629 PH 2023-02-25 0625 F6KOP         59  77     F4IMK         59  14    
QSO:  7110 PH 2023-02-25 0626 F6KOP         59  77     F4KIY         59  57    
QSO:  3629 PH 2023-02-25 0626 F6KOP         59  77     F4DXW         59  29    
QSO:  3629 PH 2023-02-25 0626 F6KOP         59  77     F4IOM         59  56    
QSO:  7110 PH 2023-02-25 0626 F6KOP         59  77     F8CRS         59  67    
QSO:  3629 PH 2023-02-25 0627 F6KOP         59  77     ON8LX         59  008   
QSO:  3629 PH 2023-02-25 0627 F6KOP         59  77     F6BPZ         59  74    
QSO:  7110 PH 2023-02-25 0627 F6KOP         59  77     F6REF         59  00    
QSO:  3629 PH 2023-02-25 0627 F6KOP         59  77     F4ILQ         59  28    
QSO:  7110 PH 2023-02-25 0627 F6KOP         59  77     SE4E          59  010   
QSO:  3629 PH 2023-02-25 0628 F6KOP         59  77     F6HKS         59  81    
QSO:  3629 PH 2023-02-25 0628 F6KOP         59  77     F4JCO         59  27    
QSO:  3629 PH 2023-02-25 0628 F6KOP         59  77     F8EFU         59  57    
QSO:  7110 PH 2023-02-25 0628 F6KOP         59  77     F4IYU         59  60    
QSO:  3629 PH 2023-02-25 0628 F6KOP         59  77     F4IDN         59  49    
QSO:  3629 PH 2023-02-25 0629 F6KOP         59  77     F4GKP         59  87    
QSO:  7110 PH 2023-02-25 0629 F6KOP         59  77     CN8YZ         59  001   
QSO:  3629 PH 2023-02-25 0629 F6KOP         59  77     F8CRS         59  67    
QSO:  3629 PH 2023-02-25 0630 F6KOP         59  77     F6KGL         59  93    
QSO:  3629 PH 2023-02-25 0630 F6KOP         59  77     F6KKH         59  11    
QSO:  3629 PH 2023-02-25 0631 F6KOP         59  77     F6KMC         59  47    
QSO:  3629 PH 2023-02-25 0631 F6KOP         59  77     F6BLP         59  33    
QSO:  3629 PH 2023-02-25 0631 F6KOP         59  77     F4HTO         59  62    
QSO: 14240 PH 2023-02-25 0631 F6KOP         59  77     LC5C          59  005   
QSO:  3629 PH 2023-02-25 0632 F6KOP         59  77     F4FWI         59  47    
QSO:  7110 PH 2023-02-25 0632 F6KOP         59  77     DL5YM         59  003   
QSO:  3629 PH 2023-02-25 0632 F6KOP         59  77     F4DYY         59  17    
QSO:  3629 PH 2023-02-25 0633 F6KOP         59  77     F8BXS         59  01    
QSO:  3629 PH 2023-02-25 0633 F6KOP         59  77     F5KPO         59  84    
QSO:  3629 PH 2023-02-25 0633 F6KOP         59  77     F4KIY         59  57    
QSO:  7110 PH 2023-02-25 0634 F6KOP         59  77     F8BSY         59  66    
QSO:  3629 PH 2023-02-25 0634 F6KOP         59  77     F4GFS         59  77    
QSO: 14240 PH 2023-02-25 0634 F6KOP         59  77     YP3A          59  003   
QSO:  7110 PH 2023-02-25 0634 F6KOP         59  77     SN3J          59  002   
QSO:  3629 PH 2023-02-25 0635 F6KOP         59  77     F4NRR         59  44    
QSO:  3629 PH 2023-02-25 0635 F6KOP         59  77     F8DRE         59  28    
QSO:  7110 PH 2023-02-25 0635 F6KOP         59  77     IN3JHZ        59  005   
QSO:  3629 PH 2023-02-25 0635 F6KOP         59  77     F6KJS         59  71    
QSO:  7110 PH 2023-02-25 0636 F6KOP         59  77     OE5MZL        59  001   
QSO: 14240 PH 2023-02-25 0636 F6KOP         59  77     IZ8FCA        59  001   
QSO:  3629 PH 2023-02-25 0636 F6KOP         59  77     F4FTA         59  21    
QSO:  3629 PH 2023-02-25 0636 F6KOP         59  77     F1SUI         59  23    
QSO:  3629 PH 2023-02-25 0637 F6KOP         59  77     F5NUI         59  42    
QSO:  3629 PH 2023-02-25 0637 F6KOP         59  77     F4KLR         59  62    
QSO:  3629 PH 2023-02-25 0637 F6KOP         59  77     F1PHB         59  57    
QSO:  3629 PH 2023-02-25 0639 F6KOP         59  77     F5ROB         59  87    
QSO:  3629 PH 2023-02-25 0639 F6KOP         59  77     F6HOK         59  57    
QSO:  7110 PH 2023-02-25 0639 F6KOP         59  77     CT7BIZ        59  001   
QSO:  3629 PH 2023-02-25 0639 F6KOP         59  77     F4EGS         59  37    
QSO:  3629 PH 2023-02-25 0640 F6KOP         59  77     F4KLT         59  69    
QSO: 14240 PH 2023-02-25 0640 F6KOP         59  77     R4FCJ         59  001   
QSO:  3629 PH 2023-02-25 0640 F6KOP         59  77     F4IKX         59  33    
QSO:  3629 PH 2023-02-25 0641 F6KOP         59  77     F4WDL         59  33    
QSO:  3629 PH 2023-02-25 0641 F6KOP         59  77     TM4K          59  03    
QSO:  3629 PH 2023-02-25 0641 F6KOP         59  77     F5MQU         59  95    
QSO:  3629 PH 2023-02-25 0642 F6KOP         59  77     TM5M          59  14    
QSO:  3629 PH 2023-02-25 0642 F6KOP         59  77     F6CZV/P       59  29    
QSO:  3629 PH 2023-02-25 0642 F6KOP         59  77     F4FFZ         59  56    
QSO:  3629 PH 2023-02-25 0643 F6KOP         59  77     F4HTE         59  62    
QSO:  3629 PH 2023-02-25 0643 F6KOP         59  77     F4BQS         59  62    
QSO: 14240 PH 2023-02-25 0643 F6KOP         59  77     CN8YZ         59  002   
QSO:  3629 PH 2023-02-25 0644 F6KOP         59  77     F1DBE         59  89    
QSO:  7110 PH 2023-02-25 0644 F6KOP         59  77     F4IRX         59  30    
QSO:  3629 PH 2023-02-25 0644 F6KOP         59  77     F6DEV         59  09    
QSO:  7110 PH 2023-02-25 0644 F6KOP         59  77     DC5CH         59  009   
QSO:  3629 PH 2023-02-25 0645 F6KOP         59  77     CT7BIZ        59  002   
QSO:  7110 PH 2023-02-25 0645 F6KOP         59  77     F5MSB         59  32    
QSO:  3629 PH 2023-02-25 0645 F6KOP         59  77     F4DPW         59  95    
QSO:  3629 PH 2023-02-25 0645 F6KOP         59  77     F5USK         59  65    
QSO:  3629 PH 2023-02-25 0646 F6KOP         59  77     F5VV          59  01    
QSO:  7110 PH 2023-02-25 0646 F6KOP         59  77     F4GKL         59  84    
QSO: 14240 PH 2023-02-25 0646 F6KOP         59  77     RN4HKH        59  001   
QSO:  3629 PH 2023-02-25 0647 F6KOP         59  77     CT7AXB        59  036   
QSO: 14240 PH 2023-02-25 0647 F6KOP         59  77     CT7BIZ        59  003   
QSO:  7110 PH 2023-02-25 0647 F6KOP         59  77     HB9EOY/P      59  003   
QSO:  3629 PH 2023-02-25 0647 F6KOP         59  77     F5FJL         59  68    
QSO:  7110 PH 2023-02-25 0647 F6KOP         59  77     F5PXF         59  38    
QSO:  3629 PH 2023-02-25 0647 F6KOP         59  77     F5CT          59  61    
QSO: 14240 PH 2023-02-25 0647 F6KOP         59  77     RZ3Z          59  002   
QSO:  3629 PH 2023-02-25 0648 F6KOP         59  77     F6DDS         59  51    
QSO:  7110 PH 2023-02-25 0648 F6KOP         59  77     SP1JQJ        59  006   
QSO:  3629 PH 2023-02-25 0648 F6KOP         59  77     F1UDC         59  75    
QSO:  3629 PH 2023-02-25 0648 F6KOP         59  77     F6KFV         59  78    
QSO: 14240 PH 2023-02-25 0649 F6KOP         59  77     US5QUB        59  002   
QSO:  7110 PH 2023-02-25 0649 F6KOP         59  77     IV3DCZ        59  010   
QSO:  3629 PH 2023-02-25 0649 F6KOP         59  77     F4GWG         59  29    
QSO: 14240 PH 2023-02-25 0649 F6KOP         59  77     F8CRS         59  67    
QSO:  3629 PH 2023-02-25 0649 F6KOP         59  77     F4DNU         59  79    
QSO:  7110 PH 2023-02-25 0650 F6KOP         59  77     DC1TK         59  008   
QSO: 14240 PH 2023-02-25 0650 F6KOP         59  77     IU0OVB        59  002   
QSO:  3629 PH 2023-02-25 0650 F6KOP         59  77     F8KOU/P       59  23    
QSO: 14240 PH 2023-02-25 0650 F6KOP         59  77     SM5JVF        59  002   
QSO:  3629 PH 2023-02-25 0650 F6KOP         59  77     F4IGP         59  95    
QSO:  7110 PH 2023-02-25 0650 F6KOP         59  77     DL1NKS        59  013   
