START-OF-LOG: 3.0
CALLSIGN: F6IRA
CONTEST: CQ-WPX-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 32916
NAME: desansac Gilles
LOCATION: DX
OPERATORS: F6IRA
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.7523.0
SOAPBOX: Just few hours for fun. Propagation sad as expected.
QSO: 14091 RY 2019-02-09 1628 F6IRA         599 0001   K9NR          599 0406
QSO: 14091 RY 2019-02-09 1640 F6IRA         599 0002   AK9D          599 0314
QSO: 14076 RY 2019-02-09 1653 F6IRA         599 0003   KU1CW         599 0214
QSO: 14078 RY 2019-02-09 1655 F6IRA         599 0004   AA5AU         599 0359
QSO: 14080 RY 2019-02-09 1659 F6IRA         599 0005   K5DU          599 0763
QSO: 14081 RY 2019-02-09 1703 F6IRA         599 0006   VE2FXL        599 0239
QSO: 14083 RY 2019-02-09 1705 F6IRA         599 0007   VE2RYY        599 0233
QSO: 14084 RY 2019-02-09 1706 F6IRA         599 0008   K2PAL         599 0089
QSO: 14085 RY 2019-02-09 1708 F6IRA         599 0009   CR3DX         599 0701
QSO: 14085 RY 2019-02-09 1710 F6IRA         599 0010   W1IE          599 0094
QSO: 14087 RY 2019-02-09 1711 F6IRA         599 0011   DJ5MW         599 0279
QSO: 14088 RY 2019-02-09 1714 F6IRA         599 0012   KZ7X          599 0973
QSO: 14090 RY 2019-02-09 1717 F6IRA         599 0013   AI4WW         599 0147
QSO: 14091 RY 2019-02-09 1718 F6IRA         599 0014   K4MM          599 0151
QSO: 14098 RY 2019-02-09 1726 F6IRA         599 0015   WS6X          599 0289
QSO: 14101 RY 2019-02-09 1732 F6IRA         599 0016   N7ESU         599 0150
QSO: 14101 RY 2019-02-09 1734 F6IRA         599 0017   CT3FW         599 0076
QSO: 14101 RY 2019-02-09 1736 F6IRA         599 0018   KE3GK         599 0128
QSO: 14101 RY 2019-02-09 1737 F6IRA         599 0019   W2GPS         599 0303
