START-OF-LOG: 3.0
CALLSIGN: KO7I
CONTEST: CQ-WPX-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 58644
NAME: Don Jones
LOCATION: WWA
OPERATORS: KO7I
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.7177.0
SOAPBOX: My 1st RTTY Contest. It was a lot of fun.
QSO:  7087 RY 2019-02-10 0601 KO7I          599 0001   K6OK          599 0399
QSO:  7087 RY 2019-02-10 0603 KO7I          599 0002   KO7SS         599 0599
QSO:  7087 RY 2019-02-10 0605 KO7I          599 0003   N3RC          599 0578
QSO:  7087 RY 2019-02-10 0606 KO7I          599 0004   WN6K          599 0530
QSO:  7087 RY 2019-02-10 0607 KO7I          599 0005   K9YC          599 1080
QSO:  7087 RY 2019-02-10 0609 KO7I          599 0006   WX6V          599 0228
QSO:  7087 RY 2019-02-10 0610 KO7I          599 0007   NC0DX         599 0115
QSO:  7087 RY 2019-02-10 0613 KO7I          599 0008   W6QU          599 0209
QSO:  7087 RY 2019-02-10 0614 KO7I          599 0009   AA2IL         599 0029
QSO:  7086 RY 2019-02-10 0619 KO7I          599 0010   NA5NN         599 0784
QSO:  7089 RY 2019-02-10 0622 KO7I          599 0011   AC0C          599 1959
QSO:  7089 RY 2019-02-10 0622 KO7I          599 0012   K8IA          599 0815
QSO:  7089 RY 2019-02-10 0623 KO7I          599 0013   AF7Z          599 0008
QSO:  7089 RY 2019-02-10 0625 KO7I          599 0014   K6MUG         599 0094
QSO:  7089 RY 2019-02-10 0628 KO7I          599 0015   W6EDY         599 0146
QSO:  7083 RY 2019-02-10 0637 KO7I          599 0016   K6MI          599 0317
QSO:  7088 RY 2019-02-10 0653 KO7I          599 0017   KT7E          599 0087
QSO:  7088 RY 2019-02-10 0655 KO7I          599 0018   WX5S          599 1044
QSO:  7088 RY 2019-02-10 0659 KO7I          599 0019   K3JT          599 0499
QSO: 14087 RY 2019-02-10 1646 KO7I          599 0020   WK7S          599 1493
QSO: 14081 RY 2019-02-10 1650 KO7I          599 0021   N5HC          599 0946
QSO: 14106 RY 2019-02-10 1654 KO7I          599 0022   KR0P          599 1192
QSO: 14108 RY 2019-02-10 1655 KO7I          599 0023   4U1WB         599 0165
QSO: 14113 RY 2019-02-10 1656 KO7I          599 0024   KK9A          599 1875
QSO: 14147 RY 2019-02-10 1659 KO7I          599 0025   WZ7ZR         599 0809
QSO: 14143 RY 2019-02-10 1701 KO7I          599 0026   WC2L          599 0188
QSO: 14149 RY 2019-02-10 1703 KO7I          599 0027   KC2WUF        599 0249
QSO: 14148 RY 2019-02-10 1704 KO7I          599 0028   N8BJQ         599 0984
QSO: 14143 RY 2019-02-10 1705 KO7I          599 0029   K0KX          599 0530
QSO: 14140 RY 2019-02-10 1707 KO7I          599 0030   WN6K          599 0613
QSO: 14130 RY 2019-02-10 1710 KO7I          599 0031   KF6RY         599 0257
QSO: 14134 RY 2019-02-10 1711 KO7I          599 0032   WA6I          599 0347
QSO: 14124 RY 2019-02-10 1715 KO7I          599 0033   KR1CW         599 0324
QSO: 14118 RY 2019-02-10 1717 KO7I          599 0034   NC0DX         599 2309
QSO: 14117 RY 2019-02-10 1718 KO7I          599 0035   AA5AU         599 0936
QSO: 14123 RY 2019-02-10 1720 KO7I          599 0036   KS4S          599 0373
QSO: 14135 RY 2019-02-10 1721 KO7I          599 0037   KT4Q          599 0645
QSO: 14140 RY 2019-02-10 1722 KO7I          599 0038   NA5NN         599 0779
QSO: 14142 RY 2019-02-10 1726 KO7I          599 0039   AA3S          599 0729
QSO: 14137 RY 2019-02-10 1729 KO7I          599 0040   W1HBR         599 0210
QSO: 14126 RY 2019-02-10 1732 KO7I          599 0041   NV9L          599 2056
QSO: 14123 RY 2019-02-10 1740 KO7I          599 0042   NR4O          599 1022
QSO: 14090 RY 2019-02-10 1743 KO7I          599 0043   N0GOS         599 0209
QSO: 14090 RY 2019-02-10 1743 KO7I          599 0044   KE0JBT        599 0032
QSO: 14090 RY 2019-02-10 1745 KO7I          599 0045   NN0G          599 0143
QSO: 14090 RY 2019-02-10 1746 KO7I          599 0046   KB3VQC        599 0522
QSO: 14090 RY 2019-02-10 1746 KO7I          599 0047   KS4YX         599 0370
QSO: 14090 RY 2019-02-10 1748 KO7I          599 0048   W0TK          599 0045
QSO: 14090 RY 2019-02-10 1749 KO7I          599 0049   W3SA          599 0322
QSO: 14090 RY 2019-02-10 1749 KO7I          599 0050   W1SS          599 0427
QSO: 14090 RY 2019-02-10 1751 KO7I          599 0051   K8LS          599 0604
QSO: 14086 RY 2019-02-10 1756 KO7I          599 0052   W1IE          599 0578
QSO: 14081 RY 2019-02-10 1756 KO7I          599 0053   N6HE          599 1010
QSO: 14081 RY 2019-02-10 1757 KO7I          599 0054   V37DX         599 1317
QSO: 14080 RY 2019-02-10 1759 KO7I          599 0055   WW5M          599 0718
QSO: 14083 RY 2019-02-10 1801 KO7I          599 0056   V31YN         599 0806
QSO: 14085 RY 2019-02-10 1802 KO7I          599 0057   W2DAN         599 0377
QSO: 14086 RY 2019-02-10 1804 KO7I          599 0058   KD6TR         599 0254
QSO: 14091 RY 2019-02-10 1807 KO7I          599 0059   WS9M          599 0624
QSO: 14094 RY 2019-02-10 1811 KO7I          599 0060   AA4DD         599 0790
QSO: 14098 RY 2019-02-10 1813 KO7I          599 0061   W4GKM         599 0581
QSO: 14103 RY 2019-02-10 1814 KO7I          599 0062   WD5DBV        599 0756
QSO: 14104 RY 2019-02-10 1816 KO7I          599 0063   K1SM          599 0626
QSO: 14110 RY 2019-02-10 1818 KO7I          599 0064   AA4YL         599 0249
QSO: 14118 RY 2019-02-10 1820 KO7I          599 0065   KE1S          599 0452
QSO: 14124 RY 2019-02-10 1821 KO7I          599 0066   N3QE          599 1551
QSO: 14135 RY 2019-02-10 1825 KO7I          599 0067   NG1R          599 0636
QSO: 14133 RY 2019-02-10 1827 KO7I          599 0068   WZ8P          599 0371
QSO: 14137 RY 2019-02-10 1829 KO7I          599 0069   K3MD          599 0785
QSO: 14081 RY 2019-02-10 1831 KO7I          599 0070   WW2DX         599 0701
QSO: 14088 RY 2019-02-10 1836 KO7I          599 0071   KH6ZM         599 1292
QSO: 14090 RY 2019-02-10 1838 KO7I          599 0072   AE0XI         599 0179
QSO: 14102 RY 2019-02-10 1841 KO7I          599 0073   KL7SB         599 0536
QSO: 14115 RY 2019-02-10 1843 KO7I          599 0074   N2MM          599 0761
QSO: 14119 RY 2019-02-10 1845 KO7I          599 0075   N0AT          599 0061
QSO: 14128 RY 2019-02-10 1850 KO7I          599 0076   P49X          599 2957
QSO: 14139 RY 2019-02-10 1855 KO7I          599 0077   KA2D          599 0449
QSO: 14143 RY 2019-02-10 1856 KO7I          599 0078   N3HEE         599 0197
QSO: 14136 RY 2019-02-10 1858 KO7I          599 0079   W3RGA         599 0711
QSO: 14131 RY 2019-02-10 1900 KO7I          599 0080   WB9TFH        599 0400
QSO: 14131 RY 2019-02-10 1902 KO7I          599 0081   AA0K          599 0099
QSO: 14129 RY 2019-02-10 1905 KO7I          599 0082   KB8O          599 0639
QSO: 14128 RY 2019-02-10 1907 KO7I          599 0083   N9NA          599 0744
QSO: 14126 RY 2019-02-10 1908 KO7I          599 0084   W5CMM         599 0272
QSO: 14126 RY 2019-02-10 1909 KO7I          599 0085   K9CT          599 1186
QSO: 14126 RY 2019-02-10 1910 KO7I          599 0086   KO7SS         599 1320
QSO: 14126 RY 2019-02-10 1911 KO7I          599 0087   KA4GAV        599 0140
QSO: 14126 RY 2019-02-10 1912 KO7I          599 0088   N6LL          599 0238
QSO: 14126 RY 2019-02-10 1913 KO7I          599 0089   NE0U          599 0021
QSO: 14126 RY 2019-02-10 1913 KO7I          599 0090   W2LE          599 0187
QSO: 14126 RY 2019-02-10 1914 KO7I          599 0091   NL7V          599 0022
QSO: 14126 RY 2019-02-10 1915 KO7I          599 0092   WT0O          599 0255
QSO: 14126 RY 2019-02-10 1916 KO7I          599 0093   W5VS          599 0055
