START-OF-LOG: 3.0
CALLSIGN: AE6JV
CONTEST: CQ-WPX-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 117640
NAME: Bill Frantz
LOCATION: CA
OPERATORS: AE6JV
CLUB: Northern California Contest Club
CERTIFICATE: YES
CREATED-BY: RUMlogNG (4.1) by DL2RUM
SOAPBOX: Band conditions made it seem like running QRP on Saturday
QSO: 21091 RY 2019-02-09 0001 AE6JV         599 001    K6EU          599 1      0
QSO: 21090 RY 2019-02-09 0002 AE6JV         599 002    KH6TU         599 3      0
QSO: 21086 RY 2019-02-09 0007 AE6JV         599 003    NF6A          599 6      0
QSO: 14086 RY 2019-02-09 0014 AE6JV         599 004    KR0P          599 17     0
QSO: 14089 RY 2019-02-09 0019 AE6JV         599 005    KH6ZM         599 26     0
QSO: 14090 RY 2019-02-09 0020 AE6JV         599 006    WW2DX         599 11     0
QSO: 14093 RY 2019-02-09 0021 AE6JV         599 007    JM1XCW        599 24     0
QSO: 14095 RY 2019-02-09 0026 AE6JV         599 008    NW6P          599 31     0
QSO: 14096 RY 2019-02-09 0027 AE6JV         599 009    K6TD          599 21     0
QSO: 14098 RY 2019-02-09 0029 AE6JV         599 010    K9YC          599 31     0
QSO: 14100 RY 2019-02-09 0030 AE6JV         599 011    KL7SB         599 4      0
QSO: 14102 RY 2019-02-09 0031 AE6JV         599 012    W9ILY         599 27     0
QSO: 14103 RY 2019-02-09 0032 AE6JV         599 013    K6EU          599 18     0
QSO: 14108 RY 2019-02-09 0033 AE6JV         599 014    VE5MX         599 70     0
QSO: 14110 RY 2019-02-09 0034 AE6JV         599 015    W6IA          599 20     0
QSO: 14112 RY 2019-02-09 0035 AE6JV         599 016    WT9U          599 30     0
QSO: 21085 RY 2019-02-09 0037 AE6JV         599 017    JM7OLW        599 8      0
QSO: 14113 RY 2019-02-09 0039 AE6JV         599 018    WU6TT         599 19     0
QSO: 14107 RY 2019-02-09 0040 AE6JV         599 019    NT5V          599 46     0
QSO: 14103 RY 2019-02-09 0041 AE6JV         599 020    JF1OPL        599 39     0
QSO: 14102 RY 2019-02-09 0044 AE6JV         599 021    N2MM          599 75     0
QSO: 14101 RY 2019-02-09 0048 AE6JV         599 022    W0MB          599 35     0
QSO: 14099 RY 2019-02-09 0051 AE6JV         599 023    NR4M          599 21     0
QSO: 14094 RY 2019-02-09 0055 AE6JV         599 024    V37DX         599 61     0
QSO: 14093 RY 2019-02-09 0056 AE6JV         599 025    K9CT          599 80     0
QSO: 14088 RY 2019-02-09 0100 AE6JV         599 026    KE5OG         599 55     0
QSO: 14087 RY 2019-02-09 0104 AE6JV         599 027    KH6TU         599 068    0
QSO: 14083 RY 2019-02-09 0105 AE6JV         599 028    K5DU          599 098    0
QSO: 21093 RY 2019-02-09 0110 AE6JV         599 029    JA6ZPR        599 10     0
QSO: 14097 RY 2019-02-09 0118 AE6JV         599 030    JA7IC         599 61     0
QSO: 14110 RY 2019-02-09 0125 AE6JV         599 031    KH6CJJ        599 67     0
