START-OF-LOG: 3.0
CALLSIGN: YC1APR
CONTEST: CQ-WPX-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 40M
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: ROOKIE
CLAIMED-SCORE: 14560
NAME: Arief Priyatna R
LOCATION: DX
OPERATORS: YC1APR
CLUB: YBDXC CLUB, LOCAL KAB BOGOR
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.7523.0
SOAPBOX: YBDXC #363, amateur license 2018 (NRI # 18180747 dated July 2018)
QSO:  7036 RY 2019-02-09 0128 YC1APR        599 0001   YC0RI         599 0024
QSO:  7036 RY 2019-02-09 0133 YC1APR        599 0002   YF7SPN        599 0023
QSO:  7036 RY 2019-02-09 0135 YC1APR        599 0003   9M2TDX        599 0009
QSO:  7036 RY 2019-02-09 0136 YC1APR        599 0004   YC1BA         599 0011
QSO:  7036 RY 2019-02-09 0139 YC1APR        599 0005   YG3FBV        599 0011
QSO:  7036 RY 2019-02-09 0141 YC1APR        599 0006   YD2YSW        599 0015
QSO: 14093 RY 2019-02-09 0148 YC1APR        599 0007   HS5NMF        599 0053
QSO: 14091 RY 2019-02-09 0156 YC1APR        599 0008   HS0ZED        599 0030
QSO:  7037 RY 2019-02-09 0217 YC1APR        599 0009   HS5SRH        599 0090
QSO:  7040 RY 2019-02-09 0229 YC1APR        599 0010   YC4HQ         599 0037
QSO:  7037 RY 2019-02-09 0236 YC1APR        599 0011   YC1HBP        599 0006
QSO:  7037 RY 2019-02-09 0239 YC1APR        599 0012   YC3ATK        599 0008
QSO:  7037 RY 2019-02-09 0245 YC1APR        599 0013   YD1IDC        599 0070
QSO:  7037 RY 2019-02-09 0252 YC1APR        599 0014   E21YDP        599 0024
QSO:  7037 RY 2019-02-09 0255 YC1APR        599 0015   YB3ZBD        599 0002
QSO:  7037 RY 2019-02-09 0256 YC1APR        599 0016   YD9ATS        599 0035
QSO:  7037 RY 2019-02-09 0302 YC1APR        599 0017   YB2VMC        599 0022
QSO:  7037 RY 2019-02-09 0316 YC1APR        599 0018   YD2KJC        599 0004
QSO:  7037 RY 2019-02-09 0330 YC1APR        599 0019   YD1WCK        599 0007
QSO:  7037 RY 2019-02-09 0331 YC1APR        599 0020   YC2EEE        599 0002
QSO: 14082 RY 2019-02-09 0414 YC1APR        599 0021   EM2G          599 0005
QSO:  7044 RY 2019-02-09 0415 YC1APR        599 0022   VK6LC         599 0129
QSO:  7035 RY 2019-02-09 1121 YC1APR        599 0023   BD7OXR        599 0094
QSO:  7035 RY 2019-02-09 1122 YC1APR        599 0024   YC4KAR        599 0033
QSO:  7035 RY 2019-02-09 1125 YC1APR        599 0025   YF0TUR        599 0160
QSO:  7035 RY 2019-02-09 1127 YC1APR        599 0026   JH3FUK        599 0053
QSO:  7035 RY 2019-02-09 1130 YC1APR        599 0027   YC3DXG        599 0049
QSO:  7035 RY 2019-02-09 1139 YC1APR        599 0028   YB8QM         599 0026
QSO:  7035 RY 2019-02-09 1156 YC1APR        599 0029   YB3HQM        599 0020
QSO:  7035 RY 2019-02-09 1159 YC1APR        599 0030   9M2MSL        599 0001
QSO:  7035 RY 2019-02-09 1203 YC1APR        599 0031   YC0BAS        599 0036
QSO:  7035 RY 2019-02-09 1208 YC1APR        599 0032   WX5S          599 0727
QSO:  7035 RY 2019-02-09 1209 YC1APR        599 0033   YC0RLX        599 0015
QSO:  7035 RY 2019-02-09 1210 YC1APR        599 0034   YB2IQ         599 0067
QSO:  7035 RY 2019-02-09 1221 YC1APR        599 0035   YC1BON        599 0044
QSO:  7042 RY 2019-02-09 1235 YC1APR        599 0036   9M2TO         599 0115
QSO:  7042 RY 2019-02-09 1237 YC1APR        599 0037   YE1C          599 0221
QSO:  7042 RY 2019-02-09 1239 YC1APR        599 0038   9M2WAN        599 0013
QSO:  7042 RY 2019-02-09 1241 YC1APR        599 0039   9W2JYL        599 0008
QSO:  7042 RY 2019-02-09 1242 YC1APR        599 0040   YC2CAA        599 0067
QSO:  7042 RY 2019-02-09 1244 YC1APR        599 0041   VU2EEI        599 0016
QSO:  7042 RY 2019-02-09 1245 YC1APR        599 0042   YB2BNN        599 0091
QSO:  7042 RY 2019-02-09 1313 YC1APR        599 0043   YB0NDT        599 0394
QSO:  7042 RY 2019-02-09 1320 YC1APR        599 0044   YD0SCZ        599 0022
QSO:  7042 RY 2019-02-09 1324 YC1APR        599 0045   OK2U          599 0442
QSO:  7042 RY 2019-02-09 1326 YC1APR        599 0046   LY2W          599 0458
QSO:  7043 RY 2019-02-09 1333 YC1APR        599 0047   UZ2I          599 0962
QSO:  7042 RY 2019-02-09 1335 YC1APR        599 0048   UB6B          599 0552
QSO:  7041 RY 2019-02-09 1341 YC1APR        599 0049   UR5CN         599 0400
QSO:  7040 RY 2019-02-09 1344 YC1APR        599 0050   UW1M          599 0905
QSO:  7041 RY 2019-02-09 1347 YC1APR        599 0051   YB1BML        599 0108
QSO:  7041 RY 2019-02-09 1359 YC1APR        599 0052   YB1IM         599 0023
QSO:  7041 RY 2019-02-09 1400 YC1APR        599 0053   YD2CPQ        599 0072
QSO:  7041 RY 2019-02-09 1427 YC1APR        599 0054   OM2VL         599 0621
QSO:  7046 RY 2019-02-09 1455 YC1APR        599 0055   YB1AD         599 0091
QSO:  7049 RY 2019-02-09 1535 YC1APR        599 0056   DR5N          599 0840
QSO:  7049 RY 2019-02-09 1538 YC1APR        599 0057   YG2UFA        599 0056
QSO:  7049 RY 2019-02-09 1555 YC1APR        599 0058   YE1ZAZ        599 0000
QSO:  7049 RY 2019-02-09 1606 YC1APR        599 0059   YD2DSV        599 0006
QSO:  7049 RY 2019-02-09 1608 YC1APR        599 0060   LY9Y          599 0556
QSO:  7049 RY 2019-02-09 1617 YC1APR        599 0061   YC2YIZ        599 0210
QSO:  7049 RY 2019-02-09 1620 YC1APR        599 0062   YD2YDX        599 0000
QSO:  7049 RY 2019-02-09 1626 YC1APR        599 0063   YB2NDX        599 0027
QSO:  7049 RY 2019-02-09 1639 YC1APR        599 0064   S52X          599 1133
QSO:  7049 RY 2019-02-09 1702 YC1APR        599 0065   YB9QP         599 0099
QSO:  7044 RY 2019-02-09 1807 YC1APR        599 0066   IZ4NIC        599 0603
QSO:  7042 RY 2019-02-09 1817 YC1APR        599 0067   S51CK         599 0562
QSO:  7041 RY 2019-02-09 1820 YC1APR        599 0068   9A1A          599 1006
QSO:  7041 RY 2019-02-09 1937 YC1APR        599 0069   DM6DX         599 0561
QSO:  7040 RY 2019-02-09 1943 YC1APR        599 0070   OL9A          599 1392
QSO:  7039 RY 2019-02-09 1955 YC1APR        599 0071   LZ60KAA       599 0598
QSO:  7038 RY 2019-02-09 2000 YC1APR        599 0072   OT6M          599 0613
QSO:  7037 RY 2019-02-09 2001 YC1APR        599 0073   S53M          599 0784
QSO:  7037 RY 2019-02-09 2009 YC1APR        599 0074   CT7AJL        599 0565
QSO:  7037 RY 2019-02-09 2013 YC1APR        599 0075   EB8AH         599 1309
QSO:  7069 RY 2019-02-10 1612 YC1APR        599 0076   UZ0U          599 0752
END-OF-LOG:
