START-OF-LOG: 3.0
CALLSIGN: DJ3GE
CONTEST: CQ-WPX-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 31759
NAME: Ferdinand Dahl
LOCATION: DX
OPERATORS: DJ3GE
CLUB:
CERTIFICATE: YES
CREATED-BY: UcxLog 7.91
SOAPBOX: QRP 5 Watt from FT817 via tuner Z11 to off-center-fed dipole
SOAPBOX: FD3 (8m high, 21m long) or 2 Ele Mini-Yagi MFB23 (11m high)
QSO: 14089 RY 2019-02-09 1103 DJ3GE         599 001    R3YC          599 052    0
QSO: 14089 RY 2019-02-09 1149 DJ3GE         599 002    RK3DXW        599 415    0
QSO: 14089 RY 2019-02-09 1150 DJ3GE         599 003    SV1JG         599 241    0
QSO: 14089 RY 2019-02-09 1152 DJ3GE         599 004    ER4A          599 799    0
QSO: 14089 RY 2019-02-09 1153 DJ3GE         599 005    LY2W          599 280    0
QSO: 14089 RY 2019-02-09 1155 DJ3GE         599 006    LZ2YO         599 054    0
QSO: 14089 RY 2019-02-09 1156 DJ3GE         599 007    LY9Y          599 217    0
QSO: 14089 RY 2019-02-09 1158 DJ3GE         599 008    UZ0U          599 197    0
QSO: 14089 RY 2019-02-09 1206 DJ3GE         599 009    R5ACQ         599 170    0
QSO: 14089 RY 2019-02-09 1207 DJ3GE         599 010    EB8AH         599 675    0
QSO: 14089 RY 2019-02-09 1342 DJ3GE         599 011    EM2G          599 570    0
QSO: 14089 RY 2019-02-09 1344 DJ3GE         599 012    EM0I          599 1037   0
QSO: 14089 RY 2019-02-09 1355 DJ3GE         599 013    UZ2I          599 978    0
QSO: 14089 RY 2019-02-09 1356 DJ3GE         599 014    LZ1QZ         599 091    0
QSO: 14089 RY 2019-02-09 1402 DJ3GE         599 015    UB6B          599 575    0
QSO: 14089 RY 2019-02-09 1418 DJ3GE         599 016    LZ6Y          599 385    0
QSO: 14089 RY 2019-02-09 1426 DJ3GE         599 017    LZ5K          599 724    0
QSO: 14089 RY 2019-02-09 1427 DJ3GE         599 018    R3AQ          599 041    0
QSO: 14089 RY 2019-02-09 1429 DJ3GE         599 019    UR5ZGY        599 111    0
QSO: 14089 RY 2019-02-09 1431 DJ3GE         599 020    SV2ESW        599 316    0
QSO:  7053 RY 2019-02-09 1444 DJ3GE         599 021    IU3FBL        599 547    0
QSO:  7053 RY 2019-02-09 1447 DJ3GE         599 022    IZ4ZZB        599 154    0
QSO:  7053 RY 2019-02-09 1449 DJ3GE         599 023    HG5D          599 438    0
QSO:  7053 RY 2019-02-09 1450 DJ3GE         599 024    F8BDQ         599 201    0
QSO:  7053 RY 2019-02-09 1452 DJ3GE         599 025    UW1M          599 1017   0
QSO:  7053 RY 2019-02-09 1518 DJ3GE         599 026    9A1A          599 870    0
QSO:  7053 RY 2019-02-09 1520 DJ3GE         599 027    US7KC         599 285    0
QSO:  7053 RY 2019-02-09 1522 DJ3GE         599 028    OL9A          599 1045   0
QSO:  7053 RY 2019-02-09 1529 DJ3GE         599 029    S53X          599 588    0
QSO:  7053 RY 2019-02-09 1531 DJ3GE         599 030    C37URA        599 143    0
QSO: 14089 RY 2019-02-09 1544 DJ3GE         599 031    CR3DX         599 568    0
QSO: 14089 RY 2019-02-09 1545 DJ3GE         599 032    SX73SC        599 052    0
QSO: 14089 RY 2019-02-09 1548 DJ3GE         599 033    AA3B          599 1094   0
QSO:  7053 RY 2019-02-09 1834 DJ3GE         599 034    RM3DA         599 561    0
QSO:  7053 RY 2019-02-09 1835 DJ3GE         599 035    S50A          599 702    0
QSO:  7053 RY 2019-02-09 2111 DJ3GE         599 036    YO9HP         599 928    0
QSO:  7053 RY 2019-02-09 2113 DJ3GE         599 037    IW7DBM        599 251    0
QSO:  7053 RY 2019-02-09 2117 DJ3GE         599 038    CR3DX         599 960    0
QSO:  7053 RY 2019-02-09 2127 DJ3GE         599 039    YU1AU         599 502    0
QSO:  7053 RY 2019-02-09 2129 DJ3GE         599 040    9A5D          599 1358   0
QSO:  7053 RY 2019-02-09 2136 DJ3GE         599 041    IZ4NIC        599 765    0
QSO:  7053 RY 2019-02-09 2138 DJ3GE         599 042    UB6B          599 793    0
QSO:  3585 RY 2019-02-09 2144 DJ3GE         599 043    DP7D          599 472    0
QSO:  3585 RY 2019-02-09 2152 DJ3GE         599 044    OL4C          599 699    0
QSO:  7053 RY 2019-02-10 0840 DJ3GE         599 045    ES5RY         599 437    0
QSO:  7053 RY 2019-02-10 0848 DJ3GE         599 046    OK7O          599 1379   0
QSO:  7053 RY 2019-02-10 0849 DJ3GE         599 047    F6CXJ         599 296    0
QSO:  7053 RY 2019-02-10 0851 DJ3GE         599 048    IK1SOW        599 180    0
QSO:  7053 RY 2019-02-10 0855 DJ3GE         599 049    OM3R          599 407    0
QSO:  7053 RY 2019-02-10 0901 DJ3GE         599 050    LA1TV         599 504    0
QSO:  7053 RY 2019-02-10 0905 DJ3GE         599 051    HB90OCR       599 109    0
QSO:  7053 RY 2019-02-10 0907 DJ3GE         599 052    IN3EYI        599 165    0
QSO:  7053 RY 2019-02-10 0908 DJ3GE         599 053    IQ2CU         599 648    0
QSO:  7053 RY 2019-02-10 0909 DJ3GE         599 054    S53NW         599 431    0
QSO:  7053 RY 2019-02-10 0910 DJ3GE         599 055    GU0SUP        599 350    0
QSO:  7053 RY 2019-02-10 0911 DJ3GE         599 056    LY9Y          599 817    0
QSO:  7053 RY 2019-02-10 0913 DJ3GE         599 057    OK1DBE        599 072    0
QSO:  7053 RY 2019-02-10 0917 DJ3GE         599 058    OE5BGN        599 537    0
QSO:  7053 RY 2019-02-10 0919 DJ3GE         599 059    IK0CHU        599 542    0
QSO:  7053 RY 2019-02-10 0920 DJ3GE         599 060    OE2E          599 629    0
QSO:  7053 RY 2019-02-10 0921 DJ3GE         599 061    IU1JCZ        599 234    0
QSO:  7053 RY 2019-02-10 0923 DJ3GE         599 062    I3PXN         599 465    0
QSO:  7053 RY 2019-02-10 0925 DJ3GE         599 063    F4HJO         599 600    0
QSO:  7053 RY 2019-02-10 0926 DJ3GE         599 064    DM5TI         599 842    0
QSO:  7053 RY 2019-02-10 0928 DJ3GE         599 065    LA9TY         599 273    0
QSO:  7053 RY 2019-02-10 0930 DJ3GE         599 066    S55BA         599 413    0
QSO:  7053 RY 2019-02-10 0931 DJ3GE         599 067    EA1DA         599 021    0
QSO:  7053 RY 2019-02-10 0932 DJ3GE         599 068    LC2C          599 189    0
QSO: 14089 RY 2019-02-10 0936 DJ3GE         599 069    ER5LL         599 205    0
QSO: 14089 RY 2019-02-10 0939 DJ3GE         599 070    YL6W          599 597    0
QSO: 14089 RY 2019-02-10 0940 DJ3GE         599 071    SV3EXU        599 424    0
QSO: 14089 RY 2019-02-10 0941 DJ3GE         599 072    UT3RS         599 741    0
QSO: 14089 RY 2019-02-10 0947 DJ3GE         599 073    YL5T          599 395    0
QSO: 14089 RY 2019-02-10 0953 DJ3GE         599 074    OH3FM         599 605    0
QSO: 14089 RY 2019-02-10 0957 DJ3GE         599 075    UX1UX         599 810    0
QSO:  7053 RY 2019-02-10 1006 DJ3GE         599 076    OU0POLIO      599 069    0
QSO:  7053 RY 2019-02-10 1010 DJ3GE         599 077    SK7K          599 1024   0
QSO:  7053 RY 2019-02-10 1012 DJ3GE         599 078    DL1SO         599 088    0
QSO:  7053 RY 2019-02-10 1017 DJ3GE         599 079    DG0RO         599 620    0
QSO:  7053 RY 2019-02-10 1018 DJ3GE         599 080    IZ3XEF        599 224    0
QSO:  7053 RY 2019-02-10 1021 DJ3GE         599 081    G5LP          599 054    0
QSO:  7053 RY 2019-02-10 1022 DJ3GE         599 082    OK2D          599 1103   0
QSO:  7053 RY 2019-02-10 1024 DJ3GE         599 083    IU1LCU        599 073    0
QSO:  7053 RY 2019-02-10 1027 DJ3GE         599 084    IQ2XZ         599 267    0
QSO:  7053 RY 2019-02-10 1823 DJ3GE         599 085    EA4GOY        599 516    0
QSO:  7053 RY 2019-02-10 1824 DJ3GE         599 086    UZ5U          599 529    0
QSO:  7053 RY 2019-02-10 1824 DJ3GE         599 087    Z39A          599 246    0
QSO:  7053 RY 2019-02-10 1839 DJ3GE         599 088    LZ5K          599 1912   0
QSO:  7053 RY 2019-02-10 1842 DJ3GE         599 089    EF5T          599 089    0
QSO:  7053 RY 2019-02-10 1845 DJ3GE         599 090    R7NZ          599 369    0
QSO:  7053 RY 2019-02-10 1849 DJ3GE         599 091    EA8PT         599 656    0
QSO:  7053 RY 2019-02-10 1851 DJ3GE         599 092    UY1HY         599 659    0
QSO:  7053 RY 2019-02-10 1855 DJ3GE         599 093    YO3VU         599 710    0
QSO:  7053 RY 2019-02-10 1858 DJ3GE         599 094    EO3Q          599 083    0
QSO:  7053 RY 2019-02-10 1909 DJ3GE         599 095    LZ60KAA       599 994    0
QSO:  7053 RY 2019-02-10 1915 DJ3GE         599 096    7Z1SJ         599 454    0
QSO:  3585 RY 2019-02-10 2111 DJ3GE         599 097    SP8K          599 599    0
QSO:  3585 RY 2019-02-10 2115 DJ3GE         599 098    OK7O          599 1842   0
QSO:  3585 RY 2019-02-10 2129 DJ3GE         599 099    S549APR       599 750    0
QSO:  7053 RY 2019-02-10 2135 DJ3GE         599 100    IC8FJX        599 449    0
QSO:  7053 RY 2019-02-10 2142 DJ3GE         599 101    IK0LNN        599 050    0
QSO:  7053 RY 2019-02-10 2145 DJ3GE         599 102    UW6E          599 1169   0
END-OF-LOG:
