START-OF-LOG: 3.0
CALLSIGN: K6ST
CONTEST: CQ-WPX-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 13416
NAME: Barry Bettman
LOCATION: NV
OPERATORS: K6ST
CLUB: Northern California Contest Club
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.7523.0
SOAPBOX: Fun part-time small pistol station, 20m was quite good
QSO: 14091 RY 2019-02-09 0132 K6ST          599 0001   KH6ZM         599 0151
QSO: 14095 RY 2019-02-09 0134 K6ST          599 0002   W7QDM         599 0041
QSO: 14089 RY 2019-02-09 0136 K6ST          599 0003   KH6TU         599 0120
QSO: 14112 RY 2019-02-09 0138 K6ST          599 0004   KH6CJJ        599 0080
QSO:  7093 RY 2019-02-09 0216 K6ST          599 0005   KI6QDH        599 0067
QSO:  7084 RY 2019-02-09 0221 K6ST          599 0006   KZ5AM         599 0039
QSO:  7080 RY 2019-02-09 0224 K6ST          599 0007   KR0P          599 0162
QSO:  7097 RY 2019-02-09 0226 K6ST          599 0008   VE6BBP        599 0080
QSO:  7042 RY 2019-02-09 0246 K6ST          599 0009   KT7E          599 0040
QSO:  7051 RY 2019-02-09 0255 K6ST          599 0010   WQ5OO         599 0244
QSO:  7063 RY 2019-02-09 0302 K6ST          599 0011   NA5NN         599 0170
QSO:  7067 RY 2019-02-09 0303 K6ST          599 0012   K5RZA         599 0204
QSO:  7102 RY 2019-02-09 0305 K6ST          599 0013   N7XCZ         599 0030
QSO: 14088 RY 2019-02-09 1808 K6ST          599 0014   KF5VRD        599 0117
QSO: 14084 RY 2019-02-09 1818 K6ST          599 0015   N2MM          599 0386
QSO: 14088 RY 2019-02-09 1850 K6ST          599 0016   KB8O          599 0228
QSO: 14080 RY 2019-02-09 2201 K6ST          599 0017   KO7SS         599 0803
QSO: 14095 RY 2019-02-09 2230 K6ST          599 0018   KI6DY         599 0514
QSO: 14102 RY 2019-02-09 2231 K6ST          599 0019   K0WA          599 0435
QSO: 14105 RY 2019-02-09 2232 K6ST          599 0020   NV9L          599 1296
QSO: 14109 RY 2019-02-09 2234 K6ST          599 0021   KR0P          599 0623
QSO: 14110 RY 2019-02-09 2336 K6ST          599 0022   W7II          599 0182
QSO: 14127 RY 2019-02-09 2338 K6ST          599 0023   NX5O          599 0330
QSO: 14086 RY 2019-02-09 2341 K6ST          599 0024   PJ4Z          599 1474
QSO: 14093 RY 2019-02-09 2342 K6ST          599 0025   KZ0US         599 0954
QSO: 14083 RY 2019-02-09 2344 K6ST          599 0026   W0MB          599 0463
QSO: 14086 RY 2019-02-09 2351 K6ST          599 0027   N7WY          599 0742
QSO: 14094 RY 2019-02-10 0001 K6ST          599 0028   AD5XD         599 0796
QSO: 14106 RY 2019-02-10 0003 K6ST          599 0029   AC0C          599 1535
QSO: 14108 RY 2019-02-10 0005 K6ST          599 0030   JA6ZP         599 0425
QSO: 14107 RY 2019-02-10 0021 K6ST          599 0031   N5XJ          599 0208
QSO: 14119 RY 2019-02-10 0026 K6ST          599 0032   K5WW          599 0178
QSO: 14093 RY 2019-02-10 0028 K6ST          599 0033   V37DX         599 0968
QSO: 14083 RY 2019-02-10 0032 K6ST          599 0034   WW5M          599 0250
QSO: 14118 RY 2019-02-10 0034 K6ST          599 0035   WZ8P          599 0076
QSO: 14107 RY 2019-02-10 0038 K6ST          599 0036   K5MXG         599 0210
QSO: 14099 RY 2019-02-10 0049 K6ST          599 0037   N7XCZ         599 0108
QSO: 14080 RY 2019-02-10 0109 K6ST          599 0038   WK7S          599 1260
QSO:  7085 RY 2019-02-10 0312 K6ST          599 0039   K8IA          599 0745
QSO:  7101 RY 2019-02-10 0329 K6ST          599 0040   N9NA          599 0498
QSO:  7092 RY 2019-02-10 0334 K6ST          599 0041   AG1RL         599 0360
QSO:  7064 RY 2019-02-10 0335 K6ST          599 0042   W5AP          599 0331
QSO:  7043 RY 2019-02-10 0337 K6ST          599 0043   WX5S          599 0984
QSO:  7040 RY 2019-02-10 0338 K6ST          599 0044   WA6I          599 0266
QSO:  7038 RY 2019-02-10 0340 K6ST          599 0045   K6TD          599 0642
QSO:  7042 RY 2019-02-10 0343 K6ST          599 0046   NM5NM         599 0162
QSO:  7050 RY 2019-02-10 0347 K6ST          599 0047   KH6ZM         599 1136
QSO:  7052 RY 2019-02-10 0349 K6ST          599 0048   KE6SHL        599 0125
QSO:  7054 RY 2019-02-10 0349 K6ST          599 0049   KA6BIM        599 0363
QSO:  7039 RY 2019-02-10 0351 K6ST          599 0050   NG6O          599 0450
QSO:  7044 RY 2019-02-10 0354 K6ST          599 0051   WV6I          599 0553
QSO:  7079 RY 2019-02-10 0400 K6ST          599 0052   NX6T          599 0365
QSO:  7095 RY 2019-02-10 0401 K6ST          599 0053   AK6M          599 0534
QSO:  7045 RY 2019-02-10 0406 K6ST          599 0054   KH6TU         599 0808
QSO:  7055 RY 2019-02-10 0422 K6ST          599 0055   N3RC          599 0530
QSO:  7051 RY 2019-02-10 0429 K6ST          599 0056   K6ELE         599 0180
QSO:  7087 RY 2019-02-10 0432 K6ST          599 0057   KE6GLA        599 0361
QSO:  7092 RY 2019-02-10 0433 K6ST          599 0058   NC6R          599 0526
QSO:  7055 RY 2019-02-10 0506 K6ST          599 0059   W6OQI         599 0174
QSO:  7053 RY 2019-02-10 0513 K6ST          599 0060   NB6U          599 0663
QSO:  7039 RY 2019-02-10 0537 K6ST          599 0061   P49X          599 2695
QSO:  7051 RY 2019-02-10 0538 K6ST          599 0062   K9YC          599 1058
QSO:  7081 RY 2019-02-10 0540 K6ST          599 0063   N6LL          599 0127
QSO:  7052 RY 2019-02-10 0542 K6ST          599 0064   NR4M          599 0989
QSO:  7060 RY 2019-02-10 0543 K6ST          599 0065   KM6Z          599 0455
QSO:  7044 RY 2019-02-10 0556 K6ST          599 0066   KP4/K6DTT     599 0311
QSO: 14085 RY 2019-02-10 1759 K6ST          599 0067   W2DAN         599 0374
QSO: 14104 RY 2019-02-10 1802 K6ST          599 0068   K1SM          599 0597
QSO: 14108 RY 2019-02-10 1827 K6ST          599 0069   4U1WB         599 0270
QSO: 14113 RY 2019-02-10 1833 K6ST          599 0070   W3FV          599 1187
QSO: 14117 RY 2019-02-10 1836 K6ST          599 0071   A5AU          599 1006
QSO: 14118 RY 2019-02-10 1841 K6ST          599 0072   KE1S          599 0481
QSO: 14122 RY 2019-02-10 1844 K6ST          599 0073   NV1Q          599 0230
QSO: 14126 RY 2019-02-10 1849 K6ST          599 0074   KA3GIK        599 1154
QSO: 14133 RY 2019-02-10 1850 K6ST          599 0075   NA5NN         599 0829
QSO: 14079 RY 2019-02-10 1914 K6ST          599 0076   WK1J          599 0219
QSO: 14091 RY 2019-02-10 1924 K6ST          599 0077   K4XL          599 0347
QSO: 14097 RY 2019-02-10 1927 K6ST          599 0078   N2HMM         599 0619
QSO: 14103 RY 2019-02-10 1928 K6ST          599 0079   NX0I          599 1236
