START-OF-LOG: 2.0
ARRL-SECTION: DX
CALLSIGN: EA1HRR
CLUB: 
CONTEST: EA-PSK63
CATEGORY: SINGLE-OP ALL
CLAIMED-SCORE: 27435
OPERATORS: EA1HRR
NAME: fidel
SOAPBOX: 73 mala suerte los 10 y 15 mts muy pobres
CREATED-BY: MixW 2.19
QSO: 21074 PS 2017-03-11 1621 EA1HRR        599 S      EA2BF         599 BI
QSO: 21072 PS 2017-03-11 1622 EA1HRR        599 S      EA2KK         599 BI
QSO: 14072 PS 2017-03-11 1731 EA1HRR        599 S      EA2CP         599 BI
QSO: 14073 PS 2017-03-11 1733 EA1HRR        599 S      OZ11T         599 035
QSO: 14068 PS 2017-03-11 1735 EA1HRR        599 S      EA2BF         599 BI
QSO: 14070 PS 2017-03-11 1749 EA1HRR        599 S      SP4TXI        599 074
QSO: 14068 PS 2017-03-11 1750 EA1HRR        599 S      K9OM          599 034
QSO: 14068 PS 2017-03-11 1752 EA1HRR        599 S      EA8PT         599 GC
QSO: 14074 PS 2017-03-11 1759 EA1HRR        599 S      EA2KK         599 BI
QSO: 14075 PS 2017-03-11 1804 EA1HRR        599 S      UR4Q          599 082
QSO: 14074 PS 2017-03-11 1805 EA1HRR        599 S      EV1P/2        599 013
QSO: 14071 PS 2017-03-11 1809 EA1HRR        599 S      LZ7A          599 079
QSO: 14072 PS 2017-03-11 1811 EA1HRR        599 S      IT9VCE        599 078
QSO: 14075 PS 2017-03-11 1820 EA1HRR        599 S      R3BB          599 040
QSO: 14075 PS 2017-03-11 1822 EA1HRR        599 S      R7AB          599 121
QSO: 14075 PS 2017-03-11 1824 EA1HRR        599 S      EU8R          599 084
QSO: 14075 PS 2017-03-11 1826 EA1HRR        599 S      UR5QU         599 060
QSO: 14075 PS 2017-03-11 1830 EA1HRR        599 S      R2CA          599 056
QSO: 14075 PS 2017-03-11 1831 EA1HRR        599 S      UT8NT         599 046
QSO: 14075 PS 2017-03-11 1833 EA1HRR        599 S      UR8GL         599 028
QSO: 14075 PS 2017-03-11 1836 EA1HRR        599 S      SK2T          599 013
QSO: 14075 PS 2017-03-11 1837 EA1HRR        599 S      RA3DI/3       599 037
QSO: 14069 PS 2017-03-11 1841 EA1HRR        599 S      EA2XR         599 BI
QSO: 14071 PS 2017-03-11 1842 EA1HRR        599 S      UR5ZGY        599 043
QSO: 14074 PS 2017-03-11 1850 EA1HRR        599 S      EA2CMF        599 BI
QSO: 14072 PS 2017-03-11 1855 EA1HRR        599 S      UR4QRH        599 013
QSO: 14073 PS 2017-03-11 1902 EA1HRR        599 S      EA8KC         599 GC
QSO: 14075 PS 2017-03-11 1905 EA1HRR        599 S      EU1FQ         599 030
QSO: 14071 PS 2017-03-11 1910 EA1HRR        599 S      R3AQ          599 033
QSO: 14074 PS 2017-03-11 1935 EA1HRR        599 S      EA8AQV        599 GC
QSO: 14074 PS 2017-03-11 1944 EA1HRR        599 S      EA8CNR        599 GC
QSO: 14072 PS 2017-03-11 2024 EA1HRR        599 S      AC2OC         599 023
QSO: 14073 PS 2017-03-11 2032 EA1HRR        599 S      WD9HSY        599 087
QSO:  7045 PS 2017-03-11 2053 EA1HRR        599 S      LZ7A          599 115
QSO:  7045 PS 2017-03-11 2055 EA1HRR        599 S      IW7DBM        599 172
QSO:  7044 PS 2017-03-11 2057 EA1HRR        599 S      PI4LWD        599 043
QSO:  7044 PS 2017-03-11 2058 EA1HRR        599 S      DG7EE         599 041
QSO:  7043 PS 2017-03-11 2100 EA1HRR        599 S      RA3GZ         599 188
QSO:  7049 PS 2017-03-11 2102 EA1HRR        599 S      EI3JE         599 048
QSO:  7048 PS 2017-03-11 2105 EA1HRR        599 S      RW3TT         599 014
QSO:  7048 PS 2017-03-11 2107 EA1HRR        599 S      IK4XQT        599 027
QSO:  7048 PS 2017-03-11 2109 EA1HRR        599 S      SP5CGN        599 043
QSO:  7049 PS 2017-03-11 2111 EA1HRR        599 S      EA2BF         599 BI
QSO:  7049 PS 2017-03-11 2112 EA1HRR        599 S      DM7CW         599 142
QSO:  7046 PS 2017-03-11 2116 EA1HRR        599 S      DL1NHW        599 043
QSO:  7046 PS 2017-03-11 2117 EA1HRR        599 S      R7AB          599 267
QSO:  7045 PS 2017-03-11 2119 EA1HRR        599 S      OK2UHP        599 077
QSO:  7045 PS 2017-03-11 2120 EA1HRR        599 S      EA8KL         599 TF
QSO:  7044 PS 2017-03-11 2122 EA1HRR        599 S      US7KC         599 190
QSO:  7043 PS 2017-03-11 2123 EA1HRR        599 S      YU1BN         599 119
QSO:  7042 PS 2017-03-11 2124 EA1HRR        599 S      UA6CE         599 228
QSO:  7042 PS 2017-03-11 2127 EA1HRR        599 S      YL5X          599 070
QSO:  7041 PS 2017-03-11 2130 EA1HRR        599 S      IT9VCE        599 174
QSO:  7042 PS 2017-03-11 2133 EA1HRR        599 S      UR5MGU        599 190
QSO:  7040 PS 2017-03-11 2142 EA1HRR        599 S      ZA5G          599 052
QSO:  7042 PS 2017-03-11 2145 EA1HRR        599 S      E73Z          599 092
QSO:  7041 PS 2017-03-11 2157 EA1HRR        599 S      9A9TT         599 063
QSO:  7041 PS 2017-03-11 2200 EA1HRR        599 S      SQ9ENH        599 045
QSO:  7045 PS 2017-03-11 2203 EA1HRR        599 S      UR4Q          599 292
QSO:  7049 PS 2017-03-11 2209 EA1HRR        599 S      SM7CIL        599 067
QSO:  7047 PS 2017-03-11 2219 EA1HRR        599 S      SQ2TOM        599 049
QSO:  7045 PS 2017-03-11 2234 EA1HRR        599 S      OK1UKV        599 021
QSO:  7045 PS 2017-03-11 2241 EA1HRR        599 S      SQ6PLE        599 169
QSO:  7045 PS 2017-03-11 2245 EA1HRR        599 S      YT7CB         599 193
QSO:  7045 PS 2017-03-11 2247 EA1HRR        599 S      OK1VPO        599 089
QSO:  7045 PS 2017-03-11 2319 EA1HRR        599 S      OM7AX         599 091
QSO:  7045 PS 2017-03-11 2322 EA1HRR        599 S      EA8AQV        599 GC
QSO:  7045 PS 2017-03-11 2323 EA1HRR        599 S      YT6W          599 280
QSO:  7045 PS 2017-03-11 2323 EA1HRR        599 S      HA7LW         599 043
QSO:  7044 PS 2017-03-11 2338 EA1HRR        599 S      OK1SLA        599 059
QSO:  7044 PS 2017-03-11 2340 EA1HRR        599 S      OK7N          599 062
QSO:  7044 PS 2017-03-11 2349 EA1HRR        599 S      YU7AOP        599 154
QSO:  7044 PS 2017-03-11 2354 EA1HRR        599 S      SP2UU/3       599 086
