START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: EUHFC
CALLSIGN: PB2JJ
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: PB2JJ
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for EUHFC EUHFC/2011.
QSO: 14030 CW 2011-08-06 1222 PB2JJ         599 96 IK2SND        599 92
QSO: 14030 CW 2011-08-06 1225 PB2JJ         599 96 R3CM          599 83
QSO: 14030 CW 2011-08-06 1228 PB2JJ         599 96 YL2TB         599 87
QSO: 14000 CW 2011-08-06 1229 PB2JJ         599 96 F9KP          599 67
QSO: 14000 CW 2011-08-06 1230 PB2JJ         599 96 SP9DUX        599 69
QSO: 14030 CW 2011-08-06 1235 PB2JJ         599 96 HG3R          599 72
QSO: 14030 CW 2011-08-06 1235 PB2JJ         599 96 OK2BFN        599 63
QSO: 14029 CW 2011-08-06 1239 PB2JJ         599 96 E74A          599 77
QSO: 14030 CW 2011-08-06 1244 PB2JJ         599 96 UW1WU         599 09
QSO: 14030 CW 2011-08-06 1245 PB2JJ         599 96 RT3N          599 86
QSO: 14030 CW 2011-08-06 1246 PB2JJ         599 96 TK/DL2RMC     599 81
QSO: 14000 CW 2011-08-06 1249 PB2JJ         599 96 9A2BW         599 67
QSO: 14030 CW 2011-08-06 1252 PB2JJ         599 96 RN3F          599 89
QSO: 14030 CW 2011-08-06 1252 PB2JJ         599 96 YO7DAA        599 83
QSO: 14000 CW 2011-08-06 1254 PB2JJ         599 96 US5VX         599 81
QSO: 14029 CW 2011-08-06 1255 PB2JJ         599 96 UT8EU         599 99
QSO: 14029 CW 2011-08-06 1258 PB2JJ         599 96 SF3A          599 60
QSO: 14010 CW 2011-08-06 1300 PB2JJ         599 96 HA1SN         599 66
QSO: 14030 CW 2011-08-06 1300 PB2JJ         599 96 EW1IP         599 06
QSO: 14030 CW 2011-08-06 1302 PB2JJ         599 96 UA3QAM        599 70
QSO: 14050 CW 2011-08-06 1302 PB2JJ         599 96 SM5DXR        599 65
QSO: 14029 CW 2011-08-06 1304 PB2JJ         599 96 R7FF          599 62
QSO: 14030 CW 2011-08-06 1304 PB2JJ         599 96 UX1UF         599 01
QSO: 14000 CW 2011-08-06 1305 PB2JJ         599 96 OM3BA         599 58
QSO: 14030 CW 2011-08-06 1306 PB2JJ         599 96 RA3TT         599 65
QSO: 14000 CW 2011-08-06 1308 PB2JJ         599 96 LA7SI         599 63
QSO: 14000 CW 2011-08-06 1308 PB2JJ         599 96 SM3X          599 60
QSO: 14030 CW 2011-08-06 1309 PB2JJ         599 96 OM3ZWA        599 69
QSO: 14012 CW 2011-08-06 1312 PB2JJ         599 96 RO3DX         599 78
QSO: 14030 CW 2011-08-06 1312 PB2JJ         599 96 HB9SVT        599 86
QSO: 14000 CW 2011-08-06 1316 PB2JJ         599 96 UA4NBA        599 81
QSO: 14000 CW 2011-08-06 1318 PB2JJ         599 96 S57AY         599 54
QSO: 14030 CW 2011-08-06 1319 PB2JJ         599 96 GM4WZG        599 76
QSO: 14030 CW 2011-08-06 1320 PB2JJ         599 96 LY2SA         599 68
QSO: 14030 CW 2011-08-06 1322 PB2JJ         599 96 DL8MAS        599 76
QSO: 14030 CW 2011-08-06 1325 PB2JJ         599 96 HG6N          599 84
QSO: 14030 CW 2011-08-06 1328 PB2JJ         599 96 DJ5IW         599 59
QSO: 14000 CW 2011-08-06 1403 PB2JJ         599 96 S51NY         599 56
QSO: 14000 CW 2011-08-06 1418 PB2JJ         599 96 OM4J          599 67
QSO: 14031 CW 2011-08-06 1418 PB2JJ         599 96 UA3QGT        599 74
QSO: 14031 CW 2011-08-06 1419 PB2JJ         599 96 S56A          599 62
QSO: 14000 CW 2011-08-06 1422 PB2JJ         599 96 SP9RI         599 69
QSO: 14030 CW 2011-08-06 1422 PB2JJ         599 96 RA3G          599 76
QSO: 14047 CW 2011-08-06 1423 PB2JJ         599 96 SP6LV         599 57
QSO: 14031 CW 2011-08-06 1424 PB2JJ         599 96 SP4JCP        599 75
QSO: 14000 CW 2011-08-06 1425 PB2JJ         599 96 S52FT         599 84
QSO: 14031 CW 2011-08-06 1428 PB2JJ         599 96 LY5I          599 84
QSO: 14000 CW 2011-08-06 1430 PB2JJ         599 96 OK2ABU        599 59
QSO: 14009 CW 2011-08-06 1432 PB2JJ         599 96 US6CQ         599 74
QSO: 14031 CW 2011-08-06 1432 PB2JJ         599 96 PA5WT         599 77
QSO: 14000 CW 2011-08-06 1434 PB2JJ         599 96 LZ2FM         599 90
QSO: 14031 CW 2011-08-06 1435 PB2JJ         599 96 OK8DD         599 87
QSO: 14000 CW 2011-08-06 1436 PB2JJ         599 96 OK1FMG        599 97
QSO: 14031 CW 2011-08-06 1436 PB2JJ         599 96 R3KM          599 84
QSO: 14031 CW 2011-08-06 1436 PB2JJ         599 96 SM6AHU        599 57
QSO: 14000 CW 2011-08-06 1438 PB2JJ         599 96 OK2BND        599 66
QSO: 14031 CW 2011-08-06 1439 PB2JJ         599 96 SM4DQE        599 62
QSO: 14031 CW 2011-08-06 1441 PB2JJ         599 96 EA7TL         599 74
QSO: 14031 CW 2011-08-06 1442 PB2JJ         599 86 LY3QA         599 82
QSO: 14000 CW 2011-08-06 1443 PB2JJ         599 96 US0HZ         599 73
QSO: 14030 CW 2011-08-06 1444 PB2JJ         599 96 UR5QA         599 83
QSO: 14031 CW 2011-08-06 1445 PB2JJ         599 96 UT3N          599 65
QSO: 14069 CW 2011-08-06 1446 PB2JJ         599 10 S58KA         599 10
QSO: 14000 CW 2011-08-06 1447 PB2JJ         599 96 LY2MM         599 70
QSO: 14031 CW 2011-08-06 1448 PB2JJ         599 96 UA4CCG        599 73
QSO: 14031 CW 2011-08-06 1451 PB2JJ         599 96 R7MC          599 75
QSO: 14031 CW 2011-08-06 1454 PB2JJ         599 96 LZ2PL         599 86
QSO: 14030 CW 2011-08-06 1455 PB2JJ         599 96 UZ8I          599 79
QSO: 14000 CW 2011-08-06 1458 PB2JJ         599 96 YO2IS         599 62
QSO: 14031 CW 2011-08-06 1459 PB2JJ         599 96 S58Q          599 69
QSO: 14031 CW 2011-08-06 1502 PB2JJ         599 96 UT5R          599 71
QSO: 14000 CW 2011-08-06 1505 PB2JJ         599 96 IK8LPX        599 86
QSO: 14000 CW 2011-08-06 1505 PB2JJ         599 96 US1PM         599 81
QSO: 14031 CW 2011-08-06 1513 PB2JJ         599 96 YU0W          599 91
QSO: 14031 CW 2011-08-06 1514 PB2JJ         599 96 HA6NL         599 72
QSO: 14014 CW 2011-08-06 1515 PB2JJ         599 96 UT0U          599 93
QSO: 14031 CW 2011-08-06 1516 PB2JJ         599 96 EA5YI         599 88
QSO: 14031 CW 2011-08-06 1518 PB2JJ         599 96 EW4AA         599 82
QSO: 14030 CW 2011-08-06 1522 PB2JJ         599 96 LY6A          599 77
QSO: 14031 CW 2011-08-06 1523 PB2JJ         599 96 OK5SA         599 62
QSO: 14010 CW 2011-08-06 1729 PB2JJ         599 96 RW3DOX        599 79
QSO: 14000 CW 2011-08-06 1731 PB2JJ         599 96 UR5WX         599 79
QSO: 28007 CW 2011-08-06 1732 PB2JJ         599 96 LY6A          599 77
QSO: 28015 CW 2011-08-06 1732 PB2JJ         599 96 UT0U          599 93
QSO: 21000 CW 2011-08-06 1741 PB2JJ         599 96 LY2NK         599 59
QSO: 21007 CW 2011-08-06 1742 PB2JJ         599 96 LY6A          599 77
QSO: 21007 CW 2011-08-06 1743 PB2JJ         599 96 LY5I          599 84
QSO: 14000 CW 2011-08-06 1752 PB2JJ         599 96 R7AO          599 83
QSO: 14187 PH 2011-08-06 1804 PB2JJ         59 96 RC6U          59 89
QSO: 14200 PH 2011-08-06 1812 PB2JJ         59 96 EC1KR         59 04
QSO: 14226 PH 2011-08-06 1817 PB2JJ         59 96 IQ1RY         59 07
QSO: 14250 PH 2011-08-06 1818 PB2JJ         59 96 RW3GW         59 85
QSO: 14259 PH 2011-08-06 1818 PB2JJ         59 96 UV5U          59 72
QSO: 14176 PH 2011-08-06 1822 PB2JJ         59 96 RC5A          59 94
QSO: 14211 PH 2011-08-06 1822 PB2JJ         59 96 RN3ZC         59 91
QSO: 14224 PH 2011-08-06 1822 PB2JJ         59 96 IW9HIK        59 03
QSO: 28000 PH 2011-08-06 1826 PB2JJ         59 96 EW8DD         59 69
QSO: 28400 PH 2011-08-06 1829 PB2JJ         59 96 EC1KR         59 04
QSO: 28000 PH 2011-08-06 1830 PB2JJ         59 96 SI3A          59 80
