START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: SP9MDY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-POWER: LOW
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-STATION: FIXED
CATEGORY-TIME: 6-HOURS
LOCATION: DX
CATEGORY-OVERLAY: CLASSIC
CLUB: SP-CW-C
CLAIMED-SCORE:
OPERATORS:
NAME: HUBERT MARCINEK
CREATED-BY: DQR_Log v. 3.2.5 - (c) SP7DQR
SOAPBOX: IC730 ant delta loop
SOAPBOX: do : [email hidden] , Upload log at:	http://www.cqww.com/logcheck/
QSO: 21000 CW 2014-11-29 1727 SP9MDY        599          15 VP2MDX          599          08
QSO: 21000 CW 2014-11-29 1730 SP9MDY        599          15 N7AT            599          03
QSO: 21000 CW 2014-11-29 1742 SP9MDY        599          15 HC2AO/8         599          10
QSO: 21000 CW 2014-11-29 1755 SP9MDY        599          15 PJ2V            599          09
QSO: 21000 CW 2014-11-29 1803 SP9MDY        599          15 PJ4Q            599          09
QSO: 14000 CW 2014-11-29 1924 SP9MDY        599          15 HK1NA           599          09
QSO:  7000 CW 2014-11-29 2012 SP9MDY        599          15 JH4UYB          599          25
QSO:  7000 CW 2014-11-29 2032 SP9MDY        599          15 TK4LS           599          15
QSO:  7000 CW 2014-11-29 2034 SP9MDY        599          15 4X0W            599          20
QSO:  7000 CW 2014-11-29 2118 SP9MDY        599          15 PJ2T            599          09
QSO:  7000 CW 2014-11-29 2119 SP9MDY        599          15 UA9MA           599          17
QSO:  7000 CW 2014-11-29 2131 SP9MDY        599          15 W2FU            599          05
QSO:  7000 CW 2014-11-29 2134 SP9MDY        599          15 UN9L            599          17
QSO:  7000 CW 2014-11-29 2140 SP9MDY        599          15 RW0A            599          18
QSO:  7000 CW 2014-11-29 2152 SP9MDY        599          15 KB1H            599          05
QSO:  7000 CW 2014-11-29 2233 SP9MDY        599          15 SP6OJE          599          15
QSO:  7000 CW 2014-11-29 2252 SP9MDY        599          15 9K2HN           599          21
QSO:  7000 CW 2014-11-29 2257 SP9MDY        599          15 NP4Z            599          08
QSO:  7000 CW 2014-11-29 2301 SP9MDY        599          15 UT8AS           599          16
QSO: 28000 CW 2014-11-30 0719 SP9MDY        599          15 JR3RWB          599          25
QSO: 28000 CW 2014-11-30 0735 SP9MDY        599          15 9M2TO           599          28
QSO: 28000 CW 2014-11-30 0753 SP9MDY        599          15 8J2VE           599          25
QSO: 28000 CW 2014-11-30 0814 SP9MDY        599          15 UA0SR           599          18
QSO: 28000 CW 2014-11-30 0836 SP9MDY        599          15 B4W             599          24
QSO: 28000 CW 2014-11-30 0906 SP9MDY        599          15 6W1SR           599          35
QSO: 28000 CW 2014-11-30 0915 SP9MDY        599          15 5H3EE           599          37
QSO: 28000 CW 2014-11-30 1232 SP9MDY        599          15 CX2BR           599          13
QSO: 28000 CW 2014-11-30 1548 SP9MDY        599          15 ZD8O            599          36
QSO: 21000 CW 2014-11-30 1628 SP9MDY        599          15 W6PH            599          03
QSO: 14000 CW 2014-11-30 1648 SP9MDY        599          15 3B8MU           599          39
QSO: 14000 CW 2014-11-30 1700 SP9MDY        599          15 HK1NA           599          09
QSO: 14000 CW 2014-11-30 1938 SP9MDY        599          15 VP2MDX          599          08
QSO:  7000 CW 2014-11-30 2037 SP9MDY        599          15 KB1H            599          05
QSO:  7000 CW 2014-11-30 2041 SP9MDY        599          15 KP4EE           599          08
QSO:  7000 CW 2014-11-30 2050 SP9MDY        599          15 IH9R            599          33
QSO:  7000 CW 2014-11-30 2155 SP9MDY        599          15 FY5FY           599          09
QSO:  3500 CW 2014-11-30 2354 SP9MDY        599          15 ZA/YU7CM        599          15
END-OF-LOG:
