START-OF-LOG:  3.0
CREATED-BY:    SD by EI5DI
CONTEST:       CQ-WW-CW
CALLSIGN:      VE7BQO
CATEGORY-OPERATOR:  SINGLE-OP
CATEGORY-ASSISTED:  NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER:  QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER:  ONE
CATEGORY-OVERLAY:  CLASSIC
CLUB:          ORCA DX AND CONTEST CLUB
LOCATION:      BC
CLAIMED-SCORE: 77000
NAME:          Allen Wootton
OPERATORS:     VE7BQO
SOAPBOX:       I really enjoyed the contest and I was very pleased
SOAPBOX:       to be able to make QRP contacts with some new countries.
SOAPBOX:       I really appreciated the effort some operators made to
SOAPBOX:       copy my QRP signal.  SD worked well for me for my log.
QSO: 14022 CW 2014-11-29 0040 VE7BQO        599 03     P49Y          599 09
QSO: 14014 CW 2014-11-29 0044 VE7BQO        599 03     N7WA          599 03
QSO: 14012 CW 2014-11-29 0046 VE7BQO        599 03     K3LR          599 05
QSO: 14007 CW 2014-11-29 0047 VE7BQO        599 03     VE6JY         599 04
QSO: 14005 CW 2014-11-29 0051 VE7BQO        599 03     NR5M          599 04
QSO: 14015 CW 2014-11-29 0051 VE7BQO        599 03     N2MF          599 05
QSO: 14041 CW 2014-11-29 0057 VE7BQO        599 03     SJ2W          599 14
QSO: 14046 CW 2014-11-29 0059 VE7BQO        599 03     N4WW          599 05
QSO: 14047 CW 2014-11-29 0100 VE7BQO        599 03     CS2C          599 14
QSO: 14056 CW 2014-11-29 0102 VE7BQO        599 03     KH7XX         599 31
QSO: 14058 CW 2014-11-29 0106 VE7BQO        599 03     JK1MZT        599 25
QSO: 14062 CW 2014-11-29 0108 VE7BQO        599 03     8P5A          599 08
QSO: 14064 CW 2014-11-29 0110 VE7BQO        599 03     WA7NB         599 03
QSO: 14046 CW 2014-11-29 0111 VE7BQO        599 03     N7BV          599 03
QSO: 14036 CW 2014-11-29 0111 VE7BQO        599 03     OH8L          599 15
QSO: 14018 CW 2014-11-29 0116 VE7BQO        599 03     ZW5B          599 11
QSO: 14005 CW 2014-11-29 0120 VE7BQO        599 03     PT2CM         599 11
QSO: 14009 CW 2014-11-29 0121 VE7BQO        599 03     NQ4I          599 05
QSO: 14039 CW 2014-11-29 0131 VE7BQO        599 03     NP2X          599 08
QSO: 14045 CW 2014-11-29 0132 VE7BQO        599 03     WX0B          599 04
QSO: 14051 CW 2014-11-29 0241 VE7BQO        599 03     AL1G          599 01
QSO: 14040 CW 2014-11-29 0247 VE7BQO        599 03     UB0A          599 18
QSO: 14032 CW 2014-11-29 0249 VE7BQO        599 03     AL9A          599 01
QSO: 14026 CW 2014-11-29 0252 VE7BQO        599 03     K0EU          599 04
QSO: 14015 CW 2014-11-29 0255 VE7BQO        599 03     N0IJ          599 04
QSO: 14005 CW 2014-11-29 0255 VE7BQO        599 03     K0RF          599 04
QSO: 14040 CW 2014-11-29 0309 VE7BQO        599 03     JA2ODB        599 25
QSO: 14042 CW 2014-11-29 0310 VE7BQO        599 03     JH3CTQ        599 25
QSO: 14047 CW 2014-11-29 0312 VE7BQO        599 03     ES5MC         599 15
QSO: 14057 CW 2014-11-29 0315 VE7BQO        599 03     JH4UYB        599 25
QSO: 14057 CW 2014-11-29 0316 VE7BQO        599 03     JA3YBK        599 25
QSO: 14063 CW 2014-11-29 0318 VE7BQO        599 03     JN1NOP        599 25
QSO: 14066 CW 2014-11-29 0320 VE7BQO        599 03     N7DR          599 04
QSO: 14037 CW 2014-11-29 0325 VE7BQO        599 03     W0AIS         599 04
QSO: 14018 CW 2014-11-29 0327 VE7BQO        599 03     JH0EPI        599 25
QSO: 14007 CW 2014-11-29 0328 VE7BQO        599 03     N2IC          599 04
QSO: 14005 CW 2014-11-29 0329 VE7BQO        599 03     N7AT          599 03
QSO: 7010  CW 2014-11-29 0338 VE7BQO        599 03     N4WW          599 05
QSO: 7020  CW 2014-11-29 0338 VE7BQO        599 03     N9RV          599 04
QSO: 7055  CW 2014-11-29 0348 VE7BQO        599 03     VE6LB         599 04
QSO: 7044  CW 2014-11-29 0422 VE7BQO        599 03     N6RO          599 03
QSO: 7014  CW 2014-11-29 0424 VE7BQO        599 03     W3LL          599 05
QSO: 7048  CW 2014-11-29 0432 VE7BQO        599 03     WC6H          599 03
QSO: 7060  CW 2014-11-29 0439 VE7BQO        599 03     N6XI          599 03
QSO: 3535  CW 2014-11-29 0447 VE7BQO        599 03     VC7M          599 03
QSO: 7005  CW 2014-11-29 0503 VE7BQO        599 03     K1LT          599 04
QSO: 7052  CW 2014-11-29 0533 VE7BQO        599 03     NP4Z          599 08
QSO: 7016  CW 2014-11-29 0550 VE7BQO        599 03     N6IE          599 03
QSO: 7039  CW 2014-11-29 0903 VE7BQO        599 03     K9CT          599 04
QSO: 7038  CW 2014-11-29 0905 VE7BQO        599 03     VE3RZ         599 04
QSO: 7028  CW 2014-11-29 0912 VE7BQO        599 03     ZF2A          599 08
QSO: 7028  CW 2014-11-29 0913 VE7BQO        599 03     K6ZB          599 04
QSO: 7025  CW 2014-11-29 0918 VE7BQO        599 03     W5VX          599 04
QSO: 7009  CW 2014-11-29 0920 VE7BQO        599 03     N2IC          599 04
QSO: 7004  CW 2014-11-29 0922 VE7BQO        599 03     K7NJ          599 03
QSO: 7002  CW 2014-11-29 0923 VE7BQO        599 03     N7AT          599 03
QSO: 7016  CW 2014-11-29 0925 VE7BQO        599 03     K6XX          599 03
QSO: 7028  CW 2014-11-29 0928 VE7BQO        599 03     KN5O          599 04
QSO: 7030  CW 2014-11-29 0928 VE7BQO        599 03     K0RF          599 04
QSO: 7032  CW 2014-11-29 0929 VE7BQO        599 03     K4TCG         599 04
QSO: 7033  CW 2014-11-29 0930 VE7BQO        599 03     K5TR          599 04
QSO: 7037  CW 2014-11-29 0931 VE7BQO        599 03     WX0B          599 04
QSO: 7045  CW 2014-11-29 0936 VE7BQO        599 03     KH7XX         599 31
QSO: 7051  CW 2014-11-29 0939 VE7BQO        599 03     JA7ZFN        599 25
QSO: 7049  CW 2014-11-29 0941 VE7BQO        599 03     KH6LC         599 31
QSO: 7031  CW 2014-11-29 0953 VE7BQO        599 03     8J2VE         599 25
