START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.14.0
CONTEST: CQ-WW-CW
LOCATION: DX
CALLSIGN: GJ2A
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 2746560
OPERATORS: MJ0ASP
CLUB: Chiltern DX Club
NAME: Mathieu Roche
SOAPBOX: Great conditions on all bands made for a fun contest !
QSO: 14000 CW 2014-11-29 0000 GJ2A          599 14     W7WZ          599 05     0
QSO: 14000 CW 2014-11-29 0002 GJ2A          599 14     N2SR          599 05     0
QSO: 14000 CW 2014-11-29 0002 GJ2A          599 14     W3FIZ         599 05     0
QSO: 14000 CW 2014-11-29 0005 GJ2A          599 14     N4WW          599 05     0
QSO: 14000 CW 2014-11-29 0006 GJ2A          599 14     VE3YAA        599 04     0
QSO: 14000 CW 2014-11-29 0008 GJ2A          599 14     W1TO          599 05     0
QSO: 14000 CW 2014-11-29 0009 GJ2A          599 14     K2XR          599 05     0
QSO: 14000 CW 2014-11-29 0009 GJ2A          599 14     K3MD          599 05     0
QSO: 14000 CW 2014-11-29 0010 GJ2A          599 14     NG2O          599 05     0
QSO: 14000 CW 2014-11-29 0011 GJ2A          599 14     N4KG          599 04     0
QSO: 14000 CW 2014-11-29 0013 GJ2A          599 14     PJ4A          599 09     0
QSO:  1830 CW 2014-11-29 0015 GJ2A          599 14     I2WIJ         599 15     0
QSO:  1830 CW 2014-11-29 0018 GJ2A          599 14     9A1A          599 15     0
QSO:  1830 CW 2014-11-29 0019 GJ2A          599 14     TM5CD         599 14     0
QSO:  1830 CW 2014-11-29 0019 GJ2A          599 14     DF0HQ         599 14     0
QSO:  1830 CW 2014-11-29 0020 GJ2A          599 14     S59AA         599 15     0
QSO:  1830 CW 2014-11-29 0024 GJ2A          599 14     OK2W          599 15     0
QSO:  1830 CW 2014-11-29 0025 GJ2A          599 14     9A5Y          599 15     0
QSO:  1830 CW 2014-11-29 0026 GJ2A          599 14     OL4A          599 15     0
QSO:  3500 CW 2014-11-29 0029 GJ2A          599 14     DK2CX         599 14     0
QSO:  3500 CW 2014-11-29 0030 GJ2A          599 14     G2F           599 14     0
QSO:  3500 CW 2014-11-29 0031 GJ2A          599 14     HB9TOC        599 14     0
QSO:  3500 CW 2014-11-29 0032 GJ2A          599 14     DK2OY         599 14     0
QSO:  3500 CW 2014-11-29 0032 GJ2A          599 14     EA7PP         599 14     0
QSO:  3500 CW 2014-11-29 0032 GJ2A          599 14     RC9O          599 18     0
QSO:  3500 CW 2014-11-29 0033 GJ2A          599 14     UW8SM         599 16     0
QSO:  3500 CW 2014-11-29 0033 GJ2A          599 14     R7NW          599 16     0
QSO:  3500 CW 2014-11-29 0034 GJ2A          599 14     R9CW          599 17     0
QSO:  3500 CW 2014-11-29 0034 GJ2A          599 14     EA7QW         599 14     0
QSO:  3500 CW 2014-11-29 0034 GJ2A          599 14     CN2AA         599 33     0
QSO:  3500 CW 2014-11-29 0035 GJ2A          599 14     RT6A          599 16     0
QSO:  3500 CW 2014-11-29 0035 GJ2A          599 14     UT7VR         599 16     0
QSO:  3500 CW 2014-11-29 0036 GJ2A          599 14     SN2B          599 15     0
QSO:  3500 CW 2014-11-29 0036 GJ2A          599 14     YU5R          599 15     0
QSO:  3500 CW 2014-11-29 0037 GJ2A          599 14     IO1T          599 15     0
QSO:  3500 CW 2014-11-29 0037 GJ2A          599 14     UA1OMS        599 16     0
QSO:  3500 CW 2014-11-29 0037 GJ2A          599 14     RK3IM         599 16     0
QSO:  3500 CW 2014-11-29 0038 GJ2A          599 14     G5W           599 14     0
QSO:  3500 CW 2014-11-29 0038 GJ2A          599 14     UA6MA         599 16     0
QSO:  3500 CW 2014-11-29 0039 GJ2A          599 14     P33W          599 20     0
QSO:  3500 CW 2014-11-29 0039 GJ2A          599 14     SE4E          599 14     0
QSO:  3500 CW 2014-11-29 0039 GJ2A          599 14     LI8OM         599 14     0
QSO:  3500 CW 2014-11-29 0040 GJ2A          599 14     RY6M          599 16     0
QSO:  3500 CW 2014-11-29 0040 GJ2A          599 14     LZ5XQ         599 20     0
QSO:  3500 CW 2014-11-29 0041 GJ2A          599 14     SK3W          599 14     0
QSO:  3500 CW 2014-11-29 0041 GJ2A          599 14     G3WGV         599 14     0
QSO:  3500 CW 2014-11-29 0042 GJ2A          599 14     UA4M          599 16     0
QSO:  3500 CW 2014-11-29 0043 GJ2A          599 14     RM9A          599 17     0
QSO:  3500 CW 2014-11-29 0043 GJ2A          599 14     EA4DB         599 14     0
QSO:  3500 CW 2014-11-29 0043 GJ2A          599 14     UA4M          599 16     0
QSO:  3500 CW 2014-11-29 0044 GJ2A          599 14     UA9FAR        599 17     0
QSO:  3500 CW 2014-11-29 0045 GJ2A          599 14     W3LPL         599 05     0
QSO:  3500 CW 2014-11-29 0045 GJ2A          599 14     M5B           599 14     0
QSO:  3500 CW 2014-11-29 0046 GJ2A          599 14     DJ2MX         599 14     0
QSO:  3500 CW 2014-11-29 0046 GJ2A          599 14     IR4M          599 15     0
QSO:  3500 CW 2014-11-29 0047 GJ2A          599 14     LZ2SC         599 20     0
QSO:  3500 CW 2014-11-29 0047 GJ2A          599 14     RT3F          599 16     0
QSO:  3500 CW 2014-11-29 0048 GJ2A          599 14     EA5RS         599 14     0
QSO:  3500 CW 2014-11-29 0048 GJ2A          599 14     RG5A          599 16     0
QSO:  3500 CW 2014-11-29 0048 GJ2A          599 14     WK1Q          599 05     0
QSO:  3500 CW 2014-11-29 0048 GJ2A          599 14     RW6AF         599 16     0
QSO:  3500 CW 2014-11-29 0049 GJ2A          599 14     4O3A          599 15     0
QSO:  3500 CW 2014-11-29 0050 GJ2A          599 14     W4BUW         599 05     0
QSO:  3500 CW 2014-11-29 0051 GJ2A          599 14     OZ1AAR        599 14     0
QSO:  3500 CW 2014-11-29 0051 GJ2A          599 14     II0C          599 15     0
QSO:  3500 CW 2014-11-29 0052 GJ2A          599 14     RJ4P          599 16     0
QSO:  3500 CW 2014-11-29 0052 GJ2A          599 14     K3LR          599 05     0
QSO:  3500 CW 2014-11-29 0052 GJ2A          599 14     OZ8SW         599 14     0
QSO:  3500 CW 2014-11-29 0053 GJ2A          599 14     UT3UA         599 16     0
QSO:  3500 CW 2014-11-29 0053 GJ2A          599 14     OK2SGW        599 15     0
QSO:  3500 CW 2014-11-29 0054 GJ2A          599 14     DL9ZP         599 14     0
QSO:  3500 CW 2014-11-29 0054 GJ2A          599 14     HA5KY         599 15     0
QSO:  3500 CW 2014-11-29 0056 GJ2A          599 14     OH1F          599 15     0
QSO:  3500 CW 2014-11-29 0056 GJ2A          599 14     S54X          599 15     0
QSO:  3500 CW 2014-11-29 0058 GJ2A          599 14     M0PNN         599 14     0
QSO:  3500 CW 2014-11-29 0059 GJ2A          599 14     9A1P          599 15     0
QSO:  3500 CW 2014-11-29 0059 GJ2A          599 14     DL3YM         599 14     0
QSO:  3500 CW 2014-11-29 0100 GJ2A          599 14     SP2LNW        599 15     0
QSO:  3500 CW 2014-11-29 0101 GJ2A          599 14     LY2NY         599 15     0
QSO:  3500 CW 2014-11-29 0101 GJ2A          599 14     OM3CPF        599 15     0
QSO:  3500 CW 2014-11-29 0101 GJ2A          599 14     YT1V          599 15     0
QSO:  3500 CW 2014-11-29 0102 GJ2A          599 14     OL3M          599 15     0
QSO:  3500 CW 2014-11-29 0102 GJ2A          599 14     OL6P          599 15     0
QSO:  3500 CW 2014-11-29 0102 GJ2A          599 14     DJ8EW         599 14     0
QSO:  3500 CW 2014-11-29 0103 GJ2A          599 14     LY2CX         599 15     0
QSO:  3500 CW 2014-11-29 0104 GJ2A          599 14     W4IR          599 05     0
QSO:  3500 CW 2014-11-29 0104 GJ2A          599 14     SM6E          599 14     0
