START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: SP9KJU
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-POWER: LOW
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-STATION: FIXED
CATEGORY-TIME: 6-HOURS
LOCATION: DX
CATEGORY-OVERLAY: CLASSIC
CLUB: SP CONTEST CLUB
CLAIMED-SCORE:
OPERATORS: sp9mdy 
NAME: RADIOCLUB SP9KJU
CREATED-BY: DQR_Log v. 3.2.5 - (c) SP7DQR
SOAPBOX: RIG IC730 100W, ANT 1 EL DELTA 42m 10UP
QSO: 21000 CW 2014-11-29 1659 SP9KJU        599          15 CR2X            599          14
QSO: 21000 CW 2014-11-29 1701 SP9KJU        599          15 K1LT            599          04
QSO: 21000 CW 2014-11-29 1707 SP9KJU        599          15 PT2CM           599          11
QSO: 21000 CW 2014-11-29 1708 SP9KJU        599          15 CG3AT           599          04
QSO: 21000 CW 2014-11-29 1709 SP9KJU        599          15 W2YC            599          05
QSO: 21000 CW 2014-11-29 1711 SP9KJU        599          15 W1QK            599          05
QSO: 21000 CW 2014-11-29 1712 SP9KJU        599          15 N4UU            599          05
QSO: 21000 CW 2014-11-29 1720 SP9KJU        599          15 K9DU            599          04
QSO: 21000 CW 2014-11-29 1722 SP9KJU        599          15 NP2X            599          08
QSO: 21000 CW 2014-11-29 1726 SP9KJU        599          15 VP2MDX          599          08
QSO: 21000 CW 2014-11-29 1729 SP9KJU        599          15 N7AT            599          03
QSO: 21000 CW 2014-11-29 1738 SP9KJU        599          15 KU2C            599          05
QSO: 21000 CW 2014-11-29 1741 SP9KJU        599          15 HC2AO/8         599          10
QSO: 21000 CW 2014-11-29 1743 SP9KJU        599          15 N2IC            599          04
QSO: 21000 CW 2014-11-29 1753 SP9KJU        599          15 W9RE            599          04
QSO: 21000 CW 2014-11-29 1755 SP9KJU        599          15 PJ2V            599          09
QSO: 21000 CW 2014-11-29 1757 SP9KJU        599          15 NJ3Y            599          05
QSO: 21000 CW 2014-11-29 1802 SP9KJU        599          15 PJ4Q            599          09
QSO: 21000 CW 2014-11-29 1805 SP9KJU        599          15 K2AX            599          05
QSO: 21000 CW 2014-11-29 1810 SP9KJU        599          15 V26K            599          08
QSO: 21000 CW 2014-11-29 1813 SP9KJU        599          15 K3ZM            599          05
QSO: 21000 CW 2014-11-29 1815 SP9KJU        599          15 PW2D            599          11
QSO: 21000 CW 2014-11-29 1817 SP9KJU        599          15 CR3L            599          33
QSO: 21000 CW 2014-11-29 1821 SP9KJU        599          15 EA8DBM          599          33
QSO: 14000 CW 2014-11-29 1823 SP9KJU        599          15 9K2HN           599          21
QSO: 14000 CW 2014-11-29 1824 SP9KJU        599          15 K9MA            599          04
QSO: 14000 CW 2014-11-29 1826 SP9KJU        599          15 K4LT            599          04
QSO: 14000 CW 2014-11-29 1832 SP9KJU        599          15 W2GB            599          05
QSO: 14000 CW 2014-11-29 1833 SP9KJU        599          15 K1DG            599          05
QSO: 14000 CW 2014-11-29 1833 SP9KJU        599          15 CN2AA           599          33
QSO: 14000 CW 2014-11-29 1919 SP9KJU        599          15 W4NF            599          05
QSO: 14000 CW 2014-11-29 1921 SP9KJU        599          15 HK1NA           599          09
QSO: 14000 CW 2014-11-29 1927 SP9KJU        599          15 K9OM            599          05
QSO: 14000 CW 2014-11-29 1930 SP9KJU        599          15 N2ED            599          05
QSO: 14000 CW 2014-11-29 1939 SP9KJU        599          15 PJ2T            599          09
QSO: 14000 CW 2014-11-29 1941 SP9KJU        599          15 NP2P            599          08
QSO: 14000 CW 2014-11-29 1945 SP9KJU        599          15 TA3D            599          20
QSO: 14000 CW 2014-11-29 1946 SP9KJU        599          15 4O3A            599          15
